370,LUNDQVIST REDERIERNA AB,Åland Islands,10 Vessels,LUNDQVIST REDERIERNA AB,https://magicport.ai/owners-managers/%C3%A5land-islands/lundqvist-rederierna-ab,2025-09-07 09:17:46
371,GODBY SHIPPING AB,Åland Islands,8 Vessels,GODBY SHIPPING AB,https://magicport.ai/owners-managers/%C3%A5land-islands/godby-shipping-ab,2025-09-07 09:17:46
372,TRAILER LINK AB,Åland Islands,7 Vessels,TRAILER LINK AB,https://magicport.ai/owners-managers/%C3%A5land-islands/trailer-link-ab,2025-09-07 09:17:46
373,LUNDQUIST SHIPPING CO LTD,Åland Islands,6 Vessels,LUNDQUIST SHIPPING CO LTD,https://magicport.ai/owners-managers/%C3%A5land-islands/lundquist-shipping-co-ltd,2025-09-07 09:17:46
374,SHINOBU SHIPPING CO LTD,Åland Islands,3 Vessels,SHINOBU SHIPPING CO LTD,https://magicport.ai/owners-managers/%C3%A5land-islands/shinobu-shipping-co-ltd,2025-09-07 09:17:46
375,SAN NIKOLLA SHIPMANAGEMENT CO,Albania,7 Vessels,SAN NIKOLLA SHIPMANAGEMENT CO,https://magicport.ai/owners-managers/albania/san-nikolla-shipmanagement-co,2025-09-07 09:18:02
376,ALBMARINE LTD,Albania,4 Vessels,ALBMARINE LTD,https://magicport.ai/owners-managers/albania/albmarine-ltd,2025-09-07 09:18:02
377,BATIMARINE OWNER SHIP SHPK,Albania,4 Vessels,BATIMARINE OWNER SHIP SHPK,https://magicport.ai/owners-managers/albania/batimarine-owner-ship-shpk,2025-09-07 09:18:02
378,RAFAELO 2002 JSC,Albania,3 Vessels,RAFAELO 2002 JSC,https://magicport.ai/owners-managers/albania/rafaelo-2002-jsc,2025-09-07 09:18:02
379,ADRIATIC SEA TRANSPORT SHPK,Albania,3 Vessels,ADRIATIC SEA TRANSPORT SHPK,https://magicport.ai/owners-managers/albania/adriatic-sea-transport-shpk,2025-09-07 09:18:02
380,RPTD SOLD TANZANIA,Albania,3 Vessels,RPTD SOLD TANZANIA,https://magicport.ai/owners-managers/albania/rptd-sold-tanzania,2025-09-07 09:18:02
381,ORTELIUS UAB,Albania,2 Vessels,ORTELIUS UAB,https://magicport.ai/owners-managers/albania/ortelius-uab,2025-09-07 09:18:02
382,HYPROC SHIPPING CO,Algeria,14 Vessels,HYPROC SHIPPING CO,https://magicport.ai/owners-managers/algeria/hyproc-shipping-co,2025-09-07 09:18:17
383,CNAN MED SPA,Algeria,6 Vessels,CNAN MED SPA,https://magicport.ai/owners-managers/algeria/cnan-med-spa,2025-09-07 09:18:17
384,CNAN NORD SPA,Algeria,6 Vessels,CNAN NORD SPA,https://magicport.ai/owners-managers/algeria/cnan-nord-spa,2025-09-07 09:18:17
385,CNAN EL DJAZAIR SPA,Algeria,5 Vessels,CNAN EL DJAZAIR SPA,https://magicport.ai/owners-managers/algeria/cnan-el-djazair-spa,2025-09-07 09:18:17
386,CNAN GROUP SPA,Algeria,4 Vessels,CNAN GROUP SPA,https://magicport.ai/owners-managers/algeria/cnan-group-spa,2025-09-07 09:18:17
387,NAFTAL SPA,Algeria,3 Vessels,NAFTAL SPA,https://magicport.ai/owners-managers/algeria/naftal-spa,2025-09-07 09:18:17
388,SNTM-HYPROC,Algeria,2 Vessels,SNTM-HYPROC,https://magicport.ai/owners-managers/algeria/sntm-hyproc,2025-09-07 09:18:17
389,ERDP DIRECTION,Algeria,2 Vessels,ERDP DIRECTION,https://magicport.ai/owners-managers/algeria/erdp-direction,2025-09-07 09:18:17
390,SONANGOL,Angola,19 Vessels,SONANGOL,https://magicport.ai/owners-managers/angola/sonangol,2025-09-07 09:19:02
391,SEATAG PESCA LTDA,Angola,3 Vessels,SEATAG PESCA LTDA,https://magicport.ai/owners-managers/angola/seatag-pesca-ltda,2025-09-07 09:19:02
392,COLLINS HOLDING INC,Anguilla,2 Vessels,COLLINS HOLDING INC,https://magicport.ai/owners-managers/anguilla/collins-holding-inc,2025-09-07 09:19:17
393,ANTARES NAVIERA SA,Argentina,18 Vessels,ANTARES NAVIERA SA,https://magicport.ai/owners-managers/argentina/antares-naviera-sa,2025-09-07 09:19:59
394,NOVA SHIP TECH SA,Argentina,15 Vessels,NOVA SHIP TECH SA,https://magicport.ai/owners-managers/argentina/nova-ship-tech-sa,2025-09-07 09:19:59
