url,name,type,imo
/vessels/details/9989455,MINERAL OSTERREICH,Bulk Carrier,9989455
/vessels/details/9953690,MINERAL DEUTSCHLAND,Bulk Carrier,9953690
/vessels/details/9953705,MINERAL ITALIA,Bulk Carrier,9953705
/vessels/details/9847970,MINERAL MAURITIUS,Bulk Carrier,9847970
/vessels/details/9950258,MINERAL NEDERLAND,Bulk Carrier,9950258
/vessels/details/9884629,MINERAL NAMIBIA,Bulk Carrier,9884629
/vessels/details/9719939,MINERAL NACER,Bulk Carrier,9719939
/vessels/details/9701346,MINERAL SAKURA,Bulk Carrier,9701346
/vessels/details/9519767,MINERAL NEW YORK,Bulk Carrier,9519767
/vessels/details/9519779,MINERAL STONEHENGE,Bulk Carrier,9519779
/vessels/details/9575668,MINERAL FAITH,Bulk Carrier,9575668
/vessels/details/9567025,MINERAL HOPE,Bulk Carrier,9567025
/vessels/details/9926221,CMA CGM DOLOMITES,Container Ship,9926221
/vessels/details/9925825,CMA CGM MASAI MARA,Container Ship,9925825
/vessels/details/9955595,GOLDEN FRIDGE,Bulk Carrier,9955595
/vessels/details/9740835,GOLDEN KENNEDY,Bulk Carrier,9740835
/vessels/details/9846079,LA LUNA,Bulk Carrier,9846079
/vessels/details/9846081,LA SELVA,Bulk Carrier,9846081
/vessels/details/9853022,CL EPIC,Bulk Carrier,9853022
/vessels/details/9748368,LA STELLA,Bulk Carrier,9748368
/vessels/details/9748485,LA TONDA,Bulk Carrier,9748485
/vessels/details/9715816,CL CENTURY,Bulk Carrier,9715816
/vessels/details/9703411,CL CONTIGO,Bulk Carrier,9703411
/vessels/details/9700005,LOWLANDS PELIKAAN,Bulk Carrier,9700005
/vessels/details/9166637,MELUSINE,Ro-Ro Cargo Ship,9166637
/vessels/details/9386524,A LA MARINE,Container Ship,9386524
/vessels/details/9540546,TRIPOLI,General Cargo Ship,9540546
/vessels/details/9540534,DESEO,General Cargo Ship,9540534
/vessels/details/9540376,AMBERES,General Cargo Ship,9540376
/vessels/details/9357511,CL ATLAS,General Cargo Ship,9357511
/vessels/details/9253636,LAILA M,General Cargo Ship,9253636
/vessels/details/9969455,CL FLANDERS,General Cargo Ship,9969455
/vessels/details/9969493,CL NOGARO,General Cargo Ship,9969493
/vessels/details/9345362,FAST HERMAN,General Cargo Ship,9345362
/vessels/details/9280689,MARANT,General Cargo Ship,9280689
/vessels/details/9313656,MARCUS,General Cargo Ship,9313656
/vessels/details/9192650,MARGOT,General Cargo Ship,9192650
/vessels/details/9356517,FAST SIM,General Cargo Ship,9356517
/vessels/details/9136101,FAST JEF,General Cargo Ship,9136101
/vessels/details/9116814,MARLEY,General Cargo Ship,9116814
/vessels/details/9252929,MARIE,General Cargo Ship,9252929
/vessels/details/9136096,FAST SUS,General Cargo Ship,9136096
/vessels/details/9280392,POLYBOTES,Ro-Ro Cargo Ship,9280392
/vessels/details/9338199,CHERASCO,General Cargo Ship,9338199
/vessels/details/8403428,NOORD-WEST,Deck Cargo Ship,8403428
/vessels/details/205292690,MAC GYVER,Cargo ship,205292690
/vessels/details/205227090,DONAU,Cargo ship,205227090
/vessels/details/205567290,MY LADY,Cargo ship,205567290
/vessels/details/205203590,MANHATTAN,Cargo ship,205203590
/vessels/details/205579990,DANNY,Cargo ship,205579990
/vessels/details/205450490,MARVIK,Cargo ship,205450490
/vessels/details/205566590,VERA CRUZ,Cargo ship,205566590
/vessels/details/205545690,TEMPORE,Cargo ship,205545690
/vessels/details/205255590,THOR,Cargo ship,205255590
/vessels/details/205209290,DYBEN,Cargo ship,205209290
/vessels/details/205367590,AMISTA,Cargo ship,205367590
/vessels/details/205273690,BARBUDA,Cargo ship,205273690
/vessels/details/205564190,DON ZIMMANI,Cargo ship,205564190
/vessels/details/205436290,YANKEE,Cargo ship,205436290
/vessels/details/205268490,STEVILA,Cargo ship,205268490
/vessels/details/205258490,HENOSA,Cargo ship,205258490
/vessels/details/205268790,AVALONA,Cargo ship,205268790
/vessels/details/205288490,MARIEKE,Cargo ship,205288490
/vessels/details/205514990,MAC 4 .,Cargo ship,205514990
/vessels/details/205324290,BARIBAL,Cargo ship,205324290
/vessels/details/205343090,SAINTE RITA,Cargo ship,205343090
/vessels/details/205371390,AMARIGE,Cargo ship,205371390
/vessels/details/205460790,AVE MARIA,Cargo ship,205460790
/vessels/details/205456790,SABRINA.,Cargo ship,205456790
/vessels/details/205380990,PIRATE,Cargo ship,205380990
/vessels/details/205388990,CETUS,Cargo ship,205388990
/vessels/details/205543390,OSIRIS,Cargo ship,205543390
/vessels/details/205455690,WILANI,Cargo ship,205455690
/vessels/details/205563490,RIVER DRONE 4,Cargo ship,205563490
/vessels/details/205463990,MERENZO,Cargo ship,205463990
/vessels/details/205581219,XERYUS,Cargo ship,205581219
/vessels/details/205540090,VERA PAX II,Cargo ship,205540090
/vessels/details/205344590,ABEONA,Cargo ship,205344590
/vessels/details/205468990,ALITA,Cargo ship,205468990
/vessels/details/205571490,TE FITI,Cargo ship,205571490
/vessels/details/205447190,MAC 8,Cargo ship,205447190
/vessels/details/205477290,GERONIMO,Cargo ship,205477290
/vessels/details/205384190,ALASKA,Cargo ship,205384190
/vessels/details/205558390,RIVER DRONE 2,Cargo ship,205558390
/vessels/details/205200890,INFINITY I,Cargo ship,205200890
/vessels/details/205343890,VANGUARD,Cargo ship,205343890
/vessels/details/205388690,NAUSICAA,Cargo ship,205388690
/vessels/details/205345190,VIDI,Cargo ship,205345190
/vessels/details/205363390,JERICHO,Cargo ship,205363390
/vessels/details/205376690,AMBITION,Cargo ship,205376690
/vessels/details/205423890,LI RONDIA,Cargo ship,205423890
/vessels/details/205383790,TABIGHA,Cargo ship,205383790
/vessels/details/205289090,FOLLOW ME,Cargo ship,205289090
/vessels/details/205476190,VESPER,Cargo ship,205476190
/vessels/details/205303490,VITA DURA,Cargo ship,205303490
/vessels/details/205355590,BREYDEL,Cargo ship,205355590
/vessels/details/205205190,ASPERDAM,Cargo ship,205205190
/vessels/details/205475390,KON-TIKI,Cargo ship,205475390
/vessels/details/205468790,JOHANNA-H,Cargo ship,205468790
/vessels/details/205202790,ILLUSION,Cargo ship,205202790
/vessels/details/205292490,SAVANNAH,Cargo ship,205292490
/vessels/details/205353090,GANGES,Cargo ship,205353090
/vessels/details/205430590,SHERPA,Cargo ship,205430590
/vessels/details/205403690,WATERTRUCK XI,Cargo ship,205403690
/vessels/details/205266690,VALENCIA,Cargo ship,205266690
/vessels/details/205449890,CON-DIOS,Cargo ship,205449890
/vessels/details/205320790,CORVUS,Cargo ship,205320790
/vessels/details/205467990,NUEVA VIDA,Cargo ship,205467990
/vessels/details/205514390,EQUITABLE,Cargo ship,205514390
/vessels/details/205058100,LAILA-M,Cargo ship,205058100
/vessels/details/205426590,SPARTIVENTO,Cargo ship,205426590
/vessels/details/205579490,FLORENCE,Cargo ship,205579490
/vessels/details/205239390,MANOU,Cargo ship,205239390
/vessels/details/205535790,COLIBRI,Cargo ship,205535790
/vessels/details/205010190,MS MY BOAT,Cargo ship,205010190
/vessels/details/205585190,TELICA,Cargo ship,205585190
/vessels/details/205392290,MERFORD,Cargo ship,205392290
/vessels/details/205399290,ASPASIA,Cargo ship,205399290
/vessels/details/205413090,MS HURRICANE,Cargo ship,205413090
/vessels/details/205477590,ELDORADO,Cargo ship,205477590
/vessels/details/205388490,TIGRIS,Cargo ship,205388490
/vessels/details/205285990,COBRA,Cargo ship,205285990
/vessels/details/205524690,SCHELDELUST,Cargo ship,205524690
/vessels/details/205571890,MYLLA,Cargo ship,205571890
/vessels/details/205218090,MOJO,Cargo ship,205218090
/vessels/details/205482690,CHERASCO,Cargo ship,205482690
/vessels/details/205377890,TAMARIS,Cargo ship,205377890
/vessels/details/205369990,NIRWANA,Cargo ship,205369990
/vessels/details/205228790,DANIQUE F,Cargo ship,205228790
/vessels/details/205482190,NORDICA,Cargo ship,205482190
/vessels/details/205243390,SUENA,Cargo ship,205243390
/vessels/details/205247890,ODESSA,Cargo ship,205247890
/vessels/details/205566090,RIVER DRONE 9,Cargo ship,205566090
/vessels/details/205470790,KEMP,Cargo ship,205470790
/vessels/details/205436690,KARIN,Cargo ship,205436690
/vessels/details/205563090,URUS,Cargo ship,205563090
/vessels/details/205288190,MARTCILINO,Cargo ship,205288190
/vessels/details/205297590,CANBERRA,Cargo ship,205297590
/vessels/details/205499990,TATIANA,Cargo ship,205499990
/vessels/details/205529590,INDUS,Cargo ship,205529590
/vessels/details/205263790,CATANIA,Cargo ship,205263790
