url,name,type,imo
/vessels/details/9939084,FORTE DOS REIS MAGOS,Bulk Carrier,9939084
/vessels/details/9939072,FORTE SAO MARCELO,Bulk Carrier,9939072
/vessels/details/9694581,MAERSK GANGES,Container Ship,9694581
/vessels/details/9555797,HB TUCUNARE,Bulk Carrier,9555797
/vessels/details/9555785,HB TAMBAQUI,Bulk Carrier,9555785
/vessels/details/9625396,VICENTE PINZON,Container Ship,9625396
/vessels/details/9625384,BARTOLOMEU DIAS,Container Ship,9625384
/vessels/details/9618680,CASTILLO SANTA MARIA,Bulk Carrier,9618680
/vessels/details/9991111,AMAZON COMMANDER,Bulk Carrier,9991111
/vessels/details/9991123,AMAZON COURAGE,Bulk Carrier,9991123
/vessels/details/9649835,CMA CGM SANTOS,Container Ship,9649835
/vessels/details/9602875,SEBASTIAO CABOTO,Container Ship,9602875
/vessels/details/9603233,AMERICO VESPUCIO,Container Ship,9603233
/vessels/details/9603219,PEDRO ALVARES CABRAL,Container Ship,9603219
/vessels/details/9603221,FERNAO DE MAGALHAES,Container Ship,9603221
/vessels/details/9512032,FORTE DE SAO JOSE,Bulk Carrier,9512032
/vessels/details/9473339,JURUTI,Bulk Carrier,9473339
/vessels/details/9539494,MERCOSUL GUARUJA,Container Ship,9539494
/vessels/details/9612765,NC BREDA,Container Ship,9612765
/vessels/details/9612789,NC BRISA,Container Ship,9612789
/vessels/details/9612777,NC BRUMA,Container Ship,9612777
/vessels/details/9612791,NC BRAVO,Container Ship,9612791
/vessels/details/9418377,CMA CGM VERACRUZ,Container Ship,9418377
/vessels/details/9571296,LOG-IN ENDURANCE,Container Ship,9571296
/vessels/details/9961972,LOG-IN EXPERIENCE,Container Ship,9961972
/vessels/details/9961960,LOG-IN EVOLUTION,Container Ship,9961960
/vessels/details/9327669,LOG-IN RESILIENTE,Container Ship,9327669
/vessels/details/9784661,MERCOSUL FORTALEZA,Container Ship,9784661
/vessels/details/9852365,LOG-IN POLARIS,Container Ship,9852365
/vessels/details/9471898,LOG-IN JATOBA,Container Ship,9471898
/vessels/details/9471886,LOG-IN JACARANDA,Container Ship,9471886
/vessels/details/9697002,MERCOSUL ITAJAI,Container Ship,9697002
/vessels/details/9506394,LOG-IN DISCOVERY,Container Ship,9506394
/vessels/details/9070565,MARCOS DIAS,Bulk Carrier,9070565
/vessels/details/9356153,MERCOSUL SANTOS,Container Ship,9356153
/vessels/details/9356141,MERCOSUL SUAPE,Container Ship,9356141
/vessels/details/9292137,ALIANCA LEBLON,Container Ship,9292137
/vessels/details/9351799,LOG IN PANTANAL,Container Ship,9351799
/vessels/details/8515568,DG COLUMBIA,Ro-Ro Cargo Ship,8515568
/vessels/details/8636051,TREVO BRANCO,General Cargo Ship,8636051
/vessels/details/710000645,JAIME RIBEIRO,Cargo ship,710000645
/vessels/details/710011880,C ANGRA,Cargo ship,710011880
/vessels/details/710001853,MARIA BETHANIA,Cargo ship,710001853
/vessels/details/710001856,IVETE SANGALO,Cargo ship,710001856
/vessels/details/710003817,FB AMAZONAS III,Cargo ship,710003817
/vessels/details/710001193,MONTE DOURA,Cargo ship,710001193
/vessels/details/710000725,RONDONOPOLIS,Cargo ship,710000725
/vessels/details/710000652,FOGAS XXII,Cargo ship,710000652
/vessels/details/710002322,JOSUE FABRIS,Cargo ship,710002322
/vessels/details/710001848,PINHEIRO,Cargo ship,710001848
/vessels/details/710008173,SC DREDGER,Cargo ship,710008173
/vessels/details/710019010,ARSENAL III,Cargo ship,710019010
/vessels/details/9054420,DIX-SEPT ROSADO,General Cargo Ship,9054420
/vessels/details/7433660,ESPIRITO SANTO,Bulk Carrier,7433660
/vessels/details/710019250,MR MR,Cargo ship,710019250
/vessels/details/710007679,NORONHA LOG,Cargo ship,710007679
/vessels/details/710004855,NOE,Cargo ship,710004855
/vessels/details/710011010,MERLUSA,Cargo ship,710011010
/vessels/details/5223188,MARIA RAMOS,General Cargo Ship,5223188
/vessels/details/710920305,ANDRE MAR,Cargo ship (HAZ-B),710920305
/vessels/details/710002958,FAROL DAS R0CAS,Cargo ship,710002958
/vessels/details/710999971,TESTES,Cargo ship,710999971
/vessels/details/710006713,TOPA TUDO H3,Cargo ship,710006713
/vessels/details/710004230,NM TREVO SUDESTE,Cargo ship,710004230
/vessels/details/710020181,HH HH,Cargo ship,710020181
/vessels/details/710005521,D JOANA I,Cargo ship,710005521
/vessels/details/710001513,REBELO XXXVI,Cargo ship,710001513
/vessels/details/8610150,NOE,General Cargo Ship,8610150
/vessels/details/710001438,D YOLANDA,Cargo ship,710001438
/vessels/details/710001786,CONCORDIA,Cargo ship,710001786
/vessels/details/710112313,SEM LIMITES 2013,Cargo ship,710112313
/vessels/details/710020126,HH,Cargo ship,710020126
/vessels/details/710006710,ECO WARRIOR,Cargo ship,710006710
/vessels/details/710001588,ALRO,Cargo ship,710001588
/vessels/details/710006938,NAVMAR 2,Cargo ship,710006938
/vessels/details/710006691,REAN,Cargo ship,710006691
/vessels/details/710007374,PORTO VALE XXXV,Cargo ship,710007374
/vessels/details/710555382,O PETREL,Cargo ship,710555382
/vessels/details/710007923,NAVMAR 4,Cargo ship,710007923
/vessels/details/710006947,NAVMAR 1,Cargo ship,710006947
/vessels/details/9082831,FROTASANTAREM,General Cargo Ship,9082831
/vessels/details/710002977,MADAME,Cargo ship,710002977
/vessels/details/710545554,SAHY,Cargo ship,710545554
/vessels/details/8636025,IRACEMA,General Cargo Ship,8636025
/vessels/details/710005398,FB RIO GURUPATUBA V,Cargo ship,710005398
/vessels/details/9991109,AMAZON PATHFINDER,Bulk Carrier,9991109
/vessels/details/7516450,JACY RAMOS,General Cargo Ship,7516450
/vessels/details/7510779,BGM H 13,General Cargo Ship,7510779
/vessels/details/710001238,STEMWINDER,Cargo ship,710001238
/vessels/details/710000542,ROCKY I,Cargo ship,710000542
/vessels/details/710999122,EL REIS IV,Cargo ship,710999122
/vessels/details/710006516,TROPICALENTE,Cargo ship,710006516
/vessels/details/5320675,PETRONAVE-1,General Cargo Ship,5320675
/vessels/details/9991094,AMAZON PIONEER,Bulk Carrier,9991094
/vessels/details/8204810,PROFESSOR LUIZ L. DE FARIA,General Cargo Ship,8204810
/vessels/details/710019088,LEAO DO NORTE JF,Cargo ship,710019088
/vessels/details/710000356,ARGONAUTA,Cargo ship,710000356
/vessels/details/710006199,OLIVEIRA FILHO III,Cargo ship,710006199
/vessels/details/710014680,RAIZEN I,Cargo ship,710014680
/vessels/details/710007952,FB REGIONAL,Cargo ship,710007952
/vessels/details/710021240,TIETE-III-LDC,Cargo ship,710021240
/vessels/details/1129815,APOCALIPSE H,General Cargo Ship,1129815
/vessels/details/710002459,DONA THAMAR,Cargo ship,710002459
/vessels/details/710009070,C NITEROI,Cargo ship,710009070
/vessels/details/710018850,NM JOAO MALLMANN,Cargo ship,710018850
/vessels/details/710001364,FERR BOAT GABRIELA 4,Cargo ship,710001364
/vessels/details/710009809,SC84,Cargo ship,710009809
/vessels/details/710134163,PEGASOS,Cargo ship,710134163
/vessels/details/710005647,DRATEC XXII,Cargo ship,710005647
/vessels/details/710134647,GLOBO I,Cargo ship,710134647
/vessels/details/710001849,FB RIO PARAGUAU,Cargo ship,710001849
/vessels/details/710004199,VOVO CRISTINA,Cargo ship,710004199
/vessels/details/710020340,TIETE I-LDC,Cargo ship,710020340
/vessels/details/710028670,NM JUANN RASMUSS,Cargo ship,710028670
/vessels/details/710048555,NOE,Cargo ship,710048555
/vessels/details/710005357,F.BSANTA ROSA,Cargo ship,710005357
/vessels/details/710000986,AL.JEAN BERGSON II,Cargo ship,710000986
/vessels/details/710008645,TREVO AZUL,Cargo ship,710008645
/vessels/details/710004270,NM TREVO VERMELHO,Cargo ship,710004270
/vessels/details/710028980,NM GUAIBA,Cargo ship,710028980
/vessels/details/710001467,EM WELLINGTON PINTO,Cargo ship,710001467
/vessels/details/710031080,RAINHA DE PORTEL II,Cargo ship,710031080
/vessels/details/710028990,NM GUARITA,Cargo ship,710028990
/vessels/details/710002176,PORTO DO PORNELLES,Cargo ship,710002176
/vessels/details/710498002,HANGTONG,Cargo ship,710498002
/vessels/details/710001748,REBELO XXIII,Cargo ship,710001748
/vessels/details/710008471,PORTO DE GALINHOS,Cargo ship,710008471
/vessels/details/710001278,ARCA.DA ALIC.PP8215,Cargo ship,710001278
/vessels/details/710999124,EL REIS XX,Cargo ship,710999124
/vessels/details/7036541,BORODINE,Ro-Ro Cargo Ship,7036541
/vessels/details/710004962,RS TRAPICHE,Cargo ship,710004962
/vessels/details/710000457,TORRES1,Cargo ship,710000457
/vessels/details/710009490,REB AQUARIUS,Cargo ship,710009490
