url,name,type,imo
/vessels/details/9881122,SEABEAUTY,Bulk Carrier,9881122
/vessels/details/9731432,STAR VIRGO,Bulk Carrier,9731432
/vessels/details/9307243,LE HAVRE,Container Ship,9307243
/vessels/details/9307229,PUSAN C,Container Ship,9307229
/vessels/details/9447196,PIGI,Bulk Carrier,9447196
/vessels/details/9447184,COALMAX,Bulk Carrier,9447184
/vessels/details/9613094,NICOLEMY,Bulk Carrier,9613094
/vessels/details/9627095,VANGELIS,Bulk Carrier,9627095
/vessels/details/9637791,MICHALIS H,Bulk Carrier,9637791
/vessels/details/9309459,MSC SILVANA VIII,Container Ship,9309459
/vessels/details/9294991,MSC MUMBAI VIII,Container Ship,9294991
/vessels/details/9447005,NAVIOS HAPPINESS,Bulk Carrier,9447005
/vessels/details/9518921,CAPE VENTURE,Bulk Carrier,9518921
/vessels/details/9518919,CAPE BREEZE,Bulk Carrier,9518919
/vessels/details/9966245,CAPT G,Bulk Carrier,9966245
/vessels/details/9402287,MOUNT TROODOS,Bulk Carrier,9402287
/vessels/details/9953573,CAPE SUN,Bulk Carrier,9953573
/vessels/details/9664873,NAVIOS JOY,Bulk Carrier,9664873
/vessels/details/9567972,STELIOS Y,Bulk Carrier,9567972
/vessels/details/9568005,MARIA,Bulk Carrier,9568005
/vessels/details/9675676,LAKE DESPINA,Bulk Carrier,9675676
/vessels/details/9467665,W TRADER,Bulk Carrier,9467665
/vessels/details/9557874,E TRADER,Bulk Carrier,9557874
/vessels/details/9568067,PEACE,Bulk Carrier,9568067
/vessels/details/9566978,ACHIEVEMENT,Bulk Carrier,9566978
/vessels/details/9566992,GENIUS,Bulk Carrier,9566992
/vessels/details/9566966,INTEGRITY,Bulk Carrier,9566966
/vessels/details/9453767,MARIA MARIA,Bulk Carrier,9453767
/vessels/details/9462512,EURYDICE D,Bulk Carrier,9462512
/vessels/details/9299630,CMA CGM NABUCCO,Container Ship,9299630
/vessels/details/9522673,AGHIA SOFIA,Bulk Carrier,9522673
/vessels/details/9302619,MSC UNITED VIII,Container Ship,9302619
/vessels/details/9285988,EUROPE,Container Ship,9285988
/vessels/details/9285990,AMERICA,Container Ship,9285990
/vessels/details/9321158,SUCCESSOR,Bulk Carrier,9321158
/vessels/details/9421843,LADYCHARM,Bulk Carrier,9421843
/vessels/details/9290880,CAPE MARY M,Bulk Carrier,9290880
/vessels/details/9277711,CAPE ISLAND,Bulk Carrier,9277711
/vessels/details/9401271,GFS GALAXY,Container Ship,9401271
/vessels/details/9247754,MARIA H,Container Ship,9247754
/vessels/details/9247742,MSC BOSPHORUS,Container Ship,9247742
/vessels/details/9247730,MSC APOLLO,Container Ship,9247730
/vessels/details/9262704,MSC AQUARIUS VII,Container Ship,9262704
/vessels/details/9247766,ATHENS GLORY,Container Ship,9247766
