url,name,type,imo
/vessels/details/9778844,MARSEILLE MAERSK,Container Ship,9778844
/vessels/details/9780445,MANCHESTER MAERSK,Container Ship,9780445
/vessels/details/9778791,MADRID MAERSK,Container Ship,9778791
/vessels/details/9780483,MAASTRICHT MAERSK,Container Ship,9780483
/vessels/details/9780471,MUMBAI MAERSK,Container Ship,9780471
/vessels/details/9778818,MOSCOW MAERSK,Container Ship,9778818
/vessels/details/9778806,MUNICH MAERSK,Container Ship,9778806
/vessels/details/9778820,MILAN MAERSK,Container Ship,9778820
/vessels/details/9780457,MURCIA MAERSK,Container Ship,9780457
/vessels/details/9778832,MONACO MAERSK,Container Ship,9778832
/vessels/details/9780469,MANILA MAERSK,Container Ship,9780469
/vessels/details/9619995,MAYVIEW MAERSK,Container Ship,9619995
/vessels/details/9632064,MERETE MAERSK,Container Ship,9632064
/vessels/details/9619969,MARIBO MAERSK,Container Ship,9619969
/vessels/details/9632179,MATHILDE MAERSK,Container Ship,9632179
/vessels/details/9619971,MARSTAL MAERSK,Container Ship,9619971
/vessels/details/9632155,METTE MAERSK,Container Ship,9632155
/vessels/details/9619933,MARIE MAERSK,Container Ship,9619933
/vessels/details/9619907,MAERSKMCKINNEYMOLLER,Container Ship,9619907
/vessels/details/9632131,MARGRETHE MAERSK,Container Ship,9632131
/vessels/details/9632090,MOGENS MAERSK,Container Ship,9632090
/vessels/details/9632167,MARIT MAERSK,Container Ship,9632167
/vessels/details/9619983,MATZ MAERSK,Container Ship,9619983
/vessels/details/9619957,MAGLEBY MAERSK,Container Ship,9619957
/vessels/details/9619921,MARY MAERSK,Container Ship,9619921
/vessels/details/9632117,MUNKEBO MAERSK,Container Ship,9632117
/vessels/details/9619945,MADISON MAERSK,Container Ship,9619945
/vessels/details/9632105,MORTEN MAERSK,Container Ship,9632105
/vessels/details/9619919,MAJESTIC MAERSK,Container Ship,9619919
/vessels/details/9632129,MAREN MAERSK,Container Ship,9632129
/vessels/details/9632143,MARCHEN MAERSK,Container Ship,9632143
/vessels/details/9984560,BERLIN MAERSK,Container Ship,9984560
/vessels/details/9984572,BEIJING MAERSK,Container Ship,9984572
/vessels/details/9984613,BARCELONA MAERSK-TR,Container Ship,9984613
/vessels/details/9961805,ALBERT MAERSK,Container Ship,9961805
/vessels/details/9948774,ALETTE MAERSK,Container Ship,9948774
/vessels/details/9961817,ALVA MAERSK,Container Ship,9961817
/vessels/details/9948798,ANGELICA MAERSK,Container Ship,9948798
/vessels/details/9948786,ALEXANDRA MAERSK,Container Ship,9948786
/vessels/details/9948750,ASTRID MAERSK,Container Ship,9948750
/vessels/details/9948748,ANE MAERSK,Container Ship,9948748
/vessels/details/9948815,ADRIAN MAERSK,Container Ship,9948815
/vessels/details/9961831,AXEL MAERSK,Container Ship,9961831
/vessels/details/9948762,ANTONIA MAERSK,Container Ship,9948762
/vessels/details/9948803,A.P. MOLLER,Container Ship,9948803
/vessels/details/9961829,ARTHUR MAERSK,Container Ship,9961829
/vessels/details/9458080,MAERSK EVORA,Container Ship,9458080
/vessels/details/9456771,MAERSK EINDHOVEN,Container Ship,9456771
/vessels/details/9456757,MAERSK EDINBURGH,Container Ship,9456757
/vessels/details/9456769,MAERSK EMDEN,Container Ship,9456769
/vessels/details/9456783,MAERSK ESSEN,Container Ship,9456783
/vessels/details/9458030,MAERSK EDMONTON,Container Ship,9458030
/vessels/details/9458092,MAERSK ESSEX,Container Ship,9458092
/vessels/details/9458078,MAERSK ELBA,Container Ship,9458078
/vessels/details/9622227,SAN LORENZO MAERSK,Container Ship,9622227
/vessels/details/9622239,SAN AUGUSTIN MAERSK,Container Ship,9622239
/vessels/details/9622215,SAN MARCO MAERSK,Container Ship,9622215
/vessels/details/9622241,SAN ANTONIO MAERSK,Container Ship,9622241
/vessels/details/9622203,SAN NICOLAS MAERSK,Container Ship,9622203
/vessels/details/9622253,SAN RAPHAEL MAERSK,Container Ship,9622253
/vessels/details/9906049,NORD ARGENTUM,Bulk Carrier,9906049
/vessels/details/9906037,NORD AURUM,Bulk Carrier,9906037
/vessels/details/9906025,NORD PALLADIUM,Bulk Carrier,9906025
/vessels/details/9302877,GUDRUN MAERSK,Container Ship,9302877
/vessels/details/9320233,GJERTRUD MAERSK,Container Ship,9320233
/vessels/details/9302889,GRETE MAERSK,Container Ship,9302889
/vessels/details/9320257,GEORG MAERSK,Container Ship,9320257
/vessels/details/9320245,GERD MAERSK,Container Ship,9320245
/vessels/details/9966233,NORD STEEL,Bulk Carrier,9966233
/vessels/details/9120865,SALLY MAERSK,Container Ship,9120865
/vessels/details/9166792,SKAGEN MAERSK,Container Ship,9166792
/vessels/details/9198575,CLIFFORD MAERSK,Container Ship,9198575
/vessels/details/9245744,CHARLOTTE MAERSK,Container Ship,9245744
/vessels/details/9245756,CORNELIA MAERSK,Container Ship,9245756
/vessels/details/9245770,CLEMENTINE MAERSK,Container Ship,9245770
/vessels/details/9245768,COLUMBINE MAERSK,Container Ship,9245768
/vessels/details/9527049,MAERSK LANCO,Container Ship,9527049
/vessels/details/9526966,MAERSK LEON,Container Ship,9526966
/vessels/details/9527037,MAERSK LONDRINA,Container Ship,9527037
/vessels/details/9526930,MAERSK LEBU,Container Ship,9526930
/vessels/details/9526887,MAERSK LIRQUEN,Container Ship,9526887
/vessels/details/9526928,MAERSK LAVRAS,Container Ship,9526928
/vessels/details/9526978,MAERSK LABERINTO,Container Ship,9526978
/vessels/details/9527051,MAERSK LAMANAI,Container Ship,9527051
/vessels/details/9526954,MAERSK LOTA,Container Ship,9526954
/vessels/details/9527025,MAERSK LINS,Container Ship,9527025
/vessels/details/9527063,MAERSK LABREA,Container Ship,9527063
/vessels/details/9526899,MAERSK LA PAZ,Container Ship,9526899
/vessels/details/9526875,MAERSK LIMA,Container Ship,9526875
/vessels/details/9526916,MAERSK LETICIA,Container Ship,9526916
/vessels/details/9526942,MAERSK LAGUNA,Container Ship,9526942
/vessels/details/9526904,MAERSK LUZ,Container Ship,9526904
/vessels/details/9430399,SANTA BARBARA,Container Ship,9430399
/vessels/details/9430387,SANTA URSULA,Container Ship,9430387
/vessels/details/9444845,SANTA INES,Container Ship,9444845
/vessels/details/9444742,SANTA CRUZ,Container Ship,9444742
/vessels/details/9444728,SANTA ISABEL,Container Ship,9444728
/vessels/details/9444716,SANTA CLARA,Container Ship,9444716
/vessels/details/9430375,SANTA TERESA,Container Ship,9430375
/vessels/details/9430363,SANTA ROSA,Container Ship,9430363
/vessels/details/9425382,SANTA RITA,Container Ship,9425382
