url,name,type,imo
/vessels/details/9399325,VILLA DE TAZACORTE,Ro-Ro Cargo Ship,9399325
/vessels/details/9250000,SUAR VIGO,Vehicles Carrier,9250000
/vessels/details/9268409,REINA YSABEL,Vehicles Carrier,9268409
/vessels/details/9249996,BOUZAS,Ro-Ro Cargo Ship,9249996
/vessels/details/9187318,LAUDACE,Ro-Ro Cargo Ship,9187318
/vessels/details/9207895,BAHIA CARGO,Ro-Ro Cargo Ship,9207895
/vessels/details/9207883,BENTAYGA CARGO,Ro-Ro Cargo Ship,9207883
/vessels/details/9160774,BRENAS CARGO,Ro-Ro Cargo Ship,9160774
/vessels/details/9443762,CRISTINA MASAVEU,Cement Carrier,9443762
/vessels/details/7725362,HATAY,Ro-Ro Cargo Ship,7725362
/vessels/details/8012267,ENCOFRADOR,Cement Carrier,8012267
/vessels/details/8817801,IZAR ARGIA,Refrigerated Cargo Ship,8817801
/vessels/details/9972921,ARTEAGA NM,General Cargo Ship,9972921
/vessels/details/9956513,KATUXA NM,General Cargo Ship,9956513
/vessels/details/9956501,MUNDAKA NM,General Cargo Ship,9956501
/vessels/details/9972919,GERNIKA NM,General Cargo Ship,9972919
/vessels/details/7812012,V CENTENARIO,Refrigerated Cargo Ship,7812012
/vessels/details/7516096,OFIUSA NOVA,Landing Craft,7516096
/vessels/details/6811140,AVELINA,General Cargo Ship,6811140
/vessels/details/7937771,SANTA EULALIA,General Cargo Ship,7937771
/vessels/details/7532155,REQUENA,General Cargo Ship,7532155
/vessels/details/224381540,AMADESAM OCHO,Cargo ship,224381540
/vessels/details/224313730,ARTABRIA,Cargo ship,224313730
/vessels/details/224088880,AS FIVE,Cargo ship,224088880
/vessels/details/225998934,AMADESAM 12,Cargo ship,225998934
/vessels/details/224243680,SATO ALGECIRAS,Cargo ship,224243680
/vessels/details/224133940,ZENIT CAT,Cargo ship,224133940
/vessels/details/225996725,YULI C,Cargo ship,225996725
/vessels/details/224388570,COBECHO PRIMERO,Cargo ship,224388570
/vessels/details/224094450,ISLA VERDE DOS,Cargo ship,224094450
/vessels/details/225998292,AMBAONE,Cargo ship,225998292
/vessels/details/224146880,CEUTAMAR CINCO,Cargo ship,224146880
/vessels/details/224229890,LIMPIAMAR ALGECIRAS,Cargo ship,224229890
/vessels/details/225654333,CANOA,Cargo ship,225654333
/vessels/details/225654666,REMOLCADOR DD3,Cargo ship,225654666
/vessels/details/225985074,BAHIA DE GETARES,Cargo ship,225985074
/vessels/details/224121630,AVELINA,Cargo ship,224121630
/vessels/details/224208630,MONTE NUEVO DOS,Cargo ship,224208630
/vessels/details/225987304,AS ONE,Cargo ship,225987304
/vessels/details/224503230,NADIR CAT,Cargo ship,224503230
/vessels/details/225977980,MARITIME UNO,Cargo ship,225977980
/vessels/details/224237000,AS TWO,Cargo ship,224237000
/vessels/details/225996174,AMADESAM ONCE,Cargo ship,225996174
/vessels/details/225654555,REMOLCADOR DD2,Cargo ship,225654555
/vessels/details/5399482,ZULOAGA,General Cargo Ship,5399482
/vessels/details/224220333,RGE567 E26,Cargo ship,224220333
/vessels/details/224169940,TUNACAT,Cargo ship,224169940
/vessels/details/224160280,DULCE SANTA MARIA,Cargo ship,224160280
/vessels/details/225985747,TUNACAT II,Cargo ship,225985747
/vessels/details/6911031,PESMAR UNO,Refrigerated Cargo Ship,6911031
/vessels/details/225094708,XINGLINHUO6488,Cargo ship,225094708
/vessels/details/7636834,ROCION,General Cargo Ship,7636834
/vessels/details/224220111,RGECOCA E26,Cargo ship,224220111
/vessels/details/5380596,VILLA DE ORIO,General Cargo Ship,5380596
/vessels/details/224290130,RAFAEL EL MILA,Cargo ship,224290130
/vessels/details/224120470,SIRAH,Cargo ship,224120470
/vessels/details/224226000,SAN FRANCISCO,Cargo ship,224226000
/vessels/details/225996897,MGS DIEZ,Cargo ship,225996897
/vessels/details/5068150,CHAPI,General Cargo Ship,5068150
/vessels/details/225982361,PANTHER,Cargo ship,225982361
/vessels/details/225989167,NOU FALCO,Cargo ship,225989167
/vessels/details/5028186,ATAN,General Cargo Ship,5028186
/vessels/details/5080902,COSTA ANTILLANA,General Cargo Ship,5080902
/vessels/details/5364334,TONA PAZ,General Cargo Ship,5364334
/vessels/details/7403615,AITENA,Aggregates Carrier,7403615
/vessels/details/9825568,RIAS BAIXAS KNUTSEN,LNG Tanker,9825568
/vessels/details/9721736,RIOJA KNUTSEN,LNG Tanker,9721736
/vessels/details/9721724,LA MANCHA KNUTSEN,LNG Tanker,9721724
/vessels/details/9414632,SEVILLA KNUTSEN,LNG Tanker,9414632
/vessels/details/9401295,BARCELONA KNUTSEN,LNG Tanker,9401295
/vessels/details/9434266,VALENCIA KNUTSEN,LNG Tanker,9434266
/vessels/details/9230048,SEAPEAK HISPANIA,LNG Tanker,9230048
/vessels/details/9247364,SEAPEAK GALICIA,LNG Tanker,9247364
/vessels/details/9246578,CADIZ KNUTSEN,LNG Tanker,9246578
/vessels/details/9259276,SEAPEAK MADRID,LNG Tanker,9259276
/vessels/details/9338797,SESTAO KNUTSEN,LNG Tanker,9338797
/vessels/details/9428671,BAHIA TRES,Oil Products Tanker,9428671
/vessels/details/9941166,BAHIA LEVANTE,Bunkering Tanker,9941166
/vessels/details/9918767,HAUGESUND KNUTSEN,Bunkering Tanker,9918767
/vessels/details/9824590,BUNKER BREEZE,Bunkering Tanker,9824590
/vessels/details/9377092,BUNKER BAY,Bunkering Tanker,9377092
/vessels/details/9259874,SPABUNKER VEINTIUNO,Bunkering Tanker,9259874
/vessels/details/9280378,SPABUNKER VEINTIDOS,Bunkering Tanker,9280378
/vessels/details/9416898,SPABUNKER 51,Bunkering Tanker,9416898
/vessels/details/9398955,SPABUNKER CINCUENTA,Bunkering Tanker,9398955
/vessels/details/9296638,SPABUNKER TREINTA,Bunkering Tanker,9296638
/vessels/details/9631905,BLUE VEGA,Oil Products Tanker,9631905
/vessels/details/9391177,GREENOIL,Oil Products Tanker,9391177
/vessels/details/9551399,MONTE ANAGA,Oil Products Tanker,9551399
/vessels/details/9416886,SPABUNKER CUARENTA,Bunkering Tanker,9416886
/vessels/details/9312274,BAHIA UNO,Oil Products Tanker,9312274
/vessels/details/9416874,SPABUNKER SESENTA,Bunkering Tanker,9416874
/vessels/details/9494981,OIZMENDI,Bunkering Tanker,9494981
/vessels/details/9810197,GREEN CADIZ,Bunkering Tanker,9810197
/vessels/details/9301172,PETROBAY,Oil Products Tanker,9301172
/vessels/details/8411750,URGOZO,Water Tanker,8411750
/vessels/details/6606155,SEEVE,Bunkering Tanker,6606155
/vessels/details/224182660,EL FARALLO UNO,Tanker,224182660
/vessels/details/224106960,ARRABASSADA,Tanker,224106960
/vessels/details/224214870,CISTERNA DOS,Tanker,224214870
/vessels/details/1059773,ROCKFISH,Bunkering Tanker,1059773
/vessels/details/9858668,ANTORA,Bunkering Tanker,9858668
