url,name,type,imo
/vessels/details/9856842,FINNECO II,Ro-Ro Cargo Ship,9856842
/vessels/details/9856830,FINNECO 1,Ro-Ro Cargo Ship,9856830
/vessels/details/9856854,FINNECO III,Ro-Ro Cargo Ship,9856854
/vessels/details/9468889,FINNBREEZE,Ro-Ro Cargo Ship,9468889
/vessels/details/9468891,FINNSEA,Ro-Ro Cargo Ship,9468891
/vessels/details/9468920,FINNTIDE,Ro-Ro Cargo Ship,9468920
/vessels/details/9468932,FINNWAVE,Ro-Ro Cargo Ship,9468932
/vessels/details/9212644,FINNPULP,Ro-Ro Cargo Ship,9212644
/vessels/details/9212656,FINNMILL,Ro-Ro Cargo Ship,9212656
/vessels/details/9186194,NORSTREAM,Ro-Ro Cargo Ship,9186194
/vessels/details/9186182,NORSKY,Ro-Ro Cargo Ship,9186182
/vessels/details/9797632,HAAGA,General Cargo Ship,9797632
/vessels/details/9797620,VIIKKI,General Cargo Ship,9797620
/vessels/details/9181077,ESTRADEN,Ro-Ro Cargo Ship,9181077
/vessels/details/9319064,KALLIO,General Cargo Ship,9319064
/vessels/details/9381706,ALPPILA,Bulk Carrier,9381706
/vessels/details/9225299,EIRA,General Cargo Ship,9225299
/vessels/details/9122007,BORE BAY,Ro-Ro Cargo Ship,9122007
/vessels/details/9183788,MISTRAL,Ro-Ro Cargo Ship,9183788
/vessels/details/9173692,TALI,General Cargo Ship,9173692
/vessels/details/9113018,PASILA,General Cargo Ship,9113018
/vessels/details/9129263,BALTIC BRIGHT,Ro-Ro Cargo Ship,9129263
/vessels/details/9892884,BORE WAY,Ro-Ro Cargo Ship,9892884
/vessels/details/9354337,AILA,Container Ship,9354337
/vessels/details/9354325,LINDA,Container Ship,9354325
/vessels/details/8911736,AURORA,Ro-Ro Cargo Ship,8911736
/vessels/details/8820858,TRANSPORTER,Ro-Ro Cargo Ship,8820858
/vessels/details/9957402,OLIVIA,General Cargo Ship,9957402
/vessels/details/9957397,LOVISA,General Cargo Ship,9957397
/vessels/details/9957414,SOFIA,General Cargo Ship,9957414
/vessels/details/7226952,FJARDVAGEN,Ro-Ro Cargo Ship,7226952
/vessels/details/9002647,MIMER,Ro-Ro Cargo Ship,9002647
/vessels/details/9002659,MIDAS,Ro-Ro Cargo Ship,9002659
/vessels/details/9126235,HJORDIS,General Cargo Ship,9126235
/vessels/details/9126223,LAURA,General Cargo Ship,9126223
/vessels/details/9126247,MARJATTA,General Cargo Ship,9126247
/vessels/details/9123570,ODDA MARIE,General Cargo Ship,9123570
/vessels/details/9341744,CARELIE,General Cargo Ship,9341744
/vessels/details/9769104,EEVA VG,General Cargo Ship,9769104
/vessels/details/9769116,MIRVA VG,General Cargo Ship,9769116
/vessels/details/9622502,MERI,Heavy Load Carrier,9622502
/vessels/details/9148128,EMILIE,General Cargo Ship,9148128
/vessels/details/9395276,AURA,Heavy Load Carrier,9395276
/vessels/details/9259068,NATHALIE,General Cargo Ship,9259068
/vessels/details/9195822,PRIMA KING,General Cargo Ship,9195822
/vessels/details/9195810,PRIMA VIKING,General Cargo Ship,9195810
/vessels/details/9179361,AAVA VG,General Cargo Ship,9179361
/vessels/details/9100138,BALTIC MADONNA,General Cargo Ship,9100138
/vessels/details/9163647,AURELIE,General Cargo Ship,9163647
/vessels/details/8609606,PRIMA DONNA,General Cargo Ship,8609606
/vessels/details/9086605,MARILIE,General Cargo Ship,9086605
/vessels/details/9195652,PRIMA LADY,General Cargo Ship,9195652
/vessels/details/9194282,PRIMA QUEEN,General Cargo Ship,9194282
