url,name,type,imo
/vessels/details/9839193,CMA CGM RIVOLI,Container Ship,9839193
/vessels/details/9839210,CMA CGM SORBONNE,Container Ship,9839210
/vessels/details/9839155,CMA CGM MONTMARTRE,Container Ship,9839155
/vessels/details/9839179,CMACGM JACQUES SAADE,Container Ship,9839179
/vessels/details/9839131,CC CHAMPS ELYSEES,Container Ship,9839131
/vessels/details/9839143,CMA CGM LOUVRE,Container Ship,9839143
/vessels/details/9839208,CMA CGM CONCORDE,Container Ship,9839208
/vessels/details/9839167,CMA CGM TROCADERO,Container Ship,9839167
/vessels/details/9839181,CMA CGM PALAIS ROYAL,Container Ship,9839181
/vessels/details/9938157,CMA CGM MAUI,Container Ship,9938157
/vessels/details/9938169,CMA CGM BIG SUR,Container Ship,9938169
/vessels/details/9894985,CMA CGM EVERGLADE,Container Ship,9894985
/vessels/details/9895006,CMA CGM GREENLAND,Container Ship,9895006
/vessels/details/9894973,CMA CGM KIMBERLEY,Container Ship,9894973
/vessels/details/9894997,CMA CGM GALAPAGOS,Container Ship,9894997
/vessels/details/9894961,CMA CGM PATAGONIA,Container Ship,9894961
/vessels/details/9977701,CMA CGM PETRA,Container Ship,9977701
/vessels/details/9977713,CMA CGM BAALBECK,Container Ship,9977713
/vessels/details/9966788,CMA CGM SAINTE ANNE,Container Ship,9966788
/vessels/details/9966752,CMA CGM FORT BOURBON,Container Ship,9966752
/vessels/details/9966776,CMA CGM FORT DIAMANT,Container Ship,9966776
/vessels/details/9966764,CMA CGM FORT JAMES,Container Ship,9966764
/vessels/details/9802504,MARIUS,Container Ship,9802504
/vessels/details/9845661,DOUCE FRANCE,Container Ship,9845661
/vessels/details/9845659,CMA CGM KOUROU,Container Ship,9845659
/vessels/details/9845673,CMA CGM SINNAMARY,Container Ship,9845673
/vessels/details/9709219,CMA CGM ST. LAURENT,Container Ship,9709219
/vessels/details/9642394,MN CALAO,Ro-Ro Cargo Ship,9642394
/vessels/details/9642409,MN TANGARA,Ro-Ro Cargo Ship,9642409
/vessels/details/9270842,VILLE DE BORDEAUX,Ro-Ro Cargo Ship,9270842
/vessels/details/1025540,DURANDE,Container Ship,1025540
/vessels/details/9985966,ECO PONENTE,Container Ship,9985966
