url,name,type,imo
/vessels/details/243042809,DYNAPZ006,Cargo ship,243042809
/vessels/details/243042487,TOKAJ 1.,Cargo ship,243042487
/vessels/details/243262000,PHOENIX 1,Cargo ship,243262000
/vessels/details/243070214,MAHARD 303,Cargo ship,243070214
/vessels/details/243042983,WALHALLA,Cargo ship,243042983
/vessels/details/243000079,JOHANNA,Cargo ship,243000079
/vessels/details/243071724,DELFIN 1,Cargo ship,243071724
/vessels/details/243042805,SOPHIA MARIA,Cargo ship,243042805
/vessels/details/243071806,ZSOMBOR,Cargo ship,243071806
/vessels/details/243070218,MAHARD 304,Cargo ship,243070218
/vessels/details/243071719,NELSON,Cargo ship,243071719
/vessels/details/243071115,KK 0213 Z,Cargo ship,243071115
/vessels/details/243042837,TOKAJ 4,Cargo ship,243042837
/vessels/details/243042957,MONI-M,Cargo ship,243042957
/vessels/details/243070806,WESSELENYI,Cargo ship,243070806
/vessels/details/243071426,JEGMADAR,Cargo ship,243071426
/vessels/details/243071317,PARTY ISTVAN,Cargo ship,243071317
/vessels/details/243042557,TOKAJ 3,Cargo ship,243042557
/vessels/details/243071722,MS ULM,Cargo ship,243071722
/vessels/details/243070301,MAHARD318,Cargo ship,243070301
/vessels/details/243042861,BOREAS,Cargo ship,243042861
/vessels/details/243042754,DUNA,Cargo ship,243042754
/vessels/details/243071102,MAHARD 302,Cargo ship,243071102
/vessels/details/243983824,PAZARA,Cargo ship,243983824
/vessels/details/243042508,CLARA,Tanker,243042508
/vessels/details/243042594,STAVO,Tanker,243042594
/vessels/details/243042695,AGNES,Tanker,243042695
/vessels/details/243042609,DUNATAXI,Passenger ship,243042609
/vessels/details/243070919,ISTER,Passenger ship,243070919
/vessels/details/243042666,CMB,Passenger ship,243042666
/vessels/details/243070621,HALASZBASTYA,Passenger ship,243070621
/vessels/details/243042850,NESZMELY,Passenger ship,243042850
/vessels/details/243042313,HABLEANY,Passenger ship,243042313
/vessels/details/243042570,KISFALUDY,Passenger ship,243042570
/vessels/details/243042561,SANTA ROZA,Passenger ship,243042561
/vessels/details/243071705,REVFULOP,Passenger ship,243071705
/vessels/details/243070419,DOMOS,Passenger ship,243070419
/vessels/details/243042394,LIGET,Passenger ship,243042394
/vessels/details/243042845,PHOENIX 1,Passenger ship,243042845
/vessels/details/243071723,GROF SZECHENYI,Passenger ship,243071723
/vessels/details/243070821,HUNYADI,Passenger ship,243070821
/vessels/details/243071725,DELFIN II.,Passenger ship,243071725
/vessels/details/243042441,BENTA,Passenger ship,243042441
/vessels/details/243071912,SZENT LASZLO,Passenger ship,243071912
/vessels/details/243042526,TALTOS,Passenger ship,243042526
/vessels/details/243072205,DUNA CORSO,Passenger ship,243072205
/vessels/details/243042414,ROHAM,Passenger ship,243042414
/vessels/details/243042737,JEGVIRAG III.,Passenger ship,243042737
/vessels/details/243042428,KLARA,Passenger ship,243042428
/vessels/details/243042505,PRESTIGE,Passenger ship,243042505
/vessels/details/243071206,TOLDI MIKLOS,Passenger ship,243071206
/vessels/details/243042933,SIX,Passenger ship,243042933
/vessels/details/243070204,BOGDANY,Passenger ship,243070204
/vessels/details/243070515,GYONGY,Passenger ship,243070515
/vessels/details/243070718,GYOR,Passenger ship,243070718
/vessels/details/243070326,SZENT KRISTOF,Passenger ship,243070326
/vessels/details/243070216,BUDAPEST,Passenger ship,243070216
/vessels/details/243070721,GONYU,Passenger ship,243070721
/vessels/details/243070619,SZENTENDRE 2.,Passenger ship,243070619
/vessels/details/243070417,SAILOR,Passenger ship,243070417
/vessels/details/243071712,RUBIN,Passenger ship,243071712
/vessels/details/243042442,TAPIO,Passenger ship,243042442
/vessels/details/243070103,LEGENDA,Passenger ship,243070103
/vessels/details/243071920,SZODLIGET,Passenger ship,243071920
/vessels/details/243070517,HUNGARIA,Passenger ship,243070517
/vessels/details/243071324,MATTHIAS REX,Passenger ship,243071324
/vessels/details/243042568,FORTUNA,Passenger ship,243042568
/vessels/details/243042879,RIVER PRINCESS,Passenger ship,243042879
/vessels/details/243042389,CSIKOVAR,Passenger ship,243042389
/vessels/details/243071211,SZOD,Passenger ship,243071211
/vessels/details/243071815,RAKOCZI,Passenger ship,243071815
/vessels/details/243070423,KEK DUNA,Passenger ship,243070423
/vessels/details/243070516,BUDAVAR,Passenger ship,243070516
/vessels/details/243042991,RENATE,Passenger ship,243042991
/vessels/details/243042249,HORANY II.,Passenger ship,243042249
/vessels/details/243042935,ZIN URU,Passenger ship,243042935
/vessels/details/243070519,ESZTERGOM,Passenger ship,243070519
/vessels/details/243070513,PEST-BUDA,Passenger ship,243070513
/vessels/details/243070418,DUNAFOLDVAR,Passenger ship,243070418
/vessels/details/243042690,MOHACS I.,Passenger ship,243042690
/vessels/details/243070108,VARKERT,Passenger ship,243070108
/vessels/details/243042437,SIRONA,Passenger ship,243042437
/vessels/details/243071419,NAGYMAROS,Passenger ship,243071419
/vessels/details/243042720,MARY,Passenger ship,243042720
/vessels/details/243042513,PRIMUS,Passenger ship,243042513
/vessels/details/243070522,LANCHID,Passenger ship,243070522
/vessels/details/243070514,VARHEGY,Passenger ship,243070514
/vessels/details/243042493,WIKING,Passenger ship,243042493
/vessels/details/243042880,DE VEERMAN,Passenger ship,243042880
/vessels/details/243070424,RAPSZODIA,Passenger ship,243070424
