url,name,type,imo
/vessels/details/9424247,H MANADO,Bulk Carrier,9424247
/vessels/details/9481647,SEA ROSE,Bulk Carrier,9481647
/vessels/details/9326380,MUNQIDZ,Bulk Carrier,9326380
/vessels/details/9414888,IMS BALI,Bulk Carrier,9414888
/vessels/details/9354105,HABCO ANKAA,Bulk Carrier,9354105
/vessels/details/9267625,HAMMADA,Bulk Carrier,9267625
/vessels/details/9457866,GOLDEN ROSE,Bulk Carrier,9457866
/vessels/details/9426013,IMS JAKARTA,Bulk Carrier,9426013
/vessels/details/9233478,AMANAH MOROWALI AMC,Bulk Carrier,9233478
/vessels/details/9200653,MANALAGI ASTA,Bulk Carrier,9200653
/vessels/details/9200665,MANALAGI ASTI,Bulk Carrier,9200665
/vessels/details/9217668,MANALAGI DASA,Bulk Carrier,9217668
/vessels/details/9448580,SINAR KOMODO,Bulk Carrier,9448580
/vessels/details/9448592,SINAR KUTA,Bulk Carrier,9448592
/vessels/details/9285160,MV.MUHASYIR,Bulk Carrier,9285160
/vessels/details/9890264,ZALEHA FITRAT,Bulk Carrier,9890264
/vessels/details/9172428,EMERALD INDAH,Bulk Carrier,9172428
/vessels/details/9172416,RUBY INDAH,Bulk Carrier,9172416
/vessels/details/9470399,KENCANA BARUNA,Bulk Carrier,9470399
/vessels/details/9642526,BULK BATAVIA,Bulk Carrier,9642526
/vessels/details/9310410,BULK HALMAHERA,Bulk Carrier,9310410
/vessels/details/9321914,PRIMA SPIRIT,Bulk Carrier,9321914
/vessels/details/9363455,MANALAGI PRITA,Bulk Carrier,9363455
/vessels/details/9465784,PRIMA ANDALAN I,Bulk Carrier,9465784
/vessels/details/9281449,KARTINI SAMUDRA,Bulk Carrier,9281449
/vessels/details/9304186,SINAR KINTAMANI,Bulk Carrier,9304186
/vessels/details/9304203,KARUNIA GEMILANG II,Bulk Carrier,9304203
/vessels/details/9286853,PEONY LAUT,Bulk Carrier,9286853
/vessels/details/9342803,BULK NUSANTARA,Bulk Carrier,9342803
/vessels/details/9570474,LUMOSO PRATAMA,Bulk Carrier,9570474
/vessels/details/9316892,LUMOSO DAMAI,Bulk Carrier,9316892
/vessels/details/9316880,CM LAURENCIA,Bulk Carrier,9316880
/vessels/details/9279525,PRIMA PIONEER,Bulk Carrier,9279525
/vessels/details/9269001,ANDHIKA ALISHA,Bulk Carrier,9269001
/vessels/details/9291107,KARTINI BARUNA,Bulk Carrier,9291107
/vessels/details/9214123,MARIA NASHWAH,Bulk Carrier,9214123
/vessels/details/9855927,JHONLIN 003,Bulk Carrier,9855927
/vessels/details/9826483,JHONLIN 002,Bulk Carrier,9826483
/vessels/details/9533440,JHONLIN 001,Bulk Carrier,9533440
/vessels/details/9611022,PANCARAN LIBERTY,Bulk Carrier,9611022
/vessels/details/9445693,XYS SATU,Bulk Carrier,9445693
/vessels/details/9504293,ALPHA SAMUDRA 1,Bulk Carrier,9504293
/vessels/details/9441879,PAN GLORY,Bulk Carrier,9441879
/vessels/details/9456331,HABCO LYRA,Bulk Carrier,9456331
/vessels/details/9456329,MAJESTIC LAKSONO,Bulk Carrier,9456329
/vessels/details/9492440,HABCO VELA,Bulk Carrier,9492440
/vessels/details/9554030,ANITA I,Bulk Carrier,9554030
/vessels/details/9408267,ZALECHA BARUNA,Bulk Carrier,9408267
/vessels/details/9429053,ROSLYN,Bulk Carrier,9429053
/vessels/details/9499618,MBS BULELENG,Bulk Carrier,9499618
/vessels/details/9500807,GRUAUD LAROSE,Bulk Carrier,9500807
/vessels/details/9500819,LASCOMBES,Bulk Carrier,9500819
/vessels/details/9456343,RIMAU PERKASA,Bulk Carrier,9456343
/vessels/details/9569944,HABCO SIRIUS,Bulk Carrier,9569944
/vessels/details/9456159,MANALAGI VIRA,Bulk Carrier,9456159
/vessels/details/9456173,CHLOE,Bulk Carrier,9456173
/vessels/details/9427902,MAKMUR SENTANI,Bulk Carrier,9427902
/vessels/details/9497866,HABCO CARINA,Bulk Carrier,9497866
/vessels/details/9463748,SKY FREE,Bulk Carrier,9463748
/vessels/details/9477684,HABCO AQUILA,Bulk Carrier,9477684
/vessels/details/9358852,MBS BEDUGUL,Bulk Carrier,9358852
/vessels/details/9423504,FEIZA,Bulk Carrier,9423504
/vessels/details/9423487,MUMTAZ,Bulk Carrier,9423487
/vessels/details/9403164,ARFIANIE AYU,Bulk Carrier,9403164
/vessels/details/9403152,AGP KARTINI III,Bulk Carrier,9403152
/vessels/details/9425758,AFKAR,Bulk Carrier,9425758
/vessels/details/9507776,MURSYID,Bulk Carrier,9507776
/vessels/details/9493937,MUBASYIR,Bulk Carrier,9493937
/vessels/details/9425801,NOAH GRACIA,Bulk Carrier,9425801
/vessels/details/9644512,MV SARAH S,General Cargo Ship,9644512
/vessels/details/9491367,BRAVO SAMUDRA,Bulk Carrier,9491367
/vessels/details/9514262,PATRIA NAWASENA 2,Bulk Carrier,9514262
/vessels/details/9514391,LUMOSO PROSPER,Bulk Carrier,9514391
/vessels/details/9478810,MCI VERONICA,Bulk Carrier,9478810
/vessels/details/9514327,PATRIA NAWASENA 3,Bulk Carrier,9514327
/vessels/details/9478561,NATASCHA,Bulk Carrier,9478561
/vessels/details/9360013,KAMADIYA,Bulk Carrier,9360013
/vessels/details/9397858,GOLDEN PERMAI,Bulk Carrier,9397858
/vessels/details/9330422,MANALAGI TARA,Bulk Carrier,9330422
/vessels/details/9478901,MUNIF,Bulk Carrier,9478901
/vessels/details/9277254,AMANAH HALMAHERA AMC,Bulk Carrier,9277254
/vessels/details/9488968,MAHARAJA NUSANTA S01,Bulk Carrier,9488968
/vessels/details/9488970,LATIFAH BARUNA,Bulk Carrier,9488970
/vessels/details/9345817,MV.PRIMA SEJAHTERA,Bulk Carrier,9345817
/vessels/details/9384904,MDM BROMO,Bulk Carrier,9384904
/vessels/details/9265512,SAMI,Bulk Carrier,9265512
/vessels/details/9300532,ANDHIKA SHAKILLA,Bulk Carrier,9300532
/vessels/details/9409089,NOAH SAFIRA,Bulk Carrier,9409089
/vessels/details/9300518,NUR AWLIYA,Bulk Carrier,9300518
/vessels/details/9329825,LUMOSO LESTARI,Bulk Carrier,9329825
/vessels/details/9479022,PATRIA NAWASENA 4,Bulk Carrier,9479022
/vessels/details/9329837,ABDUL HAMID,Bulk Carrier,9329837
/vessels/details/9324150,MV RAFA,Bulk Carrier,9324150
/vessels/details/9478925,LUMOSO KARUNIA VIII,Bulk Carrier,9478925
/vessels/details/9347920,MBS BALURAN,Bulk Carrier,9347920
/vessels/details/9397834,RASUNA BARUNA,Bulk Carrier,9397834
/vessels/details/9339478,LGH PROSPER,Bulk Carrier,9339478
/vessels/details/9397884,LUMOSO KARUNIA IX,Bulk Carrier,9397884
/vessels/details/9346055,LUMOSO BERKAT,Bulk Carrier,9346055
/vessels/details/9339466,PATRIA NAWASENA 1,Bulk Carrier,9339466
/vessels/details/9303077,AMAN SUKSES,Bulk Carrier,9303077
/vessels/details/9302839,MV MALAHAYATI BARUNA,Bulk Carrier,9302839
/vessels/details/9324083,GUNALEILA,Bulk Carrier,9324083
/vessels/details/9347906,MANALAGI WANDA,Bulk Carrier,9347906
/vessels/details/9387358,MBS BUYAN,Bulk Carrier,9387358
/vessels/details/9511820,MBS BRATAN,Bulk Carrier,9511820
/vessels/details/9321005,YUXIN SATU,Bulk Carrier,9321005
/vessels/details/9316816,ODETTE,Bulk Carrier,9316816
/vessels/details/9302798,DAIDAN PERTIWI,Bulk Carrier,9302798
/vessels/details/9407483,NOUR MUSHTOFA,Bulk Carrier,9407483
/vessels/details/9420289,LUMOSO LANCAR,Bulk Carrier,9420289
/vessels/details/9369980,MV INDRAWATI,Bulk Carrier,9369980
/vessels/details/9302827,PELITA MUTIKAWATI,Bulk Carrier,9302827
/vessels/details/9420291,QUEEN ALIYAH,Bulk Carrier,9420291
/vessels/details/9304095,DHARMA LAUTAN RUBY,Bulk Carrier,9304095
/vessels/details/9284491,DHARMA LAUTAN INTAN,Bulk Carrier,9284491
/vessels/details/9317494,MV.MUHARRIK,Bulk Carrier,9317494
/vessels/details/9317559,LUMOSO LANGGENG,Bulk Carrier,9317559
/vessels/details/9443803,LUMOSO KARUNIA II,Bulk Carrier,9443803
/vessels/details/9250139,MANALAGI TISYA,Bulk Carrier,9250139
/vessels/details/9335020,PANCARAN VICTORY,Bulk Carrier,9335020
/vessels/details/9382724,PANCARAN GLORY,Bulk Carrier,9382724
/vessels/details/9281724,AMANAH KENDARI AMC,Bulk Carrier,9281724
/vessels/details/9317080,MV PANCARAN I 5505,Bulk Carrier,9317080
/vessels/details/9317121,MANALAGI HITA,Bulk Carrier,9317121
/vessels/details/9339789,ALIYAH PERMATA,Bulk Carrier,9339789
/vessels/details/9254501,MANALAGI SAMBA,Bulk Carrier,9254501
/vessels/details/9405473,LUMOSO HAWARI,Bulk Carrier,9405473
/vessels/details/9480966,GOLDEN REJEKI,Bulk Carrier,9480966
