url,name,type,imo
/vessels/details/9649536,ARKLOW SPIRIT,Bulk Carrier,9649536
/vessels/details/9649548,ARKLOW SPRAY,Bulk Carrier,9649548
/vessels/details/9818931,ARKLOW WAVE,General Cargo Ship,9818931
/vessels/details/9818967,ARKLOW WOOD,General Cargo Ship,9818967
/vessels/details/9818955,ARKLOW WILLOW,General Cargo Ship,9818955
/vessels/details/9818943,ARKLOW WIND,General Cargo Ship,9818943
/vessels/details/9509475,ARKLOW MOOR,General Cargo Ship,9509475
/vessels/details/9509487,ARKLOW MUSE,General Cargo Ship,9509487
/vessels/details/9440265,ARKLOW MILL,General Cargo Ship,9440265
/vessels/details/9440253,ARKLOW MARSH,General Cargo Ship,9440253
/vessels/details/9440277,ARKLOW MEADOW,General Cargo Ship,9440277
/vessels/details/9440241,ARKLOW MANOR,General Cargo Ship,9440241
/vessels/details/9851957,ARKLOW ACE,General Cargo Ship,9851957
/vessels/details/9851969,ARKLOW ARCHER,General Cargo Ship,9851969
/vessels/details/9851983,ARKLOW ARTIST,General Cargo Ship,9851983
/vessels/details/9851933,ARKLOW ABBEY,General Cargo Ship,9851933
/vessels/details/9851945,ARKLOW ACCORD,General Cargo Ship,9851945
/vessels/details/9851971,ARKLOW ARROW,General Cargo Ship,9851971
/vessels/details/9923255,ARKLOW RESOLVE,General Cargo Ship,9923255
/vessels/details/9923231,ARKLOW RAMBLER,General Cargo Ship,9923231
/vessels/details/9923267,ARKLOW ROSE,General Cargo Ship,9923267
/vessels/details/9923217,ARKLOW RACER,General Cargo Ship,9923217
/vessels/details/9923229,ARKLOW RALLY,General Cargo Ship,9923229
/vessels/details/9923279,ARKLOW ROVER,General Cargo Ship,9923279
/vessels/details/9923243,ARKLOW RANGER,General Cargo Ship,9923243
/vessels/details/9757125,ARKLOW CLIFF,General Cargo Ship,9757125
/vessels/details/9757113,ARKLOW CLAN,General Cargo Ship,9757113
/vessels/details/9757096,ARKLOW CAPE,General Cargo Ship,9757096
/vessels/details/9771468,ARKLOW CREST,General Cargo Ship,9771468
/vessels/details/9757101,ARKLOW CASTLE,General Cargo Ship,9757101
/vessels/details/9757149,ARKLOW CLOUD,General Cargo Ship,9757149
/vessels/details/9344540,ARKLOW RAIDER,General Cargo Ship,9344540
/vessels/details/9344538,ARKLOW RAVEN,General Cargo Ship,9344538
/vessels/details/9757163,ARKLOW COVE,General Cargo Ship,9757163
/vessels/details/9757137,ARKLOW CLIPPER,General Cargo Ship,9757137
/vessels/details/9757151,ARKLOW COAST,General Cargo Ship,9757151
/vessels/details/9527661,ARKLOW FERN,General Cargo Ship,9527661
/vessels/details/9527685,ARKLOW FOREST,General Cargo Ship,9527685
/vessels/details/9527673,ARKLOW FIELD,General Cargo Ship,9527673
/vessels/details/9527659,ARKLOW FALCON,General Cargo Ship,9527659
/vessels/details/7931167,SAOIRSE NA MARA,Palletised Cargo Ship,7931167
/vessels/details/250000918,BLATH NA MARA,Cargo ship,250000918
/vessels/details/250005313,SAOIRSE NA MARA,Cargo ship,250005313
/vessels/details/250001815,YORKSHIRE LADY,Cargo ship,250001815
/vessels/details/250001763,MV CHATEAU THIERRY,Cargo ship,250001763
/vessels/details/8739310,YORKSHIRE LADY,Landing Craft,8739310
/vessels/details/9923293,BODEWES HOOGEZAND 829,General Cargo Ship,9923293
/vessels/details/8942216,BLATH NA MARA,General Cargo Ship,8942216
/vessels/details/250005309,MV RAASAY,Cargo ship,250005309
/vessels/details/7023881,LOCATOR,General Cargo Ship,7023881
/vessels/details/250001703,MV MADELEN,Cargo ship,250001703
/vessels/details/8982280,FASTNET GULL,Deck Cargo Ship,8982280
/vessels/details/250004103,LOCATOR,Cargo ship,250004103
/vessels/details/8650887,CHATEAU THIERRY,Landing Craft,8650887
/vessels/details/250010344,MISNEACH,Cargo ship,250010344
/vessels/details/9923281,BODEWES HOOGEZAND 828,General Cargo Ship,9923281
/vessels/details/9663867,P N4WERP,Edible Oil Tanker,9663867
/vessels/details/9880881,SAOIRSE NA FARRAIGE,Passenger Ship,9880881
/vessels/details/9200897,DRAIOCHT NA FARRAIGE,Passenger Ship,9200897
/vessels/details/1096276,CLIFFSOFMOHEREXPRESS,Passenger Ship,1096276
/vessels/details/8522391,GLOR NA FARRAIGE,Passenger Ship,8522391
/vessels/details/8650851,ISLAND DISCOVERY,Passenger Ship,8650851
/vessels/details/8034203,JAMES,Passenger/Landing Craft,8034203
/vessels/details/250006121,BARROW PRINCESS,Passenger ship,250006121
/vessels/details/250000076,DOLPHIN DISCOVERY,Passenger ship,250000076
/vessels/details/250325000,DUN AENGUS,Passenger ship,250325000
/vessels/details/250000592,EI 7078,Passenger ship,250000592
/vessels/details/250002087,MORVERN,Passenger ship,250002087
/vessels/details/250000994,ADAM PATRICIA,Passenger ship,250000994
/vessels/details/250216000,ST BRIDGET,Passenger ship,250216000
/vessels/details/250002254,SHANNON DOLPHIN,Passenger ship,250002254
/vessels/details/250014493,ARRANMORE BLU,Passenger ship,250014493
/vessels/details/250004782,FRAZER MARINER,Passenger ship,250004782
/vessels/details/250000111,QUEEN OF ARAN,Passenger ship,250000111
/vessels/details/250003872,FRAZER TINTERN,Passenger ship,250003872
/vessels/details/250001431,LADY BREDA,Passenger ship,250001431
/vessels/details/250000251,PV MAM AN ORAIGH,Passenger ship,250000251
/vessels/details/250001133,CAILIN OIR,Passenger ship,250001133
/vessels/details/250000615,STEREN AN MOR,Passenger ship,250000615
/vessels/details/250106850,KARYCRAFT,Passenger ship,250106850
/vessels/details/250182000,DUN AN OIR II,Passenger ship,250182000
/vessels/details/250107590,LISCANNOR STAR,Passenger ship,250107590
/vessels/details/250000366,VOYAGER,Passenger ship,250000366
/vessels/details/250001404,PV SUAIMHNEAS,Passenger ship,250001404
/vessels/details/250128400,NAOMH CIARAN II,Passenger ship,250128400
/vessels/details/250178000,CONNEMARA LADY,Passenger ship,250178000
/vessels/details/250117460,BRIAN BORU,Passenger ship,250117460
/vessels/details/250005943,ARAN ISLANDS EXPRESS,Passenger ship,250005943
/vessels/details/7319589,RHUM,Passenger ship,7319589
/vessels/details/250134440,CEOL NA FARRAIGE,Passenger ship,250134440
/vessels/details/250128460,CLEW BAY QUEEN,Passenger ship,250128460
/vessels/details/250004611,DOOLIN EXPRESS,Passenger ship,250004611
/vessels/details/250005343,ILEN,Passenger ship,250005343
/vessels/details/7800033,AISLING GABRIELLE,Passenger ship,7800033
/vessels/details/250000005,MV COLL,Passenger ship,250000005
/vessels/details/250297000,SHANNON BREEZE,Passenger ship,250297000
/vessels/details/250070000,BANRION NA FARRAIGE,Passenger ship,250070000
/vessels/details/250029000,TORMORE,Passenger ship,250029000
/vessels/details/250003039,GALWAY GIRL,Passenger ship,250003039
/vessels/details/250117440,CARRAIG MHOR,Passenger ship,250117440
/vessels/details/250125440,LADY LAURA,Passenger ship,250125440
/vessels/details/250005428,SPIKE ISLAND,Passenger ship,250005428
/vessels/details/250335000,PV DRAIOCHT,Passenger ship,250335000
/vessels/details/250000859,WHISPERING HOPE,Passenger ship,250000859
/vessels/details/250005899,CARRAIG AONAIR,Passenger ship,250005899
/vessels/details/250001051,SEA SPRINTER,Passenger ship,250001051
/vessels/details/250000708,SLIABH LIAG BOUNTY,Passenger ship,250000708
/vessels/details/250002786,NAOMI LEIGH,Passenger ship,250002786
/vessels/details/250005432,SKELLIG FALCON,Passenger ship,250005432
/vessels/details/8791966,DOOLIN EXPRESS,Passenger Ship,8791966
/vessels/details/250013977,CAILIN DEISE,Passenger ship,250013977
/vessels/details/250014043,BILLY GOAT,Passenger ship,250014043
/vessels/details/250005342,LIFFEY FERRY 11,Passenger ship,250005342
/vessels/details/250000194,BLASKET PRINCESS,Passenger ship,250000194
/vessels/details/250006631,BRYAN J,Passenger ship,250006631
/vessels/details/8407709,BANRION NA FARRAIGE,Passenger Ship,8407709
/vessels/details/250003839,KEA JOSH,Passenger ship,250003839
/vessels/details/250000951,AN BLASCOAD MOR,Passenger ship,250000951
/vessels/details/250014392,SKIPJACK,Passenger ship,250014392
/vessels/details/250014589,ISLAND EXPLORER,Passenger ship,250014589
/vessels/details/250000346,SPIRIT OF DOCKLANDS,Passenger ship,250000346
/vessels/details/8633671,JEANIE JOHNSTON,Passenger Ship,8633671
/vessels/details/250002172,MARY FRANCES,Passenger ship,250002172
/vessels/details/8346553,ISLAND ADVENTURE,Passenger Ship,8346553
/vessels/details/250014182,LADY CATHERINE,Passenger ship,250014182
/vessels/details/250103840,TRUE LIGHT,Passenger ship,250103840
/vessels/details/250006632,GLENBROOK,Passenger ship,250006632
/vessels/details/250003448,NORTH STAR,Passenger ship,250003448
/vessels/details/250006633,CARRIGALOE,Passenger ship,250006633
/vessels/details/250073000,PIRATE QUEEN,Passenger ship (HAZ-A),250073000
/vessels/details/250006646,PV LAIRD OF STAFFA,Passenger ship,250006646
/vessels/details/250005297,FRAZER STRANGFORD,Passenger ship,250005297
