url,name,type,imo
/vessels/details/9463308,JAG ANAND,Bulk Carrier,9463308
/vessels/details/9551727,JAG ALAIA,Bulk Carrier,9551727
/vessels/details/9425473,MAHA ANOSHA,Bulk Carrier,9425473
/vessels/details/9317389,JAL VAIBHAV,Bulk Carrier,9317389
/vessels/details/9525613,MAHA YAYA,Bulk Carrier,9525613
/vessels/details/9591181,MAHA TANAYA,Bulk Carrier,9591181
/vessels/details/9860556,JAL KAMADHENU,Bulk Carrier,9860556
/vessels/details/9603881,VISHVA JYOTI,Bulk Carrier,9603881
/vessels/details/9628910,AMNSI STALLION,Bulk Carrier,9628910
/vessels/details/9628893,AMNSI MAXIMUS,Bulk Carrier,9628893
/vessels/details/9590814,PRABHU SUMAT,Bulk Carrier,9590814
/vessels/details/9723849,JAG AJAY,Bulk Carrier,9723849
/vessels/details/9723851,JAG AMAR,Bulk Carrier,9723851
/vessels/details/9706566,JAG AALOK,Bulk Carrier,9706566
/vessels/details/9706554,JAG AKSHAY,Bulk Carrier,9706554
/vessels/details/9533505,VISHVA VIJAY,Bulk Carrier,9533505
/vessels/details/9533490,VISHVA PREETI,Bulk Carrier,9533490
/vessels/details/9515046,VISHVA ANAND,Bulk Carrier,9515046
/vessels/details/9533488,VISHVA VINAY,Bulk Carrier,9533488
/vessels/details/9478200,JAG AARATI,Bulk Carrier,9478200
/vessels/details/9478195,JAG ADITI,Bulk Carrier,9478195
/vessels/details/9418298,SCI CHENNAI,Container Ship,9418298
/vessels/details/9419539,SCI MUMBAI,Container Ship,9419539
/vessels/details/9711925,JAG AMAIRA,Bulk Carrier,9711925
/vessels/details/9361196,APJ PRIYA 2,Bulk Carrier,9361196
/vessels/details/9401477,APJ PRITI 2,Bulk Carrier,9401477
/vessels/details/9392420,CHOLA LEGACY,Bulk Carrier,9392420
/vessels/details/9705354,JAG ARNAV,Bulk Carrier,9705354
/vessels/details/9317511,APJ SETHU,Bulk Carrier,9317511
/vessels/details/9290696,RIPLEY PIONEER,Bulk Carrier,9290696
/vessels/details/9295206,VARADA,Container Ship,9295206
/vessels/details/9305635,SM NEYYAR,Container Ship,9305635
/vessels/details/9355484,MAHA AARTI,Bulk Carrier,9355484
/vessels/details/9291418,RIPLEY PINNACLE,Bulk Carrier,9291418
/vessels/details/9316036,APJ INDRANI,Bulk Carrier,9316036
/vessels/details/9330898,APJ JAOUAD,Bulk Carrier,9330898
/vessels/details/9311141,PRABHU SAKHAWAT,Bulk Carrier,9311141
/vessels/details/9244817,CHOLA TREASURE,Bulk Carrier,9244817
/vessels/details/9279795,PRABHU DAS,Bulk Carrier,9279795
/vessels/details/9224037,RIPLEY PROGRESS,Bulk Carrier,9224037
/vessels/details/9288411,APJ KABIR ANAND,Bulk Carrier,9288411
/vessels/details/9253832,RIPLEY PRIDE,Bulk Carrier,9253832
/vessels/details/9238806,SSL BRAHMAPUTRA,Container Ship,9238806
/vessels/details/9442990,JAL KUMUD,Bulk Carrier,9442990
/vessels/details/9302762,CHOLA SERENITY,Bulk Carrier,9302762
/vessels/details/9272967,APJ ANGAD 2,Bulk Carrier,9272967
/vessels/details/9238296,CHOLA MELODY,Bulk Carrier,9238296
/vessels/details/9279537,CHENNAI VALARCHI,Bulk Carrier,9279537
/vessels/details/9231004,MAHA ROOS,Bulk Carrier,9231004
/vessels/details/9185073,MAHA JACQUELINE,Bulk Carrier,9185073
/vessels/details/9185798,MARINE FORTUNE 1,Bulk Carrier,9185798
/vessels/details/9169495,MOGRAL,Container Ship,9169495
/vessels/details/9405033,CMA CGM DIAMOND,Container Ship,9405033
/vessels/details/9303742,SM MANALI,Container Ship,9303742
/vessels/details/9464766,VISHVA PRERNA,Bulk Carrier,9464766
/vessels/details/9487897,VISHVA EKTA,Bulk Carrier,9487897
/vessels/details/9487902,VISHVA VIKAS,Bulk Carrier,9487902
/vessels/details/9464742,MV VISHVA NIDHI,Bulk Carrier,9464742
/vessels/details/9482110,GANGA K,Bulk Carrier,9482110
/vessels/details/9621699,VISHVA VIJETA,Bulk Carrier,9621699
/vessels/details/9624017,VISHVA MALHAR,Bulk Carrier,9624017
/vessels/details/9399791,SSL GODAVARI,Container Ship,9399791
/vessels/details/9496135,JAG RADHA,Bulk Carrier,9496135
/vessels/details/9643166,JAG RAJIV,Bulk Carrier,9643166
/vessels/details/9291377,SOMNATH,Bulk Carrier,9291377
/vessels/details/9236511,SM MAHI,Container Ship,9236511
/vessels/details/9236042,SM KAVERI,Container Ship,9236042
/vessels/details/9239898,SSL KRISHNA,Container Ship,9239898
/vessels/details/9363429,SSL KAVERI,Container Ship,9363429
/vessels/details/9434917,CMA CGM MANAUS,Container Ship,9434917
/vessels/details/9434905,CMA CGM VITORIA,Container Ship,9434905
/vessels/details/9516698,TBC BADRINATH,Bulk Carrier,9516698
/vessels/details/9455399,TBC KAILASH,Bulk Carrier,9455399
/vessels/details/9408956,MAERSK VILNIUS,Container Ship,9408956
/vessels/details/9282273,TCI ANAND,Container Ship,9282273
/vessels/details/9561332,MARATHA PRESTIGE,Bulk Carrier,9561332
/vessels/details/9137533,SSL GUJARAT,Container Ship,9137533
/vessels/details/9137521,SSL VISAKHAPATNAM,Container Ship,9137521
/vessels/details/9138238,TCI EXPRESS,Container Ship,9138238
/vessels/details/9467897,DARYA SHAAN,Cement Carrier,9467897
/vessels/details/9521813,AMNS POLAR,Bulk Carrier,9521813
/vessels/details/9223899,SSL SABARIMALAI,General Cargo Ship,9223899
/vessels/details/9258234,TCI ARJUN,General Cargo Ship,9258234
/vessels/details/9350109,SJ LILY,General Cargo Ship,9350109
/vessels/details/9891062,JSW MANDANGAD,General Cargo Ship,9891062
/vessels/details/9899143,JSW FATEHGAD,General Cargo Ship,9899143
/vessels/details/9892315,JSW UDAIGAD,General Cargo Ship,9892315
/vessels/details/9892303,JSW VISHALGAD,General Cargo Ship,9892303
/vessels/details/9892339,JSW PRABALGAD,General Cargo Ship,9892339
/vessels/details/9797319,JSW RAIGAD,General Cargo Ship,9797319
/vessels/details/9797333,JSW LOHGAD,General Cargo Ship,9797333
/vessels/details/9797345,JSW SINHGAD,General Cargo Ship,9797345
/vessels/details/9486295,AMNS TUFMAX,Bulk Carrier,9486295
/vessels/details/9437634,ADINATH,Bulk Carrier,9437634
/vessels/details/9143817,TCI LAKSHMI,General Cargo Ship,9143817
/vessels/details/9823936,SANGHI SUDARSHAN,Bulk Carrier,9823936
/vessels/details/9541071,HALDI,General Cargo Ship,9541071
/vessels/details/9192648,ITT LEOPARD,General Cargo Ship,9192648
/vessels/details/9348364,ROYAL HUGLI,General Cargo Ship,9348364
/vessels/details/9059834,AMBUJA VAIBHAVA,Cement Carrier,9059834
/vessels/details/8653009,SHREEKRISHNA-X,General Cargo Ship,8653009
/vessels/details/9091935,ORCHID UNITED 1,General Cargo Ship,9091935
/vessels/details/9987859,SIDDHIVINAYAK - I,General Cargo Ship,9987859
/vessels/details/9958705,GAUTAM KAVYA,General Cargo Ship,9958705
