url,name,type,imo
/vessels/details/8857148,MARY,Deck Cargo Ship,8857148
/vessels/details/251856870,STEBBI GUNNARS,Cargo ship,251856870
/vessels/details/251256000,VALUR,Cargo ship,251256000
/vessels/details/251856840,FINN,Cargo ship,251856840
/vessels/details/251855870,HLIN,Cargo ship,251855870
/vessels/details/251858870,LILJA,Cargo ship,251858870
/vessels/details/251381110,SIF,Cargo ship,251381110
/vessels/details/251857240,GRIMSI,Cargo ship,251857240
/vessels/details/251856640,EIR,Cargo ship,251856640
/vessels/details/8658085,SELUR I,General Cargo Ship,8658085
/vessels/details/9849928,KEILIR,Oil Products Tanker,9849928
/vessels/details/7807330,ASSA,Oil Products Tanker,7807330
/vessels/details/251819740,VER,Tanker,251819740
/vessels/details/251180700,NERA,Tanker,251180700
/vessels/details/1588293,BARKUR,Tanker,1588293
/vessels/details/251707101,ONWASHENZHEN1,Tanker,251707101
/vessels/details/251731149,MINH ANH 181,Tanker,251731149
/vessels/details/9036088,HERJOLFUR III,Passenger/Ro-Ro Cargo Ship,9036088
/vessels/details/9825099,HERJOLFUR,Passenger/Ro-Ro Cargo Ship,9825099
/vessels/details/9035709,BALDUR,Passenger/Ro-Ro Cargo Ship,9035709
/vessels/details/9041277,SAEFARI,Passenger/General Cargo Ship,9041277
/vessels/details/7222231,ANDREA,Passenger Ship,7222231
/vessels/details/7112216,ELDEY,Passenger Ship,7112216
/vessels/details/9018804,LILJA,Passenger Ship,9018804
/vessels/details/9015175,ARCTIC CIRCLE,Passenger Ship,9015175
/vessels/details/8962826,SAGA,Passenger Ship,8962826
/vessels/details/7811240,SAILOR,Passenger Ship,7811240
/vessels/details/8110916,ARCTIC ROSE,Passenger Ship,8110916
/vessels/details/8028436,HAFSULAN,Passenger Ship,8028436
/vessels/details/8820250,HOLMASOL,Passenger Ship,8820250
/vessels/details/251443110,SKULASKEID RE,Passenger ship,251443110
/vessels/details/251735110,GUNNA BETA,Passenger ship,251735110
/vessels/details/251709110,GESTUR RE,Passenger ship,251709110
/vessels/details/251321110,HAPPASAELL,Passenger ship,251321110
/vessels/details/251445110,GUDRUN KRISTJANS,Passenger ship,251445110
/vessels/details/251218240,ORKIN,Passenger ship,251218240
/vessels/details/251733110,BJOSSI SOR,Passenger ship,251733110
/vessels/details/251523110,HALKION,Passenger ship,251523110
/vessels/details/251354110,SJOFN,Passenger ship,251354110
/vessels/details/251704110,KNOERRINN,Passenger ship,251704110
/vessels/details/251198110,REGINA DEL MAR,Passenger ship,251198110
/vessels/details/251701110,HAFSULAN,Passenger ship,251701110
/vessels/details/251732110,ELDING II,Passenger ship,251732110
/vessels/details/251006110,SAEVAR,Passenger ship,251006110
