url,name,type,imo
/vessels/details/9602784,GEMMA,Bulk Carrier,9602784
/vessels/details/9990193,GRANDE SHANGHAI,Vehicles Carrier,9990193
/vessels/details/9935038,GREAT TEMA,Container Ship,9935038
/vessels/details/9935052,GREAT CASABLANCA,Container Ship,9935052
/vessels/details/9935026,GREAT LAGOS,Container Ship,9935026
/vessels/details/9935064,GREAT COTONOU,Container Ship,9935064
/vessels/details/9935040,GREAT ABIDJAN,Container Ship,9935040
/vessels/details/9935014,GREAT ANTWERP,Container Ship,9935014
/vessels/details/9992660,GRANDE TIANJIN,Vehicles Carrier,9992660
/vessels/details/9672088,GRANDE LAGOS,Ro-Ro Cargo Ship,9672088
/vessels/details/9680712,GRANDE ABIDJAN,Ro-Ro Cargo Ship,9680712
/vessels/details/9672105,GRANDE COTONOU,Ro-Ro Cargo Ship,9672105
/vessels/details/9672090,GRANDE TEMA,Ro-Ro Cargo Ship,9672090
/vessels/details/9724738,GRANDE LUANDA,Ro-Ro Cargo Ship,9724738
/vessels/details/9680724,GRANDE DAKAR,Ro-Ro Cargo Ship,9680724
/vessels/details/9196993,ITAL UNIVERSO,Container Ship,9196993
/vessels/details/9196979,ITAL USODIMARE,Container Ship,9196979
/vessels/details/9196981,ITAL UNICA,Container Ship,9196981
/vessels/details/9985540,ECO NAPOLI,Ro-Ro Cargo Ship,9985540
/vessels/details/9859612,ECO ITALIA,Ro-Ro Cargo Ship,9859612
/vessels/details/9985538,ECO SALERNO,Ro-Ro Cargo Ship,9985538
/vessels/details/9859533,ECO VALENCIA,Ro-Ro Cargo Ship,9859533
/vessels/details/9859571,ECO CATANIA,Ro-Ro Cargo Ship,9859571
/vessels/details/9859595,ECO MEDITERRANEA,Ro-Ro Cargo Ship,9859595
/vessels/details/9859583,ECO MALTA,Ro-Ro Cargo Ship,9859583
/vessels/details/9859569,ECO SAVONA,Ro-Ro Cargo Ship,9859569
/vessels/details/9859557,ECO LIVORNO,Ro-Ro Cargo Ship,9859557
/vessels/details/9859545,ECO BARCELONA,Ro-Ro Cargo Ship,9859545
/vessels/details/9859600,ECO ADRIATICA,Ro-Ro Cargo Ship,9859600
/vessels/details/9782687,GRANDE MIRAFIORI,Vehicles Carrier,9782687
/vessels/details/9782675,GRANDE TORINO,Vehicles Carrier,9782675
/vessels/details/9782699,GRANDE HOUSTON,Vehicles Carrier,9782699
/vessels/details/9796377,GRANDE CALIFORNIA,Vehicles Carrier,9796377
/vessels/details/9782704,GRANDE NEW JERSEY,Vehicles Carrier,9782704
/vessels/details/9796365,GRANDE TEXAS,Vehicles Carrier,9796365
/vessels/details/9782716,GRANDE FLORIDA,Vehicles Carrier,9782716
/vessels/details/9320441,JOLLY VERDE,Container Ship,9320441
/vessels/details/9320427,JOLLY BIANCO,Container Ship,9320427
/vessels/details/9784037,GRANDE BALTIMORA,Vehicles Carrier,9784037
/vessels/details/9784049,GRANDE NEW YORK,Vehicles Carrier,9784049
/vessels/details/9784051,GRANDE HALIFAX,Vehicles Carrier,9784051
/vessels/details/9246607,GRANDE AMBURGO,Ro-Ro Cargo Ship,9246607
/vessels/details/9253208,GRANDE SAN PAOLO,Ro-Ro Cargo Ship,9253208
/vessels/details/9253210,GRANDE BUENOS AIRES,Ro-Ro Cargo Ship,9253210
/vessels/details/9246592,GRANDE FRANCIA,Ro-Ro Cargo Ship,9246592
/vessels/details/9246580,GRANDE NIGERIA,Ro-Ro Cargo Ship,9246580
/vessels/details/9220627,GRANDE ELLADE,Vehicles Carrier,9220627
/vessels/details/9220615,GRANDE SCANDINAVIA,Vehicles Carrier,9220615
/vessels/details/9138422,REPUBBLICADELBRASILE,Vehicles Carrier,9138422
/vessels/details/9138381,GRANDE EUROPA,Vehicles Carrier,9138381
/vessels/details/9138393,GRANDE MEDITERRANEO,Vehicles Carrier,9138393
/vessels/details/9143702,GRAN BRETAGNA,Vehicles Carrier,9143702
/vessels/details/9568598,MBA GIOVANNI,Bulk Carrier,9568598
/vessels/details/9591765,MBA ROSARIA,Bulk Carrier,9591765
/vessels/details/9467043,JOLLY ARGENTO,Container Ship,9467043
/vessels/details/9450313,JOLLY ORO,Container Ship,9450313
/vessels/details/9437933,GRANDE GABON,Ro-Ro Cargo Ship,9437933
/vessels/details/9437945,GRANDE SIERRA LEONE,Ro-Ro Cargo Ship,9437945
/vessels/details/9437921,GRANDE CONGO,Ro-Ro Cargo Ship,9437921
/vessels/details/9437919,GRANDE GUINEA,Ro-Ro Cargo Ship,9437919
/vessels/details/9437907,GRANDE MAROCCO,Ro-Ro Cargo Ship,9437907
/vessels/details/9465382,GRANDE COSTA DAVORI,Ro-Ro Cargo Ship,9465382
/vessels/details/9377470,GRANDE SENEGAL,Ro-Ro Cargo Ship,9377470
/vessels/details/9377482,GRANDE CAMEROON,Ro-Ro Cargo Ship,9377482
/vessels/details/9465370,GRANDE TOGO,Ro-Ro Cargo Ship,9465370
/vessels/details/9343170,GRANDE BENIN,Ro-Ro Cargo Ship,9343170
/vessels/details/9343168,GRANDE GHANA,Ro-Ro Cargo Ship,9343168
/vessels/details/9343156,GRANDE ANGOLA,Ro-Ro Cargo Ship,9343156
/vessels/details/9247936,GRANDE ROMA,Vehicles Carrier,9247936
/vessels/details/9247924,GRANDE NAPOLI,Vehicles Carrier,9247924
/vessels/details/9494084,MBA FUTURE,Bulk Carrier,9494084
/vessels/details/9484534,JOLLY ROSA,Container Ship,9484534
/vessels/details/9484522,JOLLY GIADA,Container Ship,9484522
/vessels/details/9444417,JOLLY CLIVIA,Container Ship,9444417
/vessels/details/9312092,GRANDE SICILIA,Vehicles Carrier,9312092
/vessels/details/9287417,GRANDE ANVERSA,Vehicles Carrier,9287417
/vessels/details/9318527,GRANDE COLONIA,Vehicles Carrier,9318527
/vessels/details/9293272,GRANDE DETROIT,Vehicles Carrier,9293272
/vessels/details/9227912,GRANDE ITALIA,Vehicles Carrier,9227912
/vessels/details/9245598,GRANDE PORTOGALLO,Vehicles Carrier,9245598
/vessels/details/9227924,GRANDE SPAGNA,Vehicles Carrier,9227924
/vessels/details/9227900,GRAND BENELUX,Vehicles Carrier,9227900
/vessels/details/9786970,ITAL BONNY,Container Ship,9786970
/vessels/details/9786994,ITAL BONUS,Container Ship,9786994
/vessels/details/9458951,EUROCARGO GENOVA,Ro-Ro Cargo Ship,9458951
/vessels/details/9465540,EUROCARGO ALEXANDRIA,Ro-Ro Cargo Ship,9465540
/vessels/details/9471068,EUROCARGO CAGLIARI,Ro-Ro Cargo Ship,9471068
/vessels/details/9465552,EUROCARGO VENEZIA,Ro-Ro Cargo Ship,9465552
/vessels/details/9465514,EUROCARGO MALTA,Ro-Ro Cargo Ship,9465514
/vessels/details/9471056,EUROCARGO RAVENNA,Ro-Ro Cargo Ship,9471056
/vessels/details/9465538,EUROCARGO PALERMO,Ro-Ro Cargo Ship,9465538
/vessels/details/9465526,EUROCARGO ROMA,Ro-Ro Cargo Ship,9465526
/vessels/details/9471082,EUROCARGO BARI,Ro-Ro Cargo Ship,9471082
/vessels/details/9471070,EUROCARGO LIVORNO,Ro-Ro Cargo Ship,9471070
/vessels/details/9950791,ITAL WIT,Container Ship,9950791
/vessels/details/9950789,ITAL WAY,Container Ship,9950789
/vessels/details/9799977,GRENDI STAR,Ro-Ro Cargo Ship,9799977
/vessels/details/9706592,ROSA DEI VENTI,Ro-Ro Cargo Ship,9706592
/vessels/details/9687306,GRENDI FUTURA,Ro-Ro Cargo Ship,9687306
/vessels/details/9904510,EVER COZY,Container Ship,9904510
/vessels/details/9556844,MATTEO BR,General Cargo Ship,9556844
/vessels/details/9164756,CALA PINO,Refrigerated Cargo Ship,9164756
/vessels/details/9164768,CALA PULA,Refrigerated Cargo Ship,9164768
/vessels/details/9164770,CALA PALMA,Refrigerated Cargo Ship,9164770
/vessels/details/9164782,CALA PEDRA,Refrigerated Cargo Ship,9164782
/vessels/details/9545948,HERMANA,General Cargo Ship,9545948
/vessels/details/9546447,MV HARTURA,General Cargo Ship,9546447
/vessels/details/9933456,MANISA AMELIA,General Cargo Ship,9933456
/vessels/details/9365518,SDS RED,General Cargo Ship,9365518
/vessels/details/9365506,CDRY WHITE,General Cargo Ship,9365506
/vessels/details/9523926,VICTORIA,General Cargo Ship,9523926
/vessels/details/9469302,CDRY BROWN,General Cargo Ship,9469302
/vessels/details/9406958,MARBELLA,General Cargo Ship,9406958
/vessels/details/9504645,MARMED,General Cargo Ship,9504645
/vessels/details/9432505,SIDER SONJA,General Cargo Ship,9432505
/vessels/details/9504633,CDRY BLACK,General Cargo Ship,9504633
/vessels/details/9610509,DAIANA,General Cargo Ship,9610509
/vessels/details/9504621,SDS GREEN,General Cargo Ship,9504621
/vessels/details/9306445,SEVEN AMARANTA,General Cargo Ship,9306445
/vessels/details/1035753,GOLIA,Deck Cargo Ship,1035753
/vessels/details/7732418,GUGLIELMO G.,General Cargo Ship,7732418
/vessels/details/5192626,GIORITA,General Cargo Ship,5192626
/vessels/details/9504231,ANTONIO PRIMO,Deck Cargo Ship,9504231
/vessels/details/8660959,NUOVO RUBICONE,Deck Cargo Ship,8660959
/vessels/details/6704799,FIUME,Cement Carrier,6704799
/vessels/details/8664917,BONITA,General Cargo Ship,8664917
/vessels/details/8424874,FIORAVANTE,General Cargo Ship,8424874
/vessels/details/8988222,COBRA,Deck Cargo Ship,8988222
/vessels/details/8836742,CONTE SAVOIA,General Cargo Ship,8836742
/vessels/details/9345166,AGN MARE,Ro-Ro Cargo Ship,9345166
/vessels/details/247298600,TANZANIA II,Cargo ship,247298600
/vessels/details/247225500,ITALO N,Cargo ship,247225500
/vessels/details/247140300,DARIOD,Cargo ship,247140300
/vessels/details/247357900,TOBIA C,Cargo ship,247357900
/vessels/details/247275500,FORTUNATO,Cargo ship,247275500
/vessels/details/247353900,ARDITO,Cargo ship,247353900
/vessels/details/8959518,ZEMELLO II,Deck Cargo Ship,8959518
/vessels/details/247231400,ICAM VI,Cargo ship,247231400
/vessels/details/5291654,LUANIR,General Cargo Ship,5291654
/vessels/details/6407470,SOTTOMARINA,General Cargo Ship,6407470
/vessels/details/1082897,MANISA MATILDE,General Cargo Ship,1082897
/vessels/details/247245100,NINO I,Cargo ship,247245100
/vessels/details/5407643,ORTENSIA,General Cargo Ship,5407643
/vessels/details/5067560,CESARE DAMICO,General Cargo Ship,5067560
/vessels/details/1092842,MANISA BELLE,General Cargo Ship,1092842
/vessels/details/247242900,SPARVIERO,Cargo ship,247242900
/vessels/details/247249379,MOI NGAY 1 NIEM VUI,Cargo ship,247249379
/vessels/details/247338300,NETTUNO,Cargo ship,247338300
/vessels/details/9992622,GRANDE SVEZIA,Vehicles Carrier,9992622
/vessels/details/5270210,PAOLO DAMICO,General Cargo Ship,5270210
/vessels/details/247100948,GRA,Cargo ship (HAZ-A),247100948
/vessels/details/5066920,FORMICA,General Cargo Ship,5066920
/vessels/details/247476900,C6337 SCHERGAT,Cargo ship,247476900
/vessels/details/5274151,PISOLO,Bulk Carrier,5274151
/vessels/details/247431500,TRITONE,Cargo ship,247431500
/vessels/details/247344644,GRANJE NIGERIA,Cargo ship,247344644
/vessels/details/1092830,MANISA AURORA,General Cargo Ship,1092830
/vessels/details/247416701,MANISA BIANCANEVE,Cargo ship,247416701
/vessels/details/9992684,GRANDE MELBOURNE,Vehicles Carrier,9992684
/vessels/details/5090830,EOLO RE,General Cargo Ship,5090830
/vessels/details/247330200,ITALIAN WARSHIP,Cargo ship,247330200
/vessels/details/8028058,PIGAFETTA,Deck Cargo Ship,8028058
/vessels/details/9992672,GRANDE AUCKLAND,Vehicles Carrier,9992672
/vessels/details/1092828,MANISA BIANCANEVE,General Cargo Ship,1092828
/vessels/details/247361200,GIANMARCO,Cargo ship,247361200
/vessels/details/247310496,GRANDE SIERRA LEONE,Cargo ship,247310496
/vessels/details/5415078,COLONNELLO ASSENSO,General Cargo Ship,5415078
/vessels/details/1097828,MANISA ARIEL,General Cargo Ship,1097828
/vessels/details/247342344,GRANNE NAPOLI,Cargo ship,247342344
/vessels/details/9446374,LIBERA,Crude Oil Tanker,9446374
/vessels/details/9457892,MARE SICULUM,Crude Oil Tanker,9457892
/vessels/details/9449405,MARE PICENUM,Crude Oil Tanker,9449405
/vessels/details/9151838,ALBA MARINA,FSO,9151838
/vessels/details/9419553,FOUR WIND,Oil Products Tanker,9419553
/vessels/details/9012692,LEONIS,FSO,9012692
/vessels/details/9379337,PS VANCOUVER,Oil Products Tanker,9379337
/vessels/details/9635755,VALLE LUNA,Chemical/Oil Products Tanker,9635755
/vessels/details/9635781,VALLE SOLE,Chemical/Oil Products Tanker,9635781
/vessels/details/9829459,PS SYDNEY,Chemical/Oil Products Tanker,9829459
/vessels/details/9541306,VALTURCHESE,Chemical/Oil Products Tanker,9541306
/vessels/details/9528380,VALLEBLU,Chemical/Oil Products Tanker,9528380
/vessels/details/9510462,PS ROMA,Chemical/Oil Products Tanker,9510462
/vessels/details/9416824,ELECTA,Chemical/Oil Products Tanker,9416824
/vessels/details/9378371,FANTASIA,Chemical/Oil Products Tanker,9378371
/vessels/details/9828156,PS SINGAPORE,Chemical/Oil Products Tanker,9828156
/vessels/details/9607643,ZEFIREA,Chemical/Oil Products Tanker,9607643
/vessels/details/9436692,LISCA NERA M,Chemical/Oil Products Tanker,9436692
/vessels/details/9436678,ICHESIA M,Chemical/Oil Products Tanker,9436678
/vessels/details/9436680,COSTANZA M,Chemical/Oil Products Tanker,9436680
/vessels/details/9351529,RINELLA M,Chemical/Oil Products Tanker,9351529
/vessels/details/9436707,ALLEGRA,Chemical/Oil Products Tanker,9436707
/vessels/details/9381500,FENICUSA M,Chemical/Oil Products Tanker,9381500
/vessels/details/9322944,METEORA,Chemical/Oil Products Tanker,9322944
/vessels/details/9374234,MAGNIFICA,Chemical/Oil Products Tanker,9374234
/vessels/details/9293961,FUTURA,Chemical/Oil Products Tanker,9293961
/vessels/details/9301885,MARIA M,Chemical/Oil Products Tanker,9301885
/vessels/details/9292280,MELORIA,Chemical/Oil Products Tanker,9292280
/vessels/details/9644433,LADY MARIELLA,Chemical/Oil Products Tanker,9644433
