url,name,type,imo
/vessels/details/9868326,HMM OSLO,Container Ship,9868326
/vessels/details/9868340,HMM SOUTHAMPTON,Container Ship,9868340
/vessels/details/9868364,HMM ST PETERSBURG,Container Ship,9868364
/vessels/details/9868338,HMM ROTTERDAM,Container Ship,9868338
/vessels/details/9868352,HMM STOCKHOLM,Container Ship,9868352
/vessels/details/9863297,HMM ALGECIRAS,Container Ship,9863297
/vessels/details/9863340,HMM HELSINKI,Container Ship,9863340
/vessels/details/9863314,HMM DUBLIN,Container Ship,9863314
/vessels/details/9863338,HMM HAMBURG,Container Ship,9863338
/vessels/details/9868314,HMM LE HAVRE,Container Ship,9868314
/vessels/details/9863302,HMM COPENHAGEN,Container Ship,9863302
/vessels/details/9863326,HMM GDANSK,Container Ship,9863326
/vessels/details/9869239,HMM HANUL,Container Ship,9869239
/vessels/details/9869174,HMM GAON,Container Ship,9869174
/vessels/details/9869162,HMM NURI,Container Ship,9869162
/vessels/details/9869186,HMM GARAM,Container Ship,9869186
/vessels/details/9869198,HMM MIR,Container Ship,9869198
/vessels/details/9869203,HMM HANBADA,Container Ship,9869203
/vessels/details/9869215,HMM RAON,Container Ship,9869215
/vessels/details/9869227,HMM DAON,Container Ship,9869227
/vessels/details/9637246,HMM DRIVE,Container Ship,9637246
/vessels/details/9637258,HMM VICTORY,Container Ship,9637258
/vessels/details/9637260,HMM PRIDE,Container Ship,9637260
/vessels/details/9637234,HMM HOPE,Container Ship,9637234
/vessels/details/9637222,HMM DREAM,Container Ship,9637222
/vessels/details/9742168,HMM PROMISE,Container Ship,9742168
/vessels/details/9742170,HMM BLESSING,Container Ship,9742170
/vessels/details/9713052,GLOBAL PIONEER,Bulk Carrier,9713052
/vessels/details/9748708,PAN DELIGHT,Bulk Carrier,9748708
/vessels/details/9589396,SM GUARDIAN,Bulk Carrier,9589396
/vessels/details/9590606,GLOVIS ADVANCE,Bulk Carrier,9590606
/vessels/details/9455959,MEREDITH VICTORY,Bulk Carrier,9455959
/vessels/details/9432804,ROSEMARY,Bulk Carrier,9432804
/vessels/details/9490911,HL SUCCESS,Bulk Carrier,9490911
/vessels/details/9539107,GLOBAL TALENT,Bulk Carrier,9539107
/vessels/details/9534640,GLOBAL TRUST,Bulk Carrier,9534640
/vessels/details/9490595,GLOBAL ENTERPRISE,Bulk Carrier,9490595
/vessels/details/9324502,WHITE ROSE,Bulk Carrier,9324502
/vessels/details/9304538,SJ ASIA,Bulk Carrier,9304538
/vessels/details/9722106,PAN KOMIPO,Bulk Carrier,9722106
/vessels/details/9708605,PAN TAEAN,Bulk Carrier,9708605
/vessels/details/9708590,PAN JINJU,Bulk Carrier,9708590
/vessels/details/9347437,KMTC COLOMBO,Container Ship,9347437
/vessels/details/9347449,KMTC MUNDRA,Container Ship,9347449
/vessels/details/9323510,HMM BANGKOK,Container Ship,9323510
/vessels/details/9323522,HMM JAKARTA,Container Ship,9323522
/vessels/details/9323508,HMM COLOMBO,Container Ship,9323508
/vessels/details/9312949,SM YANTIAN,Container Ship,9312949
/vessels/details/9312767,SM BUSAN,Container Ship,9312767
/vessels/details/9312755,SM LONG BEACH,Container Ship,9312755
/vessels/details/9347425,SM KWANGYANG,Container Ship,9347425
/vessels/details/9312937,SM NINGBO,Container Ship,9312937
