url,name,type,imo
/vessels/details/7924425,AL MESSILAH,Livestock Carrier,7924425
/vessels/details/9590931,AL KUWAIT,Livestock Carrier,9590931
/vessels/details/447351315,TRINH 95,Cargo ship,447351315
/vessels/details/4682985,GD - LCU - 6,Landing Craft,4682985
/vessels/details/9334117,WARBA,Landing Craft,9334117
/vessels/details/7512789,NASEEB NO. 18,General Cargo Ship,7512789
/vessels/details/447508000,447508J0EA B,Cargo ship,447508000
/vessels/details/4682870,GD - LCU - 2,Landing Craft,4682870
/vessels/details/7616432,NASEEB NO. 20,General Cargo Ship,7616432
/vessels/details/4682923,GD - LCU - 3,Landing Craft,4682923
/vessels/details/447393000,BIDAYAT ALKHAYRAT 1,Cargo ship,447393000
/vessels/details/4682820,HEISCO-5,Landing Craft,4682820
/vessels/details/4683032,GD - LCU - 7,Landing Craft,4683032
/vessels/details/7816422,CERIEF,Landing Craft,7816422
/vessels/details/447616000,447616000,Cargo ship,447616000
/vessels/details/4682959,GD - LCU - 4,Landing Craft,4682959
/vessels/details/447616058,447616000,Cargo ship,447616058
/vessels/details/447893339,39,Cargo ship,447893339
/vessels/details/9085273,AL TAHADDY,Landing Craft,9085273
/vessels/details/447553000,4475530000,Cargo ship,447553000
/vessels/details/5098234,AZZA,General Cargo Ship,5098234
/vessels/details/4719752,SAFAR,Landing Craft,4719752
/vessels/details/9085285,KCG SAMOUD,Landing Craft,9085285
/vessels/details/4719738,L 6402,Landing Craft,4719738
/vessels/details/7816410,HADIYA,Landing Craft,7816410
/vessels/details/4682818,GD - LCU - 1,Landing Craft,4682818
/vessels/details/447507974,447508000,Cargo ship,447507974
/vessels/details/447616008,447616000,Cargo ship,447616008
/vessels/details/9853486,AL SIDDEEQ,Crude Oil Tanker,9853486
/vessels/details/9653422,AL YARMOUK,Crude Oil Tanker,9653422
/vessels/details/9653410,AL DERWAZAH,Crude Oil Tanker,9653410
/vessels/details/9653408,AL FUNTAS,Crude Oil Tanker,9653408
/vessels/details/9653434,AL KOUT,Crude Oil Tanker,9653434
/vessels/details/9534793,AL SALMI,Crude Oil Tanker,9534793
/vessels/details/9534779,DAR SALWA,Crude Oil Tanker,9534779
/vessels/details/9534781,UMM AL AISH,Crude Oil Tanker,9534781
/vessels/details/9534808,AL RIQQA,Crude Oil Tanker,9534808
