url,name,type,imo
/vessels/details/9734563,CEYLON BREEZE,Bulk Carrier,9734563
/vessels/details/9734575,CEYLON PRINCESS,Bulk Carrier,9734575
/vessels/details/9325116,GRACE,Bulk Carrier,9325116
/vessels/details/8509399,TRINCO EXPRESS,Cement Carrier,8509399
/vessels/details/8100105,BAGAWAN,General Cargo Ship,8100105
/vessels/details/417065890,AL FATAH,Cargo ship,417065890
/vessels/details/417117230,AL AFRIDI,Cargo ship,417117230
/vessels/details/417817700,MASHALLAH,Cargo ship,417817700
/vessels/details/417222419,VAKRATUNDA,Cargo ship,417222419
/vessels/details/417016584,SAFINA AL HAJIPIR,Cargo ship,417016584
/vessels/details/417011410,AL BARI 11141,Cargo ship,417011410
/vessels/details/417011441,11441,Cargo ship,417011441
/vessels/details/417047786,KALANDAR,Cargo ship,417047786
/vessels/details/417020082,KANLI,Cargo ship,417020082
/vessels/details/417078872,AL SHAFINA,Cargo ship,417078872
/vessels/details/417099792,AL MEERA 99792,Cargo ship,417099792
/vessels/details/417092512,AL BUSARA,Cargo ship,417092512
/vessels/details/417991276,AL NOOR 1,Cargo ship,417991276
/vessels/details/417222427,JALGAMINI,Cargo ship,417222427
/vessels/details/417099990,BARI,Cargo ship,417099990
/vessels/details/417013423,AL ZAYN,Cargo ship,417013423
/vessels/details/417019690,AL MOKHTAR,Cargo ship,417019690
/vessels/details/417056736,TAIF,Cargo ship,417056736
/vessels/details/417209050,MSV NAFEA,Cargo ship,417209050
/vessels/details/9812597,MAHANUWARA,Cement Carrier,9812597
/vessels/details/417908500,AL QUDS,Cargo ship (HAZ-A),417908500
/vessels/details/417700046,AL SALAMTI,Cargo ship,417700046
/vessels/details/417105786,ALFAROOQ 105786,Cargo ship,417105786
/vessels/details/417031372,MOHMAD SHA,Cargo ship,417031372
/vessels/details/417010415,ALBARAKA 10415,Cargo ship,417010415
/vessels/details/417200571,AL HAMOOR,Cargo ship,417200571
/vessels/details/417345678,YUESHANYV55555888888,Cargo ship,417345678
/vessels/details/417009140,BARAKAH 9140,Cargo ship,417009140
/vessels/details/417640204,AL KHALEEL-3,Cargo ship,417640204
/vessels/details/8691635,EKDANT,General Cargo Ship,8691635
/vessels/details/417001991,COLOMBO,Cargo ship,417001991
/vessels/details/5362518,KOTA RUKUN,General Cargo Ship,5362518
/vessels/details/417099562,AL MIR 99562,Cargo ship,417099562
/vessels/details/417054540,BARI 2,Cargo ship,417054540
/vessels/details/417200171,HUD HUD 3,Cargo ship,417200171
/vessels/details/417951215,MSV MEDARI,Cargo ship,417951215
/vessels/details/417001343,REEMAT,Cargo ship,417001343
/vessels/details/417704120,YASAR,Cargo ship,417704120
/vessels/details/417078692,KGN 78692,Cargo ship,417078692
/vessels/details/417185971,LUCKY,Cargo ship,417185971
/vessels/details/9661089,SOMESHWAR,General Cargo Ship,9661089
/vessels/details/417186024,AL RIYAN,Cargo ship,417186024
/vessels/details/417127541,1275 DAMRU,Cargo ship,417127541
/vessels/details/417998885,DUBAI 1 988850,Cargo ship,417998885
/vessels/details/417777110,COLOMBO,Cargo ship,417777110
/vessels/details/417183692,MANSOR,Cargo ship,417183692
/vessels/details/417001342,REEMAT,Cargo ship,417001342
/vessels/details/417066656,BARI 3,Cargo ship,417066656
/vessels/details/417786520,SALVA2,Cargo ship,417786520
/vessels/details/417016592,FATEH ALKHAIR1 16592,Cargo ship,417016592
/vessels/details/417222423,SOMESHWAR,Cargo ship,417222423
/vessels/details/417231086,AL MAROOF 2,Cargo ship,417231086
/vessels/details/9768057,SEAPOL RUBY,General Cargo Ship,9768057
/vessels/details/417637577,TGKM,Cargo ship,417637577
/vessels/details/417091287,ALISALAM 7846,Cargo ship (HAZ-A),417091287
/vessels/details/417883786,AL HASHAMI,Cargo ship,417883786
/vessels/details/417091286,AL QASHRA-912863,Cargo ship,417091286
/vessels/details/8663391,SHREEJI SAGAR,General Cargo Ship,8663391
/vessels/details/417075139,AL ARAB,Cargo ship,417075139
/vessels/details/417171359,AL FATEH,Cargo ship,417171359
/vessels/details/417077110,COLOMBO,Cargo ship,417077110
/vessels/details/417011792,NUHNNAD,Cargo ship,417011792
/vessels/details/417000029,TEST 29,Cargo ship,417000029
/vessels/details/8691659,JAY LAKSHMI NARAYAN,General Cargo Ship,8691659
/vessels/details/417957500,AL MAYMOON 1,Cargo ship,417957500
/vessels/details/8657794,JALGAMINI,General Cargo Ship,8657794
/vessels/details/417824795,KHWAJAJI 24795,Cargo ship,417824795
/vessels/details/417000009,CE SHI TONG JI 016,Cargo ship,417000009
/vessels/details/417080811,MARZOOQ 80811,Cargo ship,417080811
/vessels/details/417700044,DARIYAPIR 2,Cargo ship,417700044
/vessels/details/417021667,AL TWAR,Cargo ship,417021667
/vessels/details/417713103,NOFAL 13103,Cargo ship,417713103
/vessels/details/417340892,AL HABIB,Cargo ship,417340892
/vessels/details/417099067,AL KIRMANI,Cargo ship,417099067
/vessels/details/417072313,MADADGAR HAJIPIR,Cargo ship,417072313
/vessels/details/417000069,TEST 69,Cargo ship,417000069
/vessels/details/417077755,GEMINI,Cargo ship,417077755
/vessels/details/417010143,KHADEEJA HANNATH,Cargo ship,417010143
/vessels/details/9148609,GAS SUCCESS,LPG Tanker,9148609
/vessels/details/9116228,GAS CHALLENGER,LPG Tanker,9116228
/vessels/details/9311268,HAWKS MAJESTY,Oil Products Tanker,9311268
/vessels/details/9172131,GAS COURAGE,LPG Tanker,9172131
/vessels/details/9809538,KUMANA,Bunkering Tanker,9809538
/vessels/details/9809526,YALA,Bunkering Tanker,9809526
/vessels/details/9254006,SEA DWELLER,Chemical/Oil Products Tanker,9254006
/vessels/details/9297709,HAWKS VICTORY,Chemical/Oil Products Tanker,9297709
/vessels/details/5180441,KALU OYA,Bunkering Tanker,5180441
/vessels/details/417222491,M T CEYLON STAR,Tanker,417222491
/vessels/details/8907498,HIGHSEA CHALLENGE,Water Tanker,8907498
/vessels/details/9140334,L.M.NILWALA,Oil Products Tanker,9140334
/vessels/details/8505238,L M MAHAWELI,Oil Products Tanker,8505238
/vessels/details/8923844,SOUTHERN STAR,Oil Products Tanker,8923844
/vessels/details/417064534,645 DILRUK 8,Tanker,417064534
/vessels/details/9058610,LANKA FREEDOM,Bunkering Tanker,9058610
/vessels/details/9021291,CEYLON STAR,Bunkering Tanker,9021291
/vessels/details/9004683,KANDY,Oil Products Tanker,9004683
/vessels/details/417105291,GLE 1052 MAX 1,Tanker,417105291
/vessels/details/417222310,HIGHSEA CHALLENGE,Tanker,417222310
/vessels/details/8817679,OCEAN TRINCO,Oil Products Tanker,8817679
/vessels/details/7821037,MADURU OYA,Oil Products Tanker,7821037
/vessels/details/8904135,MT OCEAN LANKA,Crude Oil Tanker,8904135
/vessels/details/8708933,HIGHSEA PASSAGE,Oil Products Tanker,8708933
/vessels/details/8810994,ALANKARA VII,Oil Products Tanker,8810994
/vessels/details/417001238,NONGTOON PKFB01238,Passenger ship,417001238
/vessels/details/417579534,1588,Passenger ship (HAZ-D),417579534
/vessels/details/9224594,LANKA DEVI,Passenger Ship,9224594
/vessels/details/8893295,JOHANNA,Passenger Ship,8893295
/vessels/details/9217527,CHANDRIKA,Passenger Ship,9217527
/vessels/details/417222489,PANAYIOTA,Passenger ship,417222489
/vessels/details/417222490,NICOLAS,Passenger ship,417222490
/vessels/details/417216231,IMULA 2162NBO,Fishing vessel,417216231
/vessels/details/417210241,IMULA 2102 MTR DJ,Fishing vessel,417210241
/vessels/details/417012432,IMULA 0124 CHW,Fishing vessel,417012432
/vessels/details/417094791,IMUL A 0947 GLE,Fishing vessel,417094791
/vessels/details/417085332,IMULA 0853 CHW,Fishing vessel,417085332
/vessels/details/417189841,IMULA 1898 MTR,Fishing vessel,417189841
/vessels/details/417001147,IMUL-A 0011 TLE,Fishing vessel,417001147
/vessels/details/417200141,IMULA 2001 MTR,Fishing vessel,417200141
/vessels/details/417088332,IMULA 0883 CHW,Fishing vessel,417088332
/vessels/details/417244191,IMUL-A 2441 GLE,Fishing vessel,417244191
/vessels/details/417006741,IMULA 0067 MTR,Fishing vessel,417006741
/vessels/details/417027191,IMULA 0271GLE SACHE2,Fishing vessel,417027191
/vessels/details/417088632,SHENURA 5 0886 CHW,Fishing vessel,417088632
/vessels/details/417121741,IMULA 1217 MTR,Fishing vessel,417121741
/vessels/details/417079034,IMULA 0790 KLT,Fishing vessel,417079034
/vessels/details/417039041,IMULA 0390 MTR,Fishing vessel,417039041
/vessels/details/417009526,IMULA 0095 TCO,Fishing vessel,417009526
/vessels/details/417026431,IMULA 0264 NBO,Fishing vessel,417026431
/vessels/details/417057741,SADARU PUTA,Fishing vessel,417057741
/vessels/details/417014341,IMULA 0143 MTR,Fishing vessel,417014341
/vessels/details/417011932,IMULA 0119 CHW,Fishing vessel,417011932
/vessels/details/417064734,IMULA 0647KLT,Fishing vessel,417064734
/vessels/details/417166741,IMULA 1667MTR,Fishing vessel,417166741
/vessels/details/417008926,IMULA 0089 TCO,Fishing vessel,417008926
/vessels/details/417133741,IMULA1337MTR,Fishing vessel,417133741
/vessels/details/417150541,IMULA 1505 MTR,Fishing vessel,417150541
/vessels/details/417113441,IMULA 1134 MTR,Fishing vessel,417113441
/vessels/details/417067591,IMULA 0675GLE,Fishing vessel,417067591
/vessels/details/417092631,IMULA 0926 CHW,Fishing vessel,417092631
/vessels/details/417096991,IMULA 0899 KLT,Fishing vessel,417096991
/vessels/details/417201341,IMULA 2013 MTR,Fishing vessel,417201341
/vessels/details/417058134,IMULA 0581 KLT,Fishing vessel,417058134
/vessels/details/417000231,IMULA 0002 NBO,Fishing vessel,417000231
/vessels/details/417017591,IMUL-A 0175 GLE,Fishing vessel,417017591
/vessels/details/417071191,IMULA 0711 GLE,Fishing vessel,417071191
/vessels/details/417065447,IMUL A 0654 TLE,Fishing vessel,417065447
/vessels/details/417205791,IMULA 2057GLE,Fishing vessel,417205791
/vessels/details/417266032,IMULA 2660CHW KAIROS,Fishing vessel,417266032
/vessels/details/417004191,SEHASHNA,Fishing vessel,417004191
/vessels/details/417120841,IMULA 1208 MTR,Fishing vessel,417120841
/vessels/details/417145441,IMULA 1454 MTR,Fishing vessel,417145441
/vessels/details/417016132,161 PTM -NALISHA 03,Fishing vessel,417016132
