url,name,type,imo
/vessels/details/9220861,CMA CGM SAHARA,Container Ship,9220861
/vessels/details/9141792,CIELO DI RABAT,Container Ship,9141792
/vessels/details/9330903,CASABLANCA A,Container Ship,9330903
/vessels/details/9330939,TANGER A,Container Ship,9330939
/vessels/details/9396696,CMA CGM NADOR,Container Ship,9396696
/vessels/details/9461594,CMA CGM DAKHLA,Container Ship,9461594
/vessels/details/9354349,X-PRESS SOUSSE,Container Ship,9354349
/vessels/details/4598940,ADDAKHLA,General Cargo Ship,4598940
/vessels/details/9620932,CATER 1,General Cargo Ship,9620932
/vessels/details/242455400,AL IRFANE,Cargo ship,242455400
/vessels/details/7000396,AOUSSERD,General Cargo Ship,7000396
/vessels/details/9148001,CSP 69,General Cargo Ship,9148001
/vessels/details/9933913,CHALLAH,Oil Products Tanker,9933913
/vessels/details/9518880,ARGAN,Chemical/Oil Products Tanker,9518880
/vessels/details/9310197,TINGIS,Chemical/Oil Products Tanker,9310197
/vessels/details/9462093,PS OUFELLA,Oil Products Tanker,9462093
/vessels/details/9799434,BALEA,Oil Products Tanker,9799434
/vessels/details/7803190,MOROCCO STAR,Passenger/Ro-Ro Cargo Ship,7803190
/vessels/details/9112777,TANGER EXPRESS,Passenger/Ro-Ro Cargo Ship,9112777
/vessels/details/7719430,MOROCCO SUN,Passenger/Ro-Ro Cargo Ship,7719430
/vessels/details/8412819,MARRAKECH,Passenger/Ro-Ro Cargo Ship,8412819
/vessels/details/9216169,DETROIT JET,Passenger/Ro-Ro Cargo Ship,9216169
/vessels/details/7048568,MALIKA,Passenger Ship,7048568
/vessels/details/7738046,SHEHERAZADE,Passenger Ship,7738046
/vessels/details/9116058,ALLOTF-4,Fishing Vessel,9116058
/vessels/details/7931076,ZANDER2,Fishing Vessel,7931076
/vessels/details/7712731,SENIOR,Fishing Vessel,7712731
/vessels/details/8616142,MEYA,Fishing Vessel,8616142
/vessels/details/9867061,ALHASSAN ALMARRAKCHI,Fishing Support Vessel,9867061
/vessels/details/8701909,ERIKA,Fishing Vessel,8701909
/vessels/details/7726691,MAYOR,Fishing Vessel,7726691
/vessels/details/9133898,ADDAHBI,Fishing Vessel,9133898
/vessels/details/9131981,FELUCCA,Fishing Vessel,9131981
/vessels/details/8612794,CETUS,Fishing Vessel,8612794
/vessels/details/7713008,VIKINGBANK,Fishing Vessel,7713008
/vessels/details/6713996,NORDIC,Fishing Vessel,6713996
/vessels/details/6620084,AL WAFAE,Fishing Vessel,6620084
/vessels/details/7719923,ASSAADI,Fishing Vessel,7719923
/vessels/details/9866304,MIR,Fishing Vessel,9866304
/vessels/details/7713010,BULAND,Fishing Vessel,7713010
/vessels/details/9256822,OCEAN VENTURE,Fishing Vessel,9256822
/vessels/details/7393705,MANSOUR DAKHLA,Fishing Vessel,7393705
/vessels/details/9227431,POLAR-1,Fishing Vessel,9227431
/vessels/details/7905182,SAAD ALLAH,Fishing Vessel,7905182
/vessels/details/7911026,ALLOTF 3,Fishing Vessel,7911026
/vessels/details/9222041,SUNNANLAND,Fishing Vessel,9222041
/vessels/details/9089384,ANNOUR-1,Fish Carrier,9089384
/vessels/details/9743538,KHIR ALLAH-1,Fishing Vessel,9743538
/vessels/details/9163180,MIST,Fishing Vessel,9163180
/vessels/details/8820274,POLAR,Fishing Vessel,8820274
/vessels/details/9163037,ASTRID,Fishing Vessel,9163037
/vessels/details/7825605,QUANT,Fishing Vessel,7825605
/vessels/details/8415897,ALESHKA,Fishing Vessel,8415897
/vessels/details/7825538,ALLOTF-1,Fishing Vessel,7825538
/vessels/details/8984939,MEDIOUNA,Fishing Vessel,8984939
/vessels/details/7647479,KARELIA,Fishing Vessel,7647479
/vessels/details/9015058,LE VIZIR,Fishing Vessel,9015058
/vessels/details/8817942,DAFIR I,Fishing Vessel,8817942
/vessels/details/8318439,IBNO AL KHATTIB,Fishing Vessel,8318439
/vessels/details/8516706,CHARIF AL IDRISSI,Fishing Support Vessel,8516706
/vessels/details/9312016,PESCABONA SEIS,Fishing Vessel,9312016
/vessels/details/9098646,TUNA BOAD AZROU-1,Fishing Vessel,9098646
/vessels/details/8804634,ASSAFAR,Fishing Vessel,8804634
/vessels/details/9313345,BAHIA III,Fishing Vessel,9313345
/vessels/details/9313357,SAFI IV,Fishing Vessel,9313357
/vessels/details/9243344,ANZAR -1,Fishing Vessel,9243344
/vessels/details/9233014,FARO,Fishing Vessel,9233014
/vessels/details/9242510,AMIR MOULAY ABDALLAH,Fishing Support Vessel,9242510
/vessels/details/9276054,MASSIRA 6,Fishing Vessel,9276054
/vessels/details/9311969,PESCABONA UNO,Fishing Vessel,9311969
/vessels/details/9276121,SAN JORGE R,Fishing Vessel,9276121
/vessels/details/9869033,ANZAR2,Fishing Vessel,9869033
/vessels/details/9212943,MIMOUNA-1,Fishing Vessel,9212943
/vessels/details/9338436,MARANDA OCTAVO,Fishing Vessel,9338436
/vessels/details/9813890,MASINE,Fishing Vessel,9813890
/vessels/details/7327897,TAZIA 7,Fishing Vessel,7327897
/vessels/details/9311983,PESCABONA TRES,Fishing Vessel,9311983
/vessels/details/9312004,PESCABONA CINCO,Fishing Vessel,9312004
/vessels/details/9103283,FOCA,Fishing Vessel,9103283
/vessels/details/9107980,RIOMAU,Fishing Vessel,9107980
/vessels/details/9193367,TRAVESIA,Fishing Vessel,9193367
/vessels/details/1026702,IBN SINA II,Fishing Support Vessel,1026702
/vessels/details/9064592,SEVILLA UNO,Fishing Vessel,9064592
/vessels/details/9348778,MARANDA TERCERO,Fishing Vessel,9348778
/vessels/details/9348766,MARANDA SEGUNDO,Fishing Vessel,9348766
/vessels/details/9311995,PESCABONA4,Fishing Vessel,9311995
/vessels/details/8828305,TALA-15,Fishing Vessel,8828305
/vessels/details/242589300,LONNOY,Fishing vessel,242589300
/vessels/details/242261400,AZHAR-6,Fishing vessel,242261400
/vessels/details/242909000,MANUEL DAMIAN,Fishing vessel,242909000
/vessels/details/242027890,BOLAQUENTO,Fishing vessel,242027890
/vessels/details/242908000,CHARKY,Fishing vessel,242908000
/vessels/details/242131100,INDALO SEGUNDO,Fishing vessel,242131100
/vessels/details/242130100,ABDERA-2,Fishing vessel,242130100
/vessels/details/9290725,DADES,Fishing Vessel,9290725
/vessels/details/8816651,BNOU NOUSSAIR,Fishing Vessel,8816651
/vessels/details/7386128,KARIMA,Fishing Vessel,7386128
/vessels/details/8710493,HMAM,Fishing Vessel,8710493
/vessels/details/8609448,AL HOUSSINE 3,Fishing Vessel,8609448
/vessels/details/8616893,DERRAMAN 3,Fishing Vessel,8616893
/vessels/details/5027601,HICHAM,Fishing Vessel,5027601
/vessels/details/8001086,MOHAMEDIA,Fishing Vessel,8001086
/vessels/details/9101895,LARACHE,Fishing Vessel,9101895
/vessels/details/7007746,AGADIR 3,Fishing Vessel,7007746
/vessels/details/8600662,ANASR,Fishing Vessel,8600662
/vessels/details/7635880,HITAA,Fishing Vessel,7635880
/vessels/details/8206521,AGHBALOU,Fishing Vessel,8206521
/vessels/details/8224925,AOLETIS I,Fishing Vessel,8224925
/vessels/details/8328642,TALA 2,Fishing Vessel,8328642
/vessels/details/9008873,AOUZIRIFT 3,Fishing Vessel,9008873
/vessels/details/8921951,DIA UNO,Fishing Vessel,8921951
/vessels/details/8224781,AL MOWAFAK,Fishing Vessel,8224781
