url,name,type,imo
/vessels/details/9776418,CMA CGM ST EXUPERY,Container Ship,9776418
/vessels/details/9776420,CMA CGM JEAN MERMOZ,Container Ship,9776420
/vessels/details/9776432,CMACGM LOUIS BLERIOT,Container Ship,9776432
/vessels/details/9706906,CMA CGM ZHENG HE,Container Ship,9706906
/vessels/details/9706891,CMA CGM B FRANKLIN,Container Ship,9706891
/vessels/details/9706889,CMACGM VASCO DE GAMA,Container Ship,9706889
/vessels/details/9702132,CMA CGM KERGUELEN,Container Ship,9702132
/vessels/details/9702144,CMACGM GEORG FORSTER,Container Ship,9702144
/vessels/details/9702156,CMACGM BOUGAINVILLE,Container Ship,9702156
/vessels/details/9454448,CMA CGM VON HUMBOLDT,Container Ship,9454448
/vessels/details/9454450,CMA CGM JULES VERNE,Container Ship,9454450
/vessels/details/9996989,JIANGNANZAOCHUAN2791,Container Ship,9996989
/vessels/details/9882504,CMA CGM OSIRIS,Container Ship,9882504
/vessels/details/9882516,CMA CGM APOLLON,Container Ship,9882516
/vessels/details/9882499,CMA CGM HERMES,Container Ship,9882499
/vessels/details/9882487,CMA CGM ZEPHYR,Container Ship,9882487
/vessels/details/9882528,CMA CGM ADONIS,Container Ship,9882528
/vessels/details/9938121,CMA CGM CEDRUS,Container Ship,9938121
/vessels/details/9938133,CMA CGM CAPE COD,Container Ship,9938133
/vessels/details/9938145,CMA CGM GRACE BAY,Container Ship,9938145
/vessels/details/9632040,APL SENTOSA,Container Ship,9632040
/vessels/details/9453559,CMA CGM C COLOMB,Container Ship,9453559
/vessels/details/9454395,CMA CGM AMERIGO VESP,Container Ship,9454395
/vessels/details/9454412,CMA CGM LAPEROUSE,Container Ship,9454412
/vessels/details/9454400,CMA CGM CORTE REAL,Container Ship,9454400
/vessels/details/9454424,CMA CGM MAGELLAN,Container Ship,9454424
/vessels/details/9859131,CMA CGM IGUACU,Container Ship,9859131
/vessels/details/9867839,CMA CGM SYMI,Container Ship,9867839
/vessels/details/9859117,CMA CGM TENERE,Container Ship,9859117
/vessels/details/9867827,CMA CGM BALI,Container Ship,9867827
/vessels/details/9859129,CMA CGM SCANDOLA,Container Ship,9859129
/vessels/details/9867841,CMA CGM ARCTIC,Container Ship,9867841
/vessels/details/9897793,CMA CGM LIBERTY,Container Ship,9897793
/vessels/details/9897781,CMA CGM INTEGRITY,Container Ship,9897781
/vessels/details/9897767,CMA CGM UNITY,Container Ship,9897767
/vessels/details/9897755,CMA CGM HOPE,Container Ship,9897755
/vessels/details/9897779,CMA CGM DIGNITY,Container Ship,9897779
/vessels/details/9924429,CMA CGM PRIDE,Container Ship,9924429
/vessels/details/9860245,CMA CGM BRAZIL,Container Ship,9860245
/vessels/details/9839909,CMA CGM ARGENTINA,Container Ship,9839909
/vessels/details/9839923,CMA CGM PANAMA,Container Ship,9839923
/vessels/details/9728930,TALOS,Container Ship,9728930
/vessels/details/9728928,TITAN,Container Ship,9728928
/vessels/details/9728954,THESEUS,Container Ship,9728954
/vessels/details/9728942,TAURUS,Container Ship,9728942
/vessels/details/9728916,TRITON,Container Ship,9728916
/vessels/details/9484479,MSC TRIESTE,Container Ship,9484479
/vessels/details/9780873,CMA CGM T.ROOSEVELT,Container Ship,9780873
/vessels/details/9780861,CMA CGM T.JEFFERSON,Container Ship,9780861
/vessels/details/9780897,CMA CGM J.MADISON,Container Ship,9780897
/vessels/details/9780859,CMA CGM A. LINCOLN,Container Ship,9780859
/vessels/details/9780885,CMA CGM J. ADAMS,Container Ship,9780885
/vessels/details/9780847,CMA CGM G.WASHINGTON,Container Ship,9780847
/vessels/details/9469572,CMA CGM ALASKA,Container Ship,9469572
/vessels/details/9471408,CMA CGM NEVADA,Container Ship,9471408
/vessels/details/9410741,CMA CGM AQUILA,Container Ship,9410741
/vessels/details/9410753,CMA CGM CALLISTO,Container Ship,9410753
/vessels/details/9410727,CMA CGM ANDROMEDA,Container Ship,9410727
/vessels/details/9399208,CMA CGM LEO,Container Ship,9399208
/vessels/details/9410765,CMA CGM CASSIOPEIA,Container Ship,9410765
/vessels/details/9399210,CMA CGM PEGASUS,Container Ship,9399210
/vessels/details/9410789,CMA CGM COLUMBA,Container Ship,9410789
/vessels/details/9399193,CMA CGM LIBRA,Container Ship,9399193
/vessels/details/9410791,CMA CGM GEMINI,Container Ship,9410791
/vessels/details/9410806,CMA CGM LYRA,Container Ship,9410806
/vessels/details/9399222,CMA CGM TITAN,Container Ship,9399222
/vessels/details/9410777,CMA CGM CENTAURUS,Container Ship,9410777
/vessels/details/9938298,CMA CGM AMAZONIA,Container Ship,9938298
/vessels/details/9938262,CMA CGM PARATY,Container Ship,9938262
/vessels/details/9938250,CMA CGM BUZIOS,Container Ship,9938250
/vessels/details/9938248,CMA CGM BAHIA,Container Ship,9938248
/vessels/details/9938286,CMA CGM BELEM,Container Ship,9938286
/vessels/details/9938274,CMA CGM SAO PAULO,Container Ship,9938274
/vessels/details/9356294,CMA CGM THALASSA,Container Ship,9356294
/vessels/details/9354923,CMA CGM VELA,Container Ship,9354923
/vessels/details/9996692,CMA CGM ARGON,Container Ship,9996692
/vessels/details/9996678,CMA CGM IRON,Container Ship,9996678
/vessels/details/9996719,CMA CGM MERCURY,Container Ship,9996719
/vessels/details/9996707,CMA CGM PLATINUM,Container Ship,9996707
/vessels/details/9996680,CMA CGM COBALT,Container Ship,9996680
/vessels/details/9996721,CMA CGM HELIUM,Container Ship,9996721
/vessels/details/9461893,APL QINGDAO,Container Ship,9461893
/vessels/details/9727625,CAPE SOUNIO,Container Ship,9727625
/vessels/details/9706190,CAPE AKRITAS,Container Ship,9706190
/vessels/details/9777175,CAPE ARTEMISIO,Container Ship,9777175
/vessels/details/9706205,CAPE TAINARO,Container Ship,9706205
/vessels/details/9727613,CAPE KORTIA,Container Ship,9727613
/vessels/details/9365788,CMA CGM PELLEAS,Container Ship,9365788
/vessels/details/9365805,CMA CGM IVANHOE,Container Ship,9365805
/vessels/details/9305594,YANTIAN,Container Ship,9305594
/vessels/details/9305582,YANTIAN I,Container Ship,9305582
/vessels/details/9308508,BEIJING,Container Ship,9308508
/vessels/details/9305570,SHANGHAI,Container Ship,9305570
/vessels/details/9308510,COSCO HELLAS,Container Ship,9308510
/vessels/details/9299642,CMA CGM FIDELIO,Container Ship,9299642
/vessels/details/9299812,CMA CGM NORMA,Container Ship,9299812
/vessels/details/9299654,CMA CGM RIGOLETTO,Container Ship,9299654
/vessels/details/9299800,CMA CGM MEDEA,Container Ship,9299800
/vessels/details/9639476,JUDD,Bulk Carrier,9639476
/vessels/details/9639529,MARINI,Bulk Carrier,9639529
/vessels/details/9627837,MORANDI,Bulk Carrier,9627837
/vessels/details/9587245,NEGONEGO,Bulk Carrier,9587245
/vessels/details/9634701,FAKARAVA,Bulk Carrier,9634701
/vessels/details/9587257,HUAHINE,Bulk Carrier,9587257
/vessels/details/9679892,CMA CGM CONGO,Container Ship,9679892
/vessels/details/9679907,CMA CGM MISSISSIPPI,Container Ship,9679907
/vessels/details/9679919,CMA CGM MISSOURI,Container Ship,9679919
/vessels/details/9670602,ATLANTIC SKY,Container Ship,9670602
/vessels/details/9670597,ATLANTIC SEA,Container Ship,9670597
/vessels/details/9670614,ATLANTIC SUN,Container Ship,9670614
/vessels/details/9670573,ATLANTIC STAR,Container Ship,9670573
/vessels/details/9670585,ATLANTIC SAIL,Container Ship,9670585
/vessels/details/9705081,CMA CGM VOLGA,Container Ship,9705081
/vessels/details/9705055,CMA CGM LITANI,Container Ship,9705055
/vessels/details/9705079,CMA CGM URAL,Container Ship,9705079
/vessels/details/9705067,CMA CGM TIGRIS,Container Ship,9705067
/vessels/details/9706308,CMA CGM AMAZON,Container Ship,9706308
/vessels/details/9618317,MSC ATHOS,Container Ship,9618317
/vessels/details/9674529,CMA CGM ELBE,Container Ship,9674529
/vessels/details/9674567,CMA CGM THAMES,Container Ship,9674567
/vessels/details/9674517,APL DANUBE,Container Ship,9674517
