url,name,type,imo
/vessels/details/9496680,POS LOGISTICS 1,Bulk Carrier,9496680
/vessels/details/9568574,LESTARI MANJUNG,Bulk Carrier,9568574
/vessels/details/9186950,STRAITS CHALLENGER,Vehicles Carrier,9186950
/vessels/details/9206023,JASA MURNI,Vehicles Carrier,9206023
/vessels/details/9805697,ALAM KUASA,Bulk Carrier,9805697
/vessels/details/9082324,GRAND VISION,Vehicles Carrier,9082324
/vessels/details/9607150,DUTA AZZAM,Bulk Carrier,9607150
/vessels/details/9446489,MALAYSIA PASSION,Vehicles Carrier,9446489
/vessels/details/9446477,MALAYSIA BRAVE,Vehicles Carrier,9446477
/vessels/details/9542283,MALAYSIA GRACE,Vehicles Carrier,9542283
/vessels/details/9566851,POS LOGISTICS 2,Bulk Carrier,9566851
/vessels/details/9460538,TASIK SAKURA,Bulk Carrier,9460538
/vessels/details/9290892,VISION 1,Bulk Carrier,9290892
/vessels/details/9311402,PACIFIC STAR,Bulk Carrier,9311402
/vessels/details/9267077,BILLION STAR,Bulk Carrier,9267077
/vessels/details/9872248,MTT SANDAKAN,Container Ship,9872248
/vessels/details/9872236,MTT SAPANGAR,Container Ship,9872236
/vessels/details/9974228,MTT PELEPAS,Container Ship,9974228
/vessels/details/9974216,MTT PORT KELANG,Container Ship,9974216
/vessels/details/9312339,TROPICAL STAR,Bulk Carrier,9312339
/vessels/details/9032331,MALAYSIA STAR,Vehicles Carrier,9032331
/vessels/details/9101106,MTT KUCHING DUA,Container Ship,9101106
/vessels/details/9148532,MTT BINTULU,Container Ship,9148532
/vessels/details/9248930,DANUM 175,Container Ship,9248930
/vessels/details/9238870,DANUM 168,Container Ship,9238870
/vessels/details/9255529,MTT HAIPHONG,Container Ship,9255529
/vessels/details/9151424,DANUM 172,Container Ship,9151424
/vessels/details/9236341,HARBOUR NEPTUNE,Container Ship,9236341
/vessels/details/9813864,MTT SAMALAJU,Container Ship,9813864
/vessels/details/9813852,MTT SAISUNEE,Container Ship,9813852
/vessels/details/9813876,MTT SENARI,Container Ship,9813876
/vessels/details/9159086,DANUM 171,Container Ship,9159086
/vessels/details/9988499,MTT LUMUT,Deck Cargo Ship,9988499
/vessels/details/9559470,SHINLINE 10,General Cargo Ship,9559470
/vessels/details/9559482,SHINLINE 11,General Cargo Ship,9559482
/vessels/details/9629237,SHINLINE 15,General Cargo Ship,9629237
/vessels/details/9629225,SHINLINE 12,General Cargo Ship,9629225
/vessels/details/9240469,HARBOUR ICONIC,Container Ship,9240469
/vessels/details/9308041,HARBOUR YOTTA,Container Ship,9308041
/vessels/details/9301316,HARBOUR ADVENTURE,Container Ship,9301316
/vessels/details/9365166,HARBOUR ZIRCON,Container Ship,9365166
/vessels/details/9121687,BUNGA MAS ENAM,Container Ship,9121687
/vessels/details/9406271,DANUM 173,Container Ship,9406271
/vessels/details/9100542,THAILINE 9,General Cargo Ship,9100542
/vessels/details/9176503,HARBOUR EXPRESS,Container Ship,9176503
/vessels/details/9169873,RMN AUX TA,General Cargo Ship,9169873
/vessels/details/9242601,HARBOUR GALAXY,Container Ship,9242601
/vessels/details/9242613,HARBOUR HORIZON,Container Ship,9242613
/vessels/details/9242584,HARBOUR STAR,Container Ship,9242584
/vessels/details/9945265,MTT RAJANG,Container Ship,9945265
/vessels/details/9912191,MTT SIBU,Container Ship,9912191
/vessels/details/8357215,DANUM 179,Deck Cargo Ship,8357215
/vessels/details/8357203,DANUM 178,Deck Cargo Ship,8357203
/vessels/details/8938148,MV THAILINE,General Cargo Ship,8938148
/vessels/details/9243291,DANUM 18,Deck Cargo Ship,9243291
/vessels/details/9510230,MV LEWANG,General Cargo Ship,9510230
/vessels/details/9548469,M.V.LENA,Bulk Carrier,9548469
/vessels/details/8926975,KONG HIN NO. 2,General Cargo Ship,8926975
/vessels/details/9333199,MV.DANUM 9,Deck Cargo Ship,9333199
/vessels/details/9553608,DANUM 112,Deck Cargo Ship,9553608
/vessels/details/9545869,LEHON,General Cargo Ship,9545869
/vessels/details/8600868,MV ALIKA,General Cargo Ship,8600868
/vessels/details/8217477,LINA,General Cargo Ship,8217477
/vessels/details/8627282,MV BANDAR BARU,General Cargo Ship,8627282
/vessels/details/8989836,HARBOUR UNITED,Container Ship,8989836
/vessels/details/9329605,LAUTAN MEGAJAYA,General Cargo Ship,9329605
/vessels/details/7944396,LINAU 16,General Cargo Ship,7944396
/vessels/details/9834911,BONGAWAN 99,Landing Craft,9834911
/vessels/details/7631951,DUTA SARANA,General Cargo Ship,7631951
/vessels/details/9613903,VICTORIA 8,Landing Craft,9613903
/vessels/details/8850841,BISTARI 18,Aggregates Carrier,8850841
/vessels/details/8704389,POWER JET,General Cargo Ship,8704389
/vessels/details/8424381,ARMADA 7,Landing Craft,8424381
/vessels/details/9830616,NESTLINE 1,Landing Craft,9830616
/vessels/details/533130932,ENPRIX ASIA,Cargo ship,533130932
/vessels/details/533170617,MV ROIRO,Cargo ship,533170617
/vessels/details/533000238,JINLUCK SATU,Cargo ship,533000238
/vessels/details/533567789,THAR THAR 7789,Cargo ship,533567789
/vessels/details/9553610,DANUM 115,Deck Cargo Ship,9553610
/vessels/details/9862877,SINAR MAJU,Landing Craft,9862877
/vessels/details/1075090,MTT XU MAY,Container Ship,1075090
