url,name,type,imo
/vessels/details/9128336,TARZAN,General Cargo Ship,9128336
/vessels/details/9088287,TOLLUND,General Cargo Ship,9088287
/vessels/details/8700084,LAILA II,General Cargo Ship,8700084
/vessels/details/8700058,LAILA I,General Cargo Ship,8700058
/vessels/details/8899108,SM-PRC-107,General Cargo Ship,8899108
/vessels/details/8899081,SM-PRC-101,General Cargo Ship,8899081
/vessels/details/8899093,SM-PRC-103,General Cargo Ship,8899093
/vessels/details/6721008,TANAIS,General Cargo Ship,6721008
/vessels/details/261186415,POLESTAR,Cargo ship,261186415
/vessels/details/261182675,ROZA .,Cargo ship,261182675
/vessels/details/261182144,RSP-SB 05,Cargo ship,261182144
/vessels/details/261182638,RSP-SB-52,Cargo ship,261182638
/vessels/details/261182276,RSP-SB-158,Cargo ship,261182276
/vessels/details/261184900,RETRO,Cargo ship,261184900
/vessels/details/261182694,JOLIEN,Cargo ship,261182694
/vessels/details/261182576,AGT 05,Cargo ship,261182576
/vessels/details/261182630,ARDO,Cargo ship,261182630
/vessels/details/261186368,ATLANT1,Cargo ship,261186368
/vessels/details/261182655,TRANS 3,Cargo ship,261182655
/vessels/details/261182013,CHERUBIN,Cargo ship,261182013
/vessels/details/261184980,ISLAND,Cargo ship,261184980
/vessels/details/261182148,RSP-SB-09,Cargo ship,261182148
/vessels/details/261182810,ANDROMEDA,Cargo ship,261182810
/vessels/details/261182657,ANNA,Cargo ship,261182657
/vessels/details/261182628,KOZIOROZEC-O-10,Cargo ship,261182628
/vessels/details/261183880,BIZON O 103,Cargo ship,261183880
/vessels/details/261182714,MARTINI,Cargo ship,261182714
/vessels/details/261184770,POSEIDON,Cargo ship,261184770
/vessels/details/261185787,ARISON,Cargo ship,261185787
/vessels/details/261186436,POLESTAR 2,Cargo ship,261186436
/vessels/details/261000664,SWAROG,Cargo ship,261000664
/vessels/details/261182577,AGT-06,Cargo ship,261182577
/vessels/details/261182585,NAVIGAR 3,Cargo ship,261182585
/vessels/details/261184810,GABI,Cargo ship,261184810
/vessels/details/261182637,FABICO 6,Cargo ship,261182637
/vessels/details/261186279,TARA,Cargo ship,261186279
/vessels/details/261183630,WEST ODER 3,Cargo ship,261183630
/vessels/details/261185350,NAVIGAR-7,Cargo ship,261185350
/vessels/details/261185450,FRANADA,Cargo ship,261185450
/vessels/details/261182324,RSP-MS5158,Cargo ship,261182324
/vessels/details/261182658,MAREWA,Cargo ship,261182658
/vessels/details/261182660,NAWA 10,Cargo ship,261182660
/vessels/details/261186172,MINIU,Cargo ship,261186172
/vessels/details/261182610,MAT,Cargo ship,261182610
/vessels/details/261182478,FABICO 1,Cargo ship,261182478
/vessels/details/261182732,NELLY,Cargo ship,261182732
/vessels/details/261186176,TIMBO 2,Cargo ship,261186176
/vessels/details/261183260,WIDUCHOWA,Cargo ship,261183260
/vessels/details/261186060,RSP-MS-5255,Cargo ship,261186060
/vessels/details/261186367,LIDMANNMEGGER,Cargo ship,261186367
/vessels/details/261182337,RSP-SB 125,Cargo ship,261182337
/vessels/details/261182616,BM-5245,Cargo ship,261182616
/vessels/details/261182659,JANTJE,Cargo ship,261182659
/vessels/details/261182081,CONQUEST,Cargo ship,261182081
/vessels/details/261186081,NOSOROZEC B-01,Cargo ship,261186081
/vessels/details/261182608,AGRA,Cargo ship,261182608
/vessels/details/261183490,FABICO-8,Cargo ship,261183490
/vessels/details/261182490,NAVIGAR 6,Cargo ship,261182490
/vessels/details/261182481,NAVIGAR-1,Cargo ship,261182481
/vessels/details/261182542,RSP-SB 109,Cargo ship,261182542
/vessels/details/261186210,TYMEK,Cargo ship,261186210
/vessels/details/261182727,PATI,Cargo ship,261182727
/vessels/details/261001528,OSTROW 1,Cargo ship,261001528
/vessels/details/261182301,BIZ0N-O-155,Cargo ship,261182301
/vessels/details/261184090,OSTMARK,Cargo ship,261184090
/vessels/details/261186310,KLENA,Cargo ship,261186310
/vessels/details/261160962,RSP-SB 42,Cargo ship,261160962
/vessels/details/261182126,RSP-SB 149,Cargo ship,261182126
/vessels/details/261182200,NOSOROZEC S-04,Cargo ship (HAZ-A),261182200
/vessels/details/261188300,TIMBO,Cargo ship,261188300
/vessels/details/261185310,BONDAR,Cargo ship,261185310
/vessels/details/261182696,MARTYNA,Cargo ship,261182696
/vessels/details/261094168,SAYONARA,Cargo ship,261094168
/vessels/details/261186971,ZUZA,Cargo ship,261186971
/vessels/details/261182493,LOARA 1,Cargo ship,261182493
/vessels/details/261181234,TEST,Cargo ship (HAZ-A),261181234
/vessels/details/261032219,LISANNE,Cargo ship,261032219
/vessels/details/261015216,ESSENCE,Cargo ship (HAZ-A),261015216
/vessels/details/261023136,SANZA CRUZ,Cargo ship,261023136
/vessels/details/261012520,K1,Cargo ship,261012520
/vessels/details/8848202,KODAN,General Cargo Ship,8848202
/vessels/details/261182591,NAVIGAR-2,Cargo ship,261182591
/vessels/details/261020040,SANZA ISABEL,Cargo ship (HAZ-A),261020040
/vessels/details/261186345,GEERTJE,Cargo ship,261186345
/vessels/details/261032216,ESCAPE,Cargo ship,261032216
/vessels/details/261186111,RSP-MS 5237,Cargo ship,261186111
/vessels/details/261182275,BIZON O 165,Cargo ship,261182275
/vessels/details/261182697,MOTORHEAD,Cargo ship,261182697
/vessels/details/261053040,VAYENGA MAERSK,Cargo ship,261053040
/vessels/details/261023200,SANZA CRUZ,Cargo ship,261023200
/vessels/details/9131199,ANGON,Oil Products Tanker,9131199
/vessels/details/7704057,ECOMAL II,Bunkering Tanker,7704057
/vessels/details/8026440,ECOMAL,Bunkering Tanker,8026440
/vessels/details/7704071,SLEZA,Bunkering Tanker,7704071
/vessels/details/261185230,ARGONAUT,Tanker,261185230
/vessels/details/261185420,INTERNAUTIC,Tanker,261185420
/vessels/details/261182515,ZOSIA,Tanker,261182515
/vessels/details/261186250,NORDWIND,Tanker,261186250
/vessels/details/261183700,INKA,Tanker,261183700
/vessels/details/261183730,JANINAA,Tanker,261183730
/vessels/details/261184910,AGT-10,Tanker,261184910
/vessels/details/261182619,ANIA,Tanker,261182619
/vessels/details/261186487,ZAHIRA,Tanker,261186487
/vessels/details/261185590,NEPTUNUS,Tanker,261185590
/vessels/details/261182587,RSP-SB 011,Tanker,261182587
/vessels/details/261186488,CAROLIN,Tanker,261186488
/vessels/details/261182611,AGATA 1,Tanker,261182611
/vessels/details/4609751,Z-8,Bunkering Tanker,4609751
/vessels/details/7606750,KARSIBOR I,Passenger/Ro-Ro Cargo Ship,7606750
/vessels/details/7606786,KARSIBOR IV,Passenger/Ro-Ro Cargo Ship,7606786
/vessels/details/7606774,KARSIBOR III,Passenger/Ro-Ro Cargo Ship,7606774
/vessels/details/7606762,KARSIBOR II,Passenger/Ro-Ro Cargo Ship,7606762
/vessels/details/9212149,BIELIK - IV,Passenger/Ro-Ro Cargo Ship,9212149
/vessels/details/9187980,BIELIK - I,Passenger/Ro-Ro Cargo Ship,9187980
/vessels/details/9187992,BIELIK - II,Passenger/Ro-Ro Cargo Ship,9187992
/vessels/details/9188001,BIELIK - III,Passenger/Ro-Ro Cargo Ship,9188001
/vessels/details/8805949,AGAT,Passenger Ship,8805949
/vessels/details/7911301,ONYX,Passenger Ship,7911301
/vessels/details/7909920,RUBIN,Passenger Ship,7909920
/vessels/details/7911272,OPAL,Passenger Ship,7911272
/vessels/details/8418708,JANTAR,Passenger Ship,8418708
/vessels/details/8983325,ROZA WENEDA,Passenger Ship,8983325
/vessels/details/8984757,FLAMINGO,Passenger Ship,8984757
/vessels/details/9605035,MONIKA,Passenger Ship,9605035
/vessels/details/8983272,QUEEN OF SZCZECIN,Passenger Ship,8983272
/vessels/details/8956724,MONIKA III,Passenger Ship,8956724
/vessels/details/7021900,PIRAT,Passenger Ship,7021900
/vessels/details/7315466,SANTA MARIA,Passenger Ship,7315466
/vessels/details/7504964,KORSARZ,Passenger Ship,7504964
/vessels/details/8738938,VICTORIA I,Passenger Ship,8738938
/vessels/details/5013870,KROL ERYK I,Passenger Ship,5013870
/vessels/details/261111112,MALGORZATA,Passenger ship,261111112
/vessels/details/261182158,KARSIBOR IV,Passenger ship,261182158
/vessels/details/261183400,KAPITAN COOK,Passenger ship,261183400
/vessels/details/261182156,KARSIBOR II,Passenger ship,261182156
/vessels/details/261182157,KARSIBOR III,Passenger ship,261182157
/vessels/details/261182634,BIELIK IV,Passenger ship,261182634
/vessels/details/261489000,MARINA,Passenger ship,261489000
/vessels/details/261008723,MALGORZATA,Passenger ship,261008723
/vessels/details/261031660,DRAGON,Passenger ship,261031660
/vessels/details/261182517,ODRA QUEEN,Passenger ship,261182517
/vessels/details/261182618,BIELIK I,Passenger ship,261182618
/vessels/details/261006020,SMILTYNE,Passenger ship,261006020
/vessels/details/261182900,RIVER CRUISE,Passenger ship,261182900
/vessels/details/261182633,BIELIK II,Passenger ship,261182633
/vessels/details/261184720,MS SEDINA,Passenger ship,261184720
/vessels/details/261019170,PIRAT USTKA,Passenger ship,261019170
/vessels/details/261007652,DESTINY,Passenger ship,261007652
/vessels/details/261010740,OCEAN,Passenger ship,261010740
/vessels/details/261018450,SMILE,Passenger ship,261018450
/vessels/details/261182625,BIELIK III,Passenger ship,261182625
/vessels/details/261031510,CZARNA PERLA,Passenger ship,261031510
/vessels/details/261186479,FALCON,Passenger ship,261186479
/vessels/details/261008720,ELZBIETA,Passenger ship,261008720
/vessels/details/261759846,896968,Passenger ship,261759846
/vessels/details/8738940,UNICUS,Passenger Ship,8738940
/vessels/details/261030150,MS PIRAT,Passenger ship,261030150
/vessels/details/7426681,ECHO,Passenger Ship,7426681
/vessels/details/261032550,SANTA MARIA,Passenger ship,261032550
/vessels/details/8983337,FAFIK,Passenger Ship,8983337
/vessels/details/261008717,DANUTA,Passenger ship,261008717
/vessels/details/9204556,ANNELIES ILENA,Fish Factory Ship,9204556
/vessels/details/8918318,ALINA,Fishing Vessel,8918318
/vessels/details/8516885,AMBER AGATHA,Fishing Support Vessel,8516885
/vessels/details/9032745,BALTICA,Fishing Support Vessel,9032745
/vessels/details/8404757,GDY-343 HUMBAK,Fishing Vessel,8404757
/vessels/details/7905211,ORKA WLA-139,Fishing Vessel,7905211
/vessels/details/8818063,SG-312 KAPER-2,Fishing Support Vessel,8818063
/vessels/details/8818051,SG-311,Fishing Support Vessel,8818051
/vessels/details/8314031,WLA-108,Fishing Vessel,8314031
/vessels/details/8321175,WLA-184 HELOT,Fishing Vessel,8321175
/vessels/details/5086700,DZI-102,Fishing Vessel,5086700
/vessels/details/8903387,FV KOL-120,Fishing Vessel,8903387
/vessels/details/8600349,KOL-206,Fishing Vessel,8600349
/vessels/details/8903363,KOL-6,Fishing Vessel,8903363
/vessels/details/8600260,HEL-150,Fishing Vessel,8600260
/vessels/details/8600284,HEL-152,Fishing Vessel,8600284
/vessels/details/8873893,WLA-222,Fishing Vessel,8873893
/vessels/details/7415008,KOL-5,Fishing Vessel,7415008
/vessels/details/8600337,FV KOL-123,Fishing Vessel,8600337
/vessels/details/7931349,FV KOL-188,Fishing Vessel,7931349
/vessels/details/7905974,WLA-307,Fishing Vessel,7905974
/vessels/details/7625861,HEL 112,Fishing Vessel,7625861
/vessels/details/7906021,HEL-111,Fishing Vessel,7906021
/vessels/details/7625847,HEL-102,Fishing Vessel,7625847
/vessels/details/8600363,WLA-312,Fishing Vessel,8600363
/vessels/details/8600325,FV UST-204,Fishing Vessel,8600325
/vessels/details/8600296,FV WLA310,Fishing Vessel,8600296
/vessels/details/8107397,KOL-8,Fishing Vessel,8107397
/vessels/details/8600351,FV.WLA-311,Fishing Vessel,8600351
/vessels/details/8903399,FV KOL-121,Fishing Vessel,8903399
/vessels/details/5273389,FRANEK,Fishing Vessel,5273389
/vessels/details/7635787,WLA-291,Fishing Vessel,7635787
/vessels/details/7405584,ALBERT WLA131,Fishing Vessel,7405584
/vessels/details/7393482,WLA-209 BLANKA,Fishing Vessel,7393482
/vessels/details/8861773,SWI-106,Fishing Vessel,8861773
/vessels/details/7817531,UST-200,Fishing Vessel,7817531
/vessels/details/7422087,FV RAVEN,Fishing Vessel,7422087
/vessels/details/7635804,HEL-125,Fishing Vessel,7635804
/vessels/details/7227839,FV SWI-7,Fishing Vessel,7227839
/vessels/details/7606891,HEL-156,Fishing Vessel,7606891
/vessels/details/9564530,GDY-347,Fishing Vessel,9564530
/vessels/details/7635749,WLA-295,Fishing Vessel,7635749
/vessels/details/7635701,HEL-103,Fishing Vessel,7635701
/vessels/details/7905998,WLA-305,Fishing Vessel,7905998
/vessels/details/8008670,HEL-157,Fishing Vessel,8008670
/vessels/details/7215381,FV UST-97,Fishing Vessel,7215381
/vessels/details/7025097,DENEGA,Fishing Vessel,7025097
/vessels/details/7045839,LEW,Fishing Vessel,7045839
/vessels/details/2876300,UST-44,Fishing Vessel,2876300
/vessels/details/7321867,GDY-18,Fishing Vessel,7321867
/vessels/details/7017301,WLA 217,Fishing Vessel,7017301
/vessels/details/7045906,JAS 76,Fishing Vessel,7045906
/vessels/details/261023810,KUZ 147,Fishing vessel,261023810
/vessels/details/261001310,LEB-65,Fishing vessel,261001310
/vessels/details/261012460,KOL-211,Fishing vessel,261012460
/vessels/details/261017420,KOL-57,Fishing vessel,261017420
/vessels/details/261009080,WLA-207,Fishing vessel,261009080
/vessels/details/261027530,PIA 3,Fishing vessel,261027530
/vessels/details/261018440,KOL-143,Fishing vessel,261018440
/vessels/details/261004450,MRZ-2,Fishing vessel,261004450
/vessels/details/261000970,UST-52,Fishing vessel,261000970
/vessels/details/261036610,WLA-187 AUGUSTYN,Fishing vessel,261036610
/vessels/details/261004390,WLA-225,Fishing vessel,261004390
/vessels/details/261002550,DAR-349,Fishing vessel,261002550
/vessels/details/261011540,WLA-182,Fishing vessel,261011540
/vessels/details/261016980,UST-147,Fishing vessel,261016980
/vessels/details/261004881,NORONYA GDY-347,Fishing vessel,261004881
/vessels/details/261005330,JAS-80,Fishing vessel,261005330
/vessels/details/261005580,JAS 77,Fishing vessel,261005580
/vessels/details/261038790,DAR-348,Fishing vessel,261038790
/vessels/details/261026380,KOL-160,Fishing vessel,261026380
/vessels/details/261020840,WLA-84,Fishing vessel,261020840
/vessels/details/261003230,KOL-180,Fishing vessel,261003230
/vessels/details/261010820,DZI-85,Fishing vessel,261010820
/vessels/details/261001700,LEB-29,Fishing vessel,261001700
/vessels/details/261007950,JAS-76,Fishing vessel,261007950
/vessels/details/261006770,WLA 250,Fishing vessel,261006770
/vessels/details/261018330,KOL-144,Fishing vessel,261018330
/vessels/details/261001230,LEB-18,Fishing vessel,261001230
/vessels/details/261003680,UST-113 AGAT,Fishing vessel,261003680
/vessels/details/261006840,KOL-214,Fishing vessel,261006840
/vessels/details/261007170,SWI-57,Fishing vessel,261007170
/vessels/details/261011940,SWI-2,Fishing vessel,261011940
/vessels/details/261009040,WLA 31,Fishing vessel,261009040
/vessels/details/261006050,JAS 31,Fishing vessel,261006050
/vessels/details/261004240,SWI-47,Fishing vessel,261004240
/vessels/details/261038240,DAR-11,Fishing vessel,261038240
/vessels/details/261004340,HEL-155,Fishing vessel,261004340
/vessels/details/261037210,FV FREDMARKO,Fishing vessel,261037210
/vessels/details/261003012,WLA-222,Fishing vessel,261003012
/vessels/details/261008030,JAS 99,Fishing vessel,261008030
/vessels/details/261003970,WLA 253,Fishing vessel,261003970
/vessels/details/261037700,WATERNIMF,Fishing vessel,261037700
/vessels/details/261009030,WLA 71,Fishing vessel,261009030
/vessels/details/261012020,SWI-53,Fishing vessel,261012020
/vessels/details/261003280,KOL-48,Fishing vessel,261003280
/vessels/details/261020690,KOL-145,Fishing vessel,261020690
/vessels/details/261004440,JAS 78,Fishing vessel,261004440
/vessels/details/261023560,WLA-34,Fishing vessel,261023560
/vessels/details/261005260,JAS-64,Fishing vessel,261005260
/vessels/details/261005970,FV EMANUEL KOL-25,Fishing vessel,261005970
/vessels/details/261004280,JAS-57 MAGDALENA,Fishing vessel,261004280
/vessels/details/261004260,FV KOL-32,Fishing vessel,261004260
