url,name,type,imo
/vessels/details/8729810,SEVMORPUT,General Cargo Ship,8729810
/vessels/details/9581148,RT GENOVA,Self Discharging Bulk Carrier,9581148
/vessels/details/9079169,ENISEY,Bulk Carrier,9079169
/vessels/details/9150808,REGION 87,Bulk Carrier,9150808
/vessels/details/9741724,ALARA,Bulk Carrier,9741724
/vessels/details/9296781,KRASNODAR,Bulk Carrier,9296781
/vessels/details/9720263,ZAFAR,Bulk Carrier,9720263
/vessels/details/9715270,ZAID,Bulk Carrier,9715270
/vessels/details/9780940,ULA,Bulk Carrier,9780940
/vessels/details/9759666,IPSALA,Bulk Carrier,9759666
/vessels/details/9664976,IRTYSH,Bulk Carrier,9664976
/vessels/details/8105741,ABINSK,Bulk Carrier,8105741
/vessels/details/9433145,IPANEMA,Container Ship,9433145
/vessels/details/9118135,OMOLON,Bulk Carrier,9118135
/vessels/details/8807416,AMBAL,Ro-Ro Cargo Ship,8807416
/vessels/details/8318130,BALTIYSK,Ro-Ro Cargo Ship,8318130
/vessels/details/8406705,YURIY ARSHENEVSKIY,General Cargo Ship,8406705
/vessels/details/8406729,KAPITAN DANILKIN,General Cargo Ship,8406729
/vessels/details/9155389,CRYSTAL STPETERSBURG,Container Ship,9155389
/vessels/details/9957048,TRANSIT TAVAYZA,Container Ship,9957048
/vessels/details/9239458,SIBERIA,Bulk Carrier,9239458
/vessels/details/9550137,MATROS KOSHKA,Bulk Carrier,9550137
/vessels/details/9330836,NORILSKIY NICKEL,General Cargo Ship,9330836
/vessels/details/9404039,TALNAKH,General Cargo Ship,9404039
/vessels/details/9404041,NADEZHDA,General Cargo Ship,9404041
/vessels/details/9573816,MATROS POZYNICH,Bulk Carrier,9573816
/vessels/details/9574195,MATROS SHEVCHENKO,Bulk Carrier,9574195
/vessels/details/9515539,MIKHAIL NENASHEV,Bulk Carrier,9515539
/vessels/details/9404027,ZAPOLYARNYY,General Cargo Ship,9404027
/vessels/details/9404015,MONCHEGORSK,General Cargo Ship,9404015
/vessels/details/9350082,VLADIMIR SHILKOV,Bulk Carrier,9350082
/vessels/details/9549281,NOVAYA ZEMLYA,Bulk Carrier,9549281
/vessels/details/9385879,GRUMANT,Bulk Carrier,9385879
/vessels/details/9428499,TG ARKTIKA,Bulk Carrier,9428499
/vessels/details/9243825,MYS SHMIDTA,General Cargo Ship,9243825
/vessels/details/8723426,VASILIY GOLOVNIN,General Cargo Ship,8723426
/vessels/details/8136740,PROLIV LONGA,Refrigerated Cargo Ship,8136740
/vessels/details/9202041,YAMAL KRECHET,General Cargo Ship,9202041
/vessels/details/9202053,SEVERNIY PROECT,General Cargo Ship,9202053
/vessels/details/9190107,MYS MANORSKIY,General Cargo Ship,9190107
/vessels/details/9347059,UTRENNIY,General Cargo Ship,9347059
/vessels/details/9347061,SABETTA,General Cargo Ship,9347061
/vessels/details/9436331,YAMAL ORLAN,General Cargo Ship,9436331
/vessels/details/8225723,TAMBOV,Refrigerated Cargo Ship,8225723
/vessels/details/9010785,BOSFOR VOSTOCHNY,Refrigerated Cargo Ship,9010785
/vessels/details/8908076,ATMODA,Refrigerated Cargo Ship,8908076
/vessels/details/9016973,ZOLOTOY ROG,Refrigerated Cargo Ship,9016973
/vessels/details/8811675,PAMYAT ILICHA,Refrigerated Cargo Ship,8811675
/vessels/details/8701040,PAMYAT KIROVA,Refrigerated Cargo Ship,8701040
/vessels/details/9187045,OLEG TAVOLZHANSKIY,General Cargo Ship,9187045
/vessels/details/9164029,ORION,General Cargo Ship,9164029
/vessels/details/8531691,TRANSIT TATARKA,General Cargo Ship,8531691
/vessels/details/9366110,MYS ZHELANIYA,General Cargo Ship,9366110
/vessels/details/9368340,MYS DEZHNEVA,General Cargo Ship,9368340
/vessels/details/9368338,YAMAL BERKUT,General Cargo Ship,9368338
/vessels/details/8912974,VALERI VASILIEV,General Cargo Ship,8912974
/vessels/details/9314375,PALANA,General Cargo Ship,9314375
/vessels/details/9376024,NOVIK MARIA,Container Ship,9376024
/vessels/details/9338292,TRANSIT MILLIONKA,Container Ship,9338292
/vessels/details/9433286,MYS FLORA,General Cargo Ship,9433286
/vessels/details/9312157,FESCO ULISS,General Cargo Ship,9312157
/vessels/details/9402031,FESCO OLGA,General Cargo Ship,9402031
/vessels/details/9261061,SINEGORSK,General Cargo Ship,9261061
/vessels/details/9358058,DIANA,General Cargo Ship,9358058
/vessels/details/9261073,FESCO PARIS,General Cargo Ship,9261073
/vessels/details/9349291,ANASTASIIA,General Cargo Ship,9349291
/vessels/details/9358034,SASCO ALDAN,General Cargo Ship,9358034
/vessels/details/9349289,LADY D,General Cargo Ship,9349289
/vessels/details/9358010,MAIA-1,General Cargo Ship,9358010
/vessels/details/9261085,AIM,General Cargo Ship,9261085
/vessels/details/9367970,MIKHAIL ROBKANOV,Container Ship,9367970
/vessels/details/9456719,YASTREB,General Cargo Ship,9456719
/vessels/details/8509533,GOGLAND REEFER,Refrigerated Cargo Ship,8509533
/vessels/details/9220641,LADY MARIIA,Ro-Ro Cargo Ship,9220641
/vessels/details/9220639,BALTIC LEADER,Ro-Ro Cargo Ship,9220639
/vessels/details/9268710,SPARTA,Ro-Ro Cargo Ship,9268710
/vessels/details/9198226,ASCALON,Ro-Ro Cargo Ship,9198226
/vessels/details/9179842,ANGARA,Ro-Ro Cargo Ship,9179842
/vessels/details/9179854,ADLER,Ro-Ro Cargo Ship,9179854
/vessels/details/9081368,TERSKIY BEREG,General Cargo Ship,9081368
/vessels/details/9081291,TERIBERKA,General Cargo Ship,9081291
/vessels/details/9086253,TAIBOLA,General Cargo Ship,9086253
/vessels/details/9081332,TURUKHAN,General Cargo Ship,9081332
/vessels/details/9081370,MIKHAIL BRITNEV,General Cargo Ship,9081370
/vessels/details/8811950,GEORGY SEDOV,General Cargo Ship,8811950
/vessels/details/9014896,NIKIFOR BEGICHEV,General Cargo Ship,9014896
/vessels/details/9014872,TAMBEY,General Cargo Ship,9014872
/vessels/details/8821797,TAIMYR,General Cargo Ship,8821797
