url,name,type,imo
/vessels/details/9620956,BAHRI HOFUF,Ro-Ro Cargo Ship,9620956
/vessels/details/9620968,BAHRI TABUK,Ro-Ro Cargo Ship,9620968
/vessels/details/9626522,BAHRI JEDDAH,Ro-Ro Cargo Ship,9626522
/vessels/details/9620944,BAHRI ABHA,Ro-Ro Cargo Ship,9620944
/vessels/details/9626534,BAHRI YANBU,Ro-Ro Cargo Ship,9626534
/vessels/details/9620970,BAHRI JAZAN,Ro-Ro Cargo Ship,9620970
/vessels/details/9660554,BAHRI TRADER,Bulk Carrier,9660554
/vessels/details/9660542,BAHRI WAFI,Bulk Carrier,9660542
/vessels/details/9660528,BAHRI GRAIN,Bulk Carrier,9660528
/vessels/details/9660516,BAHRI ARASCO,Bulk Carrier,9660516
/vessels/details/9660530,BAHRI BULK,Bulk Carrier,9660530
/vessels/details/9837145,HESSAH,Bulk Carrier,9837145
/vessels/details/9837133,ALJAZI,Bulk Carrier,9837133
/vessels/details/9837119,SARA,Bulk Carrier,9837119
/vessels/details/9837121,ALANOOD,Bulk Carrier,9837121
/vessels/details/9826469,BAHRI MUNIRA,Bulk Carrier,9826469
/vessels/details/9790842,BAHRI HAYA,Bulk Carrier,9790842
/vessels/details/9799795,BAHRI GHADAH,Bulk Carrier,9799795
/vessels/details/9768045,BAHRI SETA,Bulk Carrier,9768045
/vessels/details/9498482,BAHRI DIRIYAH,General Cargo Ship,9498482
/vessels/details/9339856,FOLK JAZAN,Container Ship,9339856
/vessels/details/8311895,AZIZ EXPRESS,Ro-Ro Cargo Ship,8311895
/vessels/details/9695224,BAHRI RIYADH,General Cargo Ship,9695224
/vessels/details/9939876,FOLK DAMMAM,Container Ship,9939876
/vessels/details/9939888,FOLK JEDDAH,Container Ship,9939888
/vessels/details/8302806,ALNAWA EXPRESS,Ro-Ro Cargo Ship,8302806
/vessels/details/9395604,FOLK JUBAIL,Container Ship,9395604
/vessels/details/9404821,FOLK YANBU,Container Ship,9404821
/vessels/details/9127863,ALAHMED,General Cargo Ship,9127863
/vessels/details/9656060,SARA ALMELAHIA,Landing Craft,9656060
/vessels/details/9656072,RAND ALMELAHIA,Landing Craft,9656072
/vessels/details/9578335,LAMA ALMELAHIA,Landing Craft,9578335
/vessels/details/9752503,MIZNAH ALMELAHIA,Landing Craft,9752503
/vessels/details/8646305,MN CRAFT 2,Ro-Ro Cargo Ship,8646305
/vessels/details/403312458,GAN SHANGRAO HUO9868,Cargo ship,403312458
/vessels/details/403375714,MINGDA6289,Cargo ship,403375714
/vessels/details/403352284,YU ZHOU BAI LI 266,Cargo ship,403352284
/vessels/details/403308556,WACJ ANYUN88 D,Cargo ship,403308556
/vessels/details/403293419,WANHUAIYUAN0389,Cargo ship,403293419
/vessels/details/403346798,RT YI 199,Cargo ship,403346798
/vessels/details/403325814,XIN PHUN 16888,Cargo ship,403325814
/vessels/details/403342419,YUANYANG55 Y,Cargo ship,403342419
/vessels/details/403380684,JI,Cargo ship,403380684
/vessels/details/403292162,X0,Cargo ship,403292162
/vessels/details/403302856,SUXIANGFAHUO 5678,Cargo ship,403302856
/vessels/details/403378566,NINGTENG1068,Cargo ship,403378566
/vessels/details/403296471,YOU ZHEN 1688,Cargo ship,403296471
/vessels/details/403310996,MINGYUA,Cargo ship,403310996
/vessels/details/403317124,JIANGSUDONGYA2005,Cargo ship,403317124
/vessels/details/403333588,YUXINH,Cargo ship,403333588
/vessels/details/403388416,HUAI HANG 999,Cargo ship,403388416
/vessels/details/403395848,HUAIBAO2101,Cargo ship,403395848
/vessels/details/403386945,LIHGH,Cargo ship,403386945
/vessels/details/403305556,WANHUOQIU7286,Cargo ship,403305556
/vessels/details/403346096,XINCH,Cargo ship,403346096
/vessels/details/403286801,WA,Cargo ship,403286801
/vessels/details/403333414,JIANGYU918,Cargo ship,403333414
/vessels/details/403325704,ZHOU,Cargo ship,403325704
/vessels/details/403391088,A K L8HHHHHDAL,Cargo ship,403391088
/vessels/details/403304216,JIAJGHAI5899,Cargo ship,403304216
/vessels/details/9847906,LCCV 141,Landing Craft,9847906
/vessels/details/403262480,SHAHEEN SA 35422,Cargo ship,403262480
/vessels/details/403348465,SHIPINGHUO1688,Cargo ship,403348465
/vessels/details/403290290,AL FAHAD ONE,Cargo ship,403290290
/vessels/details/403374785,HINGH,Cargo ship,403374785
/vessels/details/403347714,XINGUANG3718,Cargo ship,403347714
/vessels/details/403369337,TONGDAJI0998,Cargo ship,403369337
/vessels/details/403343616,HUI FENG 9929,Cargo ship,403343616
/vessels/details/403398477,TUO HAI JIANG IUN,Cargo ship,403398477
/vessels/details/403343393,WANBAOGUO199,Cargo ship,403343393
/vessels/details/403311974,WAN LONG TENG 66,Cargo ship,403311974
/vessels/details/403346902,YUA,Cargo ship,403346902
/vessels/details/403347085,QIHHD9Y9,Cargo ship,403347085
/vessels/details/403301783,YUANYANG7786,Cargo ship,403301783
/vessels/details/403511957,LI ZHMU GUO HANG,Cargo ship,403511957
/vessels/details/403341938,JIJEFANCHANCHONG,Cargo ship,403341938
/vessels/details/403356348,HUAYH1301,Cargo ship,403356348
/vessels/details/403316404,YUXINHUO1Y798,Cargo ship,403316404
/vessels/details/403348284,XIANG SHENG TENG FEI,Cargo ship,403348284
/vessels/details/403382320,HUAH H,Cargo ship,403382320
/vessels/details/403307613,LU,Cargo ship,403307613
/vessels/details/403310612,LONG SHAN ZHI XIHG,Cargo ship,403310612
/vessels/details/403355048,CHANGTONG998,Cargo ship,403355048
/vessels/details/403347991,WANLIUHANG7788,Cargo ship,403347991
/vessels/details/403318979,9U HANF SH,Cargo ship,403318979
/vessels/details/403333512,YUXI,Cargo ship,403333512
/vessels/details/403358982,ANYUN8166,Cargo ship,403358982
/vessels/details/403280495,WANJIANELIAN898,Cargo ship,403280495
/vessels/details/403293078,HUAYU50,Cargo ship,403293078
/vessels/details/403342093,H,Cargo ship,403342093
/vessels/details/403380577,SHENGAHANGH,Cargo ship,403380577
/vessels/details/403384632,YUXIH88,Cargo ship,403384632
/vessels/details/9661352,DANA ALMELAHIA,Landing Craft,9661352
/vessels/details/403374653,JIANGHAIHEXIE,Cargo ship,403374653
/vessels/details/403485013,WANTO,Cargo ship,403485013
/vessels/details/403353553,WANQIANGSHENG166,Cargo ship,403353553
/vessels/details/403349455,XIN HAH JI XIANG YU,Cargo ship,403349455
/vessels/details/403341743,ZHIYUAN959,Cargo ship,403341743
/vessels/details/403346577,UA,Cargo ship,403346577
/vessels/details/403379352,HANGPHUO101,Cargo ship,403379352
/vessels/details/403331649,SHUNHANGHUO1988,Cargo ship,403331649
/vessels/details/403376079,YUXINHUO18188,Cargo ship,403376079
/vessels/details/403390345,SU B,Cargo ship,403390345
/vessels/details/403332691,HUA IU MING GUANG,Cargo ship,403332691
/vessels/details/403340364,GANGHANGJI668,Cargo ship,403340364
/vessels/details/403349689,SHIPINGHUO11 X,Cargo ship,403349689
/vessels/details/403332284,WANXIN,Cargo ship,403332284
/vessels/details/403300542,YUXINHUO11658,Cargo ship,403300542
/vessels/details/403330649,YUXINHUO11898,Cargo ship,403330649
/vessels/details/403374690,MINGDA62X9,Cargo ship,403374690
/vessels/details/403284661,JINH,Cargo ship,403284661
/vessels/details/403341411,SHUNTAIHEYUE,Cargo ship,403341411
/vessels/details/403483766,WAN YUAN 868,Cargo ship,403483766
/vessels/details/403340628,SH,Cargo ship,403340628
/vessels/details/403511044,YOUYI169,Cargo ship,403511044
/vessels/details/403301827,SUYANCHENCHUO215108,Cargo ship,403301827
/vessels/details/403319093,HEHGY,Cargo ship,403319093
/vessels/details/403308842,ANSHUN388,Cargo ship,403308842
/vessels/details/403321134,DIAATAI96Q8,Cargo ship,403321134
/vessels/details/403333523,AN HUA12,Cargo ship,403333523
/vessels/details/403508569,SUSAHHANGHUO6689,Cargo ship,403508569
/vessels/details/403377302,G,Cargo ship,403377302
/vessels/details/403304206,CHENGDA168,Cargo ship,403304206
/vessels/details/403308629,QU,Cargo ship,403308629
/vessels/details/403300103,JINY,Cargo ship,403300103
/vessels/details/403355841,SH,Cargo ship,403355841
/vessels/details/403502729,XINGUANG1818,Cargo ship,403502729
/vessels/details/403303287,HUIFENG010,Cargo ship,403303287
/vessels/details/403475167,FUSHUN166,Cargo ship,403475167
/vessels/details/403341896,A5 P,Cargo ship,403341896
/vessels/details/403348152,MIHGYUAN868,Cargo ship,403348152
/vessels/details/9631773,REEMA ALMELAHIA,Landing Craft,9631773
/vessels/details/403357773,XIAJGHENG,Cargo ship,403357773
/vessels/details/403341967,LUTONG99999,Cargo ship,403341967
/vessels/details/403350136,XINHUA 8,Cargo ship,403350136
/vessels/details/403501867,XINHINEHUO088,Cargo ship,403501867
/vessels/details/403346879,WANLU,Cargo ship (HAZ-B),403346879
/vessels/details/403341824,YUXINHUO19069,Cargo ship,403341824
/vessels/details/403307815,HUAFEILUNY8,Cargo ship,403307815
/vessels/details/403352875,SUBAIWANG8988,Cargo ship,403352875
/vessels/details/403339792,HUA YU 666,Cargo ship,403339792
/vessels/details/403374559,HUIFENG1579,Cargo ship,403374559
/vessels/details/403392325,NIN,Cargo ship,403392325
/vessels/details/9895111,LCCV 143,Landing Craft,9895111
/vessels/details/403341516,WANYONGAN1122,Cargo ship,403341516
/vessels/details/403315587,LONG SHENG YUAN,Cargo ship,403315587
/vessels/details/403390368,YU XIN HUO19858,Cargo ship,403390368
/vessels/details/403345795,WUHUSHUNFENG1688,Cargo ship,403345795
/vessels/details/403330065,G,Cargo ship,403330065
