url,name,type,imo
/vessels/details/9505041,FIGARO,Vehicles Carrier,9505041
/vessels/details/9505027,CARMEN,Vehicles Carrier,9505027
/vessels/details/9700524,TRAVIATA,Vehicles Carrier,9700524
/vessels/details/9731640,TANNHAUSER,Vehicles Carrier,9731640
/vessels/details/9731652,NABUCCO,Vehicles Carrier,9731652
/vessels/details/9377494,ANIARA,Vehicles Carrier,9377494
/vessels/details/9377509,OBERON,Vehicles Carrier,9377509
/vessels/details/9332937,FIDELIO,Vehicles Carrier,9332937
/vessels/details/9240160,UNDINE,Vehicles Carrier,9240160
/vessels/details/9189251,MIGNON,Vehicles Carrier,9189251
/vessels/details/9945590,FUTURE WAY,Vehicles Carrier,9945590
/vessels/details/9945617,WAY FORWARD,Vehicles Carrier,9945617
/vessels/details/9884679,BOTNIA ENABLER,Ro-Ro Cargo Ship,9884679
/vessels/details/9884681,BALTIC ENABLER,Ro-Ro Cargo Ship,9884681
/vessels/details/9082934,DON JUAN,Vehicles Carrier,9082934
/vessels/details/9395355,JUTLANDIA SEA,Ro-Ro Cargo Ship,9395355
/vessels/details/9343273,TUNDRALAND,Ro-Ro Cargo Ship,9343273
/vessels/details/9343261,THULELAND,Ro-Ro Cargo Ship,9343261
/vessels/details/9334959,TAVASTLAND,Ro-Ro Cargo Ship,9334959
/vessels/details/9087350,SCA OBBOLA,Ro-Ro Cargo Ship,9087350
/vessels/details/9087362,SCA OSTRAND,Ro-Ro Cargo Ship,9087362
/vessels/details/9087374,SCA ORTVIKEN,Ro-Ro Cargo Ship,9087374
/vessels/details/9183790,LAKEWAY EXPRESS,Ro-Ro Cargo Ship,9183790
/vessels/details/9631840,SIGRID,Nuclear Fuel Carrier,9631840
/vessels/details/9781516,FURUVIK,Cement Carrier,9781516
/vessels/details/7364144,OSTANVIK,Cement Carrier,7364144
/vessels/details/9943932,ULVIK,Cement Carrier,9943932
/vessels/details/8124474,ALICE,General Cargo Ship,8124474
/vessels/details/7006194,JEHANDER 1,Aggregates Carrier,7006194
/vessels/details/6717887,POLFORS,General Cargo Ship,6717887
/vessels/details/9293349,AFON DYFRDWY,Heavy Load Carrier,9293349
/vessels/details/8816900,EBBA BRAHE,Ro-Ro Cargo Ship,8816900
/vessels/details/8667579,MALMO,General Cargo Ship,8667579
/vessels/details/5165142,ISOLDA,General Cargo Ship,5165142
/vessels/details/5135214,GRATIA,General Cargo Ship,5135214
/vessels/details/5372965,SOLSKAR,Aggregates Carrier,5372965
/vessels/details/8327698,DAGSKAR,General Cargo Ship,8327698
/vessels/details/5262768,OLAF TRATALJA,General Cargo Ship,5262768
/vessels/details/265627630,AMANDA,Cargo ship,265627630
/vessels/details/265044670,OCEAN NOMAD,Cargo ship,265044670
/vessels/details/265649390,KOSTERFAERJAN 4,Cargo ship,265649390
/vessels/details/265612630,HURTIG RUT,Cargo ship,265612630
/vessels/details/265289000,VIRGO,Cargo ship,265289000
/vessels/details/265530880,MARTA COLLIN,Cargo ship,265530880
/vessels/details/265073780,CONSTRUCTOR,Cargo ship,265073780
/vessels/details/265538200,ODD FELLOW,Cargo ship,265538200
/vessels/details/265521330,DUNCKER,Cargo ship,265521330
/vessels/details/265617280,BELINDA,Cargo ship,265617280
/vessels/details/265607090,SVEA,Cargo ship,265607090
/vessels/details/265519440,JEHANDER 1,Cargo ship,265519440
/vessels/details/265027940,MAJESTIX,Cargo ship,265027940
/vessels/details/265630540,KRUT,Cargo ship,265630540
/vessels/details/265656950,NORDANVIND,Cargo ship,265656950
/vessels/details/265586810,OLOF TRATALJA,Cargo ship,265586810
/vessels/details/265023180,SKARGARDA W25-1,Cargo ship,265023180
/vessels/details/265611390,SOLSKAR,Cargo ship,265611390
/vessels/details/265674790,VIXEN,Cargo ship,265674790
/vessels/details/265609080,GRANAT,Cargo ship,265609080
/vessels/details/265664030,CORNETTO,Cargo ship,265664030
/vessels/details/265586010,BALDER,Cargo ship,265586010
/vessels/details/265549190,QUEEN,Cargo ship,265549190
/vessels/details/265747720,KING LOKE,Cargo ship,265747720
/vessels/details/5275715,PETER,General Cargo Ship,5275715
/vessels/details/265003170,EBBA,Cargo ship,265003170
/vessels/details/265628630,BETTAN II,Cargo ship,265628630
/vessels/details/265812110,KNOGA,Cargo ship,265812110
/vessels/details/265045760,RITA III,Cargo ship,265045760
/vessels/details/265566430,AMALIA TS,Cargo ship,265566430
/vessels/details/265001230,PUFF,Cargo ship,265001230
/vessels/details/265758830,MALVA,Cargo ship,265758830
/vessels/details/5100441,ALBATROSS AV INGMARSO,Ro-Ro Cargo Ship,5100441
/vessels/details/265596390,SYLVEIA,Cargo ship,265596390
/vessels/details/265001330,PIFF,Cargo ship,265001330
/vessels/details/5362427,ENO,General Cargo Ship,5362427
/vessels/details/8349787,DUNCKER,Ro-Ro Cargo Ship,8349787
/vessels/details/8556354,VIXEN,Ro-Ro Cargo Ship,8556354
/vessels/details/265002538,GRIPHEN,Cargo ship,265002538
/vessels/details/265004950,YMER RESCUE BOAT,Cargo ship,265004950
/vessels/details/266713101,PAUL P,Cargo ship,266713101
/vessels/details/5368005,GULLVOR,General Cargo Ship,5368005
/vessels/details/5254981,NORDANVIND,General Cargo Ship,5254981
/vessels/details/8962840,FILIP,Ro-Ro Cargo Ship,8962840
/vessels/details/5354573,TAURUS,General Cargo Ship,5354573
/vessels/details/265566410,HULKEN,Cargo ship,265566410
/vessels/details/266003450,IMARA,Cargo ship,266003450
/vessels/details/265052370,SJOFRAKT,Cargo ship,265052370
/vessels/details/265697630,NYBRO 7,Cargo ship,265697630
/vessels/details/265636280,DUNO,Cargo ship,265636280
/vessels/details/265630250,BOTTEN UPP,Cargo ship,265630250
/vessels/details/265821420,BRITTA,Cargo ship,265821420
/vessels/details/265810210,HARALD,Cargo ship,265810210
/vessels/details/265013530,ALU MAIDEN,Cargo ship,265013530
/vessels/details/265756210,HAVSTRUTEN,Cargo ship,265756210
/vessels/details/5138022,SVANEFJORD,General Cargo Ship,5138022
/vessels/details/265737570,MM BYGG,Cargo ship,265737570
/vessels/details/265618110,RIDO,Cargo ship,265618110
/vessels/details/265634350,RENSKAR,Cargo ship,265634350
/vessels/details/265759740,DT BROSON,Cargo ship,265759740
/vessels/details/265762070,LILLY,Cargo ship,265762070
/vessels/details/265042803,HQ 68,Cargo ship,265042803
/vessels/details/265618300,BETTY BOOP,Cargo ship,265618300
/vessels/details/265816930,EBBA MS,Cargo ship,265816930
/vessels/details/5045653,BJORKO,General Cargo Ship,5045653
/vessels/details/8871558,KOSTERFARJAN 4,Deck Cargo Ship,8871558
/vessels/details/265793820,LIBRA,Cargo ship,265793820
/vessels/details/266236000,PRIMUS,Cargo ship,266236000
/vessels/details/265034250,MS SEA SERPENT,Cargo ship,265034250
/vessels/details/8556263,GRIM,Ro-Ro Cargo Ship,8556263
/vessels/details/265059430,SPIRIT,Cargo ship,265059430
/vessels/details/8634235,ROSPIGGEN,General Cargo Ship,8634235
/vessels/details/265688200,VENDELA,Cargo ship,265688200
/vessels/details/265070230,KNAPE,Cargo ship,265070230
/vessels/details/265776120,ELISABETH MOJA,Cargo ship,265776120
/vessels/details/5404926,SEATTLE,General Cargo Ship,5404926
/vessels/details/265653620,EMBLA,Cargo ship,265653620
/vessels/details/8857734,BELLA,General Cargo Ship,8857734
/vessels/details/265648120,KARRAN,Cargo ship,265648120
/vessels/details/265525670,ANNA LORD,Cargo ship,265525670
/vessels/details/265611640,SVK-603 FARO,Cargo ship,265611640
/vessels/details/265626250,ALBATROSS,Cargo ship,265626250
/vessels/details/265100000,GRIPHEN,Cargo ship,265100000
/vessels/details/265831380,KARIN AF GRASMARO,Cargo ship,265831380
/vessels/details/265703390,FRASSE,Cargo ship,265703390
/vessels/details/8555817,OBELIX,Landing Craft,8555817
/vessels/details/5051406,BOHEMIAN,General Cargo Ship,5051406
/vessels/details/5112652,WIETZE,General Cargo Ship,5112652
/vessels/details/265695340,PER JONSSON,Cargo ship,265695340
/vessels/details/9579042,STENA SUEDE,Crude Oil Tanker,9579042
/vessels/details/9592214,STENA SUNRISE,Crude Oil Tanker,9592214
/vessels/details/9876830,PACIFICO,Chemical/Oil Products Tanker,9876830
/vessels/details/9876828,PROSPERO,Chemical/Oil Products Tanker,9876828
