url,name,type,imo
/vessels/details/9987196,CMA CGM SEINE,Container Ship,9987196
/vessels/details/9987201,CMACGM SAINT GERMAIN,Container Ship,9987201
/vessels/details/9943279,EVER AEON,Container Ship,9943279
/vessels/details/9943267,EVER ACME,Container Ship,9943267
/vessels/details/9893993,EVER ATOP,Container Ship,9893993
/vessels/details/9893979,EVER APEX,Container Ship,9893979
/vessels/details/9786827,EVER GIFTED,Container Ship,9786827
/vessels/details/9806873,YUAN HE HAI,Bulk Carrier,9806873
/vessels/details/9806885,YUAN GU HAI,Bulk Carrier,9806885
/vessels/details/9806897,YUAN YI HAI,Bulk Carrier,9806897
/vessels/details/9806902,YUAN BAO HAI,Bulk Carrier,9806902
/vessels/details/9806952,YUAN QIAN HAI,Bulk Carrier,9806952
/vessels/details/9806940,YUAN HUA HAI,Bulk Carrier,9806940
/vessels/details/9806914,YUAN JIN HAI,Bulk Carrier,9806914
/vessels/details/9806926,YUAN SHEN HAI,Bulk Carrier,9806926
/vessels/details/9532551,YUAN ZHEN HAI,Bulk Carrier,9532551
/vessels/details/9532587,YUAN JIAN HAI,Bulk Carrier,9532587
/vessels/details/9850343,GRAND WISDOM,Bulk Carrier,9850343
/vessels/details/9321548,EDITH MAERSK,Container Ship,9321548
/vessels/details/9321536,ELLY MAERSK,Container Ship,9321536
/vessels/details/9321500,ELEONORA MAERSK,Container Ship,9321500
/vessels/details/9321483,EMMA MAERSK,Container Ship,9321483
/vessels/details/9321524,EBBA MAERSK,Container Ship,9321524
/vessels/details/9321512,EVELYN MAERSK,Container Ship,9321512
/vessels/details/9321550,EUGEN MAERSK,Container Ship,9321550
/vessels/details/9321495,ESTELLE MAERSK,Container Ship,9321495
/vessels/details/9631979,APL RAFFLES,Container Ship,9631979
/vessels/details/9631955,APL TEMASEK,Container Ship,9631955
/vessels/details/9631981,APL CHANGI,Container Ship,9631981
/vessels/details/9632002,APL SINGAPURA,Container Ship,9632002
/vessels/details/9631967,APL LION CITY,Container Ship,9631967
/vessels/details/9631993,APL VANDA,Container Ship,9631993
/vessels/details/9632014,APL MERLION,Container Ship,9632014
/vessels/details/9632026,APL FULLERTON,Container Ship,9632026
/vessels/details/9935208,EVER MAX,Container Ship,9935208
