url,name,type,imo
/vessels/details/9816830,EPHESUS SEAWAYS,Ro-Ro Cargo Ship,9816830
/vessels/details/9816842,TROY SEAWAYS,Ro-Ro Cargo Ship,9816842
/vessels/details/9442500,YASA H.MEHMET,Bulk Carrier,9442500
/vessels/details/9442512,YASA H.MULLA,Bulk Carrier,9442512
/vessels/details/9569750,NURI BEY,Bulk Carrier,9569750
/vessels/details/9586423,ULUSOY-12,Bulk Carrier,9586423
/vessels/details/9586411,ULUSOY 11,Bulk Carrier,9586411
/vessels/details/9502568,YILDIZLAR 4,Wood Chips Carrier,9502568
/vessels/details/9370795,YILDIZLAR 3,Wood Chips Carrier,9370795
/vessels/details/9336036,DENAK D,Bulk Carrier,9336036
/vessels/details/9356737,ZEUGMA SEAWAYS,Ro-Ro Cargo Ship,9356737
/vessels/details/9356749,SUMELA SEAWAYS,Ro-Ro Cargo Ship,9356749
/vessels/details/9422122,MYRA SEAWAYS,Ro-Ro Cargo Ship,9422122
/vessels/details/9422134,GALATA SEAWAYS,Ro-Ro Cargo Ship,9422134
/vessels/details/9491264,KIRAN AMERICA,Bulk Carrier,9491264
/vessels/details/9491197,KIRAN EUROPE,Bulk Carrier,9491197
/vessels/details/9456458,INCE KASTAMONU,Bulk Carrier,9456458
/vessels/details/9308182,TURKON EGYPT,Container Ship,9308182
/vessels/details/9809095,ULUSOY-16,Ro-Ro Cargo Ship,9809095
/vessels/details/9514341,YASA KAPTAN ERBIL,Bulk Carrier,9514341
/vessels/details/9506265,ULUSOY-15,Ro-Ro Cargo Ship,9506265
/vessels/details/9506253,ULUSOY-14,Ro-Ro Cargo Ship,9506253
/vessels/details/9506277,PERGAMON SEAWAYS,Ro-Ro Cargo Ship,9506277
/vessels/details/9232151,ZEYNEP C,Bulk Carrier,9232151
/vessels/details/9226748,HACI ALI SARI,Bulk Carrier,9226748
/vessels/details/9254472,INCE INEBOLU,Bulk Carrier,9254472
/vessels/details/9233882,IASOS,Bulk Carrier,9233882
/vessels/details/9293428,ARTEMIS SEAWAYS,Ro-Ro Cargo Ship,9293428
/vessels/details/9293416,ASSOS SEAWAYS,Ro-Ro Cargo Ship,9293416
/vessels/details/9322437,DARDANELLES SEAWAYS,Ro-Ro Cargo Ship,9322437
/vessels/details/9322425,ASPENDOS SEAWAYS,Ro-Ro Cargo Ship,9322425
/vessels/details/9148025,MED AYDIN,Container Ship,9148025
/vessels/details/9135638,MED MERSIN,Container Ship,9135638
/vessels/details/9315927,SASKIA A,Container Ship,9315927
/vessels/details/9064748,MED BEYKOZ,Container Ship,9064748
/vessels/details/9228100,GULLUK,Bulk Carrier,9228100
/vessels/details/9279379,MILAS,Bulk Carrier,9279379
/vessels/details/9321471,TURKON RIZE,Container Ship,9321471
/vessels/details/9393618,ETNA,Bulk Carrier,9393618
/vessels/details/9215476,GALLIPOLI SEAWAYS,Ro-Ro Cargo Ship,9215476
/vessels/details/9242388,CAPPADOCIA SEAWAYS,Ro-Ro Cargo Ship,9242388
/vessels/details/9242390,OLYMPOS SEAWAYS,Ro-Ro Cargo Ship,9242390
/vessels/details/9491850,GULBENIZ A,Container Ship,9491850
/vessels/details/9237888,SANITA S,Bulk Carrier,9237888
/vessels/details/9491848,VIVIEN A,Container Ship,9491848
/vessels/details/9225794,MED SAMSUN,Container Ship,9225794
/vessels/details/9146962,GULMAR,Bulk Carrier,9146962
/vessels/details/9299484,MARTHA A,Container Ship,9299484
/vessels/details/9543342,REYHAN SARI,Bulk Carrier,9543342
/vessels/details/9579028,GULNAK,Bulk Carrier,9579028
/vessels/details/9141780,MED TRABZON,Container Ship,9141780
/vessels/details/9365867,NEVZAT KALKAVAN,Container Ship,9365867
/vessels/details/9365879,KAAN KALKAVAN,Container Ship,9365879
/vessels/details/9365855,MUSTAFA DAYI,Container Ship,9365855
/vessels/details/9443774,SERVET ANA,Bulk Carrier,9443774
/vessels/details/9415246,THEO G,Bulk Carrier,9415246
/vessels/details/8417118,SAFFET BEY,Ro-Ro Cargo Ship,8417118
/vessels/details/8501464,ULUSOY 5,Ro-Ro Cargo Ship,8501464
/vessels/details/8030130,DE TRANSPORTER,Heavy Load Carrier,8030130
/vessels/details/9171541,TAMREY S,Bulk Carrier,9171541
/vessels/details/9181728,FORTUNE EXPRESS,Bulk Carrier,9181728
/vessels/details/9289063,NARA,Container Ship,9289063
/vessels/details/9256365,MED CESME,Container Ship,9256365
/vessels/details/9136785,SWORD LION,General Cargo Ship,9136785
/vessels/details/9015577,ZEYNEP KIRAN,Bulk Carrier,9015577
/vessels/details/9415959,BERNARD A,Container Ship,9415959
/vessels/details/9379387,CLAIRE A,Container Ship,9379387
/vessels/details/9574169,ASALET,Bulk Carrier,9574169
/vessels/details/9540168,ALBATROS I,General Cargo Ship,9540168
/vessels/details/9397420,AYSE NAZ BAYRAKTAR,General Cargo Ship,9397420
/vessels/details/9398632,GOZDE BAYRAKTAR,General Cargo Ship,9398632
/vessels/details/7727334,MF ERDENIZ,Ro-Ro Cargo Ship,7727334
/vessels/details/9126742,ROZA A,Container Ship,9126742
/vessels/details/9126766,CORELLI,Container Ship,9126766
/vessels/details/9126754,TOMRIZ A,Container Ship,9126754
/vessels/details/9458250,ULUSOY 8,General Cargo Ship,9458250
/vessels/details/9248954,MEDKON ANKARA,Container Ship,9248954
/vessels/details/9211157,KOSOVAK,Container Ship,9211157
/vessels/details/9242297,LUCIEN GA,Container Ship,9242297
/vessels/details/9238064,DANIEL A,Container Ship,9238064
/vessels/details/9297577,KARLA A,Container Ship,9297577
/vessels/details/9292448,MATILDE A,Container Ship,9292448
/vessels/details/9242302,KAPTAN AYTAC A,Container Ship,9242302
/vessels/details/9248916,MEHMET KAHVECI A,Container Ship,9248916
/vessels/details/9292462,OYKU A,Container Ship,9292462
/vessels/details/9829916,ICDAS-5,General Cargo Ship,9829916
/vessels/details/9163984,TIMUCIN A,Container Ship,9163984
/vessels/details/9134701,PARPALI,Container Ship,9134701
/vessels/details/9106493,MED DENIZLI,Container Ship,9106493
/vessels/details/9106479,MED CORLU,Container Ship,9106479
/vessels/details/8302791,DEEP KARPAZ,Ro-Ro Cargo Ship,8302791
/vessels/details/9356672,VASSILIS A,Container Ship,9356672
/vessels/details/9470143,KOCATEPE-S,Bulk Carrier,9470143
/vessels/details/9152911,MEDKON MIRA,Container Ship,9152911
/vessels/details/9356660,DIONYSSIS A,Container Ship,9356660
/vessels/details/9020352,INGA A,Container Ship,9020352
/vessels/details/9020340,MARTINE A,Container Ship,9020340
/vessels/details/9126924,LEYLA KALKAVAN,Container Ship,9126924
/vessels/details/9162667,LIONFISH,Container Ship,9162667
/vessels/details/9265598,MED TEKIRDAG,Container Ship,9265598
/vessels/details/9330252,KAPPA,Container Ship,9330252
/vessels/details/9319569,VENTO,Container Ship,9319569
/vessels/details/9370082,FULMAR S,General Cargo Ship,9370082
/vessels/details/9147215,MED CERKEZKOY,Container Ship,9147215
/vessels/details/9143879,MED IZMIR,Container Ship,9143879
/vessels/details/8009064,KIBRIS YILDIZI III,Ro-Ro Cargo Ship,8009064
/vessels/details/9160920,MED URLA,General Cargo Ship,9160920
/vessels/details/9454034,MOLIVA,General Cargo Ship,9454034
/vessels/details/9286449,MSC HOGGAR,Container Ship,9286449
/vessels/details/9498884,ULUSOY-9,Bulk Carrier,9498884
/vessels/details/9260536,BURAK BAYRAKTAR,Container Ship,9260536
/vessels/details/8913320,MEGAN,General Cargo Ship,8913320
/vessels/details/7802067,RORO LEFKE,Ro-Ro Cargo Ship,7802067
/vessels/details/9037288,ISIK 2,General Cargo Ship,9037288
/vessels/details/8912376,MARIN,Ro-Ro Cargo Ship,8912376
/vessels/details/9584982,YM SAMSUN,General Cargo Ship,9584982
/vessels/details/9564994,ZEYCAN ANA,General Cargo Ship,9564994
/vessels/details/9564970,GARIP BABA,General Cargo Ship,9564970
/vessels/details/9936056,KAAN,General Cargo Ship,9936056
/vessels/details/7816501,BOSTAN N,Ro-Ro Cargo Ship,7816501
/vessels/details/7816496,ISTANBUL N,Ro-Ro Cargo Ship,7816496
/vessels/details/9349978,BURAK DEVAL,Bulk Carrier,9349978
/vessels/details/7407037,TOROS,Ro-Ro Cargo Ship,7407037
/vessels/details/9550852,RAHMI YAGCI,General Cargo Ship,9550852
/vessels/details/8308006,MEGA SUN,General Cargo Ship,8308006
/vessels/details/9372846,POLLUX,General Cargo Ship,9372846
/vessels/details/8512047,KURUOGLU-3,General Cargo Ship,8512047
/vessels/details/9045663,MIRA AKAY,General Cargo Ship,9045663
/vessels/details/9442213,NECIBE IMAMOGLU,General Cargo Ship,9442213
/vessels/details/9425289,MEHMET IMAMOGLU,General Cargo Ship,9425289
/vessels/details/9275854,IBRAHIM KARABEKIR,General Cargo Ship,9275854
/vessels/details/9437347,LIVA IMAMOGLU,General Cargo Ship,9437347
/vessels/details/7504653,MV IBRAHIM SIMSEK,General Cargo Ship,7504653
/vessels/details/9314545,MUSTAFA YAGCI,General Cargo Ship,9314545
/vessels/details/9334416,UNLU-5,General Cargo Ship,9334416
/vessels/details/7621736,HIZIR SOFUOGLU,General Cargo Ship,7621736
/vessels/details/9166508,KALKANDERE,General Cargo Ship,9166508
/vessels/details/9146405,BURCUM I,General Cargo Ship,9146405
/vessels/details/9033701,AYDA,General Cargo Ship,9033701
/vessels/details/8357019,ISIK 3,General Cargo Ship,8357019
/vessels/details/9561186,LDR BAYKAN,General Cargo Ship,9561186
/vessels/details/9539793,UGURS,General Cargo Ship,9539793
/vessels/details/9040936,ATASOYLAR,General Cargo Ship,9040936
/vessels/details/9703021,TURK YILDIZI-2,General Cargo Ship,9703021
/vessels/details/9777682,TURK YILDIZI 4,General Cargo Ship,9777682
/vessels/details/9756391,TURK YILDIZI-3,General Cargo Ship,9756391
