url,name,type,imo
/vessels/details/9642514,VIET THUAN 80-01,Bulk Carrier,9642514
/vessels/details/9465772,VIET THUAN 80-02,Bulk Carrier,9465772
/vessels/details/9104469,ORIENTAL GLORY,Bulk Carrier,9104469
/vessels/details/9633006,TRUONGMINHPROSPERITY,Bulk Carrier,9633006
/vessels/details/9675767,TRUONG MINH SUCCESS,Bulk Carrier,9675767
/vessels/details/9558892,PVT PEARL,Bulk Carrier,9558892
/vessels/details/9331751,TM HAI HA 988,Bulk Carrier,9331751
/vessels/details/9493951,VIET THUAN 56-03,Bulk Carrier,9493951
/vessels/details/9391634,VOSCO SUNRISE,Bulk Carrier,9391634
/vessels/details/9391610,TAN BINH 267,Bulk Carrier,9391610
/vessels/details/9303053,SILVER STAR,Bulk Carrier,9303053
/vessels/details/9303089,PVT SAPPHIRE,Bulk Carrier,9303089
/vessels/details/9331878,VIMC SUNRISE,Bulk Carrier,9331878
/vessels/details/9317157,HAI NAM 82,Bulk Carrier,9317157
/vessels/details/9290983,VOSCO UNITY,Bulk Carrier,9290983
/vessels/details/9236896,VOSCO SKY,Bulk Carrier,9236896
/vessels/details/9123831,SUN GOLD,Bulk Carrier,9123831
/vessels/details/9168269,VIET THUAN STAR,Bulk Carrier,9168269
/vessels/details/9420227,INLACO EXPRESS,Bulk Carrier,9420227
/vessels/details/9455375,HPC SUNRISE,Bulk Carrier,9455375
/vessels/details/9316969,HAI NAM 87,Bulk Carrier,9316969
/vessels/details/9503691,HAIAN MIND,Container Ship,9503691
/vessels/details/9573995,STR BRAVE,Bulk Carrier,9573995
/vessels/details/9400899,HAI NAM 85,General Cargo Ship,9400899
/vessels/details/9580493,TAN BINH 239,Bulk Carrier,9580493
/vessels/details/9300867,NEWSUN VISION,Bulk Carrier,9300867
/vessels/details/9320348,AN HAI VINCENT,Bulk Carrier,9320348
/vessels/details/9310769,HTK FORTUNE,Bulk Carrier,9310769
/vessels/details/9309605,HAI NAM 89,General Cargo Ship,9309605
/vessels/details/9967055,HAIAN BETA,Container Ship,9967055
/vessels/details/9967043,HAIAN ALFA,Container Ship,9967043
/vessels/details/9357860,HAIAN WEST,Container Ship,9357860
/vessels/details/9168350,VINASHIP SEA,General Cargo Ship,9168350
/vessels/details/9363144,HAIAN EAST,Container Ship,9363144
/vessels/details/9445057,BERRY,General Cargo Ship,9445057
/vessels/details/9276755,HAI NAM 39,Bulk Carrier,9276755
/vessels/details/9254745,TAN BINH136,Bulk Carrier,9254745
/vessels/details/9444950,ANBIEN BAY,Container Ship,9444950
/vessels/details/9444962,HAIAN ROSE,Container Ship,9444962
/vessels/details/9445007,HAIAN DELL,Container Ship,9445007
/vessels/details/9470727,HAIAN VIEW,Container Ship,9470727
/vessels/details/9551375,HTK PHOENIX,Bulk Carrier,9551375
/vessels/details/9605061,VINASHIP UNITY,Bulk Carrier,9605061
/vessels/details/9281944,HTK LUCKY,Bulk Carrier,9281944
/vessels/details/9412969,HTK CONFIDENCE,Bulk Carrier,9412969
/vessels/details/9412957,HTK LOTUS,Bulk Carrier,9412957
/vessels/details/9253404,TAN BINH 135,Bulk Carrier,9253404
/vessels/details/9248198,PACIFIC 01,Bulk Carrier,9248198
/vessels/details/9180009,LONG TAN 239,Bulk Carrier,9180009
/vessels/details/9266932,HAI NAM 79,General Cargo Ship,9266932
/vessels/details/9334480,PVT AROMA,Bulk Carrier,9334480
/vessels/details/9052329,T AND T GOLD,Bulk Carrier,9052329
/vessels/details/9335458,VIMC MIGHTY,Bulk Carrier,9335458
/vessels/details/9482811,VIMC VICTORY,Bulk Carrier,9482811
/vessels/details/9542582,LUCKY STAR,Bulk Carrier,9542582
/vessels/details/9472062,VIMC UNITY,Bulk Carrier,9472062
/vessels/details/9335460,VTC DRAGON,Bulk Carrier,9335460
/vessels/details/9191046,VTC OCEAN,Bulk Carrier,9191046
/vessels/details/9236858,TAN BINH 134,Bulk Carrier,9236858
/vessels/details/9114488,VINASHIP PEARL,Bulk Carrier,9114488
/vessels/details/9244996,TAN BINH 129,Bulk Carrier,9244996
/vessels/details/9104500,PHUONG DONG 05,Bulk Carrier,9104500
/vessels/details/9142095,SEAGULL DIAMOND,Bulk Carrier,9142095
/vessels/details/9248942,HAIAN BELL,Container Ship,9248942
/vessels/details/9440318,VIET THUAN 215 06,Bulk Carrier,9440318
/vessels/details/9476147,BD PIONEER1,General Cargo Ship,9476147
/vessels/details/9245158,HAIAN TIME,Container Ship,9245158
/vessels/details/9476159,TRUONG AN SHIP,General Cargo Ship,9476159
/vessels/details/9928516,VIET THUAN 215-03,General Cargo Ship,9928516
/vessels/details/9522776,TRANSIMEX SUN,Container Ship,9522776
/vessels/details/9441752,GREEN PACIFIC,Container Ship,9441752
/vessels/details/9441764,PRIDE PACIFIC,Container Ship,9441764
/vessels/details/9318242,TC SYMPHONY,Container Ship,9318242
/vessels/details/9306524,NEW ENERGY,General Cargo Ship,9306524
/vessels/details/9609419,HAIAN IRIS,Container Ship,9609419
/vessels/details/9383522,PRIME,Container Ship,9383522
/vessels/details/9383510,PROGRESS,Container Ship,9383510
/vessels/details/9567831,BRAVE,Cement Carrier,9567831
/vessels/details/9279226,BIENDONG NAVIGATOR,Container Ship,9279226
/vessels/details/9279214,BIENDONG MARINER,Container Ship,9279214
/vessels/details/9207560,HAIAN PARK,Container Ship,9207560
/vessels/details/9299331,PREMIER,Container Ship,9299331
/vessels/details/9600061,ROYAL 27,General Cargo Ship,9600061
/vessels/details/9167851,PACIFIC EXPRESS,Container Ship,9167851
/vessels/details/9573309,MD SKY,Bulk Carrier,9573309
/vessels/details/9282077,TRANG AN 05,General Cargo Ship,9282077
/vessels/details/9647382,SEAGULL LUCKY,General Cargo Ship,9647382
/vessels/details/9717735,TRUONG MINH DRAGON,General Cargo Ship,9717735
/vessels/details/9407653,MD SEA,General Cargo Ship,9407653
/vessels/details/9375642,LAN HA,General Cargo Ship,9375642
/vessels/details/9355599,TAY SON 3,General Cargo Ship,9355599
/vessels/details/9577317,VIMC FREEDOM,Bulk Carrier,9577317
/vessels/details/9525687,DONG PHU,General Cargo Ship,9525687
/vessels/details/9468956,VINASHIP GOLD,General Cargo Ship,9468956
/vessels/details/9568627,THAI BINH 01,Bulk Carrier,9568627
/vessels/details/9343041,TAY SON 2,General Cargo Ship,9343041
/vessels/details/9428516,NEWSUN BLUE,General Cargo Ship,9428516
/vessels/details/9668128,TRUONG MINH OCEAN,General Cargo Ship,9668128
/vessels/details/9947873,OCEAN 88,General Cargo Ship,9947873
/vessels/details/9358527,PHUC THAI,Container Ship,9358527
/vessels/details/9111230,NASICO NAVIGATOR,General Cargo Ship,9111230
/vessels/details/9228289,BIENDONG STAR,Container Ship,9228289
/vessels/details/9168520,FORTUNE FREIGHTER,Container Ship,9168520
/vessels/details/9264738,TRUONG HAI STAR 3,Container Ship,9264738
/vessels/details/9318905,PHUC KHANH,Container Ship,9318905
/vessels/details/9631723,TRUONG MINH STAR,Bulk Carrier,9631723
/vessels/details/9181637,FORTUNE NAVIGATOR,Container Ship,9181637
/vessels/details/9334105,TAN CANG GLORY,Container Ship,9334105
/vessels/details/9138367,VINAFCO 26,Container Ship,9138367
/vessels/details/9146780,MORNING VINAFCO,Container Ship,9146780
/vessels/details/1062433,VIET THUAN 095-02,Bulk Carrier,1062433
/vessels/details/9385805,HS BONANZA,General Cargo Ship,9385805
/vessels/details/9264219,VIETSUN PACIFIC,Container Ship,9264219
/vessels/details/9581772,VINACOMIN HANOI,Bulk Carrier,9581772
/vessels/details/9119191,BINH NGUYEN STAR,General Cargo Ship,9119191
/vessels/details/9088213,TRUONG HAI01,General Cargo Ship,9088213
/vessels/details/9009164,ROYAL 26,General Cargo Ship,9009164
/vessels/details/9536260,MP STAR,General Cargo Ship,9536260
/vessels/details/9563988,QUANG VINH STAR,General Cargo Ship,9563988
/vessels/details/9551117,VIETSUN HARMONY,General Cargo Ship,9551117
/vessels/details/9356907,VIETSUN CONFIDENT,General Cargo Ship,9356907
/vessels/details/9371971,VIETSUN DYNAMIC,General Cargo Ship,9371971
/vessels/details/9438339,VIETSUN FORTUNE,General Cargo Ship,9438339
/vessels/details/9128984,VINAFCO 28,Container Ship,9128984
/vessels/details/9131008,ATLANTIC OCEAN,Container Ship,9131008
/vessels/details/9561019,LONG TAN 88,General Cargo Ship,9561019
/vessels/details/9561007,HPC HARMONY,General Cargo Ship,9561007
/vessels/details/9599808,MR.PEPPER,General Cargo Ship,9599808
/vessels/details/9621065,SUNRISE 69,General Cargo Ship,9621065
/vessels/details/9630511,TRUONG AN 05,Bulk Carrier,9630511
/vessels/details/9629471,TD SUNSHINE,Bulk Carrier,9629471
/vessels/details/9573268,QUANG HAI 09,Bulk Carrier,9573268
/vessels/details/9630523,VINH QUANG STAR,Bulk Carrier,9630523
/vessels/details/9561710,VINH QUANG GOLD,General Cargo Ship,9561710
/vessels/details/9562960,QUANG MINH 29,General Cargo Ship,9562960
/vessels/details/9616711,TAN AN CONFIDENCE,Bulk Carrier,9616711
/vessels/details/9534717,HOA BINH 09,General Cargo Ship,9534717
/vessels/details/9494644,OCEAN BRIGHT,General Cargo Ship,9494644
/vessels/details/9561978,TAN AN ADVANCE,Bulk Carrier,9561978
/vessels/details/9394777,TTC HAI PHONG,General Cargo Ship,9394777
/vessels/details/9318670,VTV SKY,General Cargo Ship,9318670
/vessels/details/9371127,AQUAMARINE,General Cargo Ship,9371127
/vessels/details/9314404,THANH THUY,General Cargo Ship,9314404
/vessels/details/9391543,DONG BA,General Cargo Ship,9391543
/vessels/details/9269647,MY HUNG,General Cargo Ship,9269647
/vessels/details/9251236,TTC VINH AN,General Cargo Ship,9251236
/vessels/details/9309344,TLC 01,General Cargo Ship,9309344
/vessels/details/9276212,VIEN DONG 09,General Cargo Ship,9276212
/vessels/details/9409687,TAYDO STAR,General Cargo Ship,9409687
/vessels/details/9391555,VIEN DONG 151,General Cargo Ship,9391555
/vessels/details/9560883,NASICO SKY,Container Ship,9560883
/vessels/details/9586978,HUNG PHAT 599,Bulk Carrier,9586978
/vessels/details/9562386,THAI BINH 38,Bulk Carrier,9562386
/vessels/details/9591662,ROYAL 18,Bulk Carrier,9591662
/vessels/details/9693434,HOA BINH 54,General Cargo Ship,9693434
/vessels/details/9600047,ROYAL 88,Bulk Carrier,9600047
/vessels/details/9629146,GREEN SKY,General Cargo Ship,9629146
/vessels/details/9548093,HOANG TRIEU 69,General Cargo Ship,9548093
/vessels/details/9586980,NASHICO 08,Bulk Carrier,9586980
/vessels/details/9586966,HOANG TUAN 89,Bulk Carrier,9586966
/vessels/details/9600059,ROYAL 89,Bulk Carrier,9600059
/vessels/details/9600011,ROYAL 16,Bulk Carrier,9600011
/vessels/details/9663374,LONG TAN 03,General Cargo Ship,9663374
/vessels/details/9395484,NAM HANH 569,General Cargo Ship,9395484
/vessels/details/9632193,TTP 68,General Cargo Ship,9632193
/vessels/details/9608594,HUNG PHAT 289,General Cargo Ship,9608594
/vessels/details/9609263,SEA DRAGON 9999,General Cargo Ship,9609263
/vessels/details/9680293,BROTHER 39,General Cargo Ship,9680293
/vessels/details/9596698,HB GLORY,General Cargo Ship,9596698
/vessels/details/9571806,DAI TAY DUONG 25,General Cargo Ship,9571806
/vessels/details/9581801,VINH 02,Bulk Carrier,9581801
/vessels/details/9552680,VINH QUANG SKY,Bulk Carrier,9552680
/vessels/details/9400710,HOANG HAI ACE,General Cargo Ship,9400710
/vessels/details/9585429,HAI PHUONG SKY,General Cargo Ship,9585429
/vessels/details/9594262,PHU AN 288,Bulk Carrier,9594262
/vessels/details/9572147,HA DONG,General Cargo Ship,9572147
/vessels/details/9466441,QUANG MINH 9,General Cargo Ship,9466441
/vessels/details/9575993,NEW XA LA,General Cargo Ship,9575993
/vessels/details/9550993,QUANG MINH 6,General Cargo Ship,9550993
/vessels/details/9559793,VTV DRAGON,General Cargo Ship,9559793
/vessels/details/9576002,VINH QUANG OCEAN,General Cargo Ship,9576002
/vessels/details/9545742,HAI NAM 36,Bulk Carrier,9545742
/vessels/details/9664940,VINH QUANG 379,General Cargo Ship,9664940
/vessels/details/9402419,HAI MINH,General Cargo Ship,9402419
/vessels/details/9581734,TRUONG SON 26,General Cargo Ship,9581734
/vessels/details/9452751,TIGER,General Cargo Ship,9452751
/vessels/details/9494462,ALL MARINE 09,General Cargo Ship,9494462
/vessels/details/9348596,HAI MINH 19,General Cargo Ship,9348596
/vessels/details/9431367,STAR 58,General Cargo Ship,9431367
/vessels/details/9558127,PHU DAT 168,Bulk Carrier,9558127
/vessels/details/9533517,PHU DAT 268,General Cargo Ship,9533517
/vessels/details/9355721,ADIRA 16,General Cargo Ship,9355721
/vessels/details/9600009,THAI BINH 35,General Cargo Ship,9600009
/vessels/details/9422110,BINH THANH,General Cargo Ship,9422110
/vessels/details/9565259,PHUC THUAN 36,Bulk Carrier,9565259
/vessels/details/8667593,MT HA N0I 39,General Cargo Ship,8667593
/vessels/details/9563316,XUAN HIEU GROUP 286,Bulk Carrier,9563316
