url,name,type,imo
/vessels/details/202600016,NOMAD,Sailing vessel,202600016
/vessels/details/202600014,SETSOM,Unknown,202600014
/vessels/details/202478966,8966-4-87,Unknown,202478966
/vessels/details/202409012,QIANI0NGN0.1-1225,Unknown,202409012
/vessels/details/202450022,PHUC LOC P3-35,Unknown,202450022
/vessels/details/202014572,DA MAO WANG - 72-41,Unknown,202014572
/vessels/details/202620003,20262-03-57,Unknown,202620003
/vessels/details/202417351,06173-5199,Unknown,202417351
/vessels/details/202582612,HXF-12-83,Unknown,202582612
/vessels/details/202002232,60025-001-82,Unknown,202002232
/vessels/details/202256002,SUQIYU2256-2-56,Unknown,202256002
/vessels/details/202109080,09839-13-99,Unknown,202109080
/vessels/details/202133910,LIN21339-10-46,Unknown,202133910
/vessels/details/202501051,00591-5-75,Unknown,202501051
/vessels/details/202588138,02588-138-62,Unknown,202588138
/vessels/details/202185515,NET-ZLY21855-B15-,Unknown,202185515
/vessels/details/202153106,HAIOU888-6-01,Unknown,202153106
/vessels/details/202000008,2020-8-99,Unknown,202000008
/vessels/details/202122210,ZHELINYU21222-10,Unknown,202122210
/vessels/details/202004261,LUMA-1,Unknown,202004261
/vessels/details/202256906,7083 - 696,Unknown,202256906
/vessels/details/202014101,DA MAO WANG - 101,Unknown,202014101
/vessels/details/202055688,20205568834,Unknown,202055688
/vessels/details/202109006,09851-11-61,Unknown,202109006
/vessels/details/202198076,SUGANYU02198-768.0V,Unknown,202198076
/vessels/details/202857140,02857-140-35,Unknown,202857140
/vessels/details/202509210,1,Fishing vessel,202509210
/vessels/details/202588136,02588-136-67,Unknown,202588136
/vessels/details/202010049,0688-14 90,Unknown,202010049
/vessels/details/202188266,02188-266-62,Unknown,202188266
/vessels/details/202170801,25215-1-47,Unknown,202170801
/vessels/details/202021851,ZHE21851-20 90,Unknown,202021851
/vessels/details/202280293,338866-6-60,Unknown,202280293
/vessels/details/202608002,02866-6-23,Unknown,202608002
/vessels/details/202210020,63836-19,Unknown,202210020
/vessels/details/202409215,WWW-005-99,Unknown,202409215
/vessels/details/202440002,RAP GHE 27 P1-68,Unknown,202440002
/vessels/details/202886151,NET-02886-151-91,Unknown,202886151
/vessels/details/202312347,06222-3-36,Unknown,202312347
/vessels/details/202421600,XYY21600-20-77,Unknown,202421600
/vessels/details/202852127,02852-127-84,Unknown,202852127
/vessels/details/202158119,02158-119-71,Unknown,202158119
/vessels/details/202015555,20201-5-79,Unknown,202015555
/vessels/details/202010099,1958-6-57,Unknown,202010099
/vessels/details/202003214,MAJIAOWANG338-14,Unknown,202003214
/vessels/details/202008277,68869-17-91,Unknown,202008277
/vessels/details/202503002,FENGLI879-2-80,Unknown,202503002
/vessels/details/202600007,GRANDALLA,Pleasure craft,202600007
/vessels/details/202527801,25278-01-62,Unknown,202527801
/vessels/details/202033692,YANGZHIQU 786 - -2,Unknown,202033692
/vessels/details/202188251,02188-251-43,Unknown,202188251
/vessels/details/202342501,QIANJIN-1-55,Unknown,202342501
/vessels/details/202510102,19028-9-96,Unknown,202510102
/vessels/details/202411009,203-99,Unknown,202411009
/vessels/details/202004023,63966-6-56,Unknown,202004023
/vessels/details/202000025,2020-25-96,Unknown,202000025
/vessels/details/202688888,MINZHANGYU60985,Passenger ship,202688888
/vessels/details/202508101,ZHECANGYU03677-1-99,Unknown,202508101
/vessels/details/202227905,YANGXIYU22279-5-76,Unknown,202227905
/vessels/details/202591207,13255-2-99,Unknown,202591207
/vessels/details/202399666,ZKS31197,Towing vessel,202399666
/vessels/details/202358841,46208,Fishing vessel,202358841
/vessels/details/202153003,HAIRUN-3-55,Unknown,202153003
/vessels/details/202122209,ZHELINYU21222-9-76,Unknown,202122209
/vessels/details/202014553,DA MAO WANG - 53-25,Unknown,202014553
/vessels/details/202412109,9 84,Unknown,202412109
/vessels/details/202012003,3588-13-55,Unknown,202012003
/vessels/details/202688102,02688-102-53,Unknown,202688102
/vessels/details/202014577,DA MAO WANG - 77-82,Unknown,202014577
/vessels/details/202004216,65888-20,Unknown,202004216
/vessels/details/202999902,NET29999-2-21,Unknown,202999902
/vessels/details/202157715,LIN 21577-15-39,Unknown,202157715
/vessels/details/202000023,2020-23-80,Unknown,202000023
/vessels/details/202688108,02688-108-57,Unknown,202688108
/vessels/details/202400108,2024-8-92,Unknown,202400108
/vessels/details/202185511,NET-ZLY21855-B11-,Unknown,202185511
/vessels/details/202985364,NET29853-64-83,Unknown,202985364
/vessels/details/202502152,08789-12-53,Unknown,202502152
/vessels/details/202208104,1980-4-70,Unknown,202208104
/vessels/details/202008268,68869-8-82,Unknown,202008268
/vessels/details/202007816,ZHE07816-207.3V,Unknown,202007816
/vessels/details/202401414,22222-1486,Unknown,202401414
/vessels/details/202109072,63828-17-32,Unknown,202109072
/vessels/details/202502001,SHENG FU MAN-1-02,Unknown,202502001
/vessels/details/202014597,DA MAO WANG - 97-96,Unknown,202014597
/vessels/details/202590002,20259-2,Unknown,202590002
/vessels/details/202851121,02851-121-79,Unknown,202851121
/vessels/details/202188223,02188-223-81,Unknown,202188223
/vessels/details/202308000,YUETAIYU31215000299,Unknown,202308000
/vessels/details/202289973,ZHESANYU08997-3-8.0,Unknown,202289973
/vessels/details/202450057,P7 XL 767 B32-03,Unknown,202450057
/vessels/details/202975805,NET29758-5-37,Unknown,202975805
/vessels/details/202209086,1980-5-46,Unknown,202209086
/vessels/details/202345962,00962,Fishing vessel,202345962
/vessels/details/202409013,QIANI0NGN0.1-1395,Cargo ship,202409013
/vessels/details/202696456,YU 96456 -L2 100,Unknown,202696456
/vessels/details/202192310,LIN21923-10-81,Unknown,202192310
/vessels/details/202575788,ZHE DAI YU 01198-20,Unknown,202575788
/vessels/details/202333210,02333-210-65,Unknown,202333210
/vessels/details/202345678,45678-23-96,Unknown,202345678
/vessels/details/202008888,202008888-99,Unknown,202008888
/vessels/details/202588125,02588-125-65,Unknown,202588125
/vessels/details/202110066,68828-10-36,Unknown,202110066
/vessels/details/202309005,186686-68,Unknown,202309005
/vessels/details/202500062,00062,Other type (HAZ-D),202500062
/vessels/details/202010065,63892-5,Unknown,202010065
/vessels/details/202502154,08789-14-53,Unknown,202502154
/vessels/details/202857128,02857-128-16,Unknown,202857128
/vessels/details/202042001,B042-01-99,Unknown,202042001
/vessels/details/202444148,02444-148-67,Unknown,202444148
/vessels/details/202851125,02851-125-71,Unknown,202851125
/vessels/details/202827216,TLONG 28 P2.99,Unknown,202827216
/vessels/details/202105333,LUCHENGYU60817-2499,Fishing vessel,202105333
/vessels/details/202001232,1552-2-49,Unknown,202001232
/vessels/details/202444167,02444-167-68C,Unknown,202444167
/vessels/details/202594444,BUOY202594444-95,Unknown,202594444
/vessels/details/202003039,31999-1-48,Unknown,202003039
/vessels/details/202187130,LIN21871-30-86,Unknown,202187130
/vessels/details/202301251,WANGFENG-14068-39,Unknown,202301251
/vessels/details/202009051,9888-5-58,Unknown,202009051
/vessels/details/202256914,7083 - 1499,Unknown,202256914
/vessels/details/202852101,02852-101-56,Unknown,202852101
/vessels/details/202554566,ZHEDAI YU 03906-TT6-,Unknown,202554566
/vessels/details/202310223,RONGDIAOCHENG10223,Fishing vessel,202310223
/vessels/details/202620001,20262-01-73,Unknown,202620001
/vessels/details/202301453,00125-278,Unknown,202301453
/vessels/details/202880201,NET28802-1-69,Unknown,202880201
/vessels/details/202194801,ZHELINYU21948-1-35,Unknown,202194801
/vessels/details/202020256,YU20000,Fishing vessel,202020256
/vessels/details/202103003,9888-30,Unknown,202103003
/vessels/details/202108042,MJY08792-14-45,Unknown,202108042
/vessels/details/202010085,08929BEI-1-76,Unknown,202010085
/vessels/details/202857178,02857-178-84,Unknown,202857178
/vessels/details/202111111,20211-1-91,Unknown,202111111
/vessels/details/202855111,02855-111-95,Unknown,202855111
/vessels/details/202511890,01188-21-49,Unknown,202511890
/vessels/details/202509109,ZHECANGYU03677-10,Unknown,202509109
/vessels/details/202401263,HUAQINGHAO-97,Unknown,202401263
/vessels/details/202091601,AIS NET MARK84,Fishing vessel,202091601
/vessels/details/202358966,8966-25-98,Unknown,202358966
/vessels/details/202333203,02333-203-54,Unknown,202333203
/vessels/details/202200314,NET3-ZHEDINYU06202,Pleasure craft,202200314
/vessels/details/202582617,HXF-17-91,Unknown,202582617
/vessels/details/202007021,XINFENGLI-00,Unknown,202007021
/vessels/details/202155255,LIN21552-55-85,Unknown,202155255
/vessels/details/202508281,11493-2275,Unknown,202508281
/vessels/details/202388101,WFH666,Fishing vessel,202388101
/vessels/details/202588127,02588-127-90,Unknown,202588127
/vessels/details/202445711,202445711-96,Unknown,202445711
/vessels/details/202698822,0399 - 2299,Unknown,202698822
/vessels/details/202386166,888,Unknown,202386166
/vessels/details/202014554,DA MAO WANG - 54-99,Unknown,202014554
/vessels/details/202004217,65888-21-99,Unknown,202004217
/vessels/details/202450068,RG CANH TAM P2-61,Unknown,202450068
/vessels/details/202444135,02444-135-86,Unknown,202444135
/vessels/details/202881267,NET02881-267-95,Unknown,202881267
/vessels/details/202199457,WANGBIAO,Unknown,202199457
/vessels/details/202345826,00826,Fishing vessel,202345826
/vessels/details/202566886,SHUIMINGMING886,Passenger ship,202566886
/vessels/details/202198077,SUGANYU02198-778.1V,Unknown,202198077
/vessels/details/202158810,LIN21588-10-65,Unknown,202158810
/vessels/details/202409142,DUC TIN CO4 C30-98,Unknown,202409142
/vessels/details/202001257,61812-16-43,Unknown,202001257
/vessels/details/202886924,NET28869-24-82,Unknown,202886924
/vessels/details/202001111,20200111185,Unknown,202001111
/vessels/details/202502149,08789-9-77,Unknown,202502149
/vessels/details/202501053,00591-7-41,Unknown,202501053
/vessels/details/202310105,ZHANHAI101-5-69,Unknown,202310105
/vessels/details/202003252,MINSHAOYU89250-01,Unknown,202003252
/vessels/details/202509031,35036-9-83,Unknown,202509031
/vessels/details/202010925,04092-25 6.5V,Unknown,202010925
/vessels/details/202015635,01563-5-38,Unknown,202015635
/vessels/details/202577707,2025-7-78,Unknown,202577707
/vessels/details/202312308,07858-851,Unknown,202312308
/vessels/details/202253286,MIN DONG ZHU 33258,Fishing vessel,202253286
/vessels/details/202014140,DA MAO WANG - 140,Unknown,202014140
/vessels/details/202333217,02333-217-74,Unknown,202333217
/vessels/details/202507084,60918-5-67,Unknown,202507084
/vessels/details/202333209,02333-209-41,Unknown,202333209
/vessels/details/202891147,02891-147-64,Unknown,202891147
/vessels/details/202158145,02158-145-83,Unknown,202158145
/vessels/details/202232552,22279-10-85,Unknown,202232552
/vessels/details/202886913,NET28869-13-87,Unknown,202886913
/vessels/details/202983724,NET29837-24-31,Unknown,202983724
/vessels/details/202139486,ZHEDAIYU02394-86,Unknown,202139486
/vessels/details/202508029,ZHECANGYU07777-19,Unknown,202508029
/vessels/details/202007018,786-08,Unknown,202007018
/vessels/details/202307018,099-UYU 47888 -12,Unknown,202307018
/vessels/details/202322457,20232245799,Unknown,202322457
/vessels/details/202502011,00591-8-82,Unknown,202502011
/vessels/details/202857175,02857-175-76,Unknown,202857175
/vessels/details/202108026,HONG FA-12,Unknown,202108026
/vessels/details/202400003,P4 RGE NGHI SON-99,Unknown,202400003
/vessels/details/202188259,02188-259-84,Unknown,202188259
/vessels/details/202109101,00962-13-54,Unknown,202109101
/vessels/details/202409983,LUOI P4 G 076-72,Unknown,202409983
/vessels/details/202851129,02851-129-44,Unknown,202851129
/vessels/details/202886925,NET28869-25-90,Unknown,202886925
/vessels/details/202983736,NET29837-36-46,Unknown,202983736
/vessels/details/202886918,NET28869-18-85,Unknown,202886918
/vessels/details/202128317,YANGXI21283-17-99,Unknown,202128317
/vessels/details/202000016,2020-16-99,Unknown,202000016
/vessels/details/202020201,MV NIKAELLA V.,Cargo ship,202020201
/vessels/details/202183710,LIN21837-10-56,Unknown,202183710
/vessels/details/202033693,YANGZHIQU 786 - 1-3,Unknown,202033693
/vessels/details/202003143,MINPINGYU60788-9,Unknown,202003143
/vessels/details/202698828,0399 - 2899,Unknown,202698828
/vessels/details/202444166,02444-166-68,Unknown,202444166
/vessels/details/202345789,00789,Fishing vessel,202345789
/vessels/details/202686868,F19 68,Towing vessel,202686868
/vessels/details/202411022,YU SHUN-31-70,Unknown,202411022
/vessels/details/202125510,LIN21255-10-77,Unknown,202125510
/vessels/details/202500001,69034-01-45,Unknown,202500001
/vessels/details/202183904,ZHELINYU21839-A0439,Unknown,202183904
/vessels/details/202000019,2020-19-50,Unknown,202000019
/vessels/details/202695011,ZHEDAIYU02695-11A7V4,Unknown,202695011
/vessels/details/202511883,01188-13-52,Unknown,202511883
/vessels/details/202208262,11133-4 99,Unknown,202208262
/vessels/details/202508008,12668-8-83,Unknown,202508008
/vessels/details/202983708,NET29837-8-37,Unknown,202983708
/vessels/details/202014565,DA MAO WANG - 65-65,Unknown,202014565
/vessels/details/202857146,02857-146-57,Unknown,202857146
/vessels/details/202258006,SUQIYU02258D6-67,Unknown,202258006
/vessels/details/202191110,LIN21911-10-83,Unknown,202191110
/vessels/details/202292979,29793-63,Unknown,202292979
/vessels/details/202203294,60011-11 61,Unknown,202203294
/vessels/details/202419110,MINGFUDING09110-10,Unknown,202419110
/vessels/details/202688113,02688-113-76,Unknown,202688113
/vessels/details/202014112,DA MAO WANG - 112,Unknown,202014112
/vessels/details/202597777,BUOY202597777-90,Unknown,202597777
/vessels/details/202390808,00808-15-74,Unknown,202390808
/vessels/details/202107015,BANAMA-30,Unknown,202107015
/vessels/details/202501102,02998-7-01,Unknown,202501102
/vessels/details/202760655,LXK60655-208.1V,Unknown,202760655
/vessels/details/202771018,LXK71018-208.3V,Unknown,202771018
/vessels/details/202407009,77895-14-96,Unknown,202407009
/vessels/details/202582629,HXF-29-91,Unknown,202582629
/vessels/details/202012004,3588-14-65,Unknown,202012004
/vessels/details/202210040,19013-8 82,Unknown,202210040
/vessels/details/202500013,15-13 95,Other type,202500013
/vessels/details/202109107,00889-15-83,Unknown,202109107
/vessels/details/202857134,02857-134-11,Unknown,202857134
/vessels/details/202292079,SUGANYU02292-798.1V,Unknown,202292079
/vessels/details/202852108,02852-108-25,Unknown,202852108
/vessels/details/202588128,02588-128-37,Unknown,202588128
/vessels/details/202005079,H202005079,Fishing vessel,202005079
/vessels/details/202460002,20246-299,Unknown,202460002
/vessels/details/202122113,21221-13-89,Unknown,202122113
/vessels/details/202014593,DA MAO WANG - 93-93,Unknown,202014593
/vessels/details/202259888,HH HH,Pleasure craft,202259888
/vessels/details/202412121,08389-11-55,Unknown,202412121
/vessels/details/202886121,NET02886-121-55,Unknown,202886121
/vessels/details/202111717,HAI YANG789-20-94,Unknown,202111717
/vessels/details/202329983,02998-1780,Unknown,202329983
/vessels/details/202185522,NET-ZLY21855-B22-,Unknown,202185522
/vessels/details/202983707,NET29837-7-46,Unknown,202983707
/vessels/details/202292081,SUGANYU02292-817.7V,Unknown,202292081
/vessels/details/202188102,ZHEDAIYU02188-102,Unknown,202188102
/vessels/details/202468686,06868-36-05,Unknown,202468686
/vessels/details/202400102,2024-2-99,Unknown,202400102
/vessels/details/202390056,60056-16-85,Unknown,202390056
/vessels/details/202014587,DA MAO WANG - 87-24,Unknown,202014587
/vessels/details/202010006,68638-2-84,Unknown,202010006
/vessels/details/202312516,03298-1699,Unknown,202312516
/vessels/details/202409166,PHAO1 76 LUOI GHE C1,Unknown,202409166
/vessels/details/202503172,11677-154,Unknown,202503172
/vessels/details/202210009,60897-14-75,Unknown,202210009
/vessels/details/202891189,02891-189-83,Unknown,202891189
/vessels/details/202409105,P7 A28 LRO G60-61,Unknown,202409105
/vessels/details/202510208,88806-8-93,Unknown,202510208
/vessels/details/202020121,101254,Fishing vessel,202020121
/vessels/details/202886946,NET28869-46-76,Unknown,202886946
/vessels/details/202004214,65888-18,Unknown,202004214
/vessels/details/202891133,0289113386,Unknown,202891133
/vessels/details/202510210,88806-10-93,Unknown,202510210
/vessels/details/202507103,06988-9-20,Unknown,202507103
/vessels/details/202010115,09839-11-66,Unknown,202010115
/vessels/details/202045678,45678-20-94,Unknown,202045678
/vessels/details/202508050,WANGWEIYI,Unknown,202508050
/vessels/details/202886905,NET28869-5-82,Unknown,202886905
/vessels/details/202014552,DA MAO WANG - 52-72,Unknown,202014552
/vessels/details/202409018,QIANI0NGN0.1-1897,Unknown,202409018
/vessels/details/202444168,02444-168-65,Unknown,202444168
/vessels/details/202308024,FENG LI-21-74,Unknown,202308024
/vessels/details/202256902,7083 - 298,Unknown,202256902
/vessels/details/202122457,202122457-54,Unknown,202122457
/vessels/details/202198078,SUGANYU02198-787.6V,Unknown,202198078
/vessels/details/202185503,NET-ZLY21855-B03-,Unknown,202185503
/vessels/details/202014579,DA MAO WANG - 79-15,Unknown,202014579
/vessels/details/202315818,ZDY15818-90,Unknown,202315818
/vessels/details/202008275,68869-15-86,Unknown,202008275
/vessels/details/202856173,02856-173-99,Unknown,202856173
/vessels/details/202600026,PRINCESA II,Unknown,202600026
/vessels/details/202893012,SUGANYU02893-12A8.0,Unknown,202893012
/vessels/details/202229028,SUGANYU02229-287.5V,Unknown,202229028
/vessels/details/202158102,02158-102-51,Unknown,202158102
/vessels/details/202111004,999-8,Unknown,202111004
/vessels/details/202510958,LIYUAN25,Unknown,202510958
/vessels/details/202440022,P6-SON L RO A28-79,Unknown,202440022
/vessels/details/202400112,2024-12-95,Unknown,202400112
/vessels/details/202503018,666483,Fishing vessel,202503018
/vessels/details/202000015,2020-15-68,Unknown,202000015
/vessels/details/202109016,12345,Unknown,202109016
/vessels/details/202209270,06868-1690,Unknown,202209270
/vessels/details/202014122,DA MAO WANG - 122,Unknown,202014122
/vessels/details/202857155,02857-155-68,Unknown,202857155
/vessels/details/202210179,XIN FENG LI-7-65,Unknown,202210179
/vessels/details/202506021,XH02111,Unknown,202506021
/vessels/details/202411010,205-85,Unknown,202411010
/vessels/details/202409151,AAA-21-96,Unknown,202409151
/vessels/details/202333222,22-LX-P3-B11 97,Unknown,202333222
/vessels/details/202852105,02852-105-58,Unknown,202852105
/vessels/details/202508162,13007-208,Unknown,202508162
/vessels/details/202333211,02333-211-54,Unknown,202333211
/vessels/details/202006007,877-1,Unknown,202006007
/vessels/details/202010067,63892-7-91,Unknown,202010067
/vessels/details/202401108,ZHELINYU21556-17-99,Unknown,202401108
/vessels/details/202011111,20201-01,Unknown,202011111
/vessels/details/202208091,LU HAI YU 65887,Fishing vessel,202208091
/vessels/details/202133301,LIN21333-1-19,Unknown,202133301
/vessels/details/9951599,VERA GEE,Tug,9951599
/vessels/details/202444161,02444-161-76,Unknown,202444161
/vessels/details/202306010,60,Unknown,202306010
/vessels/details/202444162,02444-162-80,Unknown,202444162
/vessels/details/202158113,02158-113-74,Unknown,202158113
/vessels/details/202109009,09851-22-91,Unknown,202109009
/vessels/details/202185501,NET-ZLY21855-B01-,Unknown,202185501
/vessels/details/202582626,HXF-26-67,Unknown,202582626
/vessels/details/202855112,02855-112-97,Unknown,202855112
/vessels/details/202206030,MINDONGYU2406,Pleasure craft,202206030
/vessels/details/202256903,7083 - 333,Unknown,202256903
/vessels/details/202207230,668-10 42,Unknown,202207230
/vessels/details/202501016,JIN FENG18-8-25,Unknown,202501016
/vessels/details/202008274,68869-14-87,Unknown,202008274
/vessels/details/202983704,NET29837-4-16,Unknown,202983704
/vessels/details/202108029,60012-16-61,Unknown,202108029
/vessels/details/202421686,XYY21686-207.9V,Unknown,202421686
/vessels/details/202505140,ZJIII,Cargo ship,202505140
/vessels/details/202185519,NET-ZLY21855-B19-,Unknown,202185519
/vessels/details/202852109,02852-109-80,Unknown,202852109
/vessels/details/202331601,FUBIAO001-57,Unknown,202331601
/vessels/details/202006288,Q6288A20-92,Unknown,202006288
/vessels/details/202205252,333-16-90,Unknown,202205252
/vessels/details/202400019,P6 RGE NGHI SON-99,Unknown,202400019
/vessels/details/202857156,02857-156-62,Unknown,202857156
/vessels/details/202014121,DA MAO WANG - 121,Unknown,202014121
/vessels/details/202852110,02852-110-98,Unknown,202852110
/vessels/details/202519168,19168-14-81,Unknown,202519168
/vessels/details/202014124,DA MAO WANG - 124,Unknown,202014124
/vessels/details/202042003,B042-03-74,Unknown,202042003
/vessels/details/202033666,ZHE33666-20 30,Unknown,202033666
/vessels/details/202188101,ZHEDAIYU02188-101,Unknown,202188101
/vessels/details/202015151,TLONG 36 A11 P5 95,Unknown,202015151
/vessels/details/202209002,JX18-2023-1-5,Unknown,202209002
/vessels/details/202695013,ZHDEAIYU02695-13A7V9,Unknown,202695013
/vessels/details/202983728,NET29837-28-79,Unknown,202983728
/vessels/details/202109105,00889-6-55,Unknown,202109105
/vessels/details/202020123,SHAN HAOJIAO239,Fishing vessel,202020123
/vessels/details/202857145,02857-145-65,Unknown,202857145
/vessels/details/202011002,09851-18-99,Unknown,202011002
/vessels/details/202444157,02444-157-77,Unknown,202444157
/vessels/details/202857143,02857-143-54,Unknown,202857143
/vessels/details/202110810,HONGYUN-10-99,Unknown,202110810
/vessels/details/202412130,08389-20-64,Unknown,202412130
/vessels/details/202109079,09839-12-47,Unknown,202109079
/vessels/details/202891186,02891-186-90,Unknown,202891186
/vessels/details/202886916,NET28869-16-77,Unknown,202886916
/vessels/details/202310045,DONG FENG-11-99,Unknown,202310045
/vessels/details/202311293,365,Unknown,202311293
/vessels/details/202109102,3688-3,Unknown,202109102
/vessels/details/202510206,88806-6-66,Unknown,202510206
/vessels/details/202123818,818-03 100,Other type,202123818
/vessels/details/202508026,ZHECANGYU07777-16,Unknown,202508026
/vessels/details/202403030,188-3029,Unknown,202403030
/vessels/details/202006878,06878-A20-23,Unknown,202006878
/vessels/details/202450032,P1 L F36 GK6-34,Unknown,202450032
/vessels/details/202857110,0285711058,Unknown,202857110
/vessels/details/202599999,BUOY202599999-98,Unknown,202599999
/vessels/details/202188216,02188-216-81,Unknown,202188216
/vessels/details/202712270,ZHELIN12270-20-21,Unknown,202712270
/vessels/details/202306011,TIE LONG 1-91,Unknown,202306011
/vessels/details/202503014,WWERG,Cargo ship,202503014
/vessels/details/202310602,-10399,Unknown,202310602
/vessels/details/202444173,02444-173-75,Unknown,202444173
/vessels/details/202403260,06,Unknown,202403260
/vessels/details/202033711,YANGZHIQU 786 - -11,Unknown,202033711
/vessels/details/202011012,68882-15-60,Unknown,202011012
/vessels/details/202014134,DA MAO WANG - 134,Unknown,202014134
/vessels/details/202042004,B042-04-79,Unknown,202042004
/vessels/details/202162103,ZHELINYU21621-0394,Unknown,202162103
/vessels/details/202885182,02885-182-74,Unknown,202885182
/vessels/details/202407008,77895-15-99,Unknown,202407008
/vessels/details/202411019,YU SHUN-28-76,Unknown,202411019
/vessels/details/202001333,04150-01,Unknown,202001333
/vessels/details/202421921,XYY21921-20-99,Unknown,202421921
/vessels/details/202417354,06173-5499,Unknown,202417354
/vessels/details/202112002,80,Unknown,202112002
/vessels/details/202194803,ZHELINYU21948-3-43,Unknown,202194803
/vessels/details/202033712,YANGZHIQU 786 - -12,Unknown,202033712
/vessels/details/202014132,DA MAO WANG - 132,Unknown,202014132
/vessels/details/202162107,ZHELINYU21621-0778,Unknown,202162107
/vessels/details/202185512,NET-ZLY21855-B12-,Unknown,202185512
/vessels/details/202444137,02444-137-63,Unknown,202444137
/vessels/details/202210136,FYHVCF-85,Unknown,202210136
/vessels/details/202444416,6890699,Unknown,202444416
/vessels/details/202511889,01188-20-53,Unknown,202511889
/vessels/details/202400007,202400007 10,Unknown,202400007
/vessels/details/202333247,02333-247-58,Unknown,202333247
/vessels/details/202508104,ZHECANGYU03677-4-99,Unknown,202508104
/vessels/details/202189010,LIN21890-10-02,Unknown,202189010
/vessels/details/202162109,ZHELINYU21621-0999,Unknown,202162109
/vessels/details/202310897,23108-AAA-99,Unknown,202310897
/vessels/details/202210030,7777GI8ZC M25 BF,Unknown,202210030
/vessels/details/202406252,202406250002-98,Unknown,202406252
/vessels/details/202400118,2024-18-99,Unknown,202400118
/vessels/details/202409082,LONG RO A28 VI -66,Unknown,202409082
/vessels/details/202855109,02855-109-97,Unknown,202855109
/vessels/details/202886930,NET28869-30-70,Unknown,202886930
/vessels/details/202501310,YUEYANGDONGYU43096,Fishing vessel,202501310
/vessels/details/202400073,SUSHEYU01208-09,Unknown,202400073
/vessels/details/202014566,DA MAO WANG - 66-99,Unknown,202014566
/vessels/details/202408038,DONG FANG-16-35,Unknown,202408038
/vessels/details/202318866,99833-3-99,Unknown,202318866
/vessels/details/202157707,ZHELINYU21577-7-17,Unknown,202157707
/vessels/details/202107010,08929-12-48,Unknown,202107010
/vessels/details/202588141,02588-141-81,Unknown,202588141
/vessels/details/202019527,WEL,Unknown,202019527
/vessels/details/202688111,02688-111-82,Unknown,202688111
/vessels/details/202011291,80003,Unknown,202011291
/vessels/details/202162215,LIN21622-15-80,Unknown,202162215
/vessels/details/202354444,20235-4-46,Unknown,202354444
/vessels/details/202105002,68882-14-72,Unknown,202105002
