url,name,type,imo
/vessels/details/9252333,SPRITE,Crude Oil Tanker,9252333
/vessels/details/9239795,GODDESS OF THE NIGHT,Passenger (Cruise) Ship,9239795
/vessels/details/9590060,SUNRISE,Bulk Carrier,9590060
/vessels/details/9234642,KOALA,Crude Oil Tanker,9234642
/vessels/details/9233777,OCEAN II,Crude Oil Tanker,9233777
/vessels/details/9236016,VISION,Crude Oil Tanker,9236016
/vessels/details/9235892,WIND,Crude Oil Tanker,9235892
/vessels/details/9102992,AEGEAN MAJESTY,Passenger (Cruise) Ship,9102992
/vessels/details/9134232,KERMIT,Container Ship,9134232
/vessels/details/9324320,MARALTA,Oil Products Tanker,9324320
/vessels/details/9222132,LOVE,Oil Products Tanker,9222132
/vessels/details/9316232,CHEMTRANS NOVA,Crude Oil Tanker,9316232
/vessels/details/9282998,LIO T,Crude Oil Tanker,9282998
/vessels/details/9614842,PABAL,Bulk Carrier,9614842
/vessels/details/9614854,PABUR,Bulk Carrier,9614854
/vessels/details/9270488,MOONI,Crude Oil Tanker,9270488
/vessels/details/9299147,FANTA,Oil Products Tanker,9299147
/vessels/details/9299159,FRIEND,Chemical/Oil Products Tanker,9299159
/vessels/details/9423035,NORDIA,Container Ship,9423035
/vessels/details/9219381,LODUR,Container Ship,9219381
/vessels/details/9445887,CALANDRA,Container Ship,9445887
/vessels/details/9514339,HOPE 1,Bulk Carrier,9514339
/vessels/details/9284788,DHAN LAXMI,Crude Oil Tanker,9284788
/vessels/details/9337315,SENTINEL,Chemical/Oil Products Tanker,9337315
/vessels/details/9290919,VICTORY ARI,Chemical/Oil Products Tanker,9290919
/vessels/details/9246463,FUXI,Chemical/Oil Products Tanker,9246463
/vessels/details/9186625,HASH,Crude Oil Tanker,9186625
/vessels/details/9311799,AS CHRISTIANA,Container Ship,9311799
/vessels/details/9311775,AS CARLOTTA,Container Ship,9311775
/vessels/details/9279719,SUNRISE,Oil Products Tanker,9279719
/vessels/details/9360257,PROTOSTAR,Container Ship,9360257
/vessels/details/9192442,CICCIO,Container Ship,9192442
/vessels/details/9434474,AS PAMELA,Container Ship,9434474
/vessels/details/9434450,AS PIA,Container Ship,9434450
/vessels/details/9434931,CAUCEDO EXPRESS,Container Ship,9434931
/vessels/details/9858424,STARNES,Self Discharging Bulk Carrier,9858424
/vessels/details/9880855,FJORDNES,Self Discharging Bulk Carrier,9880855
/vessels/details/9294018,JULIUS S,Container Ship,9294018
/vessels/details/9239642,AK ANA,Oil Products Tanker,9239642
