url,name,type,imo
/vessels/details/301380041,30138-41-66,Unknown,301380041
/vessels/details/301865918,3018-18-99,Unknown,301865918
/vessels/details/301220069,QIONGLEYU30122-6952,Unknown,301220069
/vessels/details/301122754,ZHEDAIYU11227-54-99,Unknown,301122754
/vessels/details/301659204,QI YU01659204-86,Unknown,301659204
/vessels/details/301119601,11196-1-97,Unknown,301119601
/vessels/details/301000027,JOSHLIN,Passenger ship,301000027
/vessels/details/301283910,LIN12839-10-57,Unknown,301283910
/vessels/details/301380034,30138-34-65,Unknown,301380034
/vessels/details/301220089,QIONGLEYU30122-8982,Unknown,301220089
/vessels/details/301662001,SUQIYU016621-54,Unknown,301662001
/vessels/details/301270054,QIONGLEYU30127-5480,Unknown,301270054
/vessels/details/301750032,QIONGLE30175-32-73,Unknown,301750032
/vessels/details/301000245,TAKUPAS,Cargo ship,301000245
/vessels/details/301008721,YUEZHANYU10087-2179,Unknown,301008721
/vessels/details/301210001,LIN21000-1-99,Unknown,301210001
/vessels/details/301656629,3016-29-86,Unknown,301656629
/vessels/details/301220079,QIONGLEYU30122-7983,Unknown,301220079
/vessels/details/301276002,TIELONG0301276-96,Unknown,301276002
/vessels/details/301280028,QIONGLEYU30128-2892,Unknown,301280028
/vessels/details/301683333,30168-3-99,Unknown,301683333
/vessels/details/301298119,3996-18-81,Unknown,301298119
/vessels/details/301101265,3939-30-95,Unknown,301101265
/vessels/details/301737003,HAIMENYU017373-84,Unknown,301737003
/vessels/details/301129515,LIN12951-5-59,Unknown,301129515
/vessels/details/301360008,30136-8-85,Unknown,301360008
/vessels/details/301638050,1638-50-76,Unknown,301638050
/vessels/details/301234573,ZHE PU YU 34579-3,Unknown,301234573
/vessels/details/301000092,EXCELLENCE II,Passenger ship,301000092
/vessels/details/301298120,3996-19-53,Unknown,301298120
/vessels/details/301686666,30168-6-85,Unknown,301686666
/vessels/details/301756817,3017-17-81,Unknown,301756817
/vessels/details/301231317,ZHONG-17-97,Unknown,301231317
