url,name,type,imo
/vessels/details/8918291,KRISTI I,General Cargo Ship,8918291
/vessels/details/9012989,BERGFJORD,General Cargo Ship,9012989
/vessels/details/8611192,RAFAELO,General Cargo Ship,8611192
/vessels/details/5331260,GJERGJ KASTRIOTI,General Cargo Ship,5331260
/vessels/details/8402591,RAFAELO 1,General Cargo Ship,8402591
/vessels/details/6403424,MELODY 1,Fishing Vessel,6403424
/vessels/details/7922233,OPEN BALKAN,Fishing Support Vessel,7922233
/vessels/details/9406130,DYRRAH I,Tug,9406130
/vessels/details/8798940,ROZAFA15,Fishing Vessel,8798940
/vessels/details/9178616,FINIKAS HIGHSPEED,Passenger Ship,9178616
/vessels/details/9056105,GALESUS,Tug,9056105
/vessels/details/7800564,ADRIATIK,Tug,7800564
/vessels/details/7030535,MARINA,Passenger/Ro-Ro Cargo Ship,7030535
/vessels/details/8120595,EPIDAMN,Tug,8120595
/vessels/details/9663415,ALS LISSUS P133,Patrol Vessel,9663415
/vessels/details/9591636,NATO WARSHIP ORIKU,Patrol Vessel,9591636
/vessels/details/9663427,NATO WARSHIP BUTRINT,Patrol Vessel,9663427
/vessels/details/8015491,SAN BENIGNO,Tug,8015491
/vessels/details/8325274,EPIDAMN II,Tug,8325274
/vessels/details/8318154,EPIDAMN 1,Tug,8318154
/vessels/details/7312593,VIGORE,Tug,7312593
/vessels/details/8862014,IONIAN SUN,Passenger Ship,8862014
/vessels/details/6415477,DYRRAH,Tug,6415477
/vessels/details/6800622,CHRISTOFFER,Fishing Vessel,6800622
/vessels/details/8341981,ROZAFA 23,Fishing Vessel,8341981
/vessels/details/8327703,SARANDA EXPRESS,Passenger Ship,8327703
/vessels/details/8900464,ILIRIA I,Tug,8900464
/vessels/details/7933385,HARIKLIA,Passenger Ship,7933385
/vessels/details/7933414,KRISTI,Passenger Ship,7933414
/vessels/details/7942130,SANTA III,Passenger Ship,7942130
/vessels/details/7937226,STAVROS,Passenger Ship,7937226
/vessels/details/8746765,KALIOPI,Passenger Ship,8746765
/vessels/details/8132043,SANTA,Passenger Ship,8132043
/vessels/details/5006504,HARLI-1,Tug,5006504
/vessels/details/8557786,MELODY,Fishing Vessel,8557786
/vessels/details/201100544,LIBURNA,Pleasure craft,201100544
/vessels/details/201100099,ONHEZMUS-1,Sailing vessel,201100099
/vessels/details/201100021,SEA STAR II,Pleasure craft,201100021
/vessels/details/201110125,BALTIK,Fishing vessel,201110125
/vessels/details/201000140,PRIMUS,Fishing vessel,201000140
/vessels/details/201110300,SHPRESA,Fishing vessel,201110300
/vessels/details/201130013,BLUE DREAM,Pleasure craft,201130013
/vessels/details/201100026,REI DOS MARES,Pleasure craft,201100026
/vessels/details/201287421,01287-421-69,Unknown,201287421
/vessels/details/201548704,1099 - 4-74,Unknown,201548704
/vessels/details/201236522,HAI - 22-60,Unknown,201236522
/vessels/details/201285501,ZHELINYU12855-01-51,Unknown,201285501
/vessels/details/201456667,4566-7-99,Unknown,201456667
/vessels/details/201203203,SUQIYU1203-203-97,Unknown,201203203
/vessels/details/201806009,201806009,Fishing vessel,201806009
/vessels/details/201224684,SURUYU2468-048.0V,Unknown,201224684
/vessels/details/201006678,ZHEDAIYU06678-20 50,Unknown,201006678
/vessels/details/201787877,ZHEDAIYU03508-14,Unknown,201787877
/vessels/details/201182857,04828-57 79,Unknown,201182857
/vessels/details/201555188,00518-7-77,Unknown,201555188
/vessels/details/201100440,VIKINGEN,Pleasure craft,201100440
/vessels/details/8557750,DELSI-N,Fishing Vessel,8557750
/vessels/details/201100095,JONI,Port tender,201100095
/vessels/details/201871012,05710-12-79,Unknown,201871012
/vessels/details/201210908,ZHEPUYU42201-8-58,Unknown,201210908
/vessels/details/201911009,00853-2,Unknown,201911009
/vessels/details/201222907,12229-7-86,Unknown,201222907
/vessels/details/201123598,SUQIYU02359-0088.1V,Unknown,201123598
/vessels/details/201219210,12192-10 90,Pleasure craft,201219210
/vessels/details/201310078,123,Fishing vessel,201310078
/vessels/details/201130092,SANTA MONICA,Pleasure craft,201130092
/vessels/details/201000674,PIERO AMATO,Unknown,201000674
/vessels/details/201922113,0933221-13,Unknown,201922113
/vessels/details/201500042,2015-42-97,Unknown,201500042
/vessels/details/201292301,01292-301-57,Unknown,201292301
/vessels/details/201612002,05361 233,Unknown,201612002
/vessels/details/201113089,NET13089-011-95,Unknown,201113089
/vessels/details/201013022,SUQIYU01302-028.0V,Unknown,201013022
/vessels/details/201345665,4566-5-98,Unknown,201345665
/vessels/details/201000310,60007-7,Pleasure craft,201000310
/vessels/details/201082043,BABLE,Fishing vessel,201082043
/vessels/details/201659081,SUQIYU01659K81-49,Unknown,201659081
/vessels/details/201703156,SUGANYU03156-177.3V,Unknown,201703156
/vessels/details/201711010,MINPUYU47998-1068,Unknown,201711010
/vessels/details/201165809,05658-9-51,Unknown,201165809
/vessels/details/201036109,WUGONGYU361-9,Unknown,201036109
/vessels/details/201023480,LCHUON PHAO9B15-35,Unknown,201023480
/vessels/details/201500014,NET-2015-14-82,Unknown,201500014
/vessels/details/201100710,LUCHENGYU60007-10,Unknown,201100710
/vessels/details/201292320,01292-320-74,Unknown,201292320
/vessels/details/201659097,SUQIYU01659K97-77,Unknown,201659097
/vessels/details/201266619,SUQIYU03666-198.5V,Unknown,201266619
/vessels/details/201818150,01818-150-99,Unknown,201818150
/vessels/details/201287412,01287-412-75,Unknown,201287412
/vessels/details/201353910,ZHEDAIYU03539-100,Unknown,201353910
/vessels/details/201136615,04366-15-98,Unknown,201136615
/vessels/details/201721222,ZHELINYU21222-208.1,Unknown,201721222
/vessels/details/201811008,XINFENGLI-11,Unknown,201811008
/vessels/details/201075019,0,Cargo ship,201075019
/vessels/details/201000058,ARIA-T,Fishing vessel,201000058
/vessels/details/201100437,NAUTILUS,Fishing vessel,201100437
/vessels/details/201777015,HAIMENYU1777A15,Unknown,201777015
/vessels/details/201910026,H,Unknown,201910026
/vessels/details/201211903,12119-3 89,Unknown,201211903
/vessels/details/201520169,FLORENCE 01,Passenger ship,201520169
/vessels/details/201236512,HAI - 12-97,Unknown,201236512
/vessels/details/201486666,20148-6-13,Unknown,201486666
/vessels/details/201810009,MINZHANGYU60490-03,Unknown,201810009
/vessels/details/201972015,HAIMENYU1972-15-87,Unknown,201972015
/vessels/details/201016076,YU 666 -20 68,Other type,201016076
/vessels/details/201500017,2015-17-81,Unknown,201500017
/vessels/details/201128525,04285-25-48,Unknown,201128525
/vessels/details/201000396,60007-10,Unknown,201000396
/vessels/details/201548701,1099 - 1-63,Unknown,201548701
/vessels/details/201911018,00729-07,Unknown,201911018
/vessels/details/201315536,SUQIYU03155-368.1V,Unknown,201315536
/vessels/details/201101105,SURUYU01101-1057.8V,Unknown,201101105
/vessels/details/201506688,NET-2015-OK-82,Unknown,201506688
/vessels/details/201156202,LUCHENGYU60562-2,Unknown,201156202
/vessels/details/201150228,70 TUAN CAU C18 7V5,Unknown,201150228
/vessels/details/201998061,HAIMENYU01998A61-99,Unknown,201998061
/vessels/details/201220721,ZHEDAIYU04602-21 17,Unknown,201220721
/vessels/details/201146812,SUGANYU04468-12-70,Unknown,201146812
/vessels/details/201737004,HAIMENYU01737A04-62,Unknown,201737004
/vessels/details/201100435,SERXHO,Fishing vessel,201100435
/vessels/details/8361060,LUSIA,Oil Products Tanker,8361060
/vessels/details/201235504,ZHELINYU12355-4-50,Unknown,201235504
/vessels/details/201500027,2015-27-65,Unknown,201500027
/vessels/details/201140810,04408-10-79,Unknown,201140810
/vessels/details/201901133,DONGTONGXIAO00500-3,Unknown,201901133
/vessels/details/201407332,07332-214-72,Unknown,201407332
/vessels/details/201910024,68882-12,Unknown,201910024
/vessels/details/201203621,7027 - 21-68,Unknown,201203621
/vessels/details/201908055,DINGZHIWANG0097-05,Unknown,201908055
/vessels/details/201000219,71023-14,Unknown,201000219
/vessels/details/201841111,20184-1 90,Unknown,201841111
/vessels/details/201050767,05051,Fishing vessel,201050767
/vessels/details/201904119,LURUYU64795-7,Unknown,201904119
/vessels/details/8361058,DRINI,Hopper Dredger,8361058
/vessels/details/201017001,10170-0173,Unknown,201017001
/vessels/details/201000417,SANXHOVANI,Fishing vessel,201000417
/vessels/details/201500004,2015-4-92,Unknown,201500004
/vessels/details/201558885,LURONGYU58116-10 90,Unknown,201558885
/vessels/details/201000687,VULLNET,Unknown,201000687
/vessels/details/201200120,ZHELIN12001-20-64,Unknown,201200120
/vessels/details/201122907,12229-7-76,Unknown,201122907
/vessels/details/201939479,ZDY02394-79 7V3,Unknown,201939479
/vessels/details/201612700,MIN PU YU 21165 288,Unknown,201612700
/vessels/details/201349007,SUQIYU1349-7-98,Unknown,201349007
/vessels/details/201909001,09876-06,Unknown,201909001
/vessels/details/201269740,JIAN 00777 - 4099,Unknown,201269740
/vessels/details/201156602,SGY04566-2 86,Unknown,201156602
/vessels/details/201912004,883-10,Unknown,201912004
/vessels/details/201606601,12188 82,Unknown,201606601
/vessels/details/201907489,07489-59-74,Unknown,201907489
/vessels/details/201972013,HAIMENYU1972-13-96,Unknown,201972013
/vessels/details/201500029,2015-29-67,Unknown,201500029
/vessels/details/201904300,496-7,Unknown,201904300
/vessels/details/201298010,LIN12980-10-93,Unknown,201298010
/vessels/details/201231314,01231-314-78,Unknown,201231314
/vessels/details/201702446,VICTORY,Unknown,201702446
/vessels/details/201718891,SIN RAU L B10P3-77,Unknown,201718891
/vessels/details/201500010,NET-2015-10-83,Unknown,201500010
/vessels/details/201700295,17002K95-89,Unknown,201700295
/vessels/details/201801650,01650,Fishing vessel,201801650
/vessels/details/201908043,08792-08,Unknown,201908043
/vessels/details/201107822,05078-22- 75,Unknown,201107822
/vessels/details/201018222,82 P10-96,Unknown,201018222
/vessels/details/201809017,1313-07,Unknown,201809017
/vessels/details/201292323,01292-323-69,Unknown,201292323
/vessels/details/201287110,0128711033,Unknown,201287110
/vessels/details/201006210,A,Unknown,201006210
