url,name,type,imo
/vessels/details/9296810,NAVISTAR,Crude Oil Tanker,9296810
/vessels/details/9127667,DRAGON VICTOR,Chemical/Oil Products Tanker,9127667
/vessels/details/8310645,AMERIGO VESPUCCI,Hopper Dredger,8310645
/vessels/details/7117424,NANK-II,Vegetable Oil Tanker,7117424
/vessels/details/8617457,AROSA DOCE,Fishing Vessel,8617457
/vessels/details/7234167,CAMPELO 2,Fishing Vessel,7234167
/vessels/details/7388190,FORCADELA,Fishing Vessel,7388190
/vessels/details/7514969,KANINI I,Landing Craft,7514969
/vessels/details/9862140,CARLOS MARCAL,Landing Craft,9862140
/vessels/details/9233090,MAR ROJO DOS,Fishing Vessel,9233090
/vessels/details/9725079,LUANDA,Passenger Ship,9725079
/vessels/details/8609462,ATLANTICO 237,Fishing Vessel,8609462
/vessels/details/9676163,KALUNGA,Tug,9676163
/vessels/details/9200275,WELWITSCHIA,Tug,9200275
/vessels/details/9194191,CURBEIRO,Fishing Vessel,9194191
/vessels/details/7312191,SANTO PAI MANUEL,Fishing Vessel,7312191
/vessels/details/9571959,ALISTADO 6,Fishing Vessel,9571959
/vessels/details/9571961,ALISTADO 7,Fishing Vessel,9571961
/vessels/details/9576492,ALISTADO 11,Fishing Vessel,9576492
/vessels/details/9577537,ALISTADO 15,Fishing Vessel,9577537
/vessels/details/9099755,TRAVESAU,Fishing Vessel,9099755
/vessels/details/9154385,MARINELAK,Fishing Vessel,9154385
/vessels/details/9725067,PANGUILA,Passenger Ship,9725067
/vessels/details/9725055,MACOCO,Passenger Ship,9725055
/vessels/details/9229491,EPI SUCESSO 3,Tug,9229491
/vessels/details/603100182,VIMAR II,Fishing vessel,603100182
/vessels/details/603100154,DEMERSAL 9,Fishing vessel,603100154
/vessels/details/603100141,ALISTADO 15,Unknown,603100141
/vessels/details/603100107,ATLANTICO 237,Fishing vessel,603100107
/vessels/details/603100456,MESTRE SELVAGEM III,Fishing vessel,603100456
/vessels/details/603100174,ALISTADO 16,Other type,603100174
/vessels/details/603100438,SEATAG605,Fishing vessel,603100438
/vessels/details/603246002,ZHEDAIYU03246A-2 30,Unknown,603246002
/vessels/details/603540201,35402-0172,Unknown,603540201
/vessels/details/603960005,LUDONGYU60396-5-99,Unknown,603960005
/vessels/details/603100293,SMART203,Fishing vessel,603100293
/vessels/details/603246006,ZHEDAIYU03246A-6 20,Unknown,603246006
/vessels/details/603060016,60306-16-99,Unknown,603060016
/vessels/details/603358018,ZHEDAIYU0335818-74,Unknown,603358018
/vessels/details/603143101,WANGBIAO31431-1-80,Unknown,603143101
/vessels/details/603100451,SEATAG608,Fishing vessel,603100451
/vessels/details/603890061,LUSHOUYU60389-61-44,Unknown,603890061
/vessels/details/9576507,ALISTADO 12,Fishing Vessel,9576507
/vessels/details/603830011,383-11-71,Unknown,603830011
/vessels/details/603890082,LUSHOUYU60389-82-41,Unknown,603890082
/vessels/details/603100457,OCTOSEA,Fishing vessel,603100457
/vessels/details/603148011,03148-B11-59,Unknown,603148011
/vessels/details/9725081,CACUACO,Passenger Ship,9725081
/vessels/details/7814242,11 DE NOVEMBRO,Water Tanker,7814242
/vessels/details/603285040,03285-408.1V,Unknown,603285040
/vessels/details/9571923,ALISTADO 5,Fishing Vessel,9571923
/vessels/details/603246056,ZHEDAIYU03246-56 90,Unknown,603246056
/vessels/details/9100762,AUGUSTO CAMINHAO,Fishing Vessel,9100762
/vessels/details/603580034,LUCHENGYU60358-3457,Unknown,603580034
/vessels/details/7313597,LUANDA-12,Fishing Vessel,7313597
/vessels/details/9813474,BAIA FARTA,Fishing Support Vessel,9813474
/vessels/details/6614956,BISMAR II,Fishing Vessel,6614956
/vessels/details/603423128,ZHEPUYU65522-16 5,Unknown,603423128
/vessels/details/603048016,03048-B16-06,Unknown,603048016
/vessels/details/603580046,LUCHENGYU60358-4660,Unknown,603580046
/vessels/details/8206442,MISSANGA,Fishing Vessel,8206442
/vessels/details/603220102,TIELONG60322-2-51,Unknown,603220102
/vessels/details/603100360,MESTRE SELVAGEM II,Fishing vessel,603100360
/vessels/details/603098011,03098-B11-52,Unknown,603098011
/vessels/details/603365618,SUQIYU03656-18,Unknown,603365618
/vessels/details/603820012,60382-12-93,Unknown,603820012
/vessels/details/7106190,HUILA,General Cargo Ship,7106190
/vessels/details/603900001,6039-1-97,Unknown,603900001
/vessels/details/9574509,DEMERSAL 6,Fishing Vessel,9574509
/vessels/details/603820003,60382-3-99,Unknown,603820003
/vessels/details/603258002,603258-028.1V,Unknown,603258002
/vessels/details/7434999,PESCAMAR I,Fishing Vessel,7434999
/vessels/details/603381045,ZHEDAIYU03381-45 60,Unknown,603381045
/vessels/details/603196066,SUGANYU03196-667.8V,Unknown,603196066
/vessels/details/603318805,NET33188-5-81,Unknown,603318805
/vessels/details/603285019,03285-197.8V,Unknown,603285019
/vessels/details/603580050,LUCHENGYU60358-5071,Unknown,603580050
/vessels/details/8113059,DENTAO,Fishing Vessel,8113059
/vessels/details/603285033,03285-338.1V,Unknown,603285033
/vessels/details/603258027,603258-278.2V,Unknown,603258027
/vessels/details/7427984,KATUMBO,Fishing Vessel,7427984
/vessels/details/7386702,MAPOSA SEXTO,Fishing Vessel,7386702
/vessels/details/8325729,TAPADO,Fishing Vessel,8325729
/vessels/details/603258020,603258-207.7V,Unknown,603258020
/vessels/details/603285009,SUGANYU03285-98.1V,Unknown,603285009
/vessels/details/603100299,GUANDA103,Fishing vessel,603100299
/vessels/details/603987014,03978-14M-77,Unknown,603987014
/vessels/details/9566100,PELAGICO 6,Fishing Vessel,9566100
/vessels/details/603716000,KIANDA,Other type,603716000
/vessels/details/603719000,ZENGA,Other type,603719000
/vessels/details/9524621,KALAY,Tug,9524621
/vessels/details/9478652,CAZANGA,Hopper Dredger,9478652
/vessels/details/603610003,60361-3-99,Unknown,603610003
/vessels/details/603220106,TIELONG60322-6-75,Unknown,603220106
/vessels/details/603680012,60368-12-99,Unknown,603680012
/vessels/details/603220101,TIELONG60322-1-85,Unknown,603220101
/vessels/details/603285016,SUGANYU03285-168.1V,Unknown,603285016
/vessels/details/603060001,60306-1-01,Unknown,603060001
/vessels/details/603258023,603258-237.8V,Unknown,603258023
/vessels/details/603001987,DQVVIII,Fishing vessel,603001987
/vessels/details/603285039,SUGANYU03285-398.0V,Unknown,603285039
/vessels/details/603883000,HON .,Tanker,603883000
/vessels/details/603100167,SANTA MAE ROSA,Fishing vessel,603100167
/vessels/details/9563445,CMDT.DOMINGOS.DA.SIV,Fishing Support Vessel,9563445
/vessels/details/603960003,LUDONGYU60396-3-93,Unknown,603960003
/vessels/details/8113061,BAIACU,Fishing Vessel,8113061
/vessels/details/603421235,13010-5 90,Unknown,603421235
/vessels/details/603890083,LUSHOUYU60389-83-46,Unknown,603890083
/vessels/details/603952668,268-3.83,Unknown,603952668
/vessels/details/8113126,SARDINHA,Fishing Vessel,8113126
/vessels/details/603960002,LUDONGYU60396-2-98,Unknown,603960002
/vessels/details/8617380,NZINGA MBANDI,Passenger/Ro-Ro Cargo Ship,8617380
/vessels/details/603930004,LUDONGYU60393-4-97,Unknown,603930004
/vessels/details/603258026,603258-268.0V,Unknown,603258026
/vessels/details/603890085,LUSHOUYU60389-85-45,Unknown,603890085
/vessels/details/9827736,CABINDA,Passenger/Ro-Ro Cargo Ship,9827736
/vessels/details/8320339,CTE. BULA,Fishing Vessel,8320339
/vessels/details/8206404,CABINDA,Fishing Vessel,8206404
/vessels/details/603890066,LUSHOUYU60389-66-91,Unknown,603890066
/vessels/details/603960001,LUDONGYU60396-1-83,Unknown,603960001
/vessels/details/9980722,KIBALA,Passenger Ship,9980722
/vessels/details/603258004,603258-047.7V,Unknown,603258004
/vessels/details/9566069,PELAGICO 2,Fishing Vessel,9566069
/vessels/details/6507402,QUITEXE,Tug,6507402
/vessels/details/603060008,60306-8-99,Unknown,603060008
/vessels/details/9583990,REI EKUIKUI II,Fishing Support Vessel,9583990
/vessels/details/603048010,03048-B10-99,Unknown,603048010
/vessels/details/603100484,BRELO-SOYO,Sailing vessel,603100484
/vessels/details/603650001,ZHANGWANG60365-1-61,Unknown,603650001
/vessels/details/603258028,603258-288.0V,Unknown,603258028
/vessels/details/603100452,SEATAG 501,Fishing vessel,603100452
/vessels/details/603987011,03978-11M-85,Unknown,603987011
/vessels/details/603340001,04333-3-59,Unknown,603340001
/vessels/details/603890089,LUSHOUYU60389-89-40,Unknown,603890089
/vessels/details/603100468,SEATAG503,Fishing vessel,603100468
/vessels/details/603285013,03285-138.0V,Unknown,603285013
/vessels/details/9980796,SOYO,Passenger Ship,9980796
/vessels/details/8609383,CUITO CUANAVALE,Fish Carrier,8609383
/vessels/details/603100320,GUANDA107,Fishing vessel,603100320
/vessels/details/603621586,LKK21586-608.1V,Unknown,603621586
/vessels/details/9576533,DEMERSAL 9,Fishing Vessel,9576533
/vessels/details/603098004,03098-B4-99,Unknown,603098004
/vessels/details/7395193,MAPOSA OCTAVO,Fishing Vessel,7395193
/vessels/details/603820011,60382-11-95,Unknown,603820011
/vessels/details/603680002,60368-2-08,Unknown,603680002
/vessels/details/603148012,03148-B12-73,Unknown,603148012
/vessels/details/603820017,60382-17-99,Unknown,603820017
/vessels/details/5114911,LOBITO I,Oil Products Tanker,5114911
/vessels/details/603180065,ZHEDAIYU0318065-95,Unknown,603180065
/vessels/details/603113024,LM 09KIM NGAN2 B31,Fishing vessel,603113024
/vessels/details/8121642,ANCHOVA,Fishing Vessel,8121642
/vessels/details/8943521,CHILOANGO,Passenger/Ro-Ro Cargo Ship,8943521
/vessels/details/603215882,LIN21588-2-57,Unknown,603215882
/vessels/details/8994776,CHICALA,Landing Craft,8994776
/vessels/details/603048007,03048-B7-61,Unknown,603048007
/vessels/details/603962467,LUJIYU60396-67-54,Unknown,603962467
/vessels/details/603820004,60382-4-82,Unknown,603820004
/vessels/details/603100300,GUANDA104,Fishing vessel,603100300
/vessels/details/9588055,EPI SUCESSO 2,Tug,9588055
/vessels/details/8218031,ALBANO MACHEDO,Landing Craft,8218031
/vessels/details/8516914,BAIA AZUL,Fishing Vessel,8516914
/vessels/details/9623178,PENSADOR,Fishing Support Vessel,9623178
/vessels/details/603100378,MARIA JULIA,Fishing vessel,603100378
/vessels/details/9123427,RIO MBRIDGE,Landing Craft,9123427
/vessels/details/603008992,SAN00899-2-61,Unknown,603008992
/vessels/details/9248992,KALANDULA,Fishing Vessel,9248992
/vessels/details/603100436,SEATAG 603,Fishing vessel,603100436
/vessels/details/603100461,SICOPAL 1,Fishing vessel,603100461
/vessels/details/603890078,LUSHOUYU60389-78-83,Unknown,603890078
/vessels/details/5043461,SECIL MAR,General Cargo Ship,5043461
/vessels/details/9199490,EDNA SYNNOVE,Fishing Vessel,9199490
/vessels/details/9368467,CARDAMA 220,Tug,9368467
/vessels/details/603711900,SARMAR 3,SAR,603711900
/vessels/details/603930007,LUDONGYU60393-7-99,Unknown,603930007
/vessels/details/603100319,GUANDA106,Fishing vessel,603100319
/vessels/details/9563469,COMANDANTE VALODIA,Fishing Support Vessel,9563469
/vessels/details/603650003,ZHANGWANG60365-3-97,Unknown,603650003
/vessels/details/603930003,LUDONGYU60393-3-99,Unknown,603930003
/vessels/details/9496812,BAIA DOS TIGRES,Passenger Ship,9496812
/vessels/details/8113102,GARAPAU,Fishing Vessel,8113102
/vessels/details/8206428,KIMBRIZ,Fishing Vessel,8206428
/vessels/details/7428055,KINZAU,Fishing Vessel,7428055
/vessels/details/6700339,LUANDA-2,Fishing Vessel,6700339
/vessels/details/603258005,603258-058.0V,Unknown,603258005
/vessels/details/9980801,TOMBUA,Passenger Ship,9980801
/vessels/details/603340819,SUQIYU03408-19,Unknown,603340819
/vessels/details/8617392,MANDUME,Passenger/Ro-Ro Cargo Ship,8617392
/vessels/details/603246005,ZHEDAIYU03246A-5 90,Unknown,603246005
/vessels/details/8121628,CORIMBA,Fishing Vessel,8121628
/vessels/details/603820001,60382-1-99,Unknown,603820001
/vessels/details/603680016,60368-16-99,Unknown,603680016
/vessels/details/7384998,GIRAUL,Tug,7384998
/vessels/details/8113114,BADEJO,Fishing Vessel,8113114
/vessels/details/4552893,HSI 32 - 1,Patrol Vessel,4552893
/vessels/details/603890087,LUSHOUYU60389-87-53,Unknown,603890087
/vessels/details/603890079,LUSHOUYU60389-79-64,Unknown,603890079
/vessels/details/603100437,SEATAG 604,Fishing vessel,603100437
/vessels/details/7386647,PEGAGO TERCERO,Fishing Vessel,7386647
/vessels/details/6605357,BISMAR I,Fishing Vessel,6605357
/vessels/details/603358019,ZHEDAIYU0335819-63,Unknown,603358019
/vessels/details/8848630,TRANS-AFRIKA,General Cargo Ship,8848630
/vessels/details/603285041,03285-418.3V,Unknown,603285041
/vessels/details/603258021,603258-217.9V,Unknown,603258021
/vessels/details/7386726,NAVIJOSA NOVENO,Fishing Vessel,7386726
/vessels/details/603196065,SUGANYU03196-657.7V,Unknown,603196065
/vessels/details/603098010,03098-B10-95,Unknown,603098010
/vessels/details/603220008,TIELONG60322-8-85,Unknown,603220008
/vessels/details/603098012,03098-B12-20,Unknown,603098012
/vessels/details/603258041,603258-417.9V,Unknown,603258041
/vessels/details/603040030,LUDONGYU60304-30-99,Unknown,603040030
/vessels/details/9571894,ALISTADO 2,Fishing Vessel,9571894
/vessels/details/603040023,LUDONGYU60304-23-72,Unknown,603040023
/vessels/details/603800000,MY FAIR LADY,Pleasure craft,603800000
/vessels/details/603890080,LUSHOUYU60389-80-68,Unknown,603890080
/vessels/details/6727519,SECIL BENGO,General Cargo Ship,6727519
/vessels/details/603148008,03148-B8-80,Unknown,603148008
/vessels/details/603123456,H V T M,WIG,603123456
/vessels/details/8004088,GSC CLASS,Oil Products Tanker,8004088
/vessels/details/5320754,SERNACHE,Fishing Vessel,5320754
/vessels/details/603820015,60382-15-99,Unknown,603820015
/vessels/details/9571985,ALISTADO9,Fishing Vessel,9571985
/vessels/details/7614496,CONGELMAR SEGUNDO,Fishing Vessel,7614496
/vessels/details/603338016,SUQIYU03380-16,Unknown,603338016
/vessels/details/603962464,LUJIYU60396-64-80,Unknown,603962464
/vessels/details/603100302,CRISALVA UNO,Fishing vessel,603100302
/vessels/details/8212219,GAIADO,Fishing Vessel,8212219
/vessels/details/8135083,MRTR-0408,Fishing Vessel,8135083
/vessels/details/603196064,SUGANYU03196-648.2V,Unknown,603196064
/vessels/details/603820014,60382-14-89,Unknown,603820014
/vessels/details/603100482,ALVARO EUGENIO,Fishing vessel,603100482
/vessels/details/9576521,DEMERSAL 8,Fishing Vessel,9576521
/vessels/details/9570230,KWANZA,Tug,9570230
/vessels/details/603358004,ZHEDAIYU03358-4 30,Unknown,603358004
/vessels/details/603100423,PORTO ALEXANDRE,Fishing vessel,603100423
/vessels/details/603987012,03978-12M-64,Unknown,603987012
/vessels/details/603820019,60382-19-99,Unknown,603820019
/vessels/details/603497249,L CANG NOI85 D17.99,Unknown,603497249
/vessels/details/6621894,LUANDA-3,Fishing Vessel,6621894
/vessels/details/6621820,DAE SUNG NO. 2,Fishing Vessel,6621820
/vessels/details/8325731,EGITO PRAIA,Fishing Vessel,8325731
/vessels/details/603580048,LUCHENGYU60358-4868,Unknown,603580048
/vessels/details/603580041,LUCHENGYU60358-4168,Unknown,603580041
/vessels/details/603220007,TIELONG60322-7-90,Unknown,603220007
/vessels/details/603485016,SUQIYU04850-16,Unknown,603485016
/vessels/details/7428005,PALMEIRINHAS,Fishing Vessel,7428005
/vessels/details/9566083,PELAGICO 4,Fishing Vessel,9566083
/vessels/details/9563495,LUCRECIA PAIM,Fishing Support Vessel,9563495
/vessels/details/8716978,KATSUEI MARU NO. 18,Fishing Vessel,8716978
/vessels/details/8121460,MATIOTA,Chemical/Oil Products Tanker,8121460
/vessels/details/603100495,PESCA FRESCA,Fishing vessel,603100495
/vessels/details/603890076,LUSHOUYU60389-76-08,Unknown,603890076
/vessels/details/603318817,NET33188-17-59,Unknown,603318817
/vessels/details/8212221,PUNGO,Fishing Vessel,8212221
/vessels/details/603258025,603258-258.0V,Unknown,603258025
/vessels/details/603820021,60382-21-99,Unknown,603820021
/vessels/details/603677061,ZHEDAIYU03677-61 30,Unknown,603677061
/vessels/details/7428079,KAPULO,Fishing Vessel,7428079
/vessels/details/603100454,VMSEADA 703,Fishing vessel,603100454
/vessels/details/5094563,DULCINHA,Fishing Vessel,5094563
/vessels/details/603048008,03048-B8-28,Unknown,603048008
/vessels/details/603886001,CANGYU03886-01-81,Unknown,603886001
/vessels/details/603112222,DQVVIII,Fishing vessel,603112222
/vessels/details/603098001,03098-B1-79,Unknown,603098001
/vessels/details/7814230,10 DE DEZEMBRO,Water Tanker,7814230
/vessels/details/9623348,NGOLA KILUANGE,Fishing Support Vessel,9623348
/vessels/details/603750002,60375-2-96,Unknown,603750002
/vessels/details/5012503,ALPIARCA,Trawler,5012503
/vessels/details/603148017,03148-B17-70,Unknown,603148017
/vessels/details/603580043,LUCHENGYU60358-4388,Unknown,603580043
/vessels/details/603568012,ZHEDAIYU03568-12 80,Unknown,603568012
/vessels/details/6805452,VANESSA,General Cargo Ship,6805452
/vessels/details/603040024,LUDONGYU60304-24-99,Unknown,603040024
/vessels/details/603551421,IMULA0674B HAPQ1E,Other type,603551421
