url,name,type,imo
/vessels/details/9311505,RECOLETA,Oil Products Tanker,9311505
/vessels/details/9253765,SAN JULIAN,Oil Products Tanker,9253765
/vessels/details/9275737,CABO SOUNION,Crude Oil Tanker,9275737
/vessels/details/9298777,CABO PILAR,Oil Products Tanker,9298777
/vessels/details/9498937,ARGENMAR MISTRAL,Bulk Carrier,9498937
/vessels/details/9262871,ARGENTINOII,Container Ship,9262871
/vessels/details/9436410,PAULINO C,Chemical/Oil Products Tanker,9436410
/vessels/details/9508988,PUNTA LOYOLA,Chemical/Oil Products Tanker,9508988
/vessels/details/9508990,PUNTA MEDANOS,Chemical/Oil Products Tanker,9508990
/vessels/details/9421300,PUNTA PIRAMIDES,Chemical/Oil Products Tanker,9421300
/vessels/details/9473937,JC BAZAN,Chemical/Oil Products Tanker,9473937
/vessels/details/7533628,ALMIRANTE IRIZAR,Icebreaker,7533628
/vessels/details/8301785,ARGENTINA C,Container Ship,8301785
/vessels/details/9424041,M-T CALETA ROSARIO,Chemical/Oil Products Tanker,9424041
/vessels/details/9388235,POLARIS,Chemical/Oil Products Tanker,9388235
/vessels/details/9482653,EDUARDO V,Chemical/Oil Products Tanker,9482653
/vessels/details/9452816,JULIO A,Oil Products Tanker,9452816
/vessels/details/9680035,MARIA EMILIA LV,Chemical/Oil Products Tanker,9680035
/vessels/details/9426635,STRAITS SKY,Bunkering Tanker,9426635
/vessels/details/6909777,ARA AUSTRAL,Research Vessel,6909777
/vessels/details/8610021,CENT. DEL ATLANTICO,Fish Factory Ship,8610021
/vessels/details/8021593,TAI-AN,Fishing Vessel,8021593
/vessels/details/9745689,DASA I,Hopper Dredger,9745689
/vessels/details/8418411,ESTRECHO DE SAN CARLOS,Offshore Tug/Supply Ship,8418411
/vessels/details/8418514,ARA-PUERTO-ARGENTIN0,Offshore Tug/Supply Ship,8418514
/vessels/details/9250012,BG WARRIOR,Offshore Tug/Supply Ship,9250012
/vessels/details/9572202,ARA BOUCHARD,Patrol Vessel,9572202
/vessels/details/4763636,PIEDRABUENA,Patrol Vessel,4763636
/vessels/details/4763648,ARA STORNI,Patrol Vessel,4763648
/vessels/details/8220199,ECHIZEN MARU,Fishing Vessel,8220199
/vessels/details/9106118,JUAN PATRICIO,Passenger/Ro-Ro Cargo Ship,9106118
/vessels/details/7403653,LUCA MARIO,Fishing Vessel,7403653
/vessels/details/9018115,NANY,Chemical/Oil Products Tanker,9018115
/vessels/details/8618994,GUSTAVO U,Oil Products Tanker,8618994
/vessels/details/9883302,FV XIN SHI JI 29,Fishing Vessel,9883302
/vessels/details/9872937,LU QING YUAN YU 276,Fishing Vessel,9872937
/vessels/details/9236028,CAPESANTE,Fishing Vessel,9236028
/vessels/details/8512657,VERDEL,Fishing Vessel,8512657
/vessels/details/9798820,VICTOR ANGELESCU,Fishing Support Vessel,9798820
/vessels/details/8608224,ARBUMASA XIX,Fish Factory Ship,8608224
/vessels/details/8610849,API VII,Fishing Vessel,8610849
/vessels/details/9985564,ERIN BRUCEII,Fishing Vessel,9985564
/vessels/details/8510788,ANABELLA M,Fishing Vessel,8510788
/vessels/details/8656544,NANINA,Fishing Vessel,8656544
/vessels/details/8713275,NATALIA,Fishing Vessel,8713275
/vessels/details/8704652,CERES,Fishing Vessel,8704652
/vessels/details/8708098,NAVEGANTES III,Fishing Vessel,8708098
/vessels/details/1098274,DON JUAN ALVAREZ,Fishing Vessel,1098274
/vessels/details/8615320,ATLANTIC SURF III,Fishing Vessel,8615320
/vessels/details/1098810,ANITA,Fishing Vessel,1098810
/vessels/details/9964687,LUIGI,Fishing Vessel,9964687
/vessels/details/9872743,JOSE MARCELO,Fishing Vessel,9872743
/vessels/details/9872755,GRACIELA I,Fishing Vessel,9872755
/vessels/details/9897420,NINA,Fishing Vessel,9897420
/vessels/details/8703490,SCIROCCO,Fishing Vessel,8703490
/vessels/details/8311405,FONSECA,Fishing Vessel,8311405
/vessels/details/7386623,MADRE INMACULADA,Fishing Vessel,7386623
/vessels/details/9936111,DESTINY,Fishing Vessel,9936111
/vessels/details/8614871,DOMAIO,Fishing Vessel,8614871
/vessels/details/8713067,PATAGONIA BLUES,Fishing Vessel,8713067
/vessels/details/8216502,MISS TIDE,Fishing Vessel,8216502
/vessels/details/9254965,SERRA THERESA,Chemical/Oil Products Tanker,9254965
/vessels/details/9941178,API XII,Fishing Vessel,9941178
/vessels/details/8708452,NAVEGANTES,Fishing Vessel,8708452
/vessels/details/7109049,VIRGEN MARIA,Fishing Vessel,7109049
/vessels/details/9829318,JOSE AMERICO,Fishing Vessel,9829318
/vessels/details/8316883,RASMUS EFFERSOE,Fishing Vessel,8316883
/vessels/details/7388188,PONTE CORUXO,Fishing Vessel,7388188
/vessels/details/7385344,XEITOSINO,Fishing Vessel,7385344
/vessels/details/9882657,ATLANTICO 1,Fishing Vessel,9882657
/vessels/details/9936848,EMPESUR 8,Fishing Vessel,9936848
/vessels/details/9828883,MARIA ALEJANDRA 1,Fishing Vessel,9828883
/vessels/details/7644300,ERIN BRUCE,Offshore Tug/Supply Ship,7644300
/vessels/details/9149093,MYRDOMA F,Fishing Vessel,9149093
/vessels/details/7406423,ANDRES JORGE,Fishing Vessel,7406423
/vessels/details/8810865,S DON JOSE MOSCUZZA,Fishing Vessel,8810865
/vessels/details/9753337,ONA PAZ,Tug,9753337
/vessels/details/7416129,ARRUFO,Fishing Vessel,7416129
/vessels/details/9239379,BURONDI,Tug,9239379
/vessels/details/8611178,API VI,Fishing Vessel,8611178
/vessels/details/7005944,GOLONDRINA DE MAR,Offshore Tug/Supply Ship,7005944
/vessels/details/8698188,ASUDEPES II,Fishing Vessel,8698188
/vessels/details/7416210,UR ERTZA,Fishing Vessel,7416210
/vessels/details/9371701,MAR CORAL,Fishing Vessel,9371701
/vessels/details/9264922,BOGAVANTE SEGUNDO,Fishing Vessel,9264922
/vessels/details/9328388,ONA DON LORENZO,Tug,9328388
/vessels/details/9948138,NINO JESUS DE PRAGA,Fishing Vessel,9948138
/vessels/details/9243368,PROMARSA III,Fishing Vessel,9243368
/vessels/details/9255311,ZEUS1,Tug,9255311
/vessels/details/8824074,CODEPECA 3,Fishing Vessel,8824074
/vessels/details/8824086,CODEPECA IV,Fishing Vessel,8824086
/vessels/details/9966154,ESPARDEL,Fishing Vessel,9966154
/vessels/details/9361536,DIAMOND CAY,Tug,9361536
/vessels/details/7403598,DON CAYETANO,Fishing Vessel,7403598
/vessels/details/9223538,MIRADOR,Tug,9223538
/vessels/details/9348314,REGINA AUSTRALE,Passenger Ship,9348314
/vessels/details/9769362,COOPOR ESTIBADOR I,Tug,9769362
/vessels/details/9726712,RUA DON JOSE,Tug,9726712
/vessels/details/8107983,TENIENTE OLIVIERI,Offshore Tug/Supply Ship,8107983
/vessels/details/8200008,MARY,Tug,8200008
/vessels/details/4770615,CIUDAD DE ENSENADA,Training Ship,4770615
/vessels/details/4770627,CIUDAD DE BERISSO,Training Ship,4770627
/vessels/details/9978016,ANTONIA D,Fishing Vessel,9978016
/vessels/details/9011129,ONA DON VICENTE,Tug,9011129
/vessels/details/9112961,CENTAURO 2000,Fishing Vessel,9112961
/vessels/details/9274604,ONA TRIUNFO,Tug,9274604
/vessels/details/7731062,RUA II,Tug,7731062
/vessels/details/9721255,QUERANDI,Tug,9721255
/vessels/details/7354474,EDIMIR,Tug,7354474
/vessels/details/9557989,RUA CAP. LUCIO R.,Tug,9557989
/vessels/details/8100026,TIFON,Tug,8100026
/vessels/details/7416117,PAKU,Fishing Vessel,7416117
/vessels/details/7416131,BORRASCA,Fishing Vessel,7416131
/vessels/details/9179165,OBSERVADOR,Tug,9179165
/vessels/details/9052757,V. B. AUSTRAL,Tug,9052757
/vessels/details/7331496,MAR SUR,Fishing Vessel,7331496
/vessels/details/8321618,REMARSA I,Tug,8321618
/vessels/details/9287522,CONQUISTADOR,Tug,9287522
/vessels/details/9256030,CICLON,Tug,9256030
/vessels/details/7321142,KYOKKO RUA,Tug,7321142
/vessels/details/9549815,RAM MAPUCHE I,Tug,9549815
/vessels/details/7620952,RUA IV,Tug,7620952
/vessels/details/7723845,TORNADO,Tug,7723845
/vessels/details/7000425,PROMAC,Fishing Vessel,7000425
/vessels/details/9133745,MERCEA C,Fishing Vessel,9133745
/vessels/details/6904624,CORMORAN,Fishing Vessel,6904624
/vessels/details/9020948,DON SANTIAGO,Fishing Vessel,9020948
/vessels/details/9077941,MARBELLA,Fishing Vessel,9077941
/vessels/details/9047788,SFIDA,Fishing Vessel,9047788
/vessels/details/9077939,BELVEDERE,Fishing Vessel,9077939
/vessels/details/9071296,ANTONINO,Fishing Vessel,9071296
/vessels/details/8421834,CIUDAD FELIZ,Fishing Vessel,8421834
/vessels/details/5092096,DON MIGUEL I,Fishing Vessel,5092096
/vessels/details/8656568,PADRE PIO,Fishing Vessel,8656568
/vessels/details/8332485,HUAFENG 820,Fishing Vessel,8332485
/vessels/details/701001066,JEAN PIERRE,Dredging or UW ops,701001066
/vessels/details/701006643,DON RAXYZ,Cargo ship,701006643
/vessels/details/701006778,LA ARGENTINA,Sailing vessel,701006778
/vessels/details/701836033,A.R.A CORDERO,Military ops,701836033
/vessels/details/701006585,CHUCARO,Pleasure craft,701006585
/vessels/details/4510417,ARA BROWN,Military ops,4510417
/vessels/details/701001346,JOHN DOE,Pleasure craft,701001346
/vessels/details/701007155,ELELIN,Sailing vessel,701007155
/vessels/details/701006073,PONTE DE RANDE,Fishing vessel,701006073
/vessels/details/701006371,GUARANI,Unknown,701006371
/vessels/details/701012374,SIROCO,Sailing vessel,701012374
/vessels/details/701006670,BRUTUS,Tug,701006670
/vessels/details/701514000,GC 66 RIO LUJAN,Law enforcment,701514000
/vessels/details/701547000,GC151 L NAHUEL HUAPI,Law enforcment,701547000
/vessels/details/701001130,FITZCARRALDO,Pleasure craft,701001130
/vessels/details/701836000,ARA CL CORDERO,Law enforcment,701836000
/vessels/details/701006683,WISDOM,Sailing vessel,701006683
/vessels/details/701001219,NONTHUE,Sailing vessel,701001219
/vessels/details/701129000,PADRINO,Fishing vessel,701129000
/vessels/details/701007141,FARALLON IV,Sailing vessel,701007141
/vessels/details/701006734,ELISABETTA I,Passenger ship,701006734
/vessels/details/701006801,SIPANGO,Pleasure craft,701006801
/vessels/details/701006513,AMANCAY,Pilot,701006513
/vessels/details/701001032,ERNESTO S,Pleasure craft,701001032
/vessels/details/701006249,MVO.PNA DR. HOUSSAY,Law enforcment,701006249
/vessels/details/701006198,EDUARDO B,Passenger ship,701006198
/vessels/details/701001170,ESTOA,Pleasure craft,701001170
/vessels/details/701006542,AZIMUT,Sailing vessel,701006542
/vessels/details/701006070,ANAB,Passenger ship,701006070
/vessels/details/701037000,DP,Fishing vessel,701037000
/vessels/details/701001350,LALINDA,Sailing vessel,701001350
/vessels/details/701006283,ALP CATAMARCA,Dredging or UW ops,701006283
/vessels/details/701521000,GC- 13 DELFIN,Military ops,701521000
/vessels/details/701001162,IZARRA IV,Pleasure craft,701001162
/vessels/details/701006928,FRANCISCO,Tug,701006928
/vessels/details/701006239,PLAZA DE MAYO,Cargo ship,701006239
/vessels/details/701007109,MUCHO SOL II,Sailing vessel,701007109
/vessels/details/701006430,IRIS,Cargo ship,701006430
/vessels/details/701000647,ALUEN,Pilot,701000647
/vessels/details/701007059,PERLA NEGRA,Sailing vessel,701007059
/vessels/details/701000001,A.R.A. LIBERTAD,Sailing vessel,701000001
/vessels/details/701508000,GC 72 BUENOS AIRES,Law enforcment,701508000
/vessels/details/701006736,PINTADO,Pleasure craft,701006736
/vessels/details/701001205,CALIPSO,Pilot,701001205
/vessels/details/701006607,PREMA,Pilot,701006607
/vessels/details/701001371,CIMARRON,Sailing vessel,701001371
/vessels/details/701001001,LEONOR,Sailing vessel,701001001
/vessels/details/701507000,GC73 CABO CORRIENTES,Law enforcment,701507000
/vessels/details/701006387,FRANCISCO C,Passenger ship,701006387
/vessels/details/701001254,SAN GABRIEL,Sailing vessel,701001254
/vessels/details/701838000,ARA PIEDRABUENA,Law enforcment,701838000
/vessels/details/701007156,KONA,Pilot,701007156
/vessels/details/701502000,GC 79 RIO DESEADO,Law enforcment,701502000
/vessels/details/1900544,NOEMI G,Dredging or UW ops,1900544
/vessels/details/701001446,YORUCA,Sailing vessel,701001446
/vessels/details/701001030,SEVERINO,Sailing vessel,701001030
/vessels/details/701006065,SANTANGELO,Fishing vessel,701006065
/vessels/details/701537000,GC 26 THOMPSON,Law enforcment,701537000
/vessels/details/701000838,EZEQUIEL MB,Passenger ship,701000838
/vessels/details/701007151,PRAIANO,Sailing vessel,701007151
/vessels/details/701000016,LOGISTICO PATAGONIA,Military ops,701000016
/vessels/details/7405120,IGLU I,Fishing Vessel,7405120
/vessels/details/7509483,NICOLE S,Pusher Tug,7509483
/vessels/details/701000877,OPTIMUS,Fishing vessel,701000877
/vessels/details/5118577,ANTONIO MANUEL,Fishing Vessel,5118577
/vessels/details/701001153,HONU,Pilot,701001153
/vessels/details/701001240,SIROCCO II,Pleasure craft,701001240
/vessels/details/701006740,GUILLERMO C,Unknown,701006740
/vessels/details/701489105,MIN XIA YU01489-105,Unknown,701489105
/vessels/details/701817000,ARA FORTUNA 3,Sailing vessel,701817000
/vessels/details/701000996,CARMENERE,Sailing vessel,701000996
/vessels/details/5118565,ALBERTO R,Fishing Vessel,5118565
/vessels/details/701001190,KITCHEN,Sailing vessel,701001190
/vessels/details/701818012,JLY01818-12-50,Unknown,701818012
/vessels/details/701009999,PRUEBA BASE AIS,Pleasure craft,701009999
/vessels/details/8709494,STELLA MARIS I,Fish Factory Ship,8709494
/vessels/details/701039096,NET01309-96-42,Unknown,701039096
/vessels/details/701001131,CHANGO,Sailing vessel,701001131
/vessels/details/701818003,JLY01818-03-46,Unknown,701818003
/vessels/details/701007022,MAR DE ORO,Sailing vessel,701007022
/vessels/details/701001139,EL GRAN BOCHA,Fishing vessel,701001139
/vessels/details/701000014,ARA CDAD DE ROSARIO,Military ops,701000014
/vessels/details/701059000,GURISES,Fishing vessel,701059000
