url,name,type,imo
/vessels/details/559999927,ZHEYUYU99999-27-61,Unknown,559999927
/vessels/details/559000109,6890-109-99,Unknown,559000109
/vessels/details/559000205,559-205-81,Unknown,559000205
/vessels/details/559999905,ZHEYUYU99999-5-43,Unknown,559999905
/vessels/details/559999928,ZHEYUYU99999-28-86,Unknown,559999928
/vessels/details/559999939,ZHEYUYU99999-39-49,Unknown,559999939
/vessels/details/559911831,YU 99118-31-86,Unknown,559911831
/vessels/details/559000208,559-20899,Unknown,559000208
/vessels/details/559218019,LIN21801-9-61,Unknown,559218019
/vessels/details/559999922,ZHEYUYU99999-22-88,Unknown,559999922
/vessels/details/559999933,ZHEYUYU99999-33,Unknown,559999933
/vessels/details/559999901,ZHEYUYU99999-1-76,Unknown,559999901
/vessels/details/559995612,SAN99956-12-25,Unknown,559995612
/vessels/details/559000023,559-23 30,Unknown,559000023
/vessels/details/559000101,559-101-52,Unknown,559000101
/vessels/details/559999909,ZHEYUYU99999-9-71,Unknown,559999909
/vessels/details/559999908,ZHEYUYU99999-8-44,Unknown,559999908
/vessels/details/559999936,ZHEYUYU99999-36-58,Unknown,559999936
/vessels/details/559000206,559-206-93,Unknown,559000206
/vessels/details/559212445,LIN21244-5-92,Unknown,559212445
/vessels/details/559190010,55919-10-99,Unknown,559190010
/vessels/details/559999913,ZHEYUYU99999-13-64,Unknown,559999913
/vessels/details/559190005,55919-5-99,Unknown,559190005
/vessels/details/559000026,559-26 10,Unknown,559000026
/vessels/details/559999931,ZHEYUYU99999-31-77,Unknown,559999931
/vessels/details/559000102,559-102-77,Unknown,559000102
/vessels/details/559000028,559-28 40,Unknown,559000028
/vessels/details/559999932,ZHEYUYU99999-32-71,Unknown,559999932
/vessels/details/559000107,559-107-99,Unknown,559000107
/vessels/details/559000044,559-44 50,Unknown,559000044
/vessels/details/559190003,55919-3-99,Unknown,559190003
/vessels/details/559000029,559-29 10,Unknown,559000029
/vessels/details/559190008,55919-8-99,Unknown,559190008
/vessels/details/559900003,SUSHEYU05599-037.8V,Unknown,559900003
/vessels/details/559900002,SUSHEYU05599-028.0V,Unknown,559900002
/vessels/details/559995615,SAN99956-15-57,Unknown,559995615
/vessels/details/559999920,ZHEYUYU99999-20-56,Unknown,559999920
/vessels/details/559000012,559-12-99,Unknown,559000012
/vessels/details/559218696,LIN21869-6-67,Unknown,559218696
/vessels/details/559995503,96599-292,Unknown,559995503
/vessels/details/559190009,55919-09-98,Unknown,559190009
/vessels/details/559565801,956581-85,Unknown,559565801
/vessels/details/559999926,ZHEYUYU99999-26-24,Unknown,559999926
/vessels/details/559999911,ZHEYUYU99999-11-44,Unknown,559999911
/vessels/details/559000027,559-27 40,Unknown,559000027
/vessels/details/559000041,559-41-50,Unknown,559000041
/vessels/details/559000032,559-32 90,Unknown,559000032
/vessels/details/559968210,YU 99682-8-76,Unknown,559968210
/vessels/details/559120845,LIN 12084-5-02,Unknown,559120845
/vessels/details/559999937,ZHEYUYU99999-37-36,Unknown,559999937
/vessels/details/559999921,ZHEYUYU99999-21-53,Unknown,559999921
/vessels/details/559923805,YU 9923869,Unknown,559923805
/vessels/details/559999924,ZHEYUYU99999-24-83,Unknown,559999924
/vessels/details/559000201,559-201-99,Unknown,559000201
/vessels/details/559000011,6890-11-93,Unknown,559000011
/vessels/details/559190006,55919-6-99,Unknown,559190006
/vessels/details/559999923,ZHEYUYU99999-23-43,Unknown,559999923
/vessels/details/559863215,395-9 76,Unknown,559863215
/vessels/details/559999903,ZHEYUYU99999-3-67,Unknown,559999903
/vessels/details/559923812,YU 99238-12-33,Unknown,559923812
/vessels/details/559000202,559-202-82,Unknown,559000202
/vessels/details/559000207,559-207-93,Unknown,559000207
/vessels/details/559999916,ZHEYUYU99999-16-67,Unknown,559999916
/vessels/details/559999938,ZHEYUYU99999-38-82,Unknown,559999938
/vessels/details/559999919,ZHEYUYU99999-19-60,Unknown,559999919
