url,name,type,imo
/vessels/details/8640234,ROTHELSTEIN,Supply Tender,8640234
/vessels/details/203213100,ALEGRIA III,Sailing vessel,203213100
/vessels/details/203876200,BLUE PEARL,Unknown,203876200
/vessels/details/203999384,PARTENSTEIN,Cargo ship,203999384
/vessels/details/203378200,SY CHIRENA,Sailing vessel,203378200
/vessels/details/203771100,SHADE,Sailing vessel,203771100
/vessels/details/203738100,PHOENIX,Pleasure craft,203738100
/vessels/details/203247498,GEMMA,Sailing vessel,203247498
/vessels/details/203903100,UTOPIA,Pleasure craft,203903100
/vessels/details/203999385,JOCHENSTEIN,Cargo ship,203999385
/vessels/details/203246187,CINA,Sailing vessel,203246187
/vessels/details/203999428,WIENTANK 2,Unknown,203999428
/vessels/details/203999402,WALTER,Dredging or UW ops,203999402
/vessels/details/203244573,ELYSIUM VIENNA,Pleasure craft,203244573
/vessels/details/203679300,EMPIRE,Sailing vessel,203679300
/vessels/details/203816300,CRAZY,Pleasure craft,203816300
/vessels/details/203245847,MY WAY,Sailing vessel,203245847
/vessels/details/203245919,ARGO,Sailing vessel,203245919
/vessels/details/203999363,WERFENSTEIN,Unknown,203999363
/vessels/details/203243436,ESPERANZA,Pleasure craft,203243436
/vessels/details/203314100,FIREFLY ONE,Sailing vessel,203314100
/vessels/details/203571200,TALOA,Sailing vessel,203571200
/vessels/details/203999301,HAINBURG,Law enforcment,203999301
/vessels/details/203538100,INTEGOS,Pleasure craft,203538100
/vessels/details/203293400,BEFANA,Unknown,203293400
/vessels/details/203999451,CARNUNTUM,Dredging or UW ops,203999451
/vessels/details/203247362,FORTUNA,Sailing vessel,203247362
/vessels/details/203248862,THETIS,Sailing vessel,203248862
/vessels/details/203999229,CHOCO,Cargo ship,203999229
/vessels/details/203245776,PINGUINO,Pleasure craft,203245776
/vessels/details/203245119,INIMA,Unknown,203245119
/vessels/details/203243449,NUIT,Unknown,203243449
/vessels/details/203249664,DEIOPEA,Sailing vessel,203249664
/vessels/details/203999359,WESENSTEIN,Other type,203999359
/vessels/details/203392200,ARIOSA,Sailing vessel,203392200
/vessels/details/203245328,SY MIRIJA,Sailing vessel,203245328
/vessels/details/203753300,AGNES,Sailing vessel,203753300
/vessels/details/203999349,ANDREA,Other type,203999349
/vessels/details/203895400,TRUE LOVE,Unknown,203895400
/vessels/details/203999314,OTTENSHEIM,Cargo ship,203999314
/vessels/details/203802400,ADANA,Unknown,203802400
/vessels/details/203743200,MINKEWAL,Sailing vessel,203743200
/vessels/details/203328400,REIOLICO,Pleasure craft,203328400
/vessels/details/203246636,MY WAY,Pleasure craft,203246636
/vessels/details/203246968,UTOPIA,Sailing vessel,203246968
/vessels/details/203249328,LANI AKEA,Sailing vessel,203249328
/vessels/details/203999409,CARNUNTUM,Passenger ship,203999409
/vessels/details/203639400,NOVARA,Sailing vessel,203639400
/vessels/details/203760200,LYLU,Sailing vessel,203760200
/vessels/details/203358200,W-24795 ESTRELLA,Pleasure craft,203358200
/vessels/details/203246194,UMOJA,Unknown,203246194
/vessels/details/203521200,SASJA,Unknown,203521200
/vessels/details/203492200,SANTA ISABELLA,Other type,203492200
/vessels/details/203246182,APRES SKI,Sailing vessel,203246182
/vessels/details/203999367,KRAEMPELSTEIN,Cargo ship,203999367
/vessels/details/203664300,BARCASO,Unknown,203664300
/vessels/details/203245290,HAPPY DAY,Sailing vessel,203245290
/vessels/details/203247126,ADESSO,Pleasure craft,203247126
/vessels/details/203245915,LOONA,Sailing vessel,203245915
/vessels/details/203823100,SURPRISE,Pleasure craft,203823100
/vessels/details/203245514,TALANTA,Unknown,203245514
/vessels/details/203665300,WINDSPIEL,Sailing vessel,203665300
/vessels/details/203249607,SUNSHINE,Sailing vessel,203249607
/vessels/details/203864100,AGAPI,Sailing vessel,203864100
/vessels/details/203999305,ALTENWOERTH,Other type,203999305
/vessels/details/203177300,BORN FREE,Sailing vessel,203177300
/vessels/details/203123400,VO65 SISI,Unknown,203123400
/vessels/details/203999295,SCHOENBRUNN,Passenger ship,203999295
/vessels/details/203190200,LIBERDADE,Sailing vessel,203190200
/vessels/details/203248462,AQUARIUS III,Pleasure craft,203248462
/vessels/details/203999473,TULLN,Cargo ship,203999473
/vessels/details/203244245,NOSTRA GIOIA,Pleasure craft,203244245
/vessels/details/203999485,TWIN CITY LINER,HSC,203999485
/vessels/details/203244790,OLD LADY N-34790,Pleasure craft,203244790
/vessels/details/203213300,MABEL,Sailing vessel,203213300
/vessels/details/203999445,MS SISSI,Passenger ship,203999445
/vessels/details/203838400,LIBERTA,Sailing vessel,203838400
/vessels/details/203999312,ABWINDEN,Other type,203999312
/vessels/details/203247009,DORIS,Sailing vessel,203247009
/vessels/details/203042200,IRONY,Sailing vessel,203042200
/vessels/details/203999350,AURORA,Towing vessel,203999350
/vessels/details/203247433,HAPPINESS,Pleasure craft,203247433
/vessels/details/203597200,CHRICHRI,Sailing vessel,203597200
/vessels/details/203999417,LINZERIN,Passenger ship,203999417
/vessels/details/203245708,LIV,Pleasure craft,203245708
/vessels/details/203249392,HANSA,Sailing vessel,203249392
/vessels/details/203246314,SY SAGITTA,Pleasure craft,203246314
/vessels/details/203245305,ARIES,Sailing vessel,203245305
/vessels/details/203890100,FORTUNA,Sailing vessel,203890100
/vessels/details/203249863,KHALEESI,Sailing vessel,203249863
/vessels/details/203291200,INSIEME,Pleasure craft,203291200
/vessels/details/203999390,GRAZ,Cargo ship,203999390
/vessels/details/203999452,MELK,Cargo ship,203999452
/vessels/details/203246876,SAILING SCIROCCO,Sailing vessel,203246876
/vessels/details/203247847,SEABLADE,Sailing vessel,203247847
/vessels/details/203211300,THEMI 50,Pleasure craft,203211300
/vessels/details/203336100,PROMILLE II,Sailing vessel,203336100
/vessels/details/203912100,SY IRIS,Sailing vessel,203912100
/vessels/details/203999461,HERZOGENBURG,Cargo ship,203999461
/vessels/details/203247137,MOBULA,Sailing vessel,203247137
/vessels/details/203243668,SEA YOU AGAIN,Unknown,203243668
/vessels/details/203999436,RENAISSANCE,Passenger ship,203999436
/vessels/details/203807100,CALISTO,Sailing vessel,203807100
/vessels/details/203245821,ISIS,Sailing vessel,203245821
/vessels/details/203245313,CLARA-MARIA,Sailing vessel,203245313
/vessels/details/203245438,AVANTA,Sailing vessel,203245438
/vessels/details/203650100,ATAIR,Sailing vessel,203650100
/vessels/details/203247363,NESSIE,Pleasure craft,203247363
/vessels/details/203247599,FLOWERS,Sailing vessel,203247599
/vessels/details/203247722,ANNA MARIA,Sailing vessel,203247722
/vessels/details/203999311,LINZ,Other type,203999311
/vessels/details/203999401,GRUENAU,Unknown,203999401
/vessels/details/203245647,SILENE,Sailing vessel,203245647
/vessels/details/203249191,CHAIROS,Sailing vessel,203249191
/vessels/details/203999366,LINZ,Dredging or UW ops,203999366
/vessels/details/203246250,CARNAVAL,Sailing vessel,203246250
/vessels/details/203999391,INNSBRUCK,Cargo ship,203999391
/vessels/details/203999365,KREMS,Dredging or UW ops,203999365
/vessels/details/203245908,COSI,Sailing vessel,203245908
/vessels/details/203999421,PRIMADONNA,WIG,203999421
/vessels/details/203248150,FREYA,Sailing vessel,203248150
/vessels/details/203245935,MANITA,Sailing vessel,203245935
/vessels/details/203768200,NICONA,Pleasure craft,203768200
/vessels/details/203744200,FOOTLOOSE,Sailing vessel,203744200
/vessels/details/203496400,SANDY BOTTOMS,Pleasure craft,203496400
/vessels/details/203245766,EMILIA,Sailing vessel,203245766
/vessels/details/203245843,MOJO,Unknown,203245843
/vessels/details/203246364,BE THE FIRST.,Sailing vessel,203246364
