url,name,type,imo
/vessels/details/9181649,AZURE VOYAGER,Crude Oil Tanker,9181649
/vessels/details/9282792,AQUA LIVE,Crude Oil Tanker,9282792
/vessels/details/9292981,NOBLE WALKER,Crude Oil Tanker,9292981
/vessels/details/9237228,SHANGHAI,Crude Oil Tanker,9237228
/vessels/details/9113379,DA LI,LPG Tanker,9113379
/vessels/details/9277761,STELLANN,Oil Products Tanker,9277761
/vessels/details/9228538,ALOR 2,Container Ship,9228538
/vessels/details/9171498,ALJAFZIA,Chemical/Oil Products Tanker,9171498
/vessels/details/9203928,VAST PLUS,Chemical/Oil Products Tanker,9203928
/vessels/details/9259408,NORA,Container Ship,9259408
/vessels/details/9255244,WHITE CONDOR I,Oil Products Tanker,9255244
/vessels/details/9382073,EVERDINE,Oil Products Tanker,9382073
/vessels/details/9237084,ZYRA,Container Ship,9237084
/vessels/details/9236652,ENZO 2,Container Ship,9236652
/vessels/details/9241487,NYRA2,Container Ship,9241487
/vessels/details/9088524,VIRA1,Container Ship,9088524
/vessels/details/9309227,ELIAH,Chemical/Oil Products Tanker,9309227
/vessels/details/9122473,VELON 1,Container Ship,9122473
/vessels/details/9254422,CORAL WAVE,Chemical/Oil Products Tanker,9254422
/vessels/details/9463528,ASPHALT STAR,Oil Products Tanker,9463528
/vessels/details/9221267,GLOBAL BEAUTY,Chemical/Oil Products Tanker,9221267
/vessels/details/9546708,AZURE SKY,Oil Products Tanker,9546708
/vessels/details/9113094,SIMBA V,Crude Oil Tanker,9113094
/vessels/details/9125724,BLOOMING DALE,Oil Products Tanker,9125724
/vessels/details/8982888,TRIDENT II,Oil Products Tanker,8982888
/vessels/details/9005338,AVENGER BOW,Bitumen Tanker,9005338
/vessels/details/307236611,72366-11-57,Unknown,307236611
/vessels/details/307605103,76051-3-97,Unknown,307605103
/vessels/details/307222218,72222-99999-79,Unknown,307222218
/vessels/details/307222201,ZHEPUYU72222-1-67,Unknown,307222201
/vessels/details/307228906,QIONGSANYAYU72289-6,Unknown,307228906
/vessels/details/307830000,3078-161,Unknown,307830000
/vessels/details/307173310,TIELONG10A-71733-45,Unknown,307173310
/vessels/details/307218115,LIN21811-5-99,Unknown,307218115
/vessels/details/307229503,2295-3-91,Unknown,307229503
/vessels/details/307233710,72337-10-82,Unknown,307233710
/vessels/details/307633728,PIPIXIA,Fishing vessel,307633728
/vessels/details/307886011,YU 07886-11-89,Unknown,307886011
/vessels/details/307222208,ZHEPUYU72222-8-31,Unknown,307222208
/vessels/details/307128208,LIN12820-8-84,Unknown,307128208
/vessels/details/307228904,QIONGSANYAYU72289-4,Unknown,307228904
/vessels/details/307173303,TIELONG3A-71733-99,Unknown,307173303
/vessels/details/307800004,QIONGDANYU03078A496,Unknown,307800004
/vessels/details/307222204,72222-88888-68,Unknown,307222204
/vessels/details/307233711,72337-11-46,Unknown,307233711
/vessels/details/307222206,ZHEPUYU72222-6-78,Unknown,307222206
/vessels/details/307222207,ZHEPUYU72222-7-75,Unknown,307222207
/vessels/details/307605101,2295-1-96,Unknown,307605101
/vessels/details/307222211,72222-99999-79,Unknown,307222211
/vessels/details/307236617,72366-17-39,Unknown,307236617
/vessels/details/307133099,NET33099-71-83,Unknown,307133099
/vessels/details/307229502,2295-2-80,Unknown,307229502
/vessels/details/307020693,NESSIE,Sailing vessel,307020693
/vessels/details/307108920,LIN71089-20,Unknown,307108920
/vessels/details/307424000,EUROCAK792,Sailing vessel,307424000
/vessels/details/307173312,TIELONG2B-71733-39,Unknown,307173312
/vessels/details/307222212,ZHEPUYU72222-12-99,Unknown,307222212
/vessels/details/307982814,10018-9,Unknown,307982814
/vessels/details/307233714,72337-14-60,Unknown,307233714
