url,name,type,imo
/vessels/details/9810513,KARABAKH,Crude Oil Tanker,9810513
/vessels/details/9867621,KHANKENDI,Crude Oil Tanker,9867621
/vessels/details/9779941,SHUSHA,Crude Oil Tanker,9779941
/vessels/details/9420617,ZANGAZUR,Crude Oil Tanker,9420617
/vessels/details/9757369,KHANKENDI,Offshore Support Vessel,9757369
/vessels/details/8410172,GURBAN ABASOV,Crane Ship,8410172
/vessels/details/8765565,GARABAGH,Platform,8765565
/vessels/details/7604374,AZERBAIJAN,Crane Ship,7604374
/vessels/details/8212582,SHAKI,Passenger/Ro-Ro Cargo Ship,8212582
/vessels/details/8212594,AKADEMIK HESEN ALIEV,Passenger/Ro-Ro Cargo Ship,8212594
/vessels/details/8212568,MERKURY 1,Passenger/Ro-Ro Cargo Ship,8212568
/vessels/details/9297802,SHAHDAG,Ro-Ro Cargo Ship,9297802
/vessels/details/9843106,AZERBAIJAN,Passenger/Ro-Ro Cargo Ship,9843106
/vessels/details/9632351,BARDA,Ro-Ro Cargo Ship,9632351
/vessels/details/9632363,BALAKEN,Ro-Ro Cargo Ship,9632363
/vessels/details/9564633,JULFA,Oil Products Tanker,9564633
/vessels/details/9284128,PR.HEYDAR ALIYEV,Oil Products Tanker,9284128
/vessels/details/9397676,NASIMI,Oil Products Tanker,9397676
/vessels/details/9284130,BABEK,Oil Products Tanker,9284130
/vessels/details/9394064,JABBAR HASHIMOV,Oil Products Tanker,9394064
/vessels/details/8316041,BESTEKAR GARA GARAYEV,Ro-Ro Cargo Ship,8316041
/vessels/details/9821471,KALBAJAR,Oil Products Tanker,9821471
/vessels/details/9821469,LACHIN,Oil Products Tanker,9821469
/vessels/details/9269295,MAESTRO NIYAZI,General Cargo Ship,9269295
/vessels/details/9745720,BAKU,Chemical/Oil Products Tanker,9745720
/vessels/details/9729594,AZERBAIJAN,Chemical/Oil Products Tanker,9729594
/vessels/details/9340855,GAFUR MAMMADOV,General Cargo Ship,9340855
/vessels/details/9459618,NATAVAN,General Cargo Ship,9459618
/vessels/details/9528146,UZEYIR HAJIBEYLI,General Cargo Ship,9528146
/vessels/details/9370721,SHAIR VAGIF,General Cargo Ship,9370721
/vessels/details/9396658,HUSEYN JAVID,General Cargo Ship,9396658
/vessels/details/9294460,GENERAL ASLANOV,General Cargo Ship,9294460
/vessels/details/9348326,SHAIR SABIR,General Cargo Ship,9348326
/vessels/details/9294458,RASUL RZA,General Cargo Ship,9294458
