url,name,type,imo
/vessels/details/478106000,BRCKO13BARGE,Cargo ship,478106000
/vessels/details/478653759,QIMING188,Fishing vessel,478653759
/vessels/details/478327835,LURIKAIYG2P815,Fishing vessel,478327835
/vessels/details/478826604,13002-0498,Unknown,478826604
/vessels/details/478990011,478990011 79,Unknown,478990011
/vessels/details/478256503,13002-0384,Unknown,478256503
/vessels/details/478990021,478990021 98,Unknown,478990021
/vessels/details/478990016,478990016 82,Unknown,478990016
/vessels/details/478945613,BEIFENG608,Cargo ship,478945613
/vessels/details/478321205,13002-0569,Unknown,478321205
/vessels/details/478990019,478990019 83,Unknown,478990019
/vessels/details/478888000,38,Unknown,478888000
/vessels/details/478652008,BGPO008,Pleasure craft,478652008
/vessels/details/478741107,95238-E94,Unknown,478741107
/vessels/details/478963321,04218-3333 24,Unknown,478963321
/vessels/details/478458745,SUSHEYU06658-8-92,Unknown,478458745
/vessels/details/478523853,09999,Unknown,478523853
/vessels/details/478990013,478990013 86,Unknown,478990013
/vessels/details/478990012,478990012 78,Unknown,478990012
/vessels/details/478999999,VASANAJAROENTRAP 501,Towing vessel (tow>200),478999999
/vessels/details/478568596,88,Cargo ship,478568596
/vessels/details/478585221,XIN MING 21,Unknown,478585221
/vessels/details/478990018,478990018 79,Unknown,478990018
/vessels/details/478919081,MING CHYUAN YIH,Fishing vessel,478919081
/vessels/details/478941656,SRIRUNG.,Other type,478941656
/vessels/details/478990001,478990001 80,Unknown,478990001
/vessels/details/478901656,SRIRUNG.1656,Other type,478901656
/vessels/details/478569800,03622,Cargo ship,478569800
/vessels/details/478990009,478990009 82,Unknown,478990009
/vessels/details/478990022,478990022 78,Unknown,478990022
/vessels/details/478990020,478990020 80,Unknown,478990020
/vessels/details/478568017,30005,Cargo ship,478568017
/vessels/details/478111118,118,Cargo ship,478111118
/vessels/details/478990017,478990017 82,Unknown,478990017
/vessels/details/478990010,478990010 80,Unknown,478990010
/vessels/details/478990015,478990015 80,Unknown,478990015
/vessels/details/478990008,478990008 96,Unknown,478990008
/vessels/details/478990007,478990007 82,Unknown,478990007
/vessels/details/478990002,478990002 81,Unknown,478990002
/vessels/details/478990003,478990003 82,Unknown,478990003
/vessels/details/478990006,478990006 81,Unknown,478990006
/vessels/details/478990005,478990005 81,Unknown,478990005
/vessels/details/478030604,COSCO SHIPPING CHILE,Cargo ship (HAZ-A),478030604
/vessels/details/478888888,LH,Cargo ship,478888888
