url,name,type,imo
/vessels/details/9290775,VICSCENE,Crude Oil Tanker,9290775
/vessels/details/9316701,PROGRESS V,Crude Oil Tanker,9316701
/vessels/details/9233789,XI XIU,Crude Oil Tanker,9233789
/vessels/details/9247182,ABIE,Crude Oil Tanker,9247182
/vessels/details/9389019,STAR PIONE,Crude Oil Tanker,9389019
/vessels/details/9573115,CANAL,Bulk Carrier,9573115
/vessels/details/9591741,BEAM,Bulk Carrier,9591741
/vessels/details/9314090,COMET,Bulk Carrier,9314090
/vessels/details/9279874,DALI,Bulk Carrier,9279874
/vessels/details/9408190,SAMOS,Crude Oil Tanker,9408190
/vessels/details/9290359,ZHEN ZHU,Crude Oil Tanker,9290359
/vessels/details/9250737,ORYX,Crude Oil Tanker,9250737
/vessels/details/9194995,SKAGE,Crude Oil Tanker,9194995
/vessels/details/9271573,FAYRUZ,Crude Oil Tanker,9271573
/vessels/details/9838838,ADMIRAL SCHMIDT,Bulk Carrier,9838838
/vessels/details/9838840,VITUS BERING,Bulk Carrier,9838840
/vessels/details/9213296,TELESTO,Crude Oil Tanker,9213296
/vessels/details/9213313,ALBEDO,Crude Oil Tanker,9213313
/vessels/details/9439539,BOLU,Crude Oil Tanker,9439539
/vessels/details/9439400,MYLASA,Crude Oil Tanker,9439400
/vessels/details/9291236,LONG XIANG,Crude Oil Tanker,9291236
/vessels/details/9276597,JING HAI,Crude Oil Tanker,9276597
/vessels/details/9252371,MT KIROHO,Crude Oil Tanker,9252371
/vessels/details/9422988,VOLANS,Crude Oil Tanker,9422988
/vessels/details/9498705,GREY WHALE,Bulk Carrier,9498705
/vessels/details/9628116,DREAM,Bulk Carrier,9628116
/vessels/details/9511260,WHITE ROCK,Bulk Carrier,9511260
/vessels/details/9836490,ELATI,Bulk Carrier,9836490
/vessels/details/9836701,TAYGETUS,Bulk Carrier,9836701
/vessels/details/9281425,RANGVER,Oil Products Tanker,9281425
/vessels/details/9298662,MULE,Oil Products Tanker,9298662
/vessels/details/9277773,HAPPY CAMPER,Oil Products Tanker,9277773
/vessels/details/9288356,ROCK,Crude Oil Tanker,9288356
/vessels/details/9255933,OCEAN KOI,Crude Oil Tanker,9255933
