url,name,type,imo
/vessels/details/9362205,AKIJ GLORY,Bulk Carrier,9362205
/vessels/details/9781712,MEGHNA CENTURY,Bulk Carrier,9781712
/vessels/details/9749726,ZAYD JAHAN,Bulk Carrier,9749726
/vessels/details/9749738,FATEMA JAHAN I,Bulk Carrier,9749738
/vessels/details/9928841,MEGHNA HOPE,Bulk Carrier,9928841
/vessels/details/9928839,MEGHNA PRESTIGE,Bulk Carrier,9928839
/vessels/details/9928827,MEGHNA VICTORY,Bulk Carrier,9928827
/vessels/details/9894466,MEGHNA PIONEER,Bulk Carrier,9894466
/vessels/details/9846275,MEGHNA LEGACY,Bulk Carrier,9846275
/vessels/details/9805764,MEGHNA ADVENTURE,Bulk Carrier,9805764
/vessels/details/9805776,MEGHNA PRINCESS,Bulk Carrier,9805776
/vessels/details/9805752,MEGHNA FORTUNE,Bulk Carrier,9805752
/vessels/details/9817535,JAHAN I,Bulk Carrier,9817535
/vessels/details/9758741,MEGHNA VISION,Bulk Carrier,9758741
/vessels/details/9738947,JAHAN SISTERS1,Bulk Carrier,9738947
/vessels/details/9731705,MEGHNA DREAM,Bulk Carrier,9731705
/vessels/details/9838486,MEGHNA CROWN,Bulk Carrier,9838486
/vessels/details/9503184,GREAT ROYAL,Bulk Carrier,9503184
/vessels/details/9584891,AISHA SARWAR I,Bulk Carrier,9584891
/vessels/details/9717072,MEGHNA SUN,Bulk Carrier,9717072
/vessels/details/9717060,MEGHNA STAR,Bulk Carrier,9717060
/vessels/details/9745598,ABDULLAH,Bulk Carrier,9745598
/vessels/details/9403097,AKIJ STAR,Bulk Carrier,9403097
/vessels/details/9340491,AKIJ NOBLE,Bulk Carrier,9340491
/vessels/details/9583108,AMMAR I,Bulk Carrier,9583108
/vessels/details/9425899,GUL BANO,Bulk Carrier,9425899
/vessels/details/9520601,KHADEEJAH JAHAN I,Bulk Carrier,9520601
/vessels/details/9520900,NAZIA JAHAN,Bulk Carrier,9520900
/vessels/details/9493975,JAHAN BROTHERS I,Bulk Carrier,9493975
/vessels/details/9425772,FATEMA JAHAN II,Bulk Carrier,9425772
/vessels/details/9668051,MEGHNA LIBERTY,Bulk Carrier,9668051
/vessels/details/9622813,MEGHNA FREEDOM,Bulk Carrier,9622813
/vessels/details/9514377,ZAHAB JAHAN I,Bulk Carrier,9514377
/vessels/details/9329813,PRIDE OF YASNA,Bulk Carrier,9329813
/vessels/details/9351725,MEGHNA ROSE,Bulk Carrier,9351725
/vessels/details/9300506,AKIJ MOON,Bulk Carrier,9300506
/vessels/details/9331232,MEGHNA HARMONY,Bulk Carrier,9331232
/vessels/details/9339959,ROYAL IMAGE,Bulk Carrier,9339959
/vessels/details/9397872,MEGHNA ENERGY,Bulk Carrier,9397872
/vessels/details/9303091,NAFISA JAHAN,Bulk Carrier,9303091
/vessels/details/9339480,JAHAN BROTHERS II,Bulk Carrier,9339480
/vessels/details/9339454,AKIJ HERITAGE,Bulk Carrier,9339454
/vessels/details/9324095,MEGHNA VENUS,Bulk Carrier,9324095
/vessels/details/9454187,ZARAAR HANIF,Bulk Carrier,9454187
/vessels/details/9336866,SAFINAH,Bulk Carrier,9336866
/vessels/details/9407536,KHADEEJAH JAHAN II,Bulk Carrier,9407536
/vessels/details/9392731,JAHAN MONI,Bulk Carrier,9392731
/vessels/details/9263708,BASHUNDHARA MALIKA,Chemical/Oil Products Tanker,9263708
/vessels/details/9263124,BLUE VOYAGE,Bulk Carrier,9263124
/vessels/details/9244855,MAJESTY,Bulk Carrier,9244855
/vessels/details/9317169,ZUHAYR,Bulk Carrier,9317169
/vessels/details/9309631,MEGHNA PROSPER,Bulk Carrier,9309631
/vessels/details/9442902,ROYAL ARKAN,Bulk Carrier,9442902
/vessels/details/9350070,MEGHNA PARADISE,Bulk Carrier,9350070
/vessels/details/9293105,AKIJ GLOBE,Bulk Carrier,9293105
/vessels/details/9254549,GRAND ROYAL EXPRESS,Bulk Carrier,9254549
/vessels/details/9246619,AKIJ NOOR,Bulk Carrier,9246619
/vessels/details/9382683,SUPER ROYAL,Bulk Carrier,9382683
/vessels/details/9405502,JAWAD,Bulk Carrier,9405502
/vessels/details/9538945,AMEENA JAHAN,Bulk Carrier,9538945
/vessels/details/9221126,MV STAR ROYAL,Bulk Carrier,9221126
/vessels/details/9227998,CROWN VISION,Bulk Carrier,9227998
/vessels/details/9216676,CROWN VIRTUE,Bulk Carrier,9216676
/vessels/details/9233442,EMPRESS,Bulk Carrier,9233442
/vessels/details/9310812,LADY OF DORIA,Chemical/Oil Products Tanker,9310812
/vessels/details/9400801,QUEEN OF DORIA,Chemical/Oil Products Tanker,9400801
/vessels/details/9188611,BRAVE ROYAL,Bulk Carrier,9188611
/vessels/details/9109366,AKIJ WAVE,Bulk Carrier,9109366
/vessels/details/9200433,AISHA SARWAR,Bulk Carrier,9200433
/vessels/details/9102332,JAHAN SISTERS,Bulk Carrier,9102332
/vessels/details/9217682,ZAHAB JAHAN,Bulk Carrier,9217682
/vessels/details/9163465,AMMAR,Bulk Carrier,9163465
/vessels/details/9138862,AKIJ OCEAN,Bulk Carrier,9138862
/vessels/details/9793844,BANGLAR ARJAN,Bulk Carrier,9793844
/vessels/details/9793820,BANGLAR JOYJATRA,Bulk Carrier,9793820
/vessels/details/9263239,SHAHRIAR JAHAN,Bulk Carrier,9263239
/vessels/details/9793868,BANGLAR AGRADOOT,Chemical/Oil Products Tanker,9793868
/vessels/details/9793870,BANGLAR AGRAGOTI,Chemical/Oil Products Tanker,9793870
/vessels/details/9793856,BANGLAR AGRAJATRA,Chemical/Oil Products Tanker,9793856
/vessels/details/9175614,HR HERA,Container Ship,9175614
/vessels/details/9266114,HR BALU,Container Ship,9266114
/vessels/details/9327102,SAMUDA,Chemical/Oil Products Tanker,9327102
/vessels/details/9123594,HR AARAI,Container Ship,9123594
/vessels/details/9123582,HR FARHA,Container Ship,9123582
/vessels/details/9157404,HR SARERA,Container Ship,9157404
/vessels/details/9157399,HR SAHARE,Container Ship,9157399
/vessels/details/9175779,HR TURAG,Container Ship,9175779
