url,name,type,imo
/vessels/details/633600043,6336-43 8V2,Unknown,633600043
/vessels/details/633600003,6336-3-93,Unknown,633600003
/vessels/details/633000000,BAKA,Cargo ship,633000000
/vessels/details/633970003,MINPINGYU63397-3-,Unknown,633970003
/vessels/details/633218153,LIN21815-3-61,Unknown,633218153
/vessels/details/633300031,6333-31-47,Unknown,633300031
/vessels/details/633364346,444A,Cargo ship,633364346
/vessels/details/633120009,63312-9-84,Unknown,633120009
/vessels/details/633250802,08633-2-97,Unknown,633250802
/vessels/details/633990008,63399-08-58,Fishing vessel,633990008
/vessels/details/633712726,18008-12-87,Unknown,633712726
/vessels/details/633600005,6336-5-91,Unknown,633600005
/vessels/details/633300035,6333-35-91,Unknown,633300035
/vessels/details/633300013,6333-13-61,Unknown,633300013
/vessels/details/633250801,08633-1-99,Unknown,633250801
/vessels/details/633333333,KIEM NGU A10,Cargo ship,633333333
/vessels/details/633215973,LIN21597-3-74,Unknown,633215973
/vessels/details/633000005,00633-5,Unknown,633000005
/vessels/details/633300010,6333-10-24,Unknown,633300010
/vessels/details/633441429,DONGHONG18,Fishing vessel,633441429
/vessels/details/633660101,DINGZHIWANG63366-22,Unknown,633660101
/vessels/details/633300008,6333-8-64,Unknown,633300008
/vessels/details/633600036,6336-36 59,Unknown,633600036
/vessels/details/633000004,00633-4,Unknown,633000004
/vessels/details/633300026,6333-26-84,Unknown,633300026
/vessels/details/7911521,LOUISIANA,Drilling Ship,7911521
/vessels/details/633600022,6336-22-86,Unknown,633600022
/vessels/details/633990011,63399-11-99,Fishing vessel,633990011
/vessels/details/633218596,LIN 21859-6-96,Unknown,633218596
/vessels/details/633385082,HAI HANG 57,Cargo ship,633385082
/vessels/details/633600021,6336-21-97,Unknown,633600021
/vessels/details/633970105,63397-5-92,Unknown,633970105
/vessels/details/633014183,ZHESHENGYUWANGQU-B3,Unknown,633014183
/vessels/details/9587300,NIANDAN,Tug,9587300
/vessels/details/633600047,6336-47 90,Unknown,633600047
/vessels/details/633020846,POLYNESIA,Cargo ship,633020846
/vessels/details/633821539,82153-1-93,Unknown,633821539
/vessels/details/633990009,63399-09-99,Fishing vessel,633990009
/vessels/details/633440013,63344-13-11,Unknown,633440013
/vessels/details/633902000,EVERLOVE PKFB 1951,Fishing vessel,633902000
/vessels/details/633300027,6333-27-65,Unknown,633300027
/vessels/details/633970004,MINPINGYU63397-4-,Unknown,633970004
/vessels/details/633377728,33777-28-78,Unknown,633377728
/vessels/details/633120001,MDY63312-1-46,Unknown,633120001
/vessels/details/633330001,63333-1-77,Unknown,633330001
/vessels/details/633300007,6333-7-27,Unknown,633300007
/vessels/details/633300002,6333-2-25,Unknown,633300002
/vessels/details/633120007,63312-7-88,Unknown,633120007
/vessels/details/633626229,TIANZHENGYANGZHIQU29,Unknown,633626229
/vessels/details/633506335,06335,Fishing vessel,633506335
/vessels/details/633830952,83095-2-95,Unknown,633830952
/vessels/details/633884466,2222EONGRACE,Unknown (HAZ-A),633884466
/vessels/details/633330000,5,HSC (HAZ-A),633330000
/vessels/details/633213394,LAO21339-4-33,Unknown,633213394
/vessels/details/633600042,6336-42,Unknown,633600042
/vessels/details/633300034,6333-34-07,Unknown,633300034
/vessels/details/633300023,6333-23-76,Unknown,633300023
/vessels/details/633333000,2,HSC (HAZ-A),633333000
/vessels/details/633000056,699-56-93,Unknown,633000056
/vessels/details/633560177,KIM.QUYEN,Unknown,633560177
/vessels/details/633300012,6333-12-SOS,Unknown,633300012
/vessels/details/633626214,TIANZHENYANGZHI014,Unknown,633626214
/vessels/details/633300041,6333-41-83,Unknown,633300041
/vessels/details/633102629,96215,Unknown,633102629
/vessels/details/633600038,6336-38 96,Unknown,633600038
/vessels/details/633211673,LIN 21167-3-97,Unknown,633211673
/vessels/details/633300022,6333-22-99,Unknown,633300022
/vessels/details/633060001,MINDONGYU63306-1-99,Unknown,633060001
/vessels/details/633135021,71167-60-62,Unknown,633135021
/vessels/details/633014184,ZHESHENGYUWANGQU-B4,Unknown,633014184
/vessels/details/633000001,633-B1-99,Unknown,633000001
/vessels/details/633600002,6336-2-84,Unknown,633600002
/vessels/details/633000003,633-B3-99,Unknown,633000003
/vessels/details/633300038,6333-38-26,Unknown,633300038
/vessels/details/633129378,LIN12937-8-99,Unknown,633129378
/vessels/details/633621586,LKK21586-638.2V,Unknown,633621586
