url,name,type,imo
/vessels/details/7529964,GEROITE NA ODESSA,Ro-Ro Cargo Ship,7529964
/vessels/details/9031698,DRUJBA,Passenger/Ro-Ro Cargo Ship,9031698
/vessels/details/9104811,SAKAR,Bulk Carrier,9104811
/vessels/details/9553983,PEACE,General Cargo Ship,9553983
/vessels/details/9681974,PONTICA,General Cargo Ship,9681974
/vessels/details/8112586,NAVAL RSV 421,Research Vessel,8112586
/vessels/details/8899720,BRIZ,LPG Tanker,8899720
/vessels/details/7824637,ANNE SOFIE,General Cargo Ship,7824637
/vessels/details/7924293,NAVI,Oil Products Tanker,7924293
/vessels/details/8138463,AKADEMIK,Research Vessel,8138463
/vessels/details/6817857,AGAMEMNON,Oil Products Tanker,6817857
/vessels/details/9022116,ANTEY,Crane Ship,9022116
/vessels/details/9022130,GIGANT,Crane Ship,9022130
/vessels/details/9940980,BALCHIK,Patrol Vessel,9940980
/vessels/details/9022245,SSH-81,General Cargo Ship,9022245
/vessels/details/9022283,SSH 39,General Cargo Ship,9022283
/vessels/details/8315671,JUMBO 2,Oil Products Tanker,8315671
/vessels/details/9861055,RIGEL,Tug,9861055
/vessels/details/9836517,CASTOR,Tug,9836517
/vessels/details/8308410,STV KALIAKRA,Sailing Vessel,8308410
/vessels/details/7232638,MULTRATUG 10,Pusher Tug,7232638
/vessels/details/9576179,OBZOR,Patrol Vessel,9576179
/vessels/details/9111723,SEACAT 1,Passenger Ship,9111723
/vessels/details/8862686,HAITHABU,Research Vessel,8862686
/vessels/details/8744119,RK 29,Fishing Vessel,8744119
/vessels/details/8662787,MULTRATUG 22,Tug,8662787
/vessels/details/207072268,SV.AP.TOMAINTERCOM1,Cargo ship,207072268
/vessels/details/207072372,EOS,Other type,207072372
/vessels/details/207072429,SONIA S,Tanker,207072429
/vessels/details/207829390,EM - ES II,Pleasure craft,207829390
/vessels/details/207832840,NIMANA,Sailing vessel,207832840
/vessels/details/207834720,LADY GA GA,Sailing vessel,207834720
/vessels/details/207837340,GERGANA 9,Pleasure craft,207837340
/vessels/details/207834990,GYRFALCON,Sailing vessel,207834990
/vessels/details/207622250,SPASITEL 3,SAR,207622250
/vessels/details/207261314,ROUSSE PRESTIGE,WIG,207261314
/vessels/details/207836760,AMORE,Pleasure craft,207836760
/vessels/details/207072276,NEFTYANIK-1,Other type,207072276
/vessels/details/207072452,SEATTLE,WIG,207072452
/vessels/details/207842620,MATTEA,Pleasure craft,207842620
/vessels/details/207822650,HERSON,Fishing vessel,207822650
/vessels/details/207072389,ALFRED UHR,Other type,207072389
/vessels/details/207833540,FINOOR S,Sailing vessel,207833540
/vessels/details/207072362,RUBISHIPS XV,Cargo ship,207072362
/vessels/details/207622360,NADEZHDA,SAR,207622360
/vessels/details/207832460,ANASTASIA,Unknown,207832460
/vessels/details/207261814,RUBISHIPS VIII,Cargo ship,207261814
/vessels/details/207261206,VASIL PETLESHKOV,Cargo ship,207261206
/vessels/details/207261826,RUBISHIPS VI,WIG,207261826
/vessels/details/207622290,VYARA,SAR,207622290
/vessels/details/207836970,MARYAM,Pleasure craft,207836970
/vessels/details/207072338,FE INERT,Other type,207072338
/vessels/details/207315000,STELLA MARIS,Sailing vessel,207315000
/vessels/details/207837420,POLAR PRINCESS II,Pleasure craft,207837420
/vessels/details/207072399,SWIMBUS 12.01,Passenger ship,207072399
/vessels/details/207835840,THEA V,Pleasure craft,207835840
/vessels/details/207072449,VERA S,Cargo ship,207072449
/vessels/details/207837360,EMY 6,Pleasure craft,207837360
/vessels/details/207822570,SVETI NIKOLA,Fishing vessel,207822570
/vessels/details/207072342,RUBISHIPSXIII,Cargo ship,207072342
/vessels/details/207829930,CENTURION,Sailing vessel,207829930
/vessels/details/207501000,NATO WARSHIP 41,Military ops,207501000
/vessels/details/207834830,TICHA,Tug,207834830
/vessels/details/207834370,LA FLEUR,Pleasure craft,207834370
/vessels/details/207261209,PETAR BERON,Cargo ship (HAZ-B),207261209
/vessels/details/207072337,SPARTAK,Cargo ship,207072337
/vessels/details/207511000,NATO WARSHIP 13,Other type,207511000
/vessels/details/207836450,ALINA,Pleasure craft,207836450
/vessels/details/207261405,BDIN,Unknown,207261405
/vessels/details/207835570,POSEIDON,Pleasure craft,207835570
/vessels/details/207838960,FELICITY,Pleasure craft,207838960
/vessels/details/207824880,SIANA-MARIA,Pleasure craft,207824880
/vessels/details/207833990,NORDIA,Sailing vessel,207833990
/vessels/details/207829330,PILOT 1,Pilot,207829330
/vessels/details/207072325,RUBISHIPS XII,WIG,207072325
/vessels/details/207829340,ALBENA,Sailing vessel,207829340
/vessels/details/207072282,RUSCHUK,WIG,207072282
/vessels/details/207072435,ISKAR,Cargo ship,207072435
/vessels/details/207833870,BACK TO BASIX,Sailing vessel,207833870
/vessels/details/207072366,DUNAV 1,Other type,207072366
/vessels/details/207072335,ARIES,Tanker,207072335
/vessels/details/207842570,ANGEL,Unknown,207842570
/vessels/details/207072248,SV.AP.ANDREY,Cargo ship,207072248
/vessels/details/207835990,VALENA,Pleasure craft,207835990
/vessels/details/207261419,RHEIN3BARGE,Cargo ship,207261419
/vessels/details/207827820,OCEANIS,Sailing vessel,207827820
/vessels/details/207261213,NAJDEN KIROV,Cargo ship,207261213
/vessels/details/207072382,RS2070,Other type,207072382
/vessels/details/207072454,SANTA MARIARAYA,Cargo ship,207072454
/vessels/details/207072345,RUBISHIPS XIV,Other type,207072345
/vessels/details/207373000,RUBISHIPS XVI ANTE,WIG,207373000
/vessels/details/207072247,VYRA,Unknown,207072247
/vessels/details/207833970,LIBERTY,Pleasure craft,207833970
/vessels/details/207838860,K2,Pleasure craft,207838860
/vessels/details/207833580,GABRIELLA,Unknown,207833580
/vessels/details/207836660,APRES SKI,Pleasure craft,207836660
/vessels/details/207826740,ELENA,Sailing vessel,207826740
/vessels/details/207837350,HISPANIOLA,Unknown,207837350
/vessels/details/207622260,SPASITEL 4,SAR,207622260
/vessels/details/207072329,ARIANA,Other type,207072329
/vessels/details/207072225,SV.AP.JOAN,Cargo ship,207072225
/vessels/details/207072227,VALMAR,Cargo ship,207072227
/vessels/details/207261214,PETAR KARAMINCHEV,Cargo ship,207261214
/vessels/details/207825490,NIYA,Passenger ship,207825490
/vessels/details/207833330,VEGA,Tug,207833330
/vessels/details/207261217,JUMBO III,Other type,207261217
/vessels/details/207072353,SWIMBUS,Passenger ship,207072353
/vessels/details/207261222,TORNADO,Other type,207261222
/vessels/details/207401000,SANMAR XIII,Tug,207401000
/vessels/details/207825270,PHILOSOPHY,Unknown,207825270
/vessels/details/207080000,PILOT 2,Pilot,207080000
/vessels/details/207261710,AVA,Cargo ship,207261710
/vessels/details/207420000,RK 26,Fishing vessel,207420000
/vessels/details/207072333,RIGEL,Tanker,207072333
/vessels/details/207261410,PIRIN,Cargo ship,207261410
/vessels/details/207833550,JAZZ,Unknown,207833550
/vessels/details/207261207,GEORGI MAMARCHEV,Cargo ship,207261207
/vessels/details/207072232,HEMUS,Sailing vessel,207072232
/vessels/details/207825520,NICKY JUNIOR,Fishing vessel,207825520
/vessels/details/207072285,MILA,Cargo ship,207072285
/vessels/details/207834750,IRINA R,Sailing vessel,207834750
/vessels/details/207345300,HYDRO 3,Diving ops,207345300
/vessels/details/207838730,ALEGRIA,Sailing vessel,207838730
/vessels/details/207333420,DARLING,Pleasure craft,207333420
/vessels/details/207072322,RIVERRIDE,Passenger ship,207072322
/vessels/details/207072375,ANNA,Cargo ship,207072375
/vessels/details/207261823,TSAR KALOYAN,Cargo ship,207261823
/vessels/details/207622270,SPASITEL 5,SAR,207622270
/vessels/details/207072369,DEL-CASSIA,Cargo ship,207072369
/vessels/details/207261709,SILISTRA,Cargo ship,207261709
/vessels/details/207072379,SOLIST,Cargo ship,207072379
/vessels/details/207009000,MAVI,Passenger ship,207009000
/vessels/details/207072462,SPIRIT 3BARGE,Cargo ship,207072462
/vessels/details/207261208,GEORGI IZMIRLIEV,Cargo ship,207261208
/vessels/details/207837240,FLORI,Pleasure craft,207837240
/vessels/details/207072359,KORSIKA,Cargo ship,207072359
/vessels/details/207829230,DISCOVERY,Unknown,207829230
/vessels/details/207822460,ELIS,Fishing vessel,207822460
/vessels/details/207837850,ATHENA TOO,Pleasure craft,207837850
/vessels/details/207072458,TITAN 1,Cargo ship,207072458
/vessels/details/207839370,THEA VI,Pleasure craft,207839370
/vessels/details/207072349,ARKA,Cargo ship,207072349
/vessels/details/207662230,SPASITEL 1,SAR,207662230
/vessels/details/207261426,ADORA,Other type,207261426
/vessels/details/207428000,MEDUZA-3,Fishing vessel,207428000
/vessels/details/207837560,LA BELLA,Sailing vessel,207837560
/vessels/details/207072428,RUBISHIPS XVII,Cargo ship,207072428
/vessels/details/207833670,BRY,Pleasure craft,207833670
/vessels/details/207836380,ELINA,Pleasure craft,207836380
/vessels/details/207261205,VASIL APRILOV,Cargo ship,207261205
/vessels/details/207834580,SOFGI,Sailing vessel,207834580
/vessels/details/207072385,CASTOR,Tanker,207072385
/vessels/details/207072426,NEPTUN,Passenger ship,207072426
/vessels/details/207369000,CAT,Pleasure craft,207369000
