url,name,type,imo
/vessels/details/609100004,60910-4-84,Unknown,609100004
/vessels/details/609380004,MINLIANYU60938-4-86,Unknown,609380004
/vessels/details/609400003,GANGKOU-6094-3-22,Unknown,609400003
/vessels/details/609812403,LUJIAOYU60891-03-64,Unknown,609812403
/vessels/details/609380018,MINLIANYU60938-1862,Unknown,609380018
/vessels/details/609122547,60912-47-87,Unknown,609122547
/vessels/details/609890009,LUCHENYU60989-97.9V,Unknown,609890009
/vessels/details/609190002,60919-2-90,Unknown,609190002
/vessels/details/609400009,GANGKOU6094-9-95,Unknown,609400009
/vessels/details/609629008,09629-08,Unknown,609629008
/vessels/details/609180024,YU60918-24-79,Unknown,609180024
/vessels/details/609609511,ZHEDAIYU06095-11,Unknown,609609511
/vessels/details/609291507,SYGANYU02915-07,Unknown,609291507
/vessels/details/609100006,60910-6-70,Unknown,609100006
/vessels/details/609982023,MINFUDINGYU09982-23,Unknown,609982023
/vessels/details/609888929,SAN98889-29-18,Unknown,609888929
/vessels/details/609102722,SUHAIMENYU01027-,Unknown,609102722
/vessels/details/609000002,DILONG6090-2-99,Unknown,609000002
/vessels/details/609000005,DILONG6090-5-56,Unknown,609000005
/vessels/details/609190003,60919-3-99,Unknown,609190003
/vessels/details/609700003,CT2-6097-3-22,Unknown,609700003
/vessels/details/609180022,YU60918-22-13,Unknown,609180022
/vessels/details/609880300,YUEMAYU60988-3-66,Unknown,609880300
/vessels/details/609380011,MINLIANYU60938-1177,Unknown,609380011
/vessels/details/609629006,09629-06,Unknown,609629006
/vessels/details/609982014,MINFUDINGYU09982-14,Unknown,609982014
/vessels/details/609982011,MINFUDINGYU09982-11,Unknown,609982011
/vessels/details/609400010,GANGKOU6094-10-37,Unknown,609400010
/vessels/details/609330850,09405-50-33,Unknown,609330850
/vessels/details/609229108,SUGANYU02291-08,Unknown,609229108
/vessels/details/609988888,1,Fishing vessel,609988888
/vessels/details/609166004,ZHEDAI09166004-29,Unknown,609166004
/vessels/details/609101008,SUQIYU09101A-8 10,Unknown,609101008
/vessels/details/609000011,DILONG6090-11-99,Unknown,609000011
/vessels/details/609101004,SUQIYU09101A-4 80,Unknown,609101004
/vessels/details/609000006,DILONG6090-6-61,Unknown,609000006
/vessels/details/609190034,60919-34-74,Unknown,609190034
/vessels/details/609982002,MINFUDINGYU09982-2,Unknown,609982002
/vessels/details/609380016,MINLIANYU60938-1693,Unknown,609380016
/vessels/details/609982015,MINFUDINGYU09982-15,Unknown,609982015
/vessels/details/609300952,ZDY 03906-AA1-1 90,Unknown,609300952
/vessels/details/609000015,DILONG6090-15-95,Unknown,609000015
/vessels/details/609812405,LUJIAOYU60891-05-78,Unknown,609812405
/vessels/details/609380010,MINLIANYU60938-1099,Unknown,609380010
/vessels/details/609982027,MINFUDINGYU09982-27,Unknown,609982027
/vessels/details/609660002,LUCHENGYU60966-2-99,Unknown,609660002
/vessels/details/609380002,MINLIANYU60938-2-99,Unknown,609380002
/vessels/details/609970703,99707-2,Unknown,609970703
/vessels/details/609190008,60919-8-97,Unknown,609190008
/vessels/details/609150001,MINLIANYU60915-1-75,Unknown,609150001
/vessels/details/609101009,SUQIYU09101A-9 90,Unknown,609101009
/vessels/details/609880003,YUEZHANYU60988-3-61,Unknown,609880003
/vessels/details/609222888,22979,Military ops,609222888
/vessels/details/609380008,MINLIANYU60938-8-79,Unknown,609380008
/vessels/details/609880004,YUEZHANYU60988-4-94,Unknown,609880004
/vessels/details/609380014,MINLIANYU60938-1464,Unknown,609380014
/vessels/details/609122546,60912-46-99,Unknown,609122546
/vessels/details/609190010,60919-10-99,Unknown,609190010
/vessels/details/609122426,60912-26-31,Unknown,609122426
/vessels/details/609000013,DILONG6090-13-99,Unknown,609000013
/vessels/details/609710003,LUCHENYU 60971-3,Unknown,609710003
/vessels/details/609970015,LUJIAOYU60997-15-,Unknown,609970015
/vessels/details/609970006,LUJIAOYU60997-06-,Unknown,609970006
/vessels/details/609000007,DILONG6090-7-97,Unknown,609000007
/vessels/details/609880006,ABANDILONG60988-691,Unknown,609880006
/vessels/details/609000014,DILONG6090-14-99,Unknown,609000014
/vessels/details/609380017,MINLIANYU60938-1787,Unknown,609380017
/vessels/details/609340608,SUAIYU03406-08,Unknown,609340608
/vessels/details/609100003,60910-3-79,Unknown,609100003
/vessels/details/609876547,CB-FISHBOUY-33-58,Unknown,609876547
/vessels/details/609881100,YUEMAYU60988-11-83,Unknown,609881100
/vessels/details/609330851,09405-51-23,Unknown,609330851
/vessels/details/609097123,13060-3 90,Unknown,609097123
/vessels/details/609228916,SUQIYU02289-16,Unknown,609228916
/vessels/details/609512802,SUGANYU05128-02,Unknown,609512802
/vessels/details/609890030,LUCHENYU60989-307.9,Unknown,609890030
/vessels/details/609224269,90222-3-66,Unknown,609224269
/vessels/details/609982020,MINFUDINGYU09982-20,Unknown,609982020
/vessels/details/609380003,MINLIANYU60938-3-85,Unknown,609380003
/vessels/details/609982019,MINFUDINGYU09982-19,Unknown,609982019
/vessels/details/609000010,DILONG6090-10-78,Unknown,609000010
/vessels/details/609910089,22979 .,Unknown,609910089
/vessels/details/609380020,MINLIANYU60938-2086,Unknown,609380020
/vessels/details/609896547,06208-2-99,Unknown,609896547
/vessels/details/609122424,60912-24-89,Unknown,609122424
/vessels/details/609786001,09786-1 60,Unknown,609786001
/vessels/details/609380009,MINLIANYU60938-9-46,Unknown,609380009
/vessels/details/609120803,C60912-95,Unknown,609120803
/vessels/details/609380007,MINLIANYU60938-7-10,Unknown,609380007
/vessels/details/609000004,DILONG6090-4-99,Unknown,609000004
/vessels/details/609982018,MINFUDINGYU09982-18,Unknown,609982018
/vessels/details/609400006,GANGKOU-6094-6-84,Unknown,609400006
/vessels/details/609585991,MIN DONG YU63060,Fishing vessel,609585991
/vessels/details/609629010,09629-10,Unknown,609629010
/vessels/details/609122422,60912-22-97,Unknown,609122422
/vessels/details/609870001,LUCHENYU60987-17.8V,Unknown,609870001
/vessels/details/609000012,DILONG6090-12-96,Unknown,609000012
/vessels/details/609982022,MINFUDINGYU09982-22,Unknown,609982022
/vessels/details/609330859,09405-59-06,Unknown,609330859
/vessels/details/609812409,LUJIAOYU60891-09-51,Unknown,609812409
/vessels/details/609219231,LIN21923-1-55,Unknown,609219231
/vessels/details/609380019,MINLIANYU60938-1926,Unknown,609380019
/vessels/details/609802432,LUJIAOYU60980-32-63,Unknown,609802432
/vessels/details/609660004,LUCHENGYU60966-4-99,Unknown,609660004
/vessels/details/609150003,60915-3-99,Unknown,609150003
/vessels/details/609660010,LUCHENGYU60966-1099,Unknown,609660010
/vessels/details/609880002,YUEZHANYU60988-2-93,Unknown,609880002
/vessels/details/609986090,MINFUDINGYU09982-90,Unknown,609986090
/vessels/details/609380012,MINLIANYU60938-1210,Unknown,609380012
/vessels/details/609008902,90089-2-78,Unknown,609008902
/vessels/details/609786024,ZHESHENGYU05188-14,Unknown,609786024
/vessels/details/609802433,LUJIAOYU60980-33-,Unknown,609802433
/vessels/details/609982004,MINFUDINGYU09982-4,Unknown,609982004
/vessels/details/609008906,90089-6-84,Unknown,609008906
/vessels/details/609400002,GANGKOUYU6094-2-98,Unknown,609400002
/vessels/details/609995620,SAN99956-20-71,Unknown,609995620
/vessels/details/609101003,SUQIYU09101A-3 90,Unknown,609101003
/vessels/details/609400001,GANGKOU-6094-1-60,Unknown,609400001
/vessels/details/609869056,09869-56 90,Unknown,609869056
/vessels/details/609802435,LUJIAOYU60980-35-,Unknown,609802435
/vessels/details/609122421,60912-21-83,Unknown,609122421
/vessels/details/609812406,LUJIAOYU60891-06-30,Unknown,609812406
/vessels/details/609869055,09869-55 90,Unknown,609869055
/vessels/details/609660006,LUCHENGYU60966-6-99,Unknown,609660006
/vessels/details/609101005,SUQIYU09101A-5 90,Unknown,609101005
/vessels/details/609982024,MINFUDINGYU09982-24,Unknown,609982024
/vessels/details/609000008,DILONG6090-8-99,Unknown,609000008
/vessels/details/609180023,YU60918-23-75,Unknown,609180023
/vessels/details/609400008,GANGKOU6094-8-17,Unknown,609400008
/vessels/details/609180021,YU60918-21-84,Unknown,609180021
/vessels/details/609890036,LUCHENYU60989-368.0,Unknown,609890036
/vessels/details/609880009,YUEZHANYU60988-9-74,Unknown,609880009
/vessels/details/609335930,SUQIYU03359-30,Unknown,609335930
/vessels/details/609380015,MINLIANYU60938-1590,Unknown,609380015
/vessels/details/609100002,60910-2-99,Unknown,609100002
/vessels/details/609831111,00815-11-93,Unknown,609831111
/vessels/details/609336820,SUQIYU03368-20,Unknown,609336820
/vessels/details/609812401,LUJIAOYU60891-01-83,Unknown,609812401
/vessels/details/609880010,YUEZHANYU60988-1099,Unknown,609880010
/vessels/details/609380006,MINLIANYU60938-6-25,Unknown,609380006
/vessels/details/609982008,MINFUDINGYU09982-8,Unknown,609982008
/vessels/details/609802434,LUJIAOYU60980-34-,Unknown,609802434
/vessels/details/609786023,ZHEDAIYU06216-15,Unknown,609786023
/vessels/details/609880008,YUEZHANYU60988-8-90,Unknown,609880008
/vessels/details/609982009,MINFUDINGYU09982-9,Unknown,609982009
/vessels/details/609710002,LUCHENYU 60971-2,Unknown,609710002
/vessels/details/609890037,LUCHENYU60989-378.5,Unknown,609890037
/vessels/details/609786008,09786-8 40,Unknown,609786008
/vessels/details/609220952,ZDY 03906-AA2-2 60,Unknown,609220952
/vessels/details/609097109,13060-9 90,Unknown,609097109
/vessels/details/609982016,MINFUDINGYU09982-16,Unknown,609982016
/vessels/details/609380005,MINLIANYU60938-5-09,Unknown,609380005
/vessels/details/609880001,YUEZHANYU60988-1-99,Unknown,609880001
/vessels/details/609100001,60910-1-81,Unknown,609100001
/vessels/details/609869081,MINFUDINGYU09869-81,Unknown,609869081
/vessels/details/609870007,LUCHENYU60987-77.5V,Unknown,609870007
/vessels/details/609802438,LUJIAOYU60980-38-54,Unknown,609802438
/vessels/details/609122425,60912-25-73,Unknown,609122425
/vessels/details/609122423,60912-23-45,Unknown,609122423
/vessels/details/609230813,SUQIYU02308-13,Unknown,609230813
/vessels/details/609222818,SUGANYU02228-18,Unknown,609222818
/vessels/details/609880005,ABANDILONG60988-565,Unknown,609880005
/vessels/details/609890031,LUCHENYU60989-318.2,Unknown,609890031
/vessels/details/609660009,LUCHENGYU60966-9-99,Unknown,609660009
/vessels/details/609880007,YUEZHANYU60988-7-84,Unknown,609880007
/vessels/details/609100005,60910-5-78,Unknown,609100005
/vessels/details/609890017,LUCHENYU60989-178.1,Unknown,609890017
/vessels/details/609982012,MINFUDINGYU09982-12,Unknown,609982012
/vessels/details/609101001,SUQIYU09101A-1 90,Unknown,609101001
/vessels/details/609190004,60919-4-99,Unknown,609190004
/vessels/details/609982005,MINFUDINGYU09982-5,Unknown,609982005
/vessels/details/609869057,09869-57 90,Unknown,609869057
/vessels/details/609230811,SUQIYU02308-11,Unknown,609230811
/vessels/details/609982021,MINFUDINGYU09982-21,Unknown,609982021
/vessels/details/609982025,MINFUDINGYU09982-25,Unknown,609982025
/vessels/details/609700006,CT2-6097-6-75,Unknown,609700006
/vessels/details/609000009,DILONG6090-9-13,Unknown,609000009
/vessels/details/609190001,60919-1-99,Unknown,609190001
/vessels/details/609802436,LUJIAOYU60980-36-97,Unknown,609802436
/vessels/details/609150002,MINLIANYU60915-2-92,Unknown,609150002
/vessels/details/609125722,SUQIYU01257-22,Unknown,609125722
/vessels/details/609101007,SUQIYU09101A-7 90,Unknown,609101007
/vessels/details/609802439,LUJIAOYU60980-39-99,Unknown,609802439
/vessels/details/609870021,LUCHENYU60987-218.4,Unknown,609870021
/vessels/details/609400007,GANGKOUYU6094-7-61,Unknown,609400007
/vessels/details/609621587,9621587,Fishing vessel,609621587
/vessels/details/609400005,GANGKOU-6094-5-09,Unknown,609400005
/vessels/details/609102724,SUHAIMENYU01027-,Unknown,609102724
/vessels/details/609400004,GANGKOU-6094-4-94,Unknown,609400004
/vessels/details/609228918,SUQIYU02289-18,Unknown,609228918
/vessels/details/609786015,MINXIAYU09786-15 20,Unknown,609786015
/vessels/details/609190009,60919-9-43,Unknown,609190009
/vessels/details/609700002,CT2-6097-2-19,Unknown,609700002
/vessels/details/609101006,SUQIYU09101A-6 80,Unknown,609101006
/vessels/details/609786004,09786-4 40,Unknown,609786004
/vessels/details/609802437,LUJIAOYU60980-37-89,Unknown,609802437
/vessels/details/609731233,CB-FISHBOUY-16-55,Unknown,609731233
/vessels/details/609982003,MINFUDINGYU09982-3,Unknown,609982003
/vessels/details/609122427,60912-27-81,Unknown,609122427
/vessels/details/609629009,09629-09,Unknown,609629009
/vessels/details/609113300,99707-1-48,Unknown,609113300
/vessels/details/609101002,SUQIYU09101A-2 90,Unknown,609101002
/vessels/details/609982028,MINFUDINGYU09982-28,Unknown,609982028
/vessels/details/609982001,MINFUDINGYU09982-1,Unknown,609982001
/vessels/details/609812404,LUJIAOYU60891-04-97,Unknown,609812404
/vessels/details/609380001,MINLIANYU60938-1-13,Unknown,609380001
/vessels/details/609982010,MINFUDINGYU09982-10,Unknown,609982010
/vessels/details/609890032,LUCHENYU60989-327.7,Unknown,609890032
/vessels/details/609982029,MINFUDINGYU09982-29,Unknown,609982029
