url,name,type,imo
/vessels/details/9849693,ARVIA,Passenger (Cruise) Ship,9849693
/vessels/details/9826548,IONA,Passenger (Cruise) Ship,9826548
/vessels/details/9863118,SUN PRINCESS,Passenger (Cruise) Ship,9863118
/vessels/details/9863120,STAR PRINCESS,Passenger (Cruise) Ship,9863120
/vessels/details/9241061,QUEEN MARY 2,Passenger (Cruise) Ship,9241061
/vessels/details/9837468,DISCOVERY PRINCESS,Passenger (Cruise) Ship,9837468
/vessels/details/9802396,SKY PRINCESS,Passenger (Cruise) Ship,9802396
/vessels/details/9807126,ENCHANTED PRINCESS,Passenger (Cruise) Ship,9807126
/vessels/details/9614141,MAJESTIC PRINCESS,Passenger (Cruise) Ship,9614141
/vessels/details/9614036,BRITANNIA,Passenger (Cruise) Ship,9614036
/vessels/details/9584724,REGAL PRINCESS,Passenger (Cruise) Ship,9584724
/vessels/details/9584712,ROYAL PRINCESS,Passenger (Cruise) Ship,9584712
/vessels/details/9876737,GASLOG WINCHESTER,LNG Tanker,9876737
/vessels/details/9876660,GASLOG WELLINGTON,LNG Tanker,9876660
/vessels/details/9853137,GASLOG WALES,LNG Tanker,9853137
/vessels/details/9819650,GASLOG WINDSOR,LNG Tanker,9819650
/vessels/details/9855812,GASLOG WESTMINSTER,LNG Tanker,9855812
/vessels/details/9958286,AKTORAS,LNG Tanker,9958286
/vessels/details/9943853,AXIOS II,LNG Tanker,9943853
/vessels/details/9690157,LNG PORT-HARCOURT II,LNG Tanker,9690157
/vessels/details/9690171,LNG ABALAMABIE,LNG Tanker,9690171
/vessels/details/9690169,LNG ABUJA II,LNG Tanker,9690169
/vessels/details/9690145,LNG FINIMA II,LNG Tanker,9690145
/vessels/details/9333175,VENTURA,Passenger (Cruise) Ship,9333175
/vessels/details/9692014,LNG LAGOS II,LNG Tanker,9692014
/vessels/details/9692002,LNG BONNY II,LNG Tanker,9692002
/vessels/details/9262235,LNG RIVER NIGER,LNG Tanker,9262235
/vessels/details/9262211,LNG ADAMAWA,LNG Tanker,9262211
/vessels/details/9262223,LNG CROSS RIVER,LNG Tanker,9262223
/vessels/details/9262209,LNG AKWA IBOM,LNG Tanker,9262209
/vessels/details/9228198,DIAMOND PRINCESS,Passenger (Cruise) Ship,9228198
/vessels/details/9228186,SAPPHIRE PRINCESS,Passenger (Cruise) Ship,9228186
/vessels/details/9864916,GASLOG GEORGETOWN,LNG Tanker,9864916
/vessels/details/9864928,GASLOG GALVESTON,LNG Tanker,9864928
/vessels/details/9962419,MARVEL PHOENIX,LNG Tanker,9962419
/vessels/details/9962407,GASLOG ITALY,LNG Tanker,9962407
/vessels/details/9424883,AZURA,Passenger (Cruise) Ship,9424883
/vessels/details/9744025,GASLOG GLADSTONE,LNG Tanker,9744025
/vessels/details/9744013,GASLOG GENOA,LNG Tanker,9744013
/vessels/details/9748904,GASLOG HONGKONG,LNG Tanker,9748904
