url,name,type,imo
/vessels/details/9682552,AMADI,LNG Tanker,9682552
/vessels/details/9661869,AMANI,LNG Tanker,9661869
/vessels/details/9496305,ARKAT,LNG Tanker,9496305
/vessels/details/9496317,AMALI,LNG Tanker,9496317
/vessels/details/9616515,CSS FATEH,Vessel (function unknown),9616515
/vessels/details/9708423,NAUTICAL AISYA,Offshore Support Vessel,9708423
/vessels/details/4702060,DARUTTAQWA,Patrol Vessel,4702060
/vessels/details/9931927,AMARCO 10,Offshore Tug/Supply Ship,9931927
/vessels/details/9692521,STAR 1,Bunkering Tanker,9692521
/vessels/details/9773208,QESS USV 2,Utility Vessel,9773208
/vessels/details/9776078,AVISA TRANSPORTER,Utility Vessel,9776078
/vessels/details/9773193,QESS USV 1,Utility Vessel,9773193
/vessels/details/9776080,AVISA SOLVER,Utility Vessel,9776080
/vessels/details/9713131,MASHHOR 2,Tug,9713131
/vessels/details/9713129,MASHHOR 1,Tug,9713129
/vessels/details/9684421,PTAS AMANAH 7,Offshore Tug/Supply Ship,9684421
/vessels/details/508111124,DARULAMAN RBN,Military ops,508111124
/vessels/details/508111287,AMAN DURRA,Other type,508111287
/vessels/details/508111122,DARUSSALAM RBN,Military ops,508111122
/vessels/details/508880022,50888-17-61,Unknown,508880022
/vessels/details/508810224,LURONGYU50881-22419,Unknown,508810224
/vessels/details/9684407,PTAS AMANAH 5,Offshore Tug/Supply Ship,9684407
/vessels/details/9897468,AVISA SUPPORTER,Offshore Tug/Supply Ship,9897468
/vessels/details/508889003,ZHESANYU08889-2-94,Unknown,508889003
/vessels/details/508861801,08861-1-87,Unknown,508861801
/vessels/details/508810006,LURONGYU50881-6-34,Unknown,508810006
/vessels/details/1018315,AMARCO S1,Offshore Tug/Supply Ship,1018315
/vessels/details/508811812,88118-A12-69,Unknown,508811812
/vessels/details/508887829,08887-29-99,Unknown,508887829
/vessels/details/508810236,LURONGYU50881-23699,Unknown,508810236
/vessels/details/508111197,APOLLO 1,Unknown,508111197
/vessels/details/508031000,MV GREAT TRADER,Cargo ship,508031000
/vessels/details/9108518,TENGGIRI,Fishing Support Vessel,9108518
/vessels/details/508900966,ZHEPUYU68006-28-99,Unknown,508900966
/vessels/details/4517881,DARUSSALAM,Patrol Vessel,4517881
/vessels/details/508125292,DINH CHAU- 68,Other type,508125292
/vessels/details/508810152,LURONGYU50881-15288,Unknown,508810152
/vessels/details/508203322,82033-2-92,Unknown,508203322
/vessels/details/508000006,5080-6-84,Unknown,508000006
/vessels/details/9499981,AMAN GLORIA,Offshore Tug/Supply Ship,9499981
/vessels/details/508080002,YANGZHI50808-2-88,Unknown,508080002
/vessels/details/508855811,08855-11-99,Unknown,508855811
/vessels/details/508733012,LUYU733812-51,Other type,508733012
