url,name,type,imo
/vessels/details/410602620,THIEN PHU LC P6,Unknown,410602620
/vessels/details/410610004,YU- 41061- 4 7,Unknown,410610004
/vessels/details/410023301,LU YAN YU 1638-1693,Unknown,410023301
/vessels/details/410862909,MINFUDINYU08629-999,Unknown,410862909
/vessels/details/410002000,34398-B263,Unknown,410002000
/vessels/details/410001208,26688-5-11,Passenger ship,410001208
/vessels/details/410004055,67036-330,Unknown,410004055
/vessels/details/410600009,04106-09-93,Unknown,410600009
/vessels/details/410209216,02092-16-70,Unknown,410209216
/vessels/details/410268624,2686-2463,Cargo ship,410268624
/vessels/details/410000685,MINXIAYU00685,Fishing vessel,410000685
/vessels/details/410581588,NET88-ZSY05815-73,Unknown,410581588
/vessels/details/410002485,JLY03665-14-98,Unknown,410002485
/vessels/details/410699878,36787,HSC,410699878
/vessels/details/410000282,2311-8689,Unknown,410000282
/vessels/details/410000500,HAI FENG 07,Fishing vessel,410000500
/vessels/details/410002835,02238-2-40,Unknown,410002835
/vessels/details/410576616,0576616-60,Unknown,410576616
/vessels/details/410001732,02885-13-95,Unknown,410001732
/vessels/details/410608805,6088-0532,Cargo ship,410608805
/vessels/details/410000831,2396-3584,Unknown,410000831
/vessels/details/410012810,YUWANG12128-10-95,Unknown,410012810
/vessels/details/410234512,02345-1223,Cargo ship,410234512
/vessels/details/410312736,XYY12736-17.7V,Unknown,410312736
/vessels/details/410656709,06567-0956,Cargo ship,410656709
/vessels/details/410001176,07808-6-81,Unknown,410001176
/vessels/details/410456676,04566-76-87,Unknown,410456676
/vessels/details/410128386,LX 6789D35,Cargo ship,410128386
/vessels/details/410001300,YU 08885-399,Unknown,410001300
/vessels/details/410662604,BINHAI-4 50,Unknown,410662604
/vessels/details/410089035,YUWANG12890-35A-92,Unknown,410089035
/vessels/details/410002451,MLY-01668-12-51,Unknown,410002451
/vessels/details/410203113,88077-30-93,Unknown,410203113
/vessels/details/410966918,09669-18-01,Unknown,410966918
/vessels/details/410218720,2187-2083,Cargo ship,410218720
/vessels/details/410002923,CHUANG31008-5-87,Unknown,410002923
/vessels/details/410003117,LU 16-3-92,Unknown,410003117
/vessels/details/410002604,JLY03288-65-31,Unknown,410002604
/vessels/details/410000573,MINPUYU20886-2690,Unknown,410000573
/vessels/details/410000081,139-2498,Unknown,410000081
/vessels/details/410005422,15033,Fishing vessel,410005422
/vessels/details/410505538,MINXIAYU05538,Fishing vessel,410505538
/vessels/details/410686917,06869-17-96,Unknown,410686917
/vessels/details/410000008,10732,Fishing vessel,410000008
/vessels/details/410888997,BCBCBC,Unknown,410888997
/vessels/details/410232105,SUQIYU02321-05 99,Unknown,410232105
/vessels/details/410001230,02386-12-46,Unknown,410001230
/vessels/details/410000752,2102-1933,Unknown,410000752
