url,name,type,imo
/vessels/details/206103828,NET61038-28-81,Unknown,206103828
/vessels/details/206033864,MINZHAOYU60338-64,Unknown,206033864
/vessels/details/206995509,SURUYU05255-1-85,Unknown,206995509
/vessels/details/206067803,LUDONGYU60678-3-57,Unknown,206067803
/vessels/details/206677713,ZHEDAIYU01198-28 40,Unknown,206677713
/vessels/details/206995503,SURUYU05255-18-80,Unknown,206995503
/vessels/details/206925666,11122-5 59,Unknown,206925666
/vessels/details/206578439,08189-9-99,Unknown,206578439
/vessels/details/206824303,12666-3-98,Unknown,206824303
/vessels/details/206240204,62206-4-74,Unknown,206240204
/vessels/details/206103821,NET61038-21-52,Unknown,206103821
/vessels/details/206923909,NET69239-9-85,Unknown,206923909
/vessels/details/206255806,62558-6-26,Unknown,206255806
/vessels/details/206180216,BOKA FALCON,Other type,206180216
/vessels/details/206103813,NET61038-13-56,Unknown,206103813
/vessels/details/206770399,LX 39 P7-74,Unknown,206770399
/vessels/details/206923902,NET69239-2-83,Unknown,206923902
/vessels/details/206995522,SURUYU05255-7-87,Unknown,206995522
/vessels/details/206091073,06091-B3 96,Fishing vessel,206091073
/vessels/details/206227306,62273-6-01,Unknown,206227306
/vessels/details/206009943,NET60099-43-49,Unknown,206009943
/vessels/details/206103811,NET61038-11-52,Unknown,206103811
/vessels/details/206153152,06153-152-61,Unknown,206153152
/vessels/details/206009942,NET60099-42-56,Unknown,206009942
/vessels/details/206923915,NET69239-15-82,Unknown,206923915
/vessels/details/206824317,12666-17-99,Unknown,206824317
/vessels/details/206001711,60017-11-56,Unknown,206001711
/vessels/details/206908924,69089-24-70,Unknown,206908924
/vessels/details/206005367,NET60299M-4346H,Passenger ship,206005367
/vessels/details/206995258,SURUYU05255-8-14,Unknown,206995258
/vessels/details/206442360,BOKA FALCON,Other type,206442360
/vessels/details/206929707,NET69297-7-27,Unknown,206929707
/vessels/details/206220815,ZHEPUYU62206-15-47,Unknown,206220815
/vessels/details/206033863,MINZHAOYU60338-63,Unknown,206033863
/vessels/details/206603307,LUCHENGYU66033-7-81,Unknown,206603307
/vessels/details/206578492,08189-2-97,Unknown,206578492
/vessels/details/206824312,12666-12-75,Unknown,206824312
/vessels/details/206908918,69089-18-84,Unknown,206908918
/vessels/details/206917003,NET69170-3-99,Unknown,206917003
/vessels/details/206908921,69089-21-99,Unknown,206908921
/vessels/details/206933305,NET69333-05-69,Unknown,206933305
/vessels/details/206230808,62206-8-77,Unknown,206230808
/vessels/details/206102222,20612222-95,Unknown,206102222
/vessels/details/206995501,SURUYU05255-2-96,Unknown,206995501
/vessels/details/206824327,SUGANYU2068-327-57,Unknown,206824327
/vessels/details/206103832,NET61038-32-83,Unknown,206103832
/vessels/details/206678943,66789-43-76,Unknown,206678943
/vessels/details/206230809,62206-9-82,Unknown,206230809
/vessels/details/206933609,NET69336-9-75,Unknown,206933609
/vessels/details/206824307,12666-7-88,Unknown,206824307
/vessels/details/206678944,66789-44-46,Unknown,206678944
/vessels/details/206908902,69089-02-93,Unknown,206908902
/vessels/details/206995512,SURUYU05255-20-70,Unknown,206995512
/vessels/details/206908916,69089-16-92,Unknown,206908916
/vessels/details/206824304,12666-4-81,Unknown,206824304
/vessels/details/206103839,NET61038-39-76,Unknown,206103839
/vessels/details/206103827,NET61038-27-56,Unknown,206103827
/vessels/details/206677712,ZHEDAIYU01198-27 60,Unknown,206677712
/vessels/details/206923901,NET69239-A01-94,Unknown,206923901
