url,name,type,imo
/vessels/details/523645878,16033,Fishing vessel,523645878
/vessels/details/523669221,JINHANG,Fishing vessel,523669221
/vessels/details/523122983,LIN 12298-3 -97,Unknown,523122983
/vessels/details/523456789,IKHASAS OCEAN,Towing vessel (tow>200),523456789
/vessels/details/523770981,JIAO77098-1-40,Unknown,523770981
/vessels/details/523333000,5,Unknown,523333000
/vessels/details/523233334,YU 32333-34-99,Unknown,523233334
/vessels/details/523563097,93GHELU 38 A,Fishing vessel,523563097
/vessels/details/523330000,3,Pleasure craft,523330000
/vessels/details/523500003,5235-3-89,Unknown,523500003
/vessels/details/523127887,LIN 12788-7-85,Unknown,523127887
/vessels/details/523330315,33303-15-82,Unknown,523330315
/vessels/details/523212861,ZHE21286-1-74,Unknown,523212861
/vessels/details/523698602,5236-2-96,Unknown,523698602
/vessels/details/523333301,JLY02188-50,Unknown,523333301
/vessels/details/523213215,LIN21321-5-85,Unknown,523213215
/vessels/details/523030619,56055-19-32,Unknown,523030619
/vessels/details/523031332,64561-32-65,Unknown,523031332
/vessels/details/523031301,64938-12-78,Unknown,523031301
/vessels/details/523999999,KM.BYNT4NG C4M4R,Pleasure craft,523999999
/vessels/details/523577899,05118,Towing vessel,523577899
/vessels/details/523885663,D13,Fishing vessel,523885663
/vessels/details/523789212,00137,Fishing vessel,523789212
/vessels/details/523218063,LIN 21806-3-88,Unknown,523218063
/vessels/details/523333081,ANDA30,Cargo ship,523333081
/vessels/details/523031398,64938-16-35,Unknown,523031398
/vessels/details/523578921,55022-4,Unknown,523578921
/vessels/details/523802095,LIAOYINGYU26609-5,Unknown,523802095
/vessels/details/523213353,LIN 21335-3-88,Unknown,523213353
/vessels/details/523999561,SAN99956-1-67,Unknown,523999561
/vessels/details/523034501,ZHE PU YU 34507-1,Unknown,523034501
/vessels/details/523623397,MINHUIYU,Unknown,523623397
/vessels/details/523335665,01242-9-9 40,Unknown,523335665
/vessels/details/523034182,ZHE PU YU 34195-26,Unknown,523034182
/vessels/details/523802093,LIAOYINGYU26609-3,Unknown,523802093
/vessels/details/523388952,33889-52-25,Unknown,523388952
/vessels/details/523921812,LG21812-27.9V,Unknown,523921812
/vessels/details/523929929,TIENDAT 2BAN3S10,Fishing vessel,523929929
/vessels/details/523125883,LIN 12588-3-83,Unknown,523125883
/vessels/details/523217927,LIN 21792-7-99,Unknown,523217927
/vessels/details/523698024,5236-24-69,Unknown,523698024
/vessels/details/523300000,3,Pleasure craft,523300000
/vessels/details/523120075,JLY02199-05-99,Unknown,523120075
/vessels/details/523568297,PHU0C HAI A9,Fishing vessel,523568297
/vessels/details/523658439,ZHELINYU12145,Fishing vessel,523658439
/vessels/details/523129819,LIN12981-9-99,Unknown,523129819
/vessels/details/523621586,LKK21586-528.1V,Unknown,523621586
/vessels/details/523802091,LIAOYINGYU26609-1,Unknown,523802091
/vessels/details/523700022,5237-22-37,Unknown,523700022
/vessels/details/523698745,04328-2 53,Unknown,523698745
/vessels/details/523491111,THANH PHONG 28 S1B2,Fishing vessel,523491111
/vessels/details/523013978,12238-05-70,Unknown,523013978
/vessels/details/523925663,66666666,Fishing vessel,523925663
/vessels/details/523031331,64561-31-61,Unknown,523031331
/vessels/details/523100101,64868-1-89,Unknown,523100101
/vessels/details/523156798,KM PANTOKRATOR,Passenger ship,523156798
/vessels/details/523220925,08,Unknown,523220925
/vessels/details/523112557,QU0C DUNG B3,Fishing vessel,523112557
/vessels/details/523218332,LIN21833-2-79,Unknown,523218332
/vessels/details/523269800,INCE ANTALYA,Unknown,523269800
/vessels/details/523031333,64561-33-57,Unknown,523031333
/vessels/details/523698022,5236-22-99,Unknown,523698022
/vessels/details/523031300,64938-11-83,Unknown,523031300
/vessels/details/523314315,09856-2-98,Unknown,523314315
/vessels/details/523120058,JLY01988-03-99,Unknown,523120058
/vessels/details/523030000,Q88F5-98,Unknown,523030000
/vessels/details/523978611,BIAO 00800-11-85,Unknown,523978611
/vessels/details/523030618,56055-18-59,Unknown,523030618
/vessels/details/523200000,3,Unknown,523200000
/vessels/details/523040500,7597-14 60,Unknown,523040500
/vessels/details/523219913,LIN21991-3-46,Unknown,523219913
/vessels/details/523030606,56055-6-49,Unknown,523030606
/vessels/details/523217523,LIN21752-3-61,Unknown,523217523
/vessels/details/523520313,JIAO 52031-3-99,Unknown,523520313
/vessels/details/523000000,MV LAPU2X FERRY 8,Passenger ship,523000000
/vessels/details/523634272,ZHE PU YU 34275-2,Unknown,523634272
/vessels/details/523565677,62289-4 90,Unknown,523565677
/vessels/details/523001267,TAU 7979,Fishing vessel,523001267
/vessels/details/523100100,64868-1-83,Unknown,523100100
/vessels/details/523698001,00260-6-92,Unknown,523698001
