url,name,type,imo
/vessels/details/9156917,KINIMI,Tug,9156917
/vessels/details/676001704,SIMON KIMBANGU,Fishing vessel,676001704
/vessels/details/676723678,42073-17 90,Unknown,676723678
/vessels/details/676502285,SC20,Unknown,676502285
/vessels/details/676990019,67699-19 50,Unknown,676990019
/vessels/details/676128215,ZHEYU06128-15-93,Unknown,676128215
/vessels/details/676008600,AXEL,Cargo ship,676008600
/vessels/details/676128214,ZHEYU06128-14-87,Unknown,676128214
/vessels/details/676781267,08298-22 20,Unknown,676781267
/vessels/details/676800177,XIANG 80017-7-02,Unknown,676800177
/vessels/details/676123001,CHIARA,Passenger ship,676123001
/vessels/details/9520302,MUANDA,Tug,9520302
/vessels/details/676859997,SAN 85999-7-99,Unknown,676859997
/vessels/details/676216777,LIN 21677-7-99,Unknown,676216777
/vessels/details/676128228,ZHEYU06128-8-62,Unknown,676128228
/vessels/details/676123002,MARGAUX,Passenger ship,676123002
/vessels/details/676330002,676333-2-67 50,Unknown,676330002
/vessels/details/676001703,ETIENNE TSHISEKEDI W,Fishing vessel,676001703
/vessels/details/676128219,ZHEYU06128-19-68,Unknown,676128219
/vessels/details/676866698,68946-11-11 90,Unknown,676866698
/vessels/details/676128224,ZHEYU06128-4-95,WIG (HAZ-D),676128224
/vessels/details/676880060,TIELONG67688-60 90,Unknown,676880060
/vessels/details/676218577,LIN 21857-7-99,Unknown,676218577
/vessels/details/676878575,13056-6-,Unknown,676878575
/vessels/details/676873257,01666-20 90,Unknown,676873257
/vessels/details/676785337,ZHEDAIYU04277-100,Unknown,676785337
/vessels/details/676880058,TIELONG67688-58 99,Unknown,676880058
/vessels/details/676889889,SAN 88988-9-97,Unknown,676889889
/vessels/details/676218377,LIN 21837-7-58,Unknown,676218377
/vessels/details/676219237,LIN 21923-7-74,Unknown,676219237
/vessels/details/676990015,MINLIANYU67699-15,Unknown,676990015
/vessels/details/676219294,LIN21929-4-61,Unknown,676219294
/vessels/details/676825677,88168-2-99,Unknown,676825677
/vessels/details/676576532,LIAOYINGYU26336-17,Unknown,676576532
/vessels/details/676128221,ZHEYU06128-1-86,Unknown,676128221
/vessels/details/676219827,LIN 21982-7-81,Unknown,676219827
/vessels/details/676987009,SAFE BOAT,Pleasure craft,676987009
/vessels/details/676128210,ZHEYU06128-10-70,Unknown,676128210
/vessels/details/676002555,C19,Unknown,676002555
/vessels/details/676880073,TIELONG67688-73-99,Unknown,676880073
/vessels/details/676128229,ZHEYU06128-9-17,Unknown,676128229
