url,name,type,imo
/vessels/details/612390126,61239-A26-99,Unknown,612390126
/vessels/details/612930007,TIELONG61293-7-88,Fishing vessel,612930007
/vessels/details/612860013,61286 13 90,Unknown,612860013
/vessels/details/612527702,LIAOYINGYU25277-2-,Unknown,612527702
/vessels/details/612800107,TIELONG61280-7-99,Fishing vessel,612800107
/vessels/details/612482082,07,HSC (HAZ-B),612482082
/vessels/details/612930018,TIELONG61293-18-94,Fishing vessel,612930018
/vessels/details/612750001,61275-83,Unknown,612750001
/vessels/details/612630010,61263-10-99,Unknown,612630010
/vessels/details/612930025,61293 25 90,Unknown,612930025
/vessels/details/612252001,61225-1 90,Unknown,612252001
/vessels/details/612770007,TIELONG61277-07-59,Unknown,612770007
/vessels/details/612339101,NET23391-1-99,Unknown,612339101
/vessels/details/612060008,TIELONG-61206-8-99,Unknown,612060008
/vessels/details/612256324,B9-B5 60,Other type,612256324
/vessels/details/612149830,LIN21498-30-70,Unknown,612149830
/vessels/details/612330102,FANGLONG61233-2-76,Unknown,612330102
/vessels/details/612860015,61286 15 90,Unknown,612860015
/vessels/details/612221018,61222-18,Unknown,612221018
/vessels/details/612780003,MINDONGYU61278-3-89,Unknown,612780003
/vessels/details/612130005,ZHEDINGYU61213-5-93,Unknown,612130005
/vessels/details/612423811,ZHEPUYU03178,Fishing vessel,612423811
/vessels/details/612120114,LIN 21201-14-86,Unknown,612120114
/vessels/details/612335636,LUCHANGYANG 39009,Fishing vessel,612335636
/vessels/details/612800108,TIELONG61280-08-99,Fishing vessel,612800108
/vessels/details/612167714,LIN 21677-14-99,Unknown,612167714
/vessels/details/612620109,61262-9-72,Unknown,612620109
/vessels/details/612442159,YUYUN60487,Other type,612442159
/vessels/details/612250012,61225 12,Unknown,612250012
/vessels/details/612790006,61279-674,Unknown,612790006
/vessels/details/612130001,NET6-ZHEDINYU61213,Unknown,612130001
/vessels/details/612600202,TIELONG61260-2-38,Unknown,612600202
/vessels/details/612790020,61279-20-69,Unknown,612790020
/vessels/details/612660104,61266-4-74,Unknown,612660104
/vessels/details/612221008,61222-88.1V,Unknown,612221008
/vessels/details/612377888,27188,Fishing vessel,612377888
/vessels/details/612081024,61208-24,Unknown,612081024
/vessels/details/612670018,61267-18-88,Unknown,612670018
/vessels/details/612334447,LUCHANGYUYANG60040,Other type,612334447
/vessels/details/612800109,TIELONG61280-09-97,Fishing vessel,612800109
/vessels/details/612081018,61208-1899,Unknown,612081018
/vessels/details/612527706,LIAOYINGYU25277-6-,Unknown,612527706
/vessels/details/612365240,LUOI B9 -197-P9-82,Unknown,612365240
/vessels/details/612990027,61299 27 86,Unknown,612990027
/vessels/details/612790012,61279-12 99,Unknown,612790012
/vessels/details/612160012,61216-12-12,Unknown,612160012
/vessels/details/612191920,LIN21919-20-82,Unknown,612191920
/vessels/details/612600204,TIELONG61260-4-14,Unknown,612600204
/vessels/details/612800015,TIELONG61280-15-27,Unknown,612800015
/vessels/details/612600205,TIELONG61260-5-84,Unknown,612600205
/vessels/details/612861027,61286 27,Unknown,612861027
/vessels/details/612791010,61279-10 6V5,Unknown,612791010
/vessels/details/612127318,LIN21273-18-97,Unknown,612127318
/vessels/details/612251022,61225-22 8V4,Unknown,612251022
/vessels/details/612390113,61239-A13-99,Unknown,612390113
/vessels/details/612541212,LUCHANGYANG30073,Fishing vessel,612541212
/vessels/details/612300003,ZHEDINGYU61230-3-01,Unknown,612300003
/vessels/details/612250023,61225 238.1V,Unknown,612250023
/vessels/details/612390120,61239-A20-99,Unknown,612390120
/vessels/details/612180319,LIN21803-19-44,Unknown,612180319
/vessels/details/612165832,LIN21658-32-99,Unknown,612165832
/vessels/details/612343167,LUCHANGYANG31467,Fishing vessel,612343167
/vessels/details/612200702,0177-02-68,Unknown,612200702
/vessels/details/612334618,LUCHANGYANG31491,Fishing vessel,612334618
/vessels/details/612290001,61229-1-99,Unknown,612290001
/vessels/details/612661014,61266-14 29,Other type,612661014
/vessels/details/612620105,61262-5-60,Unknown,612620105
/vessels/details/612990007,MINMINYU61299-7 40,Unknown,612990007
/vessels/details/612159214,LIN 21592-14-55,Unknown,612159214
/vessels/details/612975821,NET29758-21-85,Unknown,612975821
/vessels/details/612390123,61239-A23-30,Unknown,612390123
/vessels/details/612129916,LIN 21299-16-97,Unknown,612129916
/vessels/details/612527705,LIAOYINGYU25277-5-,Unknown,612527705
/vessels/details/612690003,MINDONGYU61269-3-98,Unknown,612690003
/vessels/details/612181520,LIN21815-20-88,Unknown,612181520
/vessels/details/612335881,LUCHANGYANG31255,Fishing vessel,612335881
/vessels/details/612670014,61267-14-81,Unknown,612670014
/vessels/details/612189818,LIN21898-18-68,Unknown,612189818
/vessels/details/612620102,61262-2-10,Unknown,612620102
/vessels/details/612800017,TIELONG61280-17-94,Unknown,612800017
/vessels/details/612790021,61279-21-77,Unknown,612790021
/vessels/details/612831111,300,Pleasure craft,612831111
/vessels/details/612105701,LIN 21057-1-99,Unknown,612105701
/vessels/details/612290002,61229-2-99,Unknown,612290002
/vessels/details/612720040,61272-40-55,Unknown,612720040
/vessels/details/612421807,16124JIA218-7-83,Unknown,612421807
/vessels/details/612961005,61296-5,Unknown,612961005
/vessels/details/612421819,16124JIA218-19-77,Unknown,612421819
/vessels/details/612661010,61266-10-84,Unknown,612661010
/vessels/details/612500386,00386,Fishing vessel,612500386
/vessels/details/612324388,LUCHANGYANG31888,Fishing vessel,612324388
/vessels/details/612020009,NET9-ZSY61202-36,Unknown,612020009
/vessels/details/612545171,LUCHANGYUYANG66716,Fishing vessel,612545171
/vessels/details/612156131,LIN21561-31-59,Unknown,612156131
/vessels/details/612999561,SAN99956-1-78,Unknown,612999561
/vessels/details/612720002,61272-2-84,Unknown,612720002
/vessels/details/612800012,TIELONG61280-12-84,Unknown,612800012
/vessels/details/612189131,LIN21891-31-23,Unknown,612189131
/vessels/details/612860003,61286-3 0,Unknown,612860003
/vessels/details/612681822,SHIP,Cargo ship,612681822
/vessels/details/612334452,LUCHANGYANG35095,Other type (HAZ-B),612334452
/vessels/details/612421802,16124JIA218-2-99,Unknown,612421802
/vessels/details/612670016,61267-16-99,Unknown,612670016
/vessels/details/612081017,61208-17-99,Unknown,612081017
/vessels/details/612760006,TIELONG61276-6-98,Unknown,612760006
/vessels/details/612930005,TIELONG61293-5-89,Fishing vessel,612930005
/vessels/details/612670011,61267-1171,Unknown,612670011
/vessels/details/612110041,BAOQIANG-3-55,Unknown,612110041
/vessels/details/612680009,TIELONG61268-9-99,Fishing vessel,612680009
/vessels/details/612670019,61267-1988,Unknown,612670019
/vessels/details/612151526,LIN21515-26-86,Unknown,612151526
/vessels/details/612133521,LIN 21335-21-71,Unknown,612133521
/vessels/details/612441196,MINLIANYU60401,Dredging or UW ops,612441196
/vessels/details/612680019,TIELONG61268-19-83,Unknown,612680019
/vessels/details/612155914,LIN 21559-14-96,Unknown,612155914
/vessels/details/612353316,00888,Fishing vessel,612353316
/vessels/details/612189116,LIN21891-16-52,Unknown,612189116
/vessels/details/612185814,LIN 21858-14-99,Unknown,612185814
/vessels/details/612425879,SUQIYU88888-2F8.2V,Unknown,612425879
/vessels/details/612185816,ZHELIN21858-16-83,Unknown,612185816
