url,name,type,imo
/vessels/details/9694921,TZOUMAZ,Bulk Carrier,9694921
/vessels/details/9694933,DIAVOLEZZA,Bulk Carrier,9694933
/vessels/details/9694945,BREGAGLIA,Bulk Carrier,9694945
/vessels/details/9775385,LAUSANNE,Bulk Carrier,9775385
/vessels/details/9775373,ST-CERGUE,Bulk Carrier,9775373
/vessels/details/9710048,CURIA,Bulk Carrier,9710048
/vessels/details/9710036,MAGIA,Bulk Carrier,9710036
/vessels/details/9731248,GENAVA,Bulk Carrier,9731248
/vessels/details/9520950,VINDONISSA,Bulk Carrier,9520950
/vessels/details/9583110,TURICUM,Bulk Carrier,9583110
/vessels/details/9493963,AVENTICUM,Bulk Carrier,9493963
/vessels/details/9099482,GERVAIS,Inland Tanker,9099482
/vessels/details/9587025,AVALON VISTA,Inland Passenger,9587025
/vessels/details/9587013,AVALON PANORAMA,Inland Passenger,9587013
/vessels/details/8615124,TRIENKE,Inland Tanker,8615124
/vessels/details/9904479,TRAVELMARVEL VEGA,Passenger (Cruise) Ship,9904479
/vessels/details/9803144,EMILY BRONTE,Passenger (Cruise) Ship,9803144
/vessels/details/9807841,THOMAS HARDY,Passenger (Cruise) Ship,9807841
/vessels/details/9802853,RP BASEL,Tankers,9802853
/vessels/details/9802865,RP ANTWERPEN,Tankers,9802865
/vessels/details/9568550,RP BRUGGE,Inland Tanker,9568550
/vessels/details/8643298,CASANOVA,Inland Passenger,8643298
/vessels/details/8643406,VIKING NEPTUNE,Inland Passenger,8643406
/vessels/details/9944948,CINDERELLA NOEL IV,Yacht,9944948
/vessels/details/8678724,LADY JADE,Yacht,8678724
/vessels/details/8681630,PORRIMA,Yacht,8681630
/vessels/details/7001962,VIKING SKADI,Tug,7001962
/vessels/details/5212581,BUONA ONDA,Sailing Vessel,5212581
/vessels/details/269120060,DOLCE MARE,Pleasure craft,269120060
/vessels/details/269057583,AMAKRISTINA,Passenger ship,269057583
/vessels/details/269057060,VOLHARDING 3,Tanker,269057060
/vessels/details/269112840,SOGNO DUE,Pleasure craft,269112840
/vessels/details/269117780,BLUE WAVE,Sailing vessel,269117780
/vessels/details/269120210,NESSAJA,Sailing vessel,269120210
/vessels/details/269057117,SWISS CROWN,Passenger ship,269057117
/vessels/details/269109480,LORELEI,Sailing vessel,269109480
/vessels/details/269627000,ADELIA,Pleasure craft,269627000
/vessels/details/269105140,JUST LOOKING,Sailing vessel,269105140
/vessels/details/269057699,BLUE QUEEN,Pleasure craft,269057699
/vessels/details/269057623,RIVER SAPPHIRE,Passenger ship,269057623
/vessels/details/269057586,VIKING HILD,Other type,269057586
/vessels/details/269112580,QUADRIFOGLIO,Sailing vessel,269112580
/vessels/details/269117610,LIESSE,Sailing vessel,269117610
/vessels/details/269123000,LOCEANE,Sailing vessel,269123000
/vessels/details/269116740,VOLANS,Sailing vessel,269116740
/vessels/details/269057498,VIKING SKIRNIR,Passenger ship,269057498
/vessels/details/269057547,VIKING KADLIN,Passenger ship,269057547
/vessels/details/269057836,AMELIE,Pleasure craft,269057836
/vessels/details/269057571,INSPIRE,Passenger ship,269057571
/vessels/details/269114160,PLAYA,Sailing vessel,269114160
/vessels/details/269057222,SCHULBOOT SCHNEIDER,Pleasure craft,269057222
/vessels/details/269057029,VOLHARDING 16,Tanker,269057029
/vessels/details/269115080,LADY LAURELEEN 3,Pleasure craft,269115080
/vessels/details/269057410,LAHOL,Pleasure craft,269057410
/vessels/details/269106970,FALANA,Sailing vessel,269106970
/vessels/details/269112620,INVIA,Pleasure craft,269112620
/vessels/details/269119340,INEFFABLE,Sailing vessel,269119340
/vessels/details/269112630,PASODOBLE,Sailing vessel,269112630
/vessels/details/269057328,CONCENTUS,Tanker,269057328
/vessels/details/269113210,RAJAH LAUT,Sailing vessel,269113210
/vessels/details/269111250,MARENA,Sailing vessel,269111250
/vessels/details/269057206,PIZ ALBRIS,Tanker,269057206
/vessels/details/269057481,AMASONATA,Passenger ship,269057481
/vessels/details/269106010,SAN YBEL,Sailing vessel,269106010
/vessels/details/269057461,VIKING HEIMDAL,Passenger ship,269057461
/vessels/details/269105490,CARUS,Sailing vessel,269105490
/vessels/details/269117160,SY MAKHANEE,Pleasure craft,269117160
/vessels/details/269110100,GALOPIN,Sailing vessel,269110100
/vessels/details/269057864,RIVERSIDE DEBUSSY,Passenger ship,269057864
/vessels/details/269057449,VIKING MAGNI,Passenger ship,269057449
/vessels/details/269057330,CEZANNE,Passenger ship,269057330
/vessels/details/269119940,GEA,Pleasure craft,269119940
/vessels/details/269057686,VIKING SIGRUN,Other type,269057686
/vessels/details/269116140,SPRITZ,Pleasure craft,269116140
/vessels/details/269119160,ALISEA,Sailing vessel,269119160
/vessels/details/269057643,RPG OSLO,Tanker,269057643
/vessels/details/269113690,BELLE SAUVAGE,Sailing vessel,269113690
/vessels/details/269115120,GAIA,Sailing vessel,269115120
/vessels/details/269514000,SIENDA,Unknown,269514000
/vessels/details/9280938,FATIMA,Inland Tanker,9280938
/vessels/details/269118500,PERI,Sailing vessel,269118500
/vessels/details/269105210,GIVEMEFIVE,Sailing vessel,269105210
/vessels/details/269057316,NANCY,Tanker,269057316
/vessels/details/269115490,MYMO,Pleasure craft,269115490
/vessels/details/269112920,RORO,Sailing vessel,269112920
/vessels/details/269057744,VIKING SKAGA,Passenger ship,269057744
/vessels/details/269112370,CORRYVRECKAN,Pleasure craft,269112370
/vessels/details/269057650,BELVEDERE,Passenger ship,269057650
/vessels/details/269057333,KATHARINA VON BORA,Passenger ship,269057333
/vessels/details/269111720,SHADIN,Pleasure craft,269111720
/vessels/details/269111130,NEREIDA,Sailing vessel,269111130
/vessels/details/269116090,SHAKA,Unknown,269116090
/vessels/details/269566000,GINGER,Sailing vessel,269566000
/vessels/details/269114800,EILA,Sailing vessel,269114800
/vessels/details/269057368,RP GENT,Tanker,269057368
/vessels/details/269121450,DALI 2,Sailing vessel,269121450
/vessels/details/269057484,EXCELLENCE PRINCESS,Passenger ship,269057484
/vessels/details/269104730,BOELE BONKEN,Sailing vessel,269104730
/vessels/details/269057420,VIKING JARL,Passenger ship,269057420
/vessels/details/269106710,SY SAGARENA,Sailing vessel,269106710
/vessels/details/269614000,MAXI,Sailing vessel,269614000
/vessels/details/269118070,TAKINI,Sailing vessel,269118070
/vessels/details/269104080,TEAM SPIRIT,Pleasure craft,269104080
/vessels/details/269057371,AVALON PANORAMA,Passenger ship,269057371
/vessels/details/269057499,VIKING MODI,Passenger ship,269057499
/vessels/details/269377000,KAIROS 5,Pleasure craft,269377000
/vessels/details/269057664,A ROSA RIVA,Passenger ship,269057664
/vessels/details/269117660,PAGSINTA,Sailing vessel,269117660
/vessels/details/269116540,GRADUS,Sailing vessel,269116540
/vessels/details/269057854,THURGAU GOLD,Passenger ship,269057854
/vessels/details/269112240,LILLE VENN,Sailing vessel,269112240
/vessels/details/269120110,RAYAS,Pleasure craft,269120110
/vessels/details/269104770,JOYCE,Sailing vessel,269104770
/vessels/details/269116660,KAMO,Pleasure craft,269116660
/vessels/details/269104970,ANITA,Sailing vessel,269104970
/vessels/details/269117790,TORTUGA IN GHOSTRAIN,Sailing vessel,269117790
/vessels/details/269057440,DENIA,Pleasure craft,269057440
/vessels/details/269116220,RAREBIRD,Sailing vessel,269116220
/vessels/details/269109460,WILDMAA,Pleasure craft,269109460
/vessels/details/269057824,MONARCH BARONESS,Passenger ship,269057824
/vessels/details/269107620,ASHONA,Sailing vessel,269107620
/vessels/details/269756000,JAMELA,Sailing vessel,269756000
/vessels/details/269816000,ONWA19495,Pleasure craft,269816000
/vessels/details/269118280,FLASH,Sailing vessel,269118280
/vessels/details/269112170,MARE 1,Sailing vessel,269112170
/vessels/details/269057550,VIKING ALRUNA,Passenger ship,269057550
/vessels/details/269057822,AGAPE,Pleasure craft,269057822
/vessels/details/269057041,KVB TE AMO,Cargo ship,269057041
/vessels/details/269057351,RP ZUG,Tanker,269057351
/vessels/details/269057635,VIVA MOMENTS,Passenger ship,269057635
/vessels/details/269057419,VIKING RINDA,Other type,269057419
/vessels/details/269057266,AMADANTE,Passenger ship,269057266
/vessels/details/269057051,GOMASTAD,Tanker,269057051
/vessels/details/269117520,AQUARIUS,Unknown,269117520
/vessels/details/269057695,VIKING SIGYN,Passenger ship,269057695
/vessels/details/269120360,RUBI,Pleasure craft,269120360
/vessels/details/269111320,MALAIKA,Sailing vessel,269111320
/vessels/details/269526000,ATAHANA,Sailing vessel,269526000
/vessels/details/269108590,STELLA MARIS,Sailing vessel,269108590
/vessels/details/269112350,SYMPHONY,Sailing vessel,269112350
/vessels/details/269117560,BAERBEL,Sailing vessel,269117560
/vessels/details/269110710,NABOO,Sailing vessel,269110710
/vessels/details/269057529,ANESHA,Passenger ship,269057529
/vessels/details/269057519,VIKING VILI,Other type,269057519
/vessels/details/269057697,ANNA KATHARINA,Passenger ship,269057697
/vessels/details/269121390,CASSIOPEIA,Sailing vessel,269121390
/vessels/details/269120320,LADY C,Pleasure craft,269120320
/vessels/details/269057005,CONQUEST,Tanker,269057005
/vessels/details/269057453,AVALON ILLUMINATION,Passenger ship,269057453
/vessels/details/269057617,COMUS 2,Other type,269057617
/vessels/details/269112050,ROSALIE,Pleasure craft,269112050
/vessels/details/269057030,SWISS DIAMOND,Passenger ship,269057030
/vessels/details/269291000,OCEAN BREEZE,Sailing vessel,269291000
/vessels/details/269114340,ANAM CARA,Sailing vessel,269114340
/vessels/details/269118010,RODA 1,Sailing vessel,269118010
/vessels/details/269057456,RP-BIRSFELDEN,Tanker,269057456
/vessels/details/269057107,OLIFANT,Pleasure craft,269057107
/vessels/details/269111030,FLYING MERLIN,Sailing vessel,269111030
/vessels/details/269108850,NORNES 2,Sailing vessel,269108850
/vessels/details/269109640,NORDLYS,Sailing vessel,269109640
/vessels/details/269057386,RHYPERLE,Passenger ship,269057386
/vessels/details/269113670,PAKITA,Sailing vessel,269113670
/vessels/details/269057713,KARINA,Pleasure craft,269057713
/vessels/details/269117400,ENYA,Sailing vessel,269117400
/vessels/details/269119910,SAILING SWISS IV,Sailing vessel,269119910
/vessels/details/269104760,IRENA,Sailing vessel,269104760
/vessels/details/269110360,TADEWI,Unknown,269110360
/vessels/details/269111510,ANDURIL,Sailing vessel,269111510
/vessels/details/269121950,INDIGO,Sailing vessel,269121950
/vessels/details/269112420,SY LAGOSTA,Sailing vessel,269112420
/vessels/details/269119620,MOANA LOU,Sailing vessel,269119620
/vessels/details/269057719,LADY DILETTA,Passenger ship,269057719
/vessels/details/269110970,APANI,Sailing vessel,269110970
/vessels/details/269114140,ATICA,Sailing vessel,269114140
/vessels/details/269056944,CHRISTOPH MERIAN,Passenger ship,269056944
/vessels/details/269057366,S.S. ANTOINETTE,WIG,269057366
/vessels/details/269122160,WHITE NIGHTS,Sailing vessel,269122160
/vessels/details/269109510,GASANI,Sailing vessel,269109510
/vessels/details/269057489,VIKING MANI,Passenger ship,269057489
/vessels/details/269057543,AMASTELLA,Other type,269057543
/vessels/details/269057506,AVALON TRANQUILITYII,Passenger ship,269057506
/vessels/details/269057423,RIVER PRINCESS,Other type,269057423
/vessels/details/269118190,INTUITION,Unknown,269118190
/vessels/details/269057688,EXCELLENCE COUNTESS,Passenger ship,269057688
/vessels/details/269104270,SOULMATE,Sailing vessel,269104270
/vessels/details/269117670,SAMELY,Sailing vessel,269117670
/vessels/details/269057006,RP BERN,Tanker,269057006
/vessels/details/269113910,AHORA,Pleasure craft,269113910
/vessels/details/269109240,TIMOTEUS,Sailing vessel,269109240
/vessels/details/8667385,SWISS JEWEL,Inland Passenger,8667385
/vessels/details/269057468,VIKING ALSVIN,WIG,269057468
/vessels/details/269110770,CADENZA,Sailing vessel,269110770
/vessels/details/269057826,RENATE,Passenger ship,269057826
/vessels/details/269114580,CLEMENTINE VII,Unknown,269114580
/vessels/details/269057522,AILENA,Tanker,269057522
