url,name,type,imo
/vessels/details/8615605,ROBUSTA,Tug,8615605
/vessels/details/8016847,ACAJOU 2,Tug,8016847
/vessels/details/619018000,CA FADIKA,Other type (HAZ-B),619018000
/vessels/details/619000350,SEA-PIERRE AN 1761,Other type,619000350
/vessels/details/619092649,NIXIAOLIN-01,Unknown,619092649
/vessels/details/619991021,61999-21-94,Unknown,619991021
/vessels/details/619860009,TIELONG61986-9-99,Unknown,619860009
/vessels/details/619003000,PAPATO,Other type,619003000
/vessels/details/8134467,PELICAN,Water Tanker,8134467
/vessels/details/619660001,61966-73,Unknown,619660001
/vessels/details/619991020,61999-20 55,Unknown,619991020
/vessels/details/619991016,61999-16,Unknown,619991016
/vessels/details/619000000,SARAN,Towing vessel,619000000
/vessels/details/619980017,61998-17-99,Unknown,619980017
/vessels/details/619980021,61998-21-99,Unknown,619980021
/vessels/details/8714152,EVER RICH NO. 636,Fishing Vessel,8714152
/vessels/details/619490006,61949-6-09,Unknown,619490006
/vessels/details/619220062,TIELONG61922-62-89,Unknown,619220062
/vessels/details/619690002,61969-2-85,Unknown,619690002
/vessels/details/5406546,SAINT FRANCOIS,Fishing Vessel,5406546
/vessels/details/619690045,61969WANGBIAO-45-71,Unknown,619690045
/vessels/details/619803095,80309-5-99,Unknown,619803095
/vessels/details/619880777,61988-777 73,Unknown,619880777
/vessels/details/619991009,61999-9,Unknown,619991009
/vessels/details/619690022,61969WANGBIAO-22-35,Unknown,619690022
/vessels/details/619803099,80309-9-89,Unknown,619803099
/vessels/details/619981013,61998-13-79,Unknown,619981013
/vessels/details/619772559,TIELONG61977-59-73,Unknown,619772559
/vessels/details/619690023,61969WANGBIAO-23-99,Unknown,619690023
/vessels/details/619890104,8899 9-49,Unknown,619890104
/vessels/details/619990027,LUDONGYU61999-27-39,Unknown,619990027
/vessels/details/619660004,61967-50,Unknown,619660004
/vessels/details/619677887,01626-8 80,Unknown,619677887
/vessels/details/7389443,BAOBAB IVOIRIEN,Offshore Support Vessel,7389443
/vessels/details/7021156,SICRUS 5,Fishing Vessel,7021156
/vessels/details/619990015,LUDONGYU61999-15-99,Unknown,619990015
/vessels/details/619690029,61969WANGBIAO-29-97,Unknown,619690029
/vessels/details/7303152,BABEL 1,Fishing Vessel,7303152
/vessels/details/619960001,TIELONG61996-1 90,Unknown,619960001
/vessels/details/8134481,TEXCLIPP III,Oil Products Tanker,8134481
/vessels/details/619880005,TIELONG61988-5-80,Unknown,619880005
/vessels/details/5129813,SAINT PIERRE,Fishing Vessel,5129813
/vessels/details/619991022,61999-22,Unknown,619991022
/vessels/details/619567703,01508-0373,Unknown,619567703
/vessels/details/619990006,LUDONGYU61999-06-35,Unknown,619990006
/vessels/details/619760004,TIELONG61976-04-99,Unknown,619760004
/vessels/details/619991031,61999-31-91,Unknown,619991031
/vessels/details/619690043,61969WANGBIAO-43-94,Unknown,619690043
/vessels/details/619600000,PEARL 3,Pleasure craft,619600000
/vessels/details/9280081,TXORI LAU,Fishing Vessel,9280081
/vessels/details/619991025,61999-2530,Unknown,619991025
/vessels/details/619690037,61969WANGBIAO-37-78,Unknown,619690037
/vessels/details/619610143,61961-143-99,Unknown,619610143
/vessels/details/619690015,TIELONG61969-15-01,Unknown,619690015
/vessels/details/619981015,61998-15-66,Unknown,619981015
/vessels/details/619860008,TIELONG61986-8-38,Unknown,619860008
/vessels/details/619980011,61998-11-81,Unknown,619980011
/vessels/details/9101376,ALEV,Fishing Vessel,9101376
/vessels/details/619690020,61969WANGBIAO-20-99,Unknown,619690020
/vessels/details/619690004,61969-4-99,Unknown,619690004
/vessels/details/619610141,61961-141-99,Unknown,619610141
/vessels/details/619610120,MINLIANYU6196112085,Unknown,619610120
/vessels/details/619991023,61999-23,Unknown,619991023
/vessels/details/619803098,80309-8-94,Unknown,619803098
/vessels/details/619990026,LUDONGYU61999-26-99,Unknown,619990026
/vessels/details/619690038,61969WANGBIAO-38-79,Unknown,619690038
/vessels/details/619980020,61998-20-99,Unknown,619980020
/vessels/details/619980019,61998-19-99,Unknown,619980019
/vessels/details/8748048,CIDADE DE PORTIMAO,Fishing Vessel,8748048
/vessels/details/619012000,COLONNEL BAH,Other type,619012000
/vessels/details/619980022,61998-22-61,Unknown,619980022
/vessels/details/619803091,80309-1-99,Unknown,619803091
/vessels/details/619980025,61998-25-95,Unknown,619980025
/vessels/details/619990022,LUDONGYU61999-22-99,Unknown,619990022
/vessels/details/619690028,61969WANGBIAO-28-99,Unknown,619690028
/vessels/details/619671040,19671,Unknown,619671040
/vessels/details/619660101,61966-A1-90,Unknown,619660101
/vessels/details/619000009,5 VU LN C10-95,Unknown,619000009
/vessels/details/5168417,SAINT JEAN,Fishing Vessel,5168417
/vessels/details/619991013,61999-13,Unknown,619991013
/vessels/details/619991019,61999-19-62,Unknown,619991019
/vessels/details/7022992,SICRUS 7,Fishing Vessel,7022992
/vessels/details/6709737,SAINT ANDRE,Fishing Vessel,6709737
/vessels/details/619690030,61969WANGBIAO-30-99,Unknown,619690030
/vessels/details/8134417,EBENE,Water Tanker,8134417
/vessels/details/9898199,GFB 3,Fishing Vessel,9898199
/vessels/details/619980004,61998-4 76,Unknown,619980004
/vessels/details/619170701,ZHQNGSHENG6,Cargo ship,619170701
/vessels/details/619690094,61969-94-97,Unknown,619690094
/vessels/details/619490010,61949-10-17,Unknown,619490010
/vessels/details/619990013,LUDONGYU61999-13-51,Unknown,619990013
/vessels/details/619682502,TIELONG61968-02-86,Unknown,619682502
/vessels/details/619803092,80309-2-83,Unknown,619803092
/vessels/details/619890108,8899 10-62,Unknown,619890108
/vessels/details/619772554,TIELONG61977-54-50,Unknown,619772554
/vessels/details/619881002,61988-2 90,Unknown,619881002
/vessels/details/619981028,61998-28 90,Unknown,619981028
/vessels/details/5352458,TANOE,Tug,5352458
/vessels/details/619000380,LE VAILLANT,Law enforcment,619000380
/vessels/details/619347734,SULIANYUNGANGHUO1099,Cargo ship,619347734
/vessels/details/619980023,61998-23-70,Unknown,619980023
/vessels/details/619921686,XYY21686-217.2V,Unknown,619921686
/vessels/details/619772556,TIELONG61977-56-84,Unknown,619772556
/vessels/details/619660106,61966-6-09,Unknown,619660106
/vessels/details/619803097,80309-7-84,Unknown,619803097
/vessels/details/619960022,TIELONG61996-22 61,Unknown,619960022
/vessels/details/619682501,TIELONG61968-01-89,Unknown,619682501
/vessels/details/5424328,SEKOU BARADJI,Fishing Vessel,5424328
/vessels/details/5171232,JEANNE DARC,Fishing Vessel,5171232
/vessels/details/619682509,TIELONG61968-09-63,Unknown,619682509
/vessels/details/619610144,61961-144-72,Unknown,619610144
/vessels/details/619772557,TIELONG61977-57-50,Unknown,619772557
/vessels/details/619610118,MINLIANYU6196111899,Unknown,619610118
/vessels/details/619000010,VB SASSANDRA,Passenger ship (HAZ-B),619000010
/vessels/details/619990012,LUDONGYU61999-12-61,Unknown,619990012
/vessels/details/619610107,MINLIANYU6196110798,Unknown,619610107
/vessels/details/7705180,EVERRICH NO. 1,Fishing Vessel,7705180
/vessels/details/619490004,61949-04-07,Unknown,619490004
/vessels/details/619803010,80309-10-55,Unknown,619803010
/vessels/details/5226946,MARTHE,Fishing Vessel,5226946
/vessels/details/7022930,SICRUS 3,Fishing Vessel,7022930
/vessels/details/619860003,TIELONG61986-3-07,Unknown,619860003
/vessels/details/619610119,MINLIANYU6196111996,Unknown,619610119
/vessels/details/619221032,TIELONG61922-32-99,Unknown,619221032
/vessels/details/619995621,SAN99956-21-61,Unknown,619995621
/vessels/details/8620789,GYOKUHO MARU NO. 6,Fishing Vessel,8620789
/vessels/details/619803094,80309-4-74,Unknown,619803094
/vessels/details/619991028,61999-28,Unknown,619991028
/vessels/details/619981014,61998-14-79,Unknown,619981014
/vessels/details/619500000,ALSAREA,Unknown,619500000
/vessels/details/619980010,61998-10-91,Unknown,619980010
/vessels/details/619980007,61998-7,Unknown,619980007
/vessels/details/619803096,80309-6-99,Unknown,619803096
/vessels/details/619992017,61999-17,Unknown,619992017
/vessels/details/619675424,TARLQN,Other type,619675424
/vessels/details/619991006,61999-6,Unknown,619991006
/vessels/details/619690032,61969WANGBIAO-32-11,Unknown,619690032
/vessels/details/7021168,SICRUS 6,Fishing Vessel,7021168
/vessels/details/619772550,TIELONG61977-50-99,Unknown,619772550
/vessels/details/619690042,61969WANGBIAO-42-56,Unknown,619690042
/vessels/details/619981016,61998-16-99,Unknown,619981016
/vessels/details/619660110,61966-A10-16,Unknown,619660110
/vessels/details/5213470,VILLE DE TOUMODI,Fishing Vessel,5213470
/vessels/details/619980024,61998-24-91,Unknown,619980024
/vessels/details/619015000,C F SEKONGO,Military ops,619015000
/vessels/details/619888918,SAN98889-18-58,Unknown,619888918
/vessels/details/619660109,61966-A9-59,Unknown,619660109
/vessels/details/619690033,61969WANGBIAO-33-95,Unknown,619690033
/vessels/details/619990025,LUDONGYU61999-25-99,Unknown,619990025
/vessels/details/619020000,VAILLANCE,Other type,619020000
/vessels/details/619682507,TIELONG61968-07-71,Unknown,619682507
/vessels/details/619960008,TIELONG61996-8 86,Unknown,619960008
