url,name,type,imo
/vessels/details/9778674,CABO VICTORIA,Crude Oil Tanker,9778674
/vessels/details/9778727,CABO TAMAR,Crude Oil Tanker,9778727
/vessels/details/9420758,PUMA,Chemical/Oil Products Tanker,9420758
/vessels/details/9420760,PUDU,Chemical/Oil Products Tanker,9420760
/vessels/details/9629718,ANTOFAGASTA,Chemical/Oil Products Tanker,9629718
/vessels/details/9629495,ARICA,Chemical/Oil Products Tanker,9629495
/vessels/details/9650573,PIONEROS,Chemical/Oil Products Tanker,9650573
/vessels/details/9655913,BRIO,Chemical/Oil Products Tanker,9655913
/vessels/details/9254812,CULPEO,Oil Products Tanker,9254812
/vessels/details/9580156,SPL ATACAMA,Bulk Carrier,9580156
/vessels/details/9580132,SPL TARAPACA,Bulk Carrier,9580132
/vessels/details/9403293,ALPACA,Chemical/Oil Products Tanker,9403293
/vessels/details/9850783,ESPERANZA,Passenger/Ro-Ro Cargo Ship,9850783
/vessels/details/9007764,DALKA,Ro-Ro Cargo Ship,9007764
/vessels/details/9843948,ALMIRANTE VIEL,Research Vessel,9843948
/vessels/details/9191632,CONDOR,Container Ship,9191632
/vessels/details/9232981,COPIHUE,Container Ship,9232981
/vessels/details/9547764,DONA JOSEFINA,Chemical/Oil Products Tanker,9547764
/vessels/details/9703526,GRIP EXPLORER,Offshore Tug/Supply Ship,9703526
/vessels/details/8708957,UNIONSUR,Fish Factory Ship,8708957
/vessels/details/9526021,GRIP MARINE,Fish Carrier,9526021
/vessels/details/9814947,RONIA DIAMOND,Fish Carrier,9814947
/vessels/details/9805403,VENTUS AUSTRALIS,Passenger Ship,9805403
/vessels/details/9534676,STELLA AUSTRALIS,Passenger (Cruise) Ship,9534676
/vessels/details/8710338,AQUILES,Patrol Vessel,8710338
/vessels/details/9942134,PATAGON XI,Fish Carrier,9942134
/vessels/details/9657765,RONIA POLARIS,Fish Carrier,9657765
/vessels/details/9287819,DON PANCHO II,Oil Products Tanker,9287819
/vessels/details/9287821,DON GONZALO I,Oil Products Tanker,9287821
/vessels/details/9720914,JANEQUEO,Offshore Support Vessel,9720914
/vessels/details/8122684,BF UNZEN,Fishing Vessel,8122684
/vessels/details/9281803,DONA ANA,Chemical/Oil Products Tanker,9281803
/vessels/details/9393400,BUQUE ARMADA,Offshore Tug/Supply Ship,9393400
/vessels/details/8010570,ANTARCTIC WARRIOR,Offshore Tug/Supply Ship,8010570
/vessels/details/9100499,GACRUX,General Cargo Ship,9100499
/vessels/details/9203203,LENGA,Offshore Tug/Supply Ship,9203203
/vessels/details/8324086,MV BERKAY N,General Cargo Ship,8324086
/vessels/details/9657210,CENTINELA I,Fishing Vessel,9657210
/vessels/details/7528520,FUSION,General Cargo Ship,7528520
/vessels/details/9544671,GRIP NORD,Fish Carrier,9544671
/vessels/details/9451563,RONIA ATLANTIC,Fish Carrier,9451563
/vessels/details/9378644,PILOTO PARDO,Patrol Vessel,9378644
/vessels/details/9378656,COMANDANTE TORO,Patrol Vessel,9378656
/vessels/details/9184407,SAN JOSE,Fishing Vessel,9184407
/vessels/details/9914204,VAR,Fish Carrier,9914204
/vessels/details/8817368,DONA MIMI,General Cargo Ship,8817368
/vessels/details/8515283,CONSTANTINO KOCHIFAS,General Cargo Ship,8515283
/vessels/details/9906843,PATAGON X,Fish Carrier,9906843
/vessels/details/9877743,PATAGON IX,Fish Carrier,9877743
/vessels/details/9555010,PATAGON VIII,Fish Carrier,9555010
/vessels/details/9243875,BALDER,General Cargo Ship,9243875
/vessels/details/9243887,VIDAR,General Cargo Ship,9243887
/vessels/details/9006227,ISLA TAUTIL,General Cargo Ship,9006227
/vessels/details/9953066,SEIGULL,Fish Carrier,9953066
/vessels/details/9862566,KAWESKAR,Passenger/Ro-Ro Cargo Ship,9862566
/vessels/details/9912878,SOOKE,Fish Carrier,9912878
/vessels/details/9870020,SEIVIK,Fish Carrier,9870020
/vessels/details/9080687,ULL,General Cargo Ship,9080687
/vessels/details/9171668,VICHUQUEN II,Fishing Vessel,9171668
/vessels/details/9404754,QUELLONINA,Deck Cargo Ship,9404754
/vessels/details/8505460,ERIKA,Fishing Vessel,8505460
/vessels/details/9066069,ISLA TELLEZ,General Cargo Ship,9066069
/vessels/details/9116773,LOGIMAR II,General Cargo Ship,9116773
/vessels/details/9803716,AGIOS,Passenger/Ro-Ro Cargo Ship,9803716
/vessels/details/9148477,CORSARIO I,Fishing Vessel,9148477
/vessels/details/9244166,RUTH,Fishing Vessel,9244166
/vessels/details/9251913,ALF,Fishing Vessel,9251913
/vessels/details/9244178,TALBOR,Fishing Vessel,9244178
/vessels/details/9825996,KOTAIX,Passenger/Ro-Ro Cargo Ship,9825996
/vessels/details/9982287,KENOS,Passenger/Ro-Ro Cargo Ship,9982287
/vessels/details/8100129,ISLA MECHUQUE,General Cargo Ship,8100129
/vessels/details/7404372,CABO DE HORNOS,Fish Factory Ship,7404372
/vessels/details/9647502,PATAGON 7,Fish Carrier,9647502
/vessels/details/9680918,GRIP PACIFIC,Fish Carrier,9680918
/vessels/details/9337547,LUMA,Offshore Tug/Supply Ship,9337547
/vessels/details/9163013,VESTERVEG,Fishing Vessel,9163013
/vessels/details/9143324,VENTISQUERO,Fishing Vessel,9143324
