url,name,type,imo
/vessels/details/9286073,RCELEBRA,Crude Oil Tanker,9286073
/vessels/details/9233739,VETER,Crude Oil Tanker,9233739
/vessels/details/9262754,ATILA,Crude Oil Tanker,9262754
/vessels/details/9259343,LORIAN,Crude Oil Tanker,9259343
/vessels/details/9293741,TITAN,Crude Oil Tanker,9293741
/vessels/details/9153525,LILLIAN,Crude Oil Tanker,9153525
/vessels/details/9235244,BALU,FSO,9235244
/vessels/details/9197909,VIZURI,Crude Oil Tanker,9197909
/vessels/details/9203265,VORAS,Crude Oil Tanker,9203265
/vessels/details/9203277,LEXIE,Crude Oil Tanker,9203277
/vessels/details/9318539,SWIFTSEA RIDER,Crude Oil Tanker,9318539
/vessels/details/9408205,FAST KATHY,Crude Oil Tanker,9408205
/vessels/details/9205067,VIKRAM,Crude Oil Tanker,9205067
/vessels/details/9041057,LIA,Crude Oil Tanker,9041057
/vessels/details/9168946,ZEVS,Crude Oil Tanker,9168946
/vessels/details/9131357,ORION,Crude Oil Tanker,9131357
/vessels/details/9258868,NOCTIS,Crude Oil Tanker,9258868
/vessels/details/9206671,RANGLER,Crude Oil Tanker,9206671
/vessels/details/9405057,JUN TONG,Crude Oil Tanker,9405057
/vessels/details/9281009,JI HANG,Crude Oil Tanker,9281009
/vessels/details/9436018,DG HONG KONG,Crude Oil Tanker,9436018
/vessels/details/9270517,CINDY,Crude Oil Tanker,9270517
/vessels/details/9265744,RESTON,Crude Oil Tanker,9265744
/vessels/details/9332822,NICHOLE,Crude Oil Tanker,9332822
/vessels/details/9192260,OTARIA,Crude Oil Tanker,9192260
/vessels/details/9247792,CECILA,Crude Oil Tanker,9247792
/vessels/details/9261619,HANNAH,Crude Oil Tanker,9261619
/vessels/details/9290309,ROSITA,Crude Oil Tanker,9290309
/vessels/details/9169512,KIRA,Crude Oil Tanker,9169512
/vessels/details/9304356,YODAN,Crude Oil Tanker,9304356
/vessels/details/9395379,FORTIS,Crude Oil Tanker,9395379
/vessels/details/9144782,BODHI,Crude Oil Tanker,9144782
/vessels/details/9000883,SEA OPERA,LPG Tanker,9000883
/vessels/details/9588500,CENTURY BRIGHT,Bulk Carrier,9588500
/vessels/details/9258026,EDERRA,Oil Products Tanker,9258026
/vessels/details/9266475,MT SAURI,Oil Products Tanker,9266475
/vessels/details/9284726,BONIFACY,Oil Products Tanker,9284726
/vessels/details/9105114,BLUE PHOENIX,Chemical/Oil Products Tanker,9105114
/vessels/details/9293959,FOTUO,Oil Products Tanker,9293959
/vessels/details/9208124,SKY RIDER,Chemical/Oil Products Tanker,9208124
/vessels/details/9014432,FALCON,LPG Tanker,9014432
/vessels/details/8818312,LIDER EXPRESS,Passenger/Ro-Ro Cargo Ship,8818312
/vessels/details/7128332,A WIND,Passenger/Ro-Ro Cargo Ship,7128332
/vessels/details/9198719,LIDER BULUT,Ro-Ro Cargo Ship,9198719
/vessels/details/9019066,LIDER PRESTIJ,Passenger/Ro-Ro Cargo Ship,9019066
/vessels/details/7822160,SKS ONE,Passenger/Ro-Ro Cargo Ship,7822160
/vessels/details/8404276,LIDER HALUK,Ro-Ro Cargo Ship,8404276
/vessels/details/7615048,AKDENIZ,Passenger/Ro-Ro Cargo Ship,7615048
/vessels/details/7325095,SEABRIDGE,Passenger/Ro-Ro Cargo Ship,7325095
/vessels/details/8009088,LIDER BORDO MAVI,Ro-Ro Cargo Ship,8009088
/vessels/details/7707786,GULISTAN U,Passenger/Ro-Ro Cargo Ship,7707786
/vessels/details/7812945,GARAKAC,Passenger/Ro-Ro Cargo Ship,7812945
/vessels/details/9046071,JOINVILLE 1,Oil Products Tanker,9046071
/vessels/details/8207381,MY ROSE,Ro-Ro Cargo Ship,8207381
/vessels/details/8118827,ALTAY,Ro-Ro Cargo Ship,8118827
/vessels/details/7613404,BARBAT,Ro-Ro Cargo Ship,7613404
/vessels/details/7908445,LIDER ILYAS,Ro-Ro Cargo Ship,7908445
/vessels/details/7619537,BARBAROS,Ro-Ro Cargo Ship,7619537
/vessels/details/9408358,NARSIS,Chemical/Oil Products Tanker,9408358
/vessels/details/9109861,PRINCESS EVA,General Cargo Ship,9109861
/vessels/details/7800112,LADY ROZ,Ro-Ro Cargo Ship,7800112
/vessels/details/7637319,MIRA,Ro-Ro Cargo Ship,7637319
/vessels/details/7728699,GUZEL,Ro-Ro Cargo Ship,7728699
/vessels/details/9137844,DELPHINUS,Container Ship,9137844
/vessels/details/7702657,NADEZHDA,Ro-Ro Cargo Ship,7702657
/vessels/details/7928160,SAMPIYON TRABZONSPOR,Ro-Ro Cargo Ship,7928160
/vessels/details/9146247,GOLD STAR,Oil Products Tanker,9146247
/vessels/details/7802756,VIA FAMA,Ro-Ro Cargo Ship,7802756
/vessels/details/7725386,URAL,Ro-Ro Cargo Ship,7725386
/vessels/details/9189706,AYSHOP M,General Cargo Ship,9189706
/vessels/details/8213718,QUEEN STAR,General Cargo Ship,8213718
/vessels/details/9009073,JINSHENGFA,Chemical/Oil Products Tanker,9009073
/vessels/details/9121106,KAPITAN RUSAK,Fish Factory Ship,9121106
/vessels/details/9136761,SEA WOLF 10,Oil Products Tanker,9136761
