url,name,type,imo
/vessels/details/9876543,IMPALA MAGANGUE,Oil Products Tanker,9876543
/vessels/details/9911898,ARC SIMON BOLIVAR,Research Vessel,9911898
/vessels/details/8513869,ORIONS,Refrigerated Cargo Ship,8513869
/vessels/details/9309203,SAN ANDRES III,Chemical/Oil Products Tanker,9309203
/vessels/details/9309215,SAN ANDRES IV,Chemical/Oil Products Tanker,9309215
/vessels/details/8915756,FLUVIUS KENN I,General Cargo Ship,8915756
/vessels/details/9762780,ARC CARIBE,Offshore Tug/Supply Ship,9762780
/vessels/details/8922280,ERLANDA,General Cargo Ship,8922280
/vessels/details/8810750,MONIKA,General Cargo Ship,8810750
/vessels/details/9309306,DONA JOSE II,Offshore Tug/Supply Ship,9309306
/vessels/details/7715422,SHIPSELETRONI SAS,Oil Products Tanker,7715422
/vessels/details/9183738,NAZCA,Fishing Vessel,9183738
/vessels/details/8121587,AMANDA S,Fishing Vessel,8121587
/vessels/details/8224482,BUZCADOR,Offshore Tug/Supply Ship,8224482
/vessels/details/9188403,SAN JACINTO II,Offshore Tug/Supply Ship,9188403
/vessels/details/6713283,ANGELICA,General Cargo Ship,6713283
/vessels/details/8642555,ARC GLORIA,Sailing Vessel,8642555
/vessels/details/9808118,ARC RONCADOR,Research Vessel,9808118
/vessels/details/9637648,DONA CLARY,Tug,9637648
/vessels/details/8108690,DRAGA MAHURY,Hopper Dredger,8108690
/vessels/details/9840142,RR MACONDO,Tug,9840142
/vessels/details/9840154,RR SANTA MARTA,Tug,9840154
/vessels/details/9654426,GPC ROSARIO,Tug,9654426
/vessels/details/9654438,GPC TESORO,Tug,9654438
/vessels/details/9654414,GPC BARU,Tug,9654414
/vessels/details/9517745,MANFU I,Tug,9517745
/vessels/details/9658070,CABO DE LA VELA,Tug,9658070
/vessels/details/9260524,BZ EPIC,Offshore Tug/Supply Ship,9260524
/vessels/details/9515058,CAPIDAHL,Tug,9515058
/vessels/details/9675248,RM.MAGDALEN,Tug,9675248
/vessels/details/5360778,SMART,General Cargo Ship,5360778
/vessels/details/9695547,MARDEANGELES,Tug,9695547
/vessels/details/8998136,CRISTY DZ,Offshore Tug/Supply Ship,8998136
/vessels/details/9495246,DON JOSE M,Tug,9495246
/vessels/details/9454072,PINO 1,Tug,9454072
/vessels/details/9209635,TANARUS,Tug,9209635
/vessels/details/8687402,SANTAMAR 222,Hopper Dredger,8687402
/vessels/details/9209051,RM CAUCA,Tug,9209051
/vessels/details/9241920,RM CALIMA I,Tug,9241920
/vessels/details/9277242,ALTRA,Tug,9277242
/vessels/details/9396397,RM BARU,Tug,9396397
/vessels/details/9550503,RM FREY,Tug,9550503
/vessels/details/9526837,RM VALKYRIA,Tug,9526837
/vessels/details/9536507,ALISIOS,Tug,9536507
/vessels/details/9536492,RM BOREAS,Tug,9536492
/vessels/details/8412821,JUAN SBBASTIAN,Offshore Tug/Supply Ship,8412821
/vessels/details/8209987,BARRACUDA VII,Tug,8209987
/vessels/details/6602147,CARRIZAL,Tug,6602147
/vessels/details/8678798,MR SAG,Offshore Tug/Supply Ship,8678798
/vessels/details/8346589,NEPTUNO DELMAR,Offshore Tug/Supply Ship,8346589
/vessels/details/8785163,FEROX,Passenger Ship,8785163
/vessels/details/8133217,ANA MARIA I,Fishing Vessel,8133217
/vessels/details/9121508,RM TITANIA,Tug,9121508
/vessels/details/7813688,EL PORTENO,Tug,7813688
/vessels/details/730151061,INDOMABLE,Unknown,730151061
/vessels/details/730151015,ARC JUANCHACO,Unknown,730151015
/vessels/details/730151753,SEA WOLF,Passenger ship,730151753
/vessels/details/730153102,ALEJANDRIA,Pleasure craft,730153102
/vessels/details/730153794,LIANA,Fishing vessel,730153794
/vessels/details/730000047,ARC 7 DE AGOSTO,Military ops,730000047
/vessels/details/730152797,SAN RAFFAELE,Medical,730152797
/vessels/details/730151132,CHARLY EXPRESS,Pilot,730151132
/vessels/details/730000931,REINA DEL MAR I,Passenger ship,730000931
/vessels/details/730153486,MAR AZUL,Fishing vessel,730153486
/vessels/details/730000052,ARC CALDAS,Military ops,730000052
/vessels/details/730154014,CARIBEAN STAR 20,Fishing vessel,730154014
/vessels/details/730000241,GOLFO DE URABA,Military ops,730000241
/vessels/details/730152063,BT ARQUIMEDES,Tanker,730152063
/vessels/details/730154644,CARIBBEAN STAR 8,Fishing vessel,730154644
/vessels/details/730018000,NAZCA,Fishing vessel,730018000
/vessels/details/730151495,DALMAR II,Pleasure craft,730151495
/vessels/details/730000242,GOLFO D MORROSQUILLO,Unknown,730000242
/vessels/details/730155716,ZITA IVONNE,Fishing vessel,730155716
/vessels/details/730151003,GOLFODEMORROSQUILLOI,Passenger ship,730151003
/vessels/details/730005000,LADY JEANETE,Tug,730005000
/vessels/details/730152603,RIO ZULIA,Tug,730152603
/vessels/details/730152426,CAYENA PILOT BOAT,Pilot,730152426
/vessels/details/730151691,DON BANGUE,Fishing vessel,730151691
/vessels/details/730000155,ARC PROVIDENCIA,Unknown,730000155
/vessels/details/8360951,VIVAX,Passenger ship,8360951
/vessels/details/730001495,LA PALERMERA,Port tender,730001495
/vessels/details/730154797,SMART,Cargo ship,730154797
/vessels/details/730152350,ARC ALMIRANTE TONO,Military ops,730152350
/vessels/details/730151419,BARRACUDA 7,Tug,730151419
/vessels/details/730076239,AMAMAGDALENA,Passenger ship,730076239
/vessels/details/730151063,SAGRES,Fishing vessel,730151063
/vessels/details/730151928,MACOYA,Pilot,730151928
/vessels/details/730003794,PORTOBELO,Passenger ship,730003794
/vessels/details/730000243,ARC BAHIA MALAGA,Military ops,730000243
/vessels/details/730151804,IMPALA EL BANCO,Towing vessel,730151804
/vessels/details/730000097,DELMAR IV,Pilot,730000097
/vessels/details/730151805,IMPALA LA GLORIA,Towing vessel,730151805
/vessels/details/730153720,ARC PUNTA ESPADA,Military ops,730153720
/vessels/details/730000048,ARC VICTORIA,Military ops,730000048
/vessels/details/730155572,CARLOS FELIPE,Fishing vessel,730155572
/vessels/details/730999012,RR HUMBERTO MUNOZ,Tug,730999012
/vessels/details/730001406,SISHELL,Unknown,730001406
/vessels/details/730151190,COLOSO,Tug,730151190
/vessels/details/730151050,ARC NARINO,Unknown,730151050
/vessels/details/730153873,IMPALA MOMPOX,Other type,730153873
/vessels/details/730152403,LA SANDY,Pleasure craft,730152403
/vessels/details/730153670,ARC 20 DE JULIO,Military ops,730153670
/vessels/details/730000240,ARC GOLFO DE TRIBUGA,Law enforcment,730000240
/vessels/details/730151135,ARC PUNTA ARDITA,Military ops,730151135
