url,name,type,imo
/vessels/details/7825980,NOSSA SENHORA DA GRACA,Passenger/Ro-Ro Cargo Ship,7825980
/vessels/details/9141613,PONTA DO SOL,General Cargo Ship,9141613
/vessels/details/9150470,LAGOA,Container Ship,9150470
/vessels/details/7340631,THAMES,Hopper Dredger,7340631
/vessels/details/9266724,DONA TUTUTA,Passenger Ship,9266724
/vessels/details/7022708,MAR DCANAL,Passenger/Ro-Ro Cargo Ship,7022708
/vessels/details/9449209,CIPREIA,Chemical/Oil Products Tanker,9449209
/vessels/details/9449211,HARPA DORIS,Chemical/Oil Products Tanker,9449211
/vessels/details/7023001,INTER-ILHAS,Passenger/Ro-Ro Cargo Ship,7023001
/vessels/details/9899246,CHIQUINHO BL,Passenger/Ro-Ro Cargo Ship,9899246
/vessels/details/8615289,CROIX DU SUD 1,Fishing Vessel,8615289
/vessels/details/8302882,CHARIOT,General Cargo Ship,8302882
/vessels/details/9823649,B.LEZA,Bunkering Tanker,9823649
/vessels/details/9594080,KRIOLA,Passenger/Ro-Ro Cargo Ship,9594080
/vessels/details/9594092,LIBERDADI,Passenger/Ro-Ro Cargo Ship,9594092
/vessels/details/7332763,BOAVISTA,General Cargo Ship,7332763
/vessels/details/7424683,SIDIA I,Fishing Vessel,7424683
/vessels/details/9072977,13 DE JANEIRO,General Cargo Ship,9072977
/vessels/details/9612947,GUARDIAO,Patrol Vessel,9612947
/vessels/details/6901555,LUZIA,General Cargo Ship,6901555
/vessels/details/9179050,MONTE CARA,Tug,9179050
/vessels/details/6908802,VALDO,Passenger Ship,6908802
/vessels/details/7644489,COSTA DE AGUINO,Fishing Vessel,7644489
/vessels/details/9784817,PRAIA MARIA,Tug,9784817
/vessels/details/5377422,RIBEIRA DE PAUL,Passenger/General Cargo Ship,5377422
/vessels/details/5403051,DAMAO,Tug,5403051
/vessels/details/8706301,MUNCRECA,Fishing Vessel,8706301
/vessels/details/8616116,NOROESTE,Fishing Vessel,8616116
/vessels/details/617031000,PRAIA GRANDE,Fishing vessel,617031000
/vessels/details/617033000,XAGUATE,Fishing vessel,617033000
/vessels/details/617570078,TIELONG61757-78-63,Unknown,617570078
/vessels/details/617980071,MINDONGYU61798-7199,Unknown,617980071
/vessels/details/617980098,MINDONGYU61798-9895,Unknown,617980098
/vessels/details/617980075,MINDONGYU61798-7599,Unknown,617980075
/vessels/details/617180005,MINLIANYU61718-5-10,Fishing vessel,617180005
/vessels/details/617770016,WANGDI61777-16-07,Unknown,617770016
/vessels/details/5304140,BUBISTA,General Cargo Ship,5304140
/vessels/details/617570084,TIELONG61757-84-93,Unknown,617570084
/vessels/details/617400008,6174-8 60,Unknown,617400008
/vessels/details/617990033,TIELONG61799-33-70,Unknown,617990033
/vessels/details/617216221,LIN21622-1-44,Unknown,617216221
/vessels/details/617770013,WANGDI61777-13-99,Unknown,617770013
/vessels/details/617003115,OMMAX,Cargo ship,617003115
/vessels/details/617760105,MINDONGYU61776-5-69,Unknown,617760105
/vessels/details/617250915,80617-15-99,Unknown,617250915
/vessels/details/617770030,WANGDI61777-30-79,Unknown,617770030
/vessels/details/617790002,61779-2-99,Fishing vessel,617790002
/vessels/details/617250917,80617-17-99,Unknown,617250917
/vessels/details/617103000,MY VICTORIA,Fishing vessel,617103000
/vessels/details/617730003,TIELONG61773-3-58,Unknown,617730003
/vessels/details/617980115,MINDONGYU6179811594,Unknown,617980115
/vessels/details/617260006,MINLIANYU61726-6-99,Unknown,617260006
/vessels/details/617790010,61779-10-07,Unknown,617790010
/vessels/details/617980101,MINDONGYU6179810199,Unknown,617980101
/vessels/details/617380006,MINDONGYU61738-6-92,Unknown,617380006
/vessels/details/617480024,MINLIANYU61748-2499,Unknown,617480024
/vessels/details/617980116,MINDONGYU6179811678,Unknown,617980116
/vessels/details/617260002,MINLIANYU61726-2-99,Unknown,617260002
/vessels/details/617197100,MT ANFANI,Tanker,617197100
/vessels/details/617400006,6174-6 90,Unknown,617400006
/vessels/details/617980113,MINDONGYU6179811370,Unknown,617980113
/vessels/details/617113000,NP REI,Military ops,617113000
/vessels/details/617150000,MATEO,Fishing vessel,617150000
/vessels/details/617218762,LIN 21876-2-99,Unknown,617218762
/vessels/details/617217196,LIN21719-6-75,Unknown,617217196
/vessels/details/617790006,61779-6-53,Unknown,617790006
/vessels/details/617660001,TIE LONG 61766 1,Unknown,617660001
/vessels/details/617760108,MINDONGYU61776-8-99,Unknown,617760108
/vessels/details/617400013,6174-13 90,Unknown,617400013
/vessels/details/617730057,TIELONG61773-57-80,Unknown,617730057
/vessels/details/617570062,TIELONG61757-62-55,Unknown,617570062
/vessels/details/617730008,TIELONG61773-8 90,Unknown,617730008
/vessels/details/617632822,44,Unknown,617632822
/vessels/details/617770034,WANGDI61777-34-99,Unknown,617770034
/vessels/details/617730102,TIELONG61773-2-99,Unknown,617730102
/vessels/details/9209403,PRAIA D AGUADA,Passenger/General Cargo Ship,9209403
/vessels/details/617760007,MINDONGYU61776-7-99,Unknown,617760007
/vessels/details/617730080,TIELONG61773-80-99,Unknown,617730080
/vessels/details/617730079,TIELONG61773-79-94,Unknown,617730079
/vessels/details/617890011,TIELONG61789-11-77,Unknown,617890011
/vessels/details/617400014,6174-14 60,Unknown,617400014
/vessels/details/617380001,MINDONGYU61738-1-99,Unknown,617380001
/vessels/details/617086000,PONTA NHO MARTINHO,Unknown,617086000
/vessels/details/617400005,6174-5 50,Unknown,617400005
/vessels/details/617990002,81 GIAC LC A34 P47V5,Unknown,617990002
/vessels/details/617400011,6174-11 50,Unknown,617400011
/vessels/details/617730110,TIELONG61773-10-99,Unknown,617730110
/vessels/details/617132000,LIR GORAZ,Unknown (HAZ-A),617132000
/vessels/details/617250911,80617-11-99,Unknown,617250911
/vessels/details/617730001,TIELONG61773-1 94,Unknown,617730001
/vessels/details/617760103,MINDONGYU61776-3-89,Unknown,617760103
/vessels/details/617730063,TIELONG61773-63-86,Unknown,617730063
/vessels/details/617129000,BOAVENTURA,Sailing vessel,617129000
/vessels/details/617250920,80617-20-99,Unknown,617250920
/vessels/details/617570076,TIELONG61757-76-99,Unknown,617570076
/vessels/details/617990006,TIELONGBIAO61799 80,Unknown,617990006
/vessels/details/617730065,TIELONG61773-65-69,Unknown,617730065
/vessels/details/617273805,RAP-XEP-113-16,Unknown,617273805
/vessels/details/617030000,PONTA BICUDA,Fishing vessel,617030000
/vessels/details/617400007,6174-7 60,Unknown,617400007
/vessels/details/7027564,LUKORAN III,Fishing Vessel,7027564
/vessels/details/617730011,TIELONG61773-11 90,Unknown,617730011
/vessels/details/8466585,XAGUATE,Fishing Vessel,8466585
/vessels/details/617570081,TIELONG61757-81-85,Unknown,617570081
/vessels/details/617980102,MINDONGYU6179810288,Unknown,617980102
/vessels/details/617480003,MINLIANYU61748-3-95,Unknown,617480003
/vessels/details/617400004,6174-4 50,Unknown,617400004
