url,name,type,imo
/vessels/details/270258000,PRAHA,WIG,270258000
/vessels/details/270794000,MOIRY,Sailing vessel,270794000
/vessels/details/270427000,CALYPSO,Passenger ship,270427000
/vessels/details/270754000,NAJADE,Passenger ship,270754000
/vessels/details/270566000,HEBE V,Sailing vessel,270566000
/vessels/details/270398000,TR 439,Other type,270398000
/vessels/details/270252000,KVB BOHEMIA,Other type,270252000
/vessels/details/270883000,MR SUGAR,Pleasure craft,270883000
/vessels/details/270413000,HAMBURG,Passenger ship,270413000
/vessels/details/270589000,JARMILA,Unknown,270589000
/vessels/details/270480000,ANDREA,Cargo ship,270480000
/vessels/details/270257000,RIO2,Other type,270257000
/vessels/details/270454000,ORCA,Passenger ship,270454000
/vessels/details/270434000,TR 18,Other type,270434000
/vessels/details/270790000,IVANA,Cargo ship,270790000
/vessels/details/270603000,AGNES DE BOHEMIA,Passenger ship,270603000
/vessels/details/270314000,LABE 15,Cargo ship,270314000
/vessels/details/270259000,ALBIS,Cargo ship,270259000
/vessels/details/270401000,TR 436,Other type,270401000
/vessels/details/270326000,LABE 6,Unknown,270326000
/vessels/details/270650000,ICONIC,Sailing vessel,270650000
/vessels/details/270805000,PURA VIDA,Sailing vessel,270805000
/vessels/details/270273000,LENKA II,Unknown,270273000
/vessels/details/270745000,DOLNI ZLEB,Passenger ship,270745000
/vessels/details/270415000,ODRA,Passenger ship,270415000
/vessels/details/270318000,LABE 13,Other type,270318000
/vessels/details/270976000,HERA,WIG,270976000
/vessels/details/270629000,MJOLLNIR,Sailing vessel,270629000
/vessels/details/270898000,FREEDOM4,Sailing vessel,270898000
/vessels/details/270443000,KON 3,Other type,270443000
/vessels/details/270442000,OBELIX,Other type,270442000
/vessels/details/270931000,GOMTUU,Sailing vessel,270931000
/vessels/details/270547000,RUEGEN,WIG,270547000
/vessels/details/270719000,HELENA,Cargo ship,270719000
/vessels/details/270430000,TR 15,Other type,270430000
/vessels/details/270661000,BELLA BOHEMIA,Passenger ship,270661000
/vessels/details/270783000,EUROPA,Cargo ship,270783000
/vessels/details/270548000,ORION,Other type,270548000
/vessels/details/270573000,GOOFY,Towing vessel,270573000
/vessels/details/270254000,VERA,WIG,270254000
/vessels/details/270905000,ANNA CAROLINA,Other type,270905000
/vessels/details/270373000,MARGIT,Other type,270373000
/vessels/details/270449000,MORAVIA,Passenger ship,270449000
/vessels/details/270460000,MARIA CROON,Passenger ship,270460000
/vessels/details/270586000,ANDREA,Sailing vessel,270586000
/vessels/details/270463000,PORTA BOHEMICA,Passenger ship,270463000
/vessels/details/270464000,BOHEMIA DC,Passenger ship,270464000
/vessels/details/270537000,GIULIA,Pleasure craft,270537000
/vessels/details/270429000,TR 30,Cargo ship,270429000
/vessels/details/270764000,LIRICA,Sailing vessel,270764000
/vessels/details/270414000,LUZNICE,Passenger ship,270414000
/vessels/details/270416000,KLARA,Other type,270416000
/vessels/details/270627000,LIBUSE,Pleasure craft,270627000
/vessels/details/270852000,NEW LIFE,Pleasure craft,270852000
/vessels/details/270780000,ALBATROS II,Passenger ship,270780000
/vessels/details/270833000,BOOMERANG,Pleasure craft,270833000
/vessels/details/270448000,CZECHIE,Passenger ship,270448000
/vessels/details/270467000,LA GRACE,Sailing vessel,270467000
/vessels/details/270643000,ALEXIS,WIG,270643000
/vessels/details/270403000,TR31,Other type,270403000
/vessels/details/270370000,PELAROO,Other type,270370000
/vessels/details/270899000,NEW VISION,Sailing vessel,270899000
/vessels/details/270793000,VESPER,Sailing vessel,270793000
/vessels/details/270602000,BOHEMIA RHAPSODY,Passenger ship,270602000
/vessels/details/270590000,GRAND BOHEMIA,Passenger ship,270590000
/vessels/details/270507000,TR 533,Other type,270507000
/vessels/details/270893000,SEAWOLF,Sailing vessel,270893000
/vessels/details/270256000,SILJA,WIG,270256000
/vessels/details/270453000,GLADIUS,Passenger ship,270453000
/vessels/details/270667000,REGINA,Passenger ship,270667000
/vessels/details/270432000,TR 27,Unknown,270432000
/vessels/details/270605000,MY LENA,Unknown,270605000
/vessels/details/270703000,KAPKA,Sailing vessel,270703000
/vessels/details/270487000,SPICA,Pleasure craft,270487000
/vessels/details/270456000,NEPOMUK,Passenger ship,270456000
/vessels/details/270768000,200632 SZ,Passenger ship,270768000
/vessels/details/270445000,GARGAMEL,Other type,270445000
/vessels/details/270750000,BAGATELA,Sailing vessel,270750000
/vessels/details/270412000,VLTAVA,Passenger ship,270412000
/vessels/details/270424000,PORTO,Passenger ship,270424000
/vessels/details/270490000,ALTER EGO,Cargo ship,270490000
/vessels/details/270408000,FLORENTINA,Passenger ship,270408000
/vessels/details/270630000,BLANIK,Passenger ship,270630000
/vessels/details/270786000,JANNY,Unknown,270786000
/vessels/details/270310000,LABE 23,Cargo ship,270310000
/vessels/details/270847000,EVA,WIG,270847000
/vessels/details/270551000,VERTIGO,Sailing vessel,270551000
/vessels/details/270850000,GEMINI II,Sailing vessel,270850000
/vessels/details/270354000,OCEAN JOURNEY,Sailing vessel,270354000
/vessels/details/270506000,LABSKA I.,Other type,270506000
/vessels/details/270358000,RIMINI,Pleasure craft,270358000
/vessels/details/270405000,TKR 2,Other type,270405000
/vessels/details/270921000,NOETHE,Sailing vessel,270921000
/vessels/details/270441000,MN7318,Cargo ship,270441000
/vessels/details/270262000,EXTASE,Other type,270262000
/vessels/details/270425000,PRAHA 1,Other type,270425000
/vessels/details/270706000,EVELYN,Pleasure craft,270706000
/vessels/details/270253000,KVB ANDREA,Cargo ship,270253000
/vessels/details/270153000,VIRGINIA,Sailing vessel,270153000
/vessels/details/270957000,KORU,Sailing vessel,270957000
/vessels/details/270631000,TR 1,Other type,270631000
/vessels/details/270459000,CLASSIC RIVER,Passenger ship,270459000
/vessels/details/270623000,MONIA,WIG,270623000
/vessels/details/270585000,UMBRELLA VICTORIA,Pleasure craft,270585000
/vessels/details/270592000,MR.FOX,Sailing vessel,270592000
/vessels/details/270747000,STELLAR,Pleasure craft,270747000
/vessels/details/270550000,LADY R1,Sailing vessel,270550000
/vessels/details/270798000,DAHLIA,Sailing vessel,270798000
/vessels/details/270607000,VALERIE,Pleasure craft,270607000
/vessels/details/270451000,ATLANTIDA,Passenger ship,270451000
/vessels/details/270404000,TKR1,Other type,270404000
/vessels/details/270963000,AURORA 1,Sailing vessel,270963000
/vessels/details/270372000,TANGA-ROA,Sailing vessel,270372000
/vessels/details/270580000,BUBI,Cargo ship,270580000
/vessels/details/270400000,TR 424,Other type,270400000
/vessels/details/270406000,MOTOR 1,Tug,270406000
/vessels/details/270510000,SEPTEMBER SONG,Sailing vessel,270510000
/vessels/details/270699000,GLOBAL SURVEYOR,Sailing vessel,270699000
/vessels/details/270426000,NATAL,Passenger ship,270426000
/vessels/details/270251000,KVB ALESSANDRO,WIG,270251000
/vessels/details/270665000,MICHAELA II,Pleasure craft,270665000
/vessels/details/270255000,DICK,Cargo ship,270255000
/vessels/details/270265000,SILJA 3,Other type,270265000
/vessels/details/270845000,LABE,Passenger ship,270845000
/vessels/details/270468000,KLARA,Passenger ship,270468000
/vessels/details/270867000,JUSTICE,Sailing vessel,270867000
/vessels/details/270332000,SILJA 2,Cargo ship,270332000
/vessels/details/270885000,ELYSIUM,Sailing vessel,270885000
/vessels/details/270328000,LABE 20,Cargo ship,270328000
/vessels/details/270846000,LAUDATO SI,Sailing vessel,270846000
/vessels/details/270770000,MARIE D BOHEMIA,Passenger ship,270770000
/vessels/details/270450000,EUROPE,Passenger ship,270450000
/vessels/details/270433000,TR 17,Cargo ship,270433000
/vessels/details/270504000,TR 531,Other type,270504000
/vessels/details/270317000,LABE 29,Other type,270317000
/vessels/details/270356000,GEMINI,Sailing vessel,270356000
/vessels/details/270457000,VALENTYNA II,Unknown,270457000
/vessels/details/270595000,ZABA 2,Sailing vessel,270595000
/vessels/details/270423000,PRAHA,Passenger ship,270423000
/vessels/details/270458000,CZECH BOAT,Passenger ship,270458000
/vessels/details/270626000,MUSTANG,Cargo ship,270626000
/vessels/details/270609000,SALOME,Sailing vessel,270609000
/vessels/details/270417000,VALENCIA,Passenger ship,270417000
/vessels/details/270594000,SAFIRA,Pleasure craft,270594000
/vessels/details/270261000,STEIGERWALD,Cargo ship,270261000
/vessels/details/270236000,COPERNIC,Pleasure craft,270236000
/vessels/details/270382000,JAFIPAPA II,Sailing vessel,270382000
/vessels/details/270455000,TAURUS,Unknown,270455000
/vessels/details/270887000,TRIDENT,Pleasure craft,270887000
/vessels/details/270118006,70118-A6-19,Unknown,270118006
/vessels/details/270767000,PENELOPE,Sailing vessel,270767000
/vessels/details/270033110,BIAO 00331-10-98,Unknown,270033110
/vessels/details/270190008,27019-899,Unknown,270190008
/vessels/details/270907000,MIMOSA,Sailing vessel,270907000
/vessels/details/270132627,01326-27-92,Unknown,270132627
/vessels/details/270997021,LIN 09970-21-72,Unknown,270997021
/vessels/details/270479812,04798-12-66,Unknown,270479812
/vessels/details/270170123,BLISS,Pleasure craft,270170123
/vessels/details/270911002,WATERMAN02-21,Unknown,270911002
/vessels/details/270549000,SIMAX,Unknown,270549000
/vessels/details/270996000,EVELINA,Sailing vessel,270996000
/vessels/details/270087737,YU 00877-66,Unknown,270087737
/vessels/details/270033115,BIAO 00331-15-99,Unknown,270033115
/vessels/details/270617000,MEDUSA,Pleasure craft,270617000
/vessels/details/270228809,BIAO 02288-9-97,Unknown,270228809
/vessels/details/270032922,HH,Fishing vessel,270032922
/vessels/details/270821262,ZHELINYU21262-278.1,Unknown,270821262
/vessels/details/270087739,YU 00877-91,Unknown,270087739
/vessels/details/270599613,BIAO 05996-13-99,Unknown,270599613
/vessels/details/270176000,SNOW WHITE,Sailing vessel,270176000
/vessels/details/270020015,ZHEXIANGYU270021599,Unknown,270020015
/vessels/details/270781627,LIN07816-27-68,Unknown,270781627
/vessels/details/270828510,08285-10-54,Unknown,270828510
/vessels/details/270282805,BIAO 02828-5-99,Unknown,270282805
/vessels/details/270585819,BIAO 05858-19-99,Unknown,270585819
/vessels/details/270680000,KOLIN,Other type,270680000
/vessels/details/270412359,GANG LI 558,Fishing vessel,270412359
/vessels/details/270000001,AEH,Passenger ship,270000001
/vessels/details/270919000,MISS ELLY,Pleasure craft,270919000
/vessels/details/270599612,BIAO 05996-12-99,Unknown,270599612
/vessels/details/270020016,ZHEXIANGYU270021693,Unknown,270020016
/vessels/details/270614000,TAMARIN,Sailing vessel,270614000
/vessels/details/270020009,ZHEXIANGYU27002-991,Unknown,270020009
/vessels/details/270853000,FREY,Unknown,270853000
/vessels/details/270880323,08803-23-99,Unknown,270880323
/vessels/details/270000065,LONGKOUWANGDI03-97,Unknown,270000065
/vessels/details/270198806,BIAO 01988-6-86,Unknown,270198806
/vessels/details/270900000,RVC-1,Other type,270900000
/vessels/details/270999902,LXK09999-28.1V,Unknown,270999902
/vessels/details/270361731,SUQIYU03617-31-85,Unknown,270361731
/vessels/details/270059918,SAN00599-18-69,Unknown,270059918
/vessels/details/270409000,ANDANTE,Passenger ship,270409000
/vessels/details/270781617,07816-17-84,Unknown,270781617
/vessels/details/270914000,GOLDEN AGE,Pleasure craft,270914000
/vessels/details/270909000,MAUNA LOA,Sailing vessel,270909000
/vessels/details/270282803,BIAO 02828-3-99,Unknown,270282803
/vessels/details/270599621,BIAO 05996-21-87,Unknown,270599621
/vessels/details/270316000,LABE.,Cargo ship,270316000
/vessels/details/270685000,MONSTER,Tug,270685000
/vessels/details/270915000,NAVY JANE,Unknown,270915000
/vessels/details/270625301,6253-01-86,Unknown,270625301
