url,name,type,imo
/vessels/details/9761243,TESSALA,LNG Tanker,9761243
/vessels/details/9761267,OUGARTA,LNG Tanker,9761267
/vessels/details/9827889,BADJI MOKHTAR III,Passenger/Ro-Ro Cargo Ship,9827889
/vessels/details/9432361,AZAO,Bulk Carrier,9432361
/vessels/details/9861483,IN ECKER,Chemical/Oil Products Tanker,9861483
/vessels/details/9537044,RHOURD EL FARES,LPG Tanker,9537044
/vessels/details/9537032,BERGA II,LPG Tanker,9537032
/vessels/details/9109768,TARIQ IBN ZIYAD,Passenger/Ro-Ro Cargo Ship,9109768
/vessels/details/9265419,TASSILI II,Passenger/Ro-Ro Cargo Ship,9265419
/vessels/details/9265421,EL DJAZAIR II,Passenger/Ro-Ro Cargo Ship,9265421
/vessels/details/9760615,TAMANRASSET,Container Ship,9760615
/vessels/details/9845063,DJANET,Container Ship,9845063
/vessels/details/9845051,CIRTA,Container Ship,9845051
/vessels/details/9320855,RHOURD EL ADRA,LPG Tanker,9320855
/vessels/details/9337793,RHOURD EL HAMRA,LPG Tanker,9337793
/vessels/details/9853577,HASSI TOUAREG,LPG Tanker,9853577
/vessels/details/9809045,HASSI BERKINE,LPG Tanker,9809045
/vessels/details/9697325,TIN ZIREN,General Cargo Ship,9697325
/vessels/details/9697337,TIMGAD,General Cargo Ship,9697337
/vessels/details/9459125,TAHAT,Container Ship,9459125
/vessels/details/9685085,TITTERI,General Cargo Ship,9685085
/vessels/details/9626716,CONSTANTINE,General Cargo Ship,9626716
/vessels/details/9646455,KHERRATA,General Cargo Ship,9646455
/vessels/details/9557795,SEDRATA,General Cargo Ship,9557795
/vessels/details/9557783,STIDIA,General Cargo Ship,9557783
/vessels/details/9557800,SAOURA,General Cargo Ship,9557800
/vessels/details/9393230,GOURAYA,General Cargo Ship,9393230
/vessels/details/9265380,AIN ZEFT,Bitumen Tanker,9265380
/vessels/details/9265392,RAS TOMB,Bitumen Tanker,9265392
/vessels/details/9883912,MT TOLGA,Oil Products Tanker,9883912
/vessels/details/9587568,EL-MOUSSANID,Salvage Ship,9587568
/vessels/details/9587556,EL MOUSIF,Salvage Ship,9587556
/vessels/details/9587491,EL MOUNDJID,Salvage Ship,9587491
/vessels/details/9912127,KENADSA,Oil Products Tanker,9912127
/vessels/details/9912115,EL GOUFI,Oil Products Tanker,9912115
/vessels/details/9775907,EL-MELLAH,Training Ship,9775907
/vessels/details/7606267,EL KENNAR,Oil Products Tanker,7606267
/vessels/details/7606279,EL KOUACHI,Oil Products Tanker,7606279
/vessels/details/9811488,SOUK AHRAS,Crane Ship,9811488
/vessels/details/7815856,BELGHIMOUS,Bunkering Tanker,7815856
/vessels/details/7647429,BERRICHE,Bunkering Tanker,7647429
/vessels/details/7647431,BORDJ MENAIEL,Bunkering Tanker,7647431
/vessels/details/9827102,IGILGILI II,Tug,9827102
/vessels/details/9559999,BELKACEM GRINE,Training Ship,9559999
/vessels/details/9829239,IGILGILI I,Tug,9829239
/vessels/details/9615705,EL DJEDID 2,Tug,9615705
/vessels/details/9615690,OUED EL KEBIR,Tug,9615690
/vessels/details/9622071,EL DJEDID 1,Tug,9622071
/vessels/details/9615717,SI EL-HAOUES,Tug,9615717
/vessels/details/8130461,MAZAFRAN 6,Tug,8130461
/vessels/details/8130459,MAZAFRAN 5,Tug,8130459
/vessels/details/8130447,MAZAFRAN4,Tug,8130447
/vessels/details/1112018,ECHAHID ABANE RAMDAN,Fishing Vessel,1112018
/vessels/details/9833462,BABOR 1,Tug,9833462
/vessels/details/1054838,ZMALET AL EMIR ABK,Fishing Vessel,1054838
/vessels/details/8434984,HADJ SOUFI MOHAMED,Fishing Vessel,8434984
/vessels/details/9593373,ZABANA AHMED I,Tug,9593373
/vessels/details/9593385,ZABANA AHMED II,Tug,9593385
/vessels/details/9819193,CAP BOUGAROUN,Tug,9819193
/vessels/details/9817858,MEZGHRANE,Tug,9817858
/vessels/details/9817872,REZI OMAR,Tug,9817872
/vessels/details/9817860,RAS TENES,Tug,9817860
/vessels/details/9332365,CAP SIGLI,Tug,9332365
/vessels/details/7230587,TAFNA 1,Tug,7230587
/vessels/details/9907598,AHMED SALIM,Fishing Vessel,9907598
/vessels/details/7921526,EL IDRISSI,Research Vessel,7921526
/vessels/details/9934785,EL BACHIR,Fishing Vessel,9934785
/vessels/details/9829605,CAP DE FER,Tug,9829605
/vessels/details/1053482,RAIAMARI,Fishing Vessel,1053482
/vessels/details/1055961,OUM ELKHEIR 27,Fishing Vessel,1055961
/vessels/details/9278363,SIDI ABDERRAHMANE,Tug,9278363
/vessels/details/9278399,RIGHA 2,Tug,9278399
/vessels/details/9366782,SKIKDA,Tug,9366782
/vessels/details/9907079,AHMED ROBAINE II,Fishing Vessel,9907079
/vessels/details/9971185,WAFID ZINE EDDINE,Fishing Vessel,9971185
/vessels/details/9969637,LES FRERES BENAMANE,Fishing Vessel,9969637
/vessels/details/9964807,EL HADJ OMAR,Fishing Vessel,9964807
/vessels/details/9280316,CHOULOU,Tug,9280316
/vessels/details/9276846,CAP CARBON,Tug,9276846
/vessels/details/9280299,MUSTAPHA BEN BOULAID 2,Tug,9280299
/vessels/details/1104853,EL ATI ALLAH II,Fishing Vessel,1104853
/vessels/details/8402553,TOUFIK,Fishing Support Vessel,8402553
/vessels/details/8688573,YOUNES1,Fishing Vessel,8688573
/vessels/details/8688585,YOUNES II,Fishing Vessel,8688585
/vessels/details/8465787,OUALD EL KHECHAI,Fishing Vessel,8465787
/vessels/details/9623037,BADJI MOKHTAR II,Passenger Ship,9623037
/vessels/details/9623049,SERAIDI,Passenger Ship,9623049
/vessels/details/8584296,RIADH,Fishing Vessel,8584296
/vessels/details/8130497,ISSER 3,Tug,8130497
/vessels/details/8130473,ISSER 1,Tug,8130473
/vessels/details/9865594,AHMED ROBAINE,Fishing Vessel,9865594
/vessels/details/9907603,SERAJ,Fishing Vessel,9907603
/vessels/details/9393838,LALA KHEDIDJA,Water Tanker,9393838
/vessels/details/8687892,ELMAJDE,Fishing Vessel,8687892
/vessels/details/9380544,ALICIA BEY,Fishing Vessel,9380544
