url,name,type,imo
/vessels/details/9174373,SANTIAGO,Oil Products Tanker,9174373
/vessels/details/9174385,ZAMORA,Oil Products Tanker,9174385
/vessels/details/9670937,MARIA DEL CARMEN IX,Oil Products Tanker,9670937
/vessels/details/9430698,ARMONIA,Chemical/Oil Products Tanker,9430698
/vessels/details/9526681,ACONCAGUA,Chemical/Oil Products Tanker,9526681
/vessels/details/9837937,SILVER ORIGIN,Passenger (Cruise) Ship,9837937
/vessels/details/9837925,CELEBRITY FLORA,Passenger (Cruise) Ship,9837925
/vessels/details/9479917,MARIA DEL CARMEN IV,Oil Products Tanker,9479917
/vessels/details/9546069,MARIA DEL CARMEN V,Oil Products Tanker,9546069
/vessels/details/9126730,RS PIONEER,General Cargo Ship,9126730
/vessels/details/9183491,FUSION 3,General Cargo Ship,9183491
/vessels/details/9175470,MARIA DEL CARMEN VII,Oil Products Tanker,9175470
/vessels/details/8705266,NAT GEO ISLANDER 2,Passenger (Cruise) Ship,8705266
/vessels/details/9371311,SANTORINI,Oil Products Tanker,9371311
/vessels/details/9704881,ANDES VI,Oil Products Tanker,9704881
/vessels/details/9228368,NG GEMINI,Passenger (Cruise) Ship,9228368
/vessels/details/5404964,GALAPAGOS LEGEND,Passenger Ship,5404964
/vessels/details/9281798,LIBERTAD 6,Oil Products Tanker,9281798
/vessels/details/9710983,JOCAY,Fishing Vessel,9710983
/vessels/details/9334088,NG ENDEAVOUR II,Passenger (Cruise) Ship,9334088
/vessels/details/9679634,BELLE ISLE,Fishing Vessel,9679634
/vessels/details/9265677,SANTA CRUZ II,Passenger (Cruise) Ship,9265677
/vessels/details/8215601,BALTIC BETINA,General Cargo Ship,8215601
/vessels/details/9863912,INFINITY,Yacht,9863912
/vessels/details/8206301,UGAVI 2,Fishing Vessel,8206301
/vessels/details/7910682,UGAVI,Fishing Vessel,7910682
/vessels/details/7235628,FV EMILIO,Fishing Vessel,7235628
/vessels/details/7396836,BP MARTINA C,Fishing Vessel,7396836
/vessels/details/8112897,LA PINTA,Passenger Ship,8112897
/vessels/details/9139878,NATIONAL GEOGRAPHIC ISLANDER,Passenger (Cruise) Ship,9139878
/vessels/details/7914535,ISABELA II,Passenger (Cruise) Ship,7914535
/vessels/details/9810434,NATURAL PARADISE,Passenger (Cruise) Ship,9810434
/vessels/details/1088621,HERMES,Passenger (Cruise) Ship,1088621
/vessels/details/9879399,SAN JACINTO,Passenger (Cruise) Ship,9879399
/vessels/details/6707038,CONNIE JEAN TWO,Fishing Vessel,6707038
/vessels/details/7122326,EVOLUTION,Passenger (Cruise) Ship,7122326
/vessels/details/9857999,GRAND-QUEEN-BEATRIZ,Passenger (Cruise) Ship,9857999
/vessels/details/1005942,AQUA MARE,Yacht,1005942
/vessels/details/1054280,GALAXY SIRIUS,Passenger (Cruise) Ship,1054280
/vessels/details/1000887,PASSION,Yacht,1000887
/vessels/details/9884461,TIP TOP V,Passenger (Cruise) Ship,9884461
/vessels/details/9794733,PETREL,Passenger (Cruise) Ship,9794733
/vessels/details/9802190,ORIGIN,Passenger Ship,9802190
/vessels/details/9972268,EVOLVE,Passenger (Cruise) Ship,9972268
/vessels/details/9093074,INTEGRITY,Passenger (Cruise) Ship,9093074
/vessels/details/9855616,THEORY,Passenger Ship,9855616
/vessels/details/8979025,MILLENIUM,Passenger (Cruise) Ship,8979025
