url,name,type,imo
/vessels/details/8919805,SILJA EUROPA,Passenger/Ro-Ro Cargo Ship,8919805
/vessels/details/9892690,MYSTAR,Passenger/Ro-Ro Cargo Ship,9892690
/vessels/details/9773064,MEGASTAR,Passenger/Ro-Ro Cargo Ship,9773064
/vessels/details/9443255,BALTIC QUEEN,Passenger/Ro-Ro Cargo Ship,9443255
/vessels/details/9281281,VICTORIA 1,Passenger/Ro-Ro Cargo Ship,9281281
/vessels/details/9211509,SUPERFAST IX,Passenger/Ro-Ro Cargo Ship,9211509
/vessels/details/8401444,SAILOR,Passenger/Ro-Ro Cargo Ship,8401444
/vessels/details/9083043,NANTO,Container Ship,9083043
/vessels/details/9165877,BOTNICA,Icebreaker,9165877
/vessels/details/9762651,TOLL,Passenger/Ro-Ro Cargo Ship,9762651
/vessels/details/9762675,LEIGER,Passenger/Ro-Ro Cargo Ship,9762675
/vessels/details/9762663,PIRET,Passenger/Ro-Ro Cargo Ship,9762663
/vessels/details/9762687,TIIU,Passenger/Ro-Ro Cargo Ship,9762687
/vessels/details/7924059,SILUR,Non Propelled Barge,7924059
/vessels/details/5352886,TARMO,Icebreaker,5352886
/vessels/details/7051058,REGULA,Passenger/Ro-Ro Cargo Ship,7051058
/vessels/details/9343766,GEOQUIP SILVRETTA,Offshore Tug/Supply Ship,9343766
/vessels/details/9227534,MERIKE,Fishing Vessel,9227534
/vessels/details/9268174,ATLANTIS,Chemical/Oil Products Tanker,9268174
/vessels/details/9211030,REVAL VIKING,Fish Factory Ship,9211030
/vessels/details/9180346,STEFFANO,Fishing Vessel,9180346
/vessels/details/9031624,ATLANTIS 2,Oil Products Tanker,9031624
/vessels/details/7004342,SKORPION,Oil Products Tanker,7004342
/vessels/details/8215053,MADRUS,Fishing Vessel,8215053
/vessels/details/7700594,AGOT,Refrigerated Cargo Ship,7700594
/vessels/details/9588770,KINDRAL KURVITS,Pollution Control Vessel,9588770
/vessels/details/8619699,LENNUK,Fishing Vessel,8619699
/vessels/details/9744441,ORMSO,Passenger/Ro-Ro Cargo Ship,9744441
/vessels/details/9753129,KIHNU VIRVE,Passenger/Ro-Ro Cargo Ship,9753129
/vessels/details/9776494,SOELA,Passenger/Ro-Ro Cargo Ship,9776494
/vessels/details/7917977,EVA 316,Icebreaker,7917977
/vessels/details/8853946,NAFTA,Bunkering Tanker,8853946
/vessels/details/8228244,VIIKING,Crane Ship,8228244
/vessels/details/9875886,HELIOS,Tug,9875886
/vessels/details/9875874,SELENE,Tug,9875874
/vessels/details/7120811,REET,Passenger/Ro-Ro Cargo Ship,7120811
/vessels/details/9817987,WARSHIP P6732,Patrol Vessel,9817987
/vessels/details/9277199,H.KANTER,Tug,9277199
/vessels/details/9444584,CASTOR,Tug,9444584
/vessels/details/9222417,MARS,Tug,9222417
/vessels/details/6504228,PROTECTOR,Tug,6504228
/vessels/details/9183099,DAGO,Fishing Vessel,9183099
/vessels/details/7330337,ATLAS,Tug,7330337
/vessels/details/9826299,PALLAS,Tug,9826299
/vessels/details/7607869,VEGA,Tug,7607869
/vessels/details/8400074,STRANDE,Passenger Ship,8400074
/vessels/details/9580431,JAKOB PREI,Research Vessel,9580431
/vessels/details/7431337,SALME,Research Vessel,7431337
/vessels/details/8410158,SEKTORI,Buoy/Lighthouse Vessel,8410158
/vessels/details/9111711,VEGTIND,Passenger Ship,9111711
/vessels/details/8956700,RANDAL,Pollution Control Vessel,8956700
/vessels/details/8929109,IKLA,Bunkering Tanker,8929109
/vessels/details/9823089,AGAR,Tug,9823089
/vessels/details/7637292,MILTON,Fishing Vessel,7637292
/vessels/details/8846682,MONTU,Tug,8846682
/vessels/details/7734789,MOCNY,Tug,7734789
/vessels/details/9643336,RUNO,Passenger Ship,9643336
/vessels/details/9375331,ARKTURUS,Tug,9375331
/vessels/details/9690690,WRANGO,Passenger/Ro-Ro Cargo Ship,9690690
/vessels/details/1068023,BURGERMEISTER NMANN,Patrol Vessel,1068023
/vessels/details/8897447,KAIRE,Fishing Vessel,8897447
/vessels/details/8863379,BALTIK,Fishing Vessel,8863379
/vessels/details/8854213,RYTAS,Fishing Vessel,8854213
/vessels/details/8722551,KOTKAS,Fishing Vessel,8722551
/vessels/details/8989953,MAMMUT,Tug,8989953
/vessels/details/276009900,MELISSA,Pleasure craft,276009900
/vessels/details/276001380,SYLVIA,Sailing vessel,276001380
/vessels/details/276011420,R40,Pleasure craft,276011420
/vessels/details/276015290,TAIKA,Pleasure craft,276015290
/vessels/details/276014420,ELISABETH FIRST,Sailing vessel,276014420
/vessels/details/276005080,INGEBORG,Pleasure craft,276005080
/vessels/details/276005320,JENNY 8,Pleasure craft,276005320
/vessels/details/276013130,NAOMA,Sailing vessel,276013130
/vessels/details/276016530,KENA REINA,Pleasure craft,276016530
/vessels/details/276005380,TUULELIND,Sailing vessel,276005380
/vessels/details/276005760,KATARIINAII,Pleasure craft,276005760
/vessels/details/276003370,REVAL CAFE,Sailing vessel,276003370
/vessels/details/276003440,HEIDI 567,Sailing vessel,276003440
/vessels/details/276013720,DYRHAMN,Passenger ship,276013720
/vessels/details/276787000,VIRU,Fishing vessel,276787000
/vessels/details/276014240,LEON,Sailing vessel,276014240
/vessels/details/276731000,OLYMPIC,Sailing vessel,276731000
/vessels/details/276594000,NICO,Tug,276594000
/vessels/details/276002780,MARIBEL II,Pleasure craft,276002780
/vessels/details/276425000,WARSHIP A433,Military ops,276425000
/vessels/details/276010040,SAR TALLINN,Pleasure craft,276010040
/vessels/details/276843000,MOJITO,Pleasure craft,276843000
/vessels/details/276011780,MARLEEN,Pleasure craft,276011780
/vessels/details/276014100,SINILIND,Pleasure craft,276014100
/vessels/details/276014910,M-06 TUULE,Law enforcment,276014910
/vessels/details/276005650,SUGAR,Sailing vessel,276005650
/vessels/details/276002160,RAHU,SAR,276002160
/vessels/details/276799000,AHTO-02,Other type,276799000
/vessels/details/276001960,MASU,Sailing vessel,276001960
/vessels/details/276700000,WARSHIP M6731,Military ops,276700000
/vessels/details/276018070,BLUETONIUM,Pleasure craft,276018070
/vessels/details/276012650,ASTRID,Pleasure craft,276012650
/vessels/details/276010230,SAR ALEV STROM,SAR,276010230
/vessels/details/276272000,AHTI -11,Other type,276272000
/vessels/details/276013520,SAR KAKUMAE,SAR,276013520
/vessels/details/276012120,FIJI,Sailing vessel,276012120
/vessels/details/276016160,ELGEA,Pleasure craft,276016160
/vessels/details/276015030,LIISBET,Pleasure craft,276015030
/vessels/details/276009960,AXOPAR 37 VLV-496,Pleasure craft,276009960
/vessels/details/276465000,MONICA,Passenger ship,276465000
/vessels/details/276014280,MERYLIN,Pleasure craft,276014280
/vessels/details/276012050,MERI-SIGA,Pleasure craft,276012050
/vessels/details/276003650,HELENE,Sailing vessel,276003650
/vessels/details/276784000,AHTO-01,Pilot,276784000
/vessels/details/276573000,BREEZE,Sailing vessel,276573000
/vessels/details/276014360,REBECCA,Pleasure craft,276014360
/vessels/details/276017260,CHRISTELLA,Sailing vessel,276017260
/vessels/details/276008150,SAGA,Sailing vessel,276008150
/vessels/details/276011730,SIROCCO,Sailing vessel,276011730
/vessels/details/276007600,EST-557 SIIRIUS,Pleasure craft,276007600
/vessels/details/276009030,RUHNU SAR,SAR,276009030
/vessels/details/276012150,HAMBURG PILOT 4,Other type,276012150
/vessels/details/276743000,WARSHIP M6733,Military ops,276743000
/vessels/details/276548000,AHTO-20,Pilot,276548000
/vessels/details/276010950,KUNO,Pleasure craft,276010950
/vessels/details/276011740,CEKRITITO,Sailing vessel,276011740
/vessels/details/276014770,MERIBEL,Sailing vessel,276014770
/vessels/details/276007870,HIIUINGEL,Sailing vessel,276007870
/vessels/details/276014670,NARGO,Passenger ship,276014670
/vessels/details/276017190,LARA,Pleasure craft,276017190
/vessels/details/276007480,BLACK OAK I,Pleasure craft,276007480
/vessels/details/276005340,AHTO-15,Pilot,276005340
/vessels/details/276009560,VLV394,Pleasure craft,276009560
/vessels/details/276007810,MARTA III,Unknown,276007810
/vessels/details/276010880,SY PICASSO,Sailing vessel,276010880
/vessels/details/276009800,LUNA,Sailing vessel,276009800
/vessels/details/276522000,AHTO 19,Pilot,276522000
/vessels/details/276012100,SIRET,Pleasure craft,276012100
/vessels/details/276006950,KUNGLA SAR,SAR,276006950
/vessels/details/276014900,TERJE,Law enforcment,276014900
/vessels/details/276011810,SANNE-MARIE,Pleasure craft,276011810
/vessels/details/276011940,SERENADA,Pleasure craft,276011940
