url,name,type,imo
/vessels/details/9291248,ATHINEA,Crude Oil Tanker,9291248
/vessels/details/9260809,ETC RAMSIS,Crude Oil Tanker,9260809
/vessels/details/9173721,ALEXIA 3,Crude Oil Tanker,9173721
/vessels/details/9304643,CHRIS,Crude Oil Tanker,9304643
/vessels/details/9897999,WADI ALMOLOUK,Bulk Carrier,9897999
/vessels/details/9952672,WADI ALARISH,Bulk Carrier,9952672
/vessels/details/9763904,WADI ALMALEKAT,Bulk Carrier,9763904
/vessels/details/9460734,WADI SAFAGA,Bulk Carrier,9460734
/vessels/details/9460746,WADI TIBA,Bulk Carrier,9460746
/vessels/details/9460760,WADI ALKARM,Bulk Carrier,9460760
/vessels/details/9460772,WADI ALYARMOUK,Bulk Carrier,9460772
/vessels/details/9139268,ESNA,Bulk Carrier,9139268
/vessels/details/9139256,EDFU,Bulk Carrier,9139256
/vessels/details/9127136,WADI AL KARNAK,Bulk Carrier,9127136
/vessels/details/9107681,WADI ALARAB,Bulk Carrier,9107681
/vessels/details/9208875,WADI ALRAYAN,Container Ship,9208875
/vessels/details/9460722,WADI ALBOSTAN,Bulk Carrier,9460722
/vessels/details/9460083,WADI FERAN,Bulk Carrier,9460083
/vessels/details/9236987,AL NABILA 6,Chemical/Oil Products Tanker,9236987
/vessels/details/9593517,SAFEEN PRESTIGE,Container Ship,9593517
/vessels/details/9330915,CAPT.KATTELMANN,Container Ship,9330915
/vessels/details/9216107,EGY CROWN,Container Ship,9216107
/vessels/details/9127538,EGY FUTURE,Container Ship,9127538
/vessels/details/9266487,AL HURREYA,Ro-Ro Cargo Ship,9266487
/vessels/details/9309136,AL HURREYA 2,Ro-Ro Cargo Ship,9309136
/vessels/details/9161182,ELREEDY STAR,General Cargo Ship,9161182
/vessels/details/9284180,MECCA,Hopper Dredger,9284180
/vessels/details/9366483,EGY SKY,Container Ship,9366483
/vessels/details/9236286,PAN GG,Container Ship,9236286
/vessels/details/9869356,MOHAB MAMESH,Dredger,9869356
/vessels/details/9193525,LOTUS,General Cargo Ship,9193525
/vessels/details/8402084,OBOOR,Hopper Dredger,8402084
/vessels/details/9111448,MASHHOUR,Dredger,9111448
/vessels/details/9869368,HUSSEIN TANTAWY,Dredger,9869368
/vessels/details/8708622,BRIDGE,Ro-Ro Cargo Ship,8708622
/vessels/details/8928777,PMS 12,Pipe Layer,8928777
