url,name,type,imo
/vessels/details/8508802,MV HARMONI MAS,Vehicles Carrier,8508802
/vessels/details/625620016,62562-16-77,Unknown,625620016
/vessels/details/625401073,ANGIE 111,Passenger ship,625401073
/vessels/details/625780110,62578-10-60,Unknown,625780110
/vessels/details/625033114,35679-14-74,Unknown,625033114
/vessels/details/625620111,62562-A11-92,Unknown,625620111
/vessels/details/625620014,62562-14-99,Unknown,625620014
/vessels/details/625216385,LIN21638-5-64,Unknown,625216385
/vessels/details/625656555,18998-80-49,Unknown,625656555
/vessels/details/625008616,SYB0086-16 10,Unknown,625008616
/vessels/details/625620020,62562-20-60,Unknown,625620020
/vessels/details/625620004,62562-A4-99,Unknown,625620004
/vessels/details/625160016,TIELONG62516-16-43,Unknown,625160016
/vessels/details/625380002,MINPINGYU62538-2-79,Unknown,625380002
/vessels/details/625005555,KILAT MAJU JAYA 16,Fishing vessel,625005555
/vessels/details/625660007,62566-7-89,Unknown,625660007
/vessels/details/625825081,NET ZPY82508-1-88,Unknown,625825081
/vessels/details/625784234,49001,Fishing vessel,625784234
/vessels/details/625620019,62562-19-88,Unknown,625620019
/vessels/details/625670015,62567-15-87,Unknown,625670015
/vessels/details/9113484,ADULIS,Tug,9113484
/vessels/details/625366601,03075-397,Unknown,625366601
/vessels/details/9023744,ERI 4 AB KEBIRE,Fishing Vessel,9023744
/vessels/details/625129097,LIN12909-7-91,Unknown,625129097
/vessels/details/625620015,62562-15-80,Unknown,625620015
/vessels/details/625660004,62566-4-83,Unknown,625660004
/vessels/details/625550006,TIELONG62555-6-35,Unknown,625550006
/vessels/details/625550001,TIELONG62555-1-13,Unknown,625550001
/vessels/details/625660008,62566-8-67,Unknown,625660008
/vessels/details/625100819,35028-19-73,Unknown,625100819
/vessels/details/625620037,62562-37-99,Unknown,625620037
/vessels/details/625189396,1166-6-80,Unknown,625189396
/vessels/details/625280019,62528-19-73,Unknown,625280019
/vessels/details/625360005,MINPINGYU62536-599,Unknown,625360005
/vessels/details/625110002,TIELONG62511-2-13,Unknown,625110002
/vessels/details/625110005,TIELONG62511-5-99,Fishing vessel,625110005
/vessels/details/625040804,56069-4-79,Unknown,625040804
/vessels/details/625670018,62567-18-99,Unknown,625670018
/vessels/details/625110017,TIELONG62511-17-81,Fishing vessel,625110017
/vessels/details/625620012,62562-12-79,Unknown,625620012
/vessels/details/625280031,62528-31-99,Unknown,625280031
/vessels/details/625320109,MINDINGYU62531-9-99,Unknown,625320109
/vessels/details/625580001,62558-1-72,Unknown,625580001
/vessels/details/625000000,KM ALKEN PESONA,Cargo ship,625000000
/vessels/details/625452003,LULONGYU625452-3-97,Unknown,625452003
/vessels/details/625110003,TIELONG62511-3-96,Fishing vessel,625110003
/vessels/details/625971988,123,Fishing vessel,625971988
/vessels/details/625215611,LIN 21561-1-36,Unknown,625215611
/vessels/details/9023756,ERI 5 HA AWATE,Fishing Vessel,9023756
/vessels/details/625280025,62528-25-99,Unknown,625280025
/vessels/details/625780103,62578-03-60,Unknown,625780103
/vessels/details/625660001,62566-1-99,Unknown,625660001
/vessels/details/625780055,62578-55-93,Unknown,625780055
/vessels/details/625160017,TIELONG62516-17-93,Unknown,625160017
