url,name,type,imo
/vessels/details/9743239,ABBAY II,Bulk Carrier,9743239
/vessels/details/9617387,ASSOSA,General Cargo Ship,9617387
/vessels/details/9617399,HARAR,General Cargo Ship,9617399
/vessels/details/9617404,JIGJIGA,General Cargo Ship,9617404
/vessels/details/9617416,MEKELE,General Cargo Ship,9617416
/vessels/details/9617363,GAMBELLA,General Cargo Ship,9617363
/vessels/details/9617375,FINFINE,General Cargo Ship,9617375
/vessels/details/9617428,SEMERA,General Cargo Ship,9617428
/vessels/details/9385609,GIBE,General Cargo Ship,9385609
/vessels/details/9385594,SHEBELLE,General Cargo Ship,9385594
/vessels/details/624520020,LULONGYU62452-20-88,Unknown,624520020
/vessels/details/624040818,56069-18-06,Unknown,624040818
/vessels/details/624172356,SUBHAN,Fishing vessel,624172356
/vessels/details/624031228,64095-28-67,Unknown,624031228
/vessels/details/624100215,606-15-51,Unknown,624100215
/vessels/details/624827013,YUELEIYU27-13-91,Fishing vessel,624827013
/vessels/details/624215883,LIN21588-3-62,Unknown,624215883
/vessels/details/624827009,YUELEIYU27-9-74,Fishing vessel,624827009
/vessels/details/624925822,XIANG49258-22-76,Unknown,624925822
/vessels/details/624520007,LULONGYU62452-7-99,Unknown,624520007
/vessels/details/624520017,LULONGYU62452-17-67,Unknown,624520017
/vessels/details/624110002,YUWANGQU002,Unknown,624110002
/vessels/details/624041008,FUHAI-08-99,Unknown,624041008
/vessels/details/624010607,LIAOYINGYU5HAO-7 90,Unknown,624010607
/vessels/details/624100207,606-7,Unknown,624100207
/vessels/details/624022510,71167-10-82,Unknown,624022510
/vessels/details/624041810,64696-10-70,Unknown,624041810
/vessels/details/624993446,CCHA46C22,Other type,624993446
/vessels/details/624031238,64095-38,Unknown,624031238
/vessels/details/624216384,LIN21638-4-64,Unknown,624216384
/vessels/details/624102112,35028-12-98,Unknown,624102112
/vessels/details/624827008,YUELEIYU27-8-45,Fishing vessel,624827008
/vessels/details/624040811,56069-11-43,Unknown,624040811
/vessels/details/624520023,LULONGYU62452-23-99,Unknown,624520023
/vessels/details/624827012,YUELEIYU27-12-43,Fishing vessel,624827012
/vessels/details/624010602,LIAOYINGYU5HAO-2 50,Unknown,624010602
/vessels/details/624100202,64916-17-53,Unknown,624100202
/vessels/details/624520001,LULONGYU62452-01-81,Unknown,624520001
/vessels/details/624218912,LIN 21891-2-90,Unknown,624218912
/vessels/details/624520021,LULONGYU62452-21-79,Unknown,624520021
/vessels/details/624520009,LULONGYU62452-9-94,Unknown,624520009
/vessels/details/624100211,606-11-76,Unknown,624100211
/vessels/details/624827026,YUELEIYU27-26-99,Fishing vessel,624827026
/vessels/details/624827014,YUELEIYU27-14-28,Fishing vessel,624827014
/vessels/details/624102115,35028-15-58,Unknown,624102115
/vessels/details/624071622,51199-22-86,Unknown,624071622
/vessels/details/624031924,04268-24-95,Unknown,624031924
/vessels/details/624827007,YUELEIYU27-7-45,Fishing vessel,624827007
/vessels/details/624827005,YUELEIYU27-5-99,Fishing vessel,624827005
/vessels/details/624520016,LULONGYU62452-16-66,Unknown,624520016
/vessels/details/624520022,LULONGYU62452-22-97,Unknown,624520022
/vessels/details/624071635,51199-35-87,Unknown,624071635
/vessels/details/624219912,LIN 21991-2-99,Unknown,624219912
/vessels/details/624520018,LULONGYU62452-18-96,Unknown,624520018
/vessels/details/624031239,64095-39-34,Unknown,624031239
/vessels/details/624827006,YUELEIYU27-6-55,Fishing vessel,624827006
/vessels/details/624720820,07,Unknown (HAZ-D),624720820
/vessels/details/624031923,04268-23-63,Unknown,624031923
/vessels/details/624561234,00466,Fishing vessel,624561234
/vessels/details/624213397,LIN 21339-7-77,Unknown,624213397
/vessels/details/624071632,51199-32-84,Unknown,624071632
/vessels/details/624101205,66885-5 60,Unknown,624101205
/vessels/details/624520008,LULONGYU62452-08-87,Unknown,624520008
/vessels/details/624031233,64095-33-57,Unknown,624031233
/vessels/details/624031222,64095-22-77,Unknown,624031222
/vessels/details/624215972,LIN 21597-2-99,Unknown,624215972
