url,name,type,imo
/vessels/details/7215290,SPIRIT OF ALTRUISM,Passenger/Ro-Ro Cargo Ship,7215290
/vessels/details/9131395,MYSTIQUE PRINCESS,Passenger (Cruise) Ship,9131395
/vessels/details/9199907,FIJI PRINCESS,Passenger (Cruise) Ship,9199907
/vessels/details/8713988,BLUE PHOENIX,Passenger/Ro-Ro Cargo Ship,8713988
/vessels/details/7824924,LOMAIVITI PRINCESS II,Passenger/Ro-Ro Cargo Ship,7824924
/vessels/details/9717149,ISLANDS BRIDGE 1,Landing Craft,9717149
/vessels/details/9075319,ULUDA PRINCESS,Passenger/Ro-Ro Cargo Ship,9075319
/vessels/details/6924313,QUEEN OF MELBOURNE,Passenger/Ro-Ro Cargo Ship,6924313
/vessels/details/7910644,TUI TAI,Passenger Ship,7910644
/vessels/details/8900672,WICKHAM,Tug,8900672
/vessels/details/8900658,MAYFIELD,Tug,8900658
/vessels/details/9580869,LAUREN HANSEN,Landing Craft,9580869
/vessels/details/9342592,ADI TUKULA,Tug,9342592
/vessels/details/9309772,RATU RABICI,Tug,9309772
/vessels/details/9309370,TAHITI NUI II,Landing Craft,9309370
/vessels/details/9331438,TAHITI NUI III,Landing Craft,9331438
/vessels/details/8874562,CORAL BAY,Landing Craft,8874562
/vessels/details/4734283,PUAMAU,Patrol Vessel,4734283
/vessels/details/4736516,RFNS TIMO,Patrol Vessel,4736516
/vessels/details/7614551,WYAMBI,Tug,7614551
/vessels/details/8748971,SUNSHINE NO. 18,Fishing Vessel,8748971
/vessels/details/7110024,TANUNDA,Tug,7110024
/vessels/details/7207229,DRETIA,Tug,7207229
/vessels/details/7412044,NELIA,Tug,7412044
/vessels/details/9829837,SONIC,Tug,9829837
/vessels/details/520350000,RFNS VOLASGA,Military ops,520350000
/vessels/details/520369000,SABRE,Sailing vessel,520369000
/vessels/details/520290000,RATU RABICI,Tug,520290000
/vessels/details/520406000,MV SEYCHELLES,Pleasure craft,520406000
/vessels/details/520340000,SEAKEEPER ACE,Pilot,520340000
/vessels/details/9274422,WIN STAR 1,Fishing Vessel,9274422
/vessels/details/7391991,BURDEKIN,Tug,7391991
/vessels/details/520007208,SUMBER PERKASA III,Pleasure craft,520007208
/vessels/details/520449817,SUQIYU04498A178.0V,Unknown,520449817
/vessels/details/520445149,SUQIYU04451498.1V,Unknown,520445149
/vessels/details/520001063,DINGWANG5200-63-99,Unknown,520001063
/vessels/details/8718421,JOSEPH P,Passenger/Ro-Ro Cargo Ship,8718421
/vessels/details/520307000,MALOLO CAT IV,Passenger ship,520307000
/vessels/details/520510809,YU 05108-49,Unknown,520510809
/vessels/details/520409206,04092-18 7.2V,Unknown,520409206
/vessels/details/520100002,BUOY2120287,Unknown,520100002
/vessels/details/520828501,MINXIAYU08285-1-86,Unknown,520828501
